,open,high,low,close,volume
2024-02-16,1228.7,1258.0,1141.0,1149.55,1788742
2024-02-19,1149.5,1178.0,1105.85,1151.0,389057
2024-02-20,1150.0,1198.0,1140.35,1161.2,678777
2024-02-21,1162.1,1197.9,1150.0,1166.6,415999
2024-02-22,1166.55,1186.95,1139.1,1158.15,113667
2024-02-23,1161.95,1174.9,1156.05,1169.15,127547
2024-02-26,1146.55,1185.15,1100.3,1130.5,191751
2024-02-27,1135.0,1153.7,1112.0,1121.0,259971
2024-02-28,1116.0,1121.0,1002.35,1037.4,506919
2024-02-29,1037.4,1102.0,1031.1,1082.85,141204
2024-03-01,1096.0,1125.95,1013.15,1017.5,393304
2024-03-02,1046.95,1060.0,1010.0,1027.15,15272
2024-03-04,1028.25,1060.65,1010.0,1036.55,312834
2024-03-05,1034.7,1065.5,1032.15,1059.3,103169
2024-03-06,1055.05,1079.8,1025.0,1032.3,121776
2024-03-07,1039.0,1099.9,1039.0,1094.2,212534
2024-03-11,1100.25,1124.0,1090.15,1115.9,187958
2024-03-12,1116.75,1116.75,1060.5,1083.3,87592
2024-03-13,1070.0,1093.0,980.35,993.4,236716
2024-03-14,1004.95,1055.55,988.55,1031.85,224330
2024-03-15,1010.0,1058.75,1000.0,1006.3,91497
2024-03-18,1010.95,1053.45,1010.55,1040.95,79031
2024-03-19,1038.5,1047.95,990.0,999.9,105982
2024-03-20,1034.95,1038.0,998.0,1004.65,28952
2024-03-21,1004.9,1026.5,995.0,998.35,60528
2024-03-22,998.8,1035.0,984.0,991.55,121225
2024-03-26,991.55,1009.35,980.0,986.5,109921
2024-03-27,987.0,1008.9,987.0,999.85,73836
2024-03-28,1000.0,1010.1,970.0,987.45,82536
2024-04-01,995.0,1014.0,995.0,1001.65,35883
2024-04-02,1010.6,1011.45,992.1,993.75,53906
2024-04-03,1004.95,1005.2,985.35,996.8,87206
2024-04-04,997.2,1008.25,997.2,1004.1,39443
2024-04-05,1004.1,1008.2,1000.0,1005.9,27118
2024-04-08,1006.95,1015.9,992.0,994.45,31642
2024-04-09,995.95,1028.5,995.85,1005.1,60569
2024-04-10,1005.0,1012.95,999.0,1001.95,35599
2024-04-12,1114.95,1202.3,1089.0,1170.55,831193
2024-04-15,1165.0,1165.0,1105.05,1129.25,81164
2024-04-16,1111.0,1134.65,1080.0,1097.25,80493
2024-04-18,1099.2,1148.55,1099.2,1113.05,92105
2024-04-19,1113.0,1133.95,1097.7,1128.2,68858
2024-04-22,1134.95,1157.0,1130.0,1144.2,55632
2024-04-23,1162.6,1225.0,1162.6,1204.05,348878
2024-04-24,1204.95,1225.0,1197.2,1208.25,178852
2024-04-25,1182.35,1207.95,1160.0,1169.65,45793
2024-04-26,1175.0,1183.25,1136.4,1151.75,24987
2024-04-29,1151.75,1159.0,1131.8,1140.0,28292
2024-04-30,1138.95,1206.0,1138.95,1170.7,53596
2024-05-02,1159.95,1183.8,1124.2,1130.35,45690
2024-05-03,1135.95,1146.65,1078.15,1096.0,55935
2024-05-06,1100.0,1111.95,1072.3,1080.2,44131
2024-05-07,1087.0,1098.15,1070.05,1095.0,46091
2024-05-08,1081.0,1098.6,1072.25,1076.85,15481
2024-05-09,1096.0,1096.0,1049.0,1055.3,21788
2024-05-10,1055.3,1067.5,1023.15,1047.1,18811
2024-05-13,1056.95,1056.95,1020.65,1031.65,26041
2024-05-14,1044.95,1046.0,1014.95,1041.55,9823
2024-05-15,1041.9,1041.9,1002.85,1008.95,88285
2024-05-16,1017.9,1029.15,1012.6,1021.7,56225
2024-05-17,1030.0,1120.5,1029.75,1043.9,123924
2024-05-18,1050.0,1061.95,1041.85,1054.5,5047
2024-05-21,1064.3,1064.3,1029.0,1040.15,52156
2024-05-22,1042.0,1062.15,1036.1,1046.05,76731
2024-05-23,1080.0,1080.0,1035.0,1039.7,45719
2024-05-24,1042.95,1048.0,1017.0,1022.65,55542
2024-05-27,1027.95,1043.85,1017.75,1023.7,47561
2024-05-28,1023.7,1048.75,1013.1,1023.45,55687
2024-05-29,1035.0,1036.0,1005.0,1026.55,59220
2024-05-30,1060.0,1060.0,994.0,996.1,179601
2024-05-31,999.95,1041.6,999.95,1028.35,69590
2024-06-03,1035.1,1043.95,1017.0,1029.45,35960
2024-06-04,1016.0,1033.55,991.1,1028.3,105753
2024-06-05,1037.0,1037.0,999.0,1031.7,30921
2024-06-06,1031.7,1044.95,1023.35,1040.0,25598
2024-06-07,1038.95,1044.75,1030.5,1035.5,22352
2024-06-10,1064.0,1064.0,1040.0,1044.9,50306
2024-06-11,1044.35,1045.5,1017.55,1024.35,41957
2024-06-12,1023.65,1035.0,1009.0,1018.85,104570
2024-06-13,1022.95,1027.5,1010.05,1021.55,39986
2024-06-14,1025.5,1040.0,1021.55,1027.6,38800
2024-06-18,1027.6,1053.85,1024.5,1047.6,270426
2024-06-19,1068.95,1069.0,1045.55,1053.8,82149
2024-06-20,1050.0,1062.0,1045.0,1056.85,29881
2024-06-21,1055.0,1060.0,1031.05,1040.5,74072
2024-06-24,1041.0,1060.0,1039.05,1057.1,19648
2024-06-25,1057.1,1074.6,1055.0,1057.0,24090
2024-06-26,1080.0,1081.0,1056.0,1062.7,79771
2024-06-27,1062.0,1065.0,1051.0,1054.25,61866
2024-06-28,1054.95,1058.95,1031.6,1040.2,25240
2024-07-01,1045.0,1068.6,1038.45,1064.1,38470
2024-07-02,1062.05,1070.0,1042.0,1047.25,38786
2024-07-03,1059.9,1122.8,1050.05,1117.85,254981
2024-07-04,1126.95,1128.35,1103.1,1112.75,56647
2024-07-05,1114.9,1142.0,1104.05,1128.1,46894
2024-07-08,1128.1,1136.45,1108.1,1118.7,16976
2024-07-09,1109.0,1117.6,1076.05,1080.8,35453
2024-07-10,1091.95,1091.95,1064.0,1086.45,12015
2024-07-11,1086.45,1098.5,1069.85,1091.75,12159
2024-07-12,1105.0,1155.0,1091.95,1147.8,79535
2024-07-15,1151.0,1159.9,1125.8,1136.4,30560
2024-07-16,1136.0,1159.95,1131.25,1145.8,57537
2024-07-18,1135.0,1156.0,1129.7,1150.3,31959
2024-07-19,1150.95,1150.95,1106.7,1111.3,14837
2024-07-22,1094.65,1125.25,1094.65,1115.35,11210
2024-07-23,1102.05,1168.15,1102.05,1150.2,55774
2024-07-24,1140.05,1165.0,1125.2,1152.05,54941
2024-07-25,1140.0,1215.0,1128.75,1206.05,97437
2024-07-26,1206.0,1207.2,1175.55,1201.7,117390
2024-07-29,1209.95,1220.0,1181.0,1191.85,32220
2024-07-30,1179.95,1205.85,1179.95,1188.2,15900
2024-07-31,1200.0,1200.0,1181.0,1195.85,15212
2024-08-01,1182.0,1265.0,1182.0,1260.4,194218
2024-08-02,1235.45,1259.9,1147.0,1245.0,67926
2024-08-05,1203.05,1234.55,1190.05,1214.8,52586
2024-08-06,1202.0,1250.8,1202.0,1218.1,27129
2024-08-07,1222.0,1265.0,1199.35,1259.95,59765
2024-08-08,1238.0,1252.95,1205.6,1222.05,63971
2024-08-09,1250.0,1250.0,1215.1,1230.7,104376
2024-08-12,1231.0,1257.7,1200.05,1235.85,41089
2024-08-13,1242.0,1245.3,1205.0,1234.55,17121
2024-08-14,1235.25,1242.5,1210.5,1224.65,46357
2024-08-16,1255.0,1257.7,1220.0,1238.85,38867
2024-08-19,1259.0,1320.9,1258.95,1300.35,177221
2024-08-20,1300.35,1306.3,1279.95,1298.4,48634
2024-08-21,1325.95,1325.95,1292.6,1305.05,164639
2024-08-22,1305.05,1311.05,1268.85,1280.9,23687
2024-08-23,1278.05,1306.95,1272.05,1288.85,24124
2024-08-26,1290.0,1324.9,1288.0,1305.65,41613
2024-08-27,1301.0,1317.05,1292.6,1301.2,25588
2024-08-28,1314.2,1344.1,1296.0,1312.65,33711
2024-08-29,1307.25,1355.0,1300.05,1350.9,87419
2024-08-30,1351.05,1375.9,1340.0,1368.05,51160
2024-09-02,1368.95,1378.0,1324.0,1349.25,35359
2024-09-03,1351.9,1385.0,1338.5,1380.25,35393
2024-09-04,1376.95,1415.5,1358.95,1402.3,125752
2024-09-05,1390.0,1431.9,1390.0,1418.9,232590
2024-09-06,1404.7,1421.8,1389.8,1400.5,122736
2024-09-09,1400.5,1420.0,1382.5,1387.6,19083
2024-09-10,1378.05,1408.9,1378.05,1400.3,100427
2024-09-11,1400.3,1510.9,1395.55,1503.95,171368
2024-09-12,1495.0,1505.0,1448.75,1460.15,44639
2024-09-13,1474.45,1474.45,1425.0,1432.15,18862
2024-09-16,1412.15,1432.15,1378.05,1415.05,52295
2024-09-17,1410.35,1422.7,1385.0,1393.2,17081
2024-09-18,1450.0,1450.0,1340.05,1349.85,37245
2024-09-19,1381.0,1381.0,1329.75,1364.25,32605
2024-09-20,1364.0,1383.6,1332.9,1366.6,20526
2024-09-23,1351.25,1449.95,1351.25,1433.55,38710
2024-09-24,1433.55,1433.55,1336.0,1347.15,60671
2024-09-25,1365.55,1365.55,1305.0,1314.1,196987
2024-09-26,1329.45,1333.0,1284.0,1314.25,62750
2024-09-27,1325.0,1450.0,1325.0,1435.3,168842
2024-09-30,1434.0,1434.9,1351.2,1365.7,62001
2024-10-01,1370.0,1399.0,1342.05,1376.05,130804
2024-10-03,1355.2,1409.4,1348.0,1382.45,58931
2024-10-04,1368.65,1381.85,1323.95,1336.6,25488
2024-10-07,1327.3,1338.85,1289.15,1304.4,52957
2024-10-08,1294.2,1332.1,1282.75,1320.2,42462
2024-10-09,1320.2,1361.65,1320.2,1340.95,37306
2024-10-10,1331.0,1342.95,1308.1,1318.8,49284
2024-10-11,1320.65,1324.45,1283.85,1303.85,98412
2024-10-14,1316.9,1316.9,1288.1,1297.65,54683
2024-10-15,1308.2,1340.55,1275.0,1310.3,45673
2024-10-16,1319.85,1389.6,1300.0,1381.7,59491
2024-10-17,1392.0,1410.0,1356.05,1376.55,103747
2024-10-18,1379.2,1434.95,1351.7,1387.3,19245
2024-10-21,1408.05,1408.05,1358.45,1381.45,22527
2024-10-22,1375.5,1393.05,1338.95,1367.45,51462
2024-10-23,1348.75,1409.0,1344.9,1400.0,32685
2024-10-24,1396.7,1401.0,1355.4,1367.6,132408
2024-10-25,1367.0,1374.95,1326.6,1354.35,59051
2024-10-28,1341.6,1417.6,1328.3,1365.7,10864
2024-10-29,1370.0,1392.05,1346.05,1355.4,39218
2024-10-30,1346.7,1380.95,1344.35,1350.4,18550
2024-10-31,1350.4,1389.75,1337.1,1377.55,14217
2024-11-01,1377.6,1450.0,1377.6,1428.9,14992
2024-11-04,1443.2,1479.95,1391.85,1404.7,271109
2024-11-05,1430.0,1430.0,1370.1,1381.9,121339
2024-11-06,1386.9,1465.35,1386.9,1453.6,73229
2024-11-07,1460.0,1584.25,1453.65,1534.8,250270
2024-11-08,1539.75,1559.05,1455.05,1503.55,78781
2024-11-11,1505.8,1508.0,1469.75,1478.1,23052
2024-11-12,1486.75,1495.35,1438.45,1451.95,37405
2024-11-13,1473.75,1484.7,1342.0,1370.85,108717
2024-11-14,1370.85,1414.75,1354.15,1381.45,68519
2024-11-18,1360.75,1398.95,1311.0,1356.0,147748
2024-11-19,1356.0,1356.9,1325.1,1337.95,65975
2024-11-21,1358.0,1358.0,1285.1,1304.65,209319
2024-11-22,1303.4,1333.6,1283.1,1302.85,35584
2024-11-25,1339.0,1399.0,1268.0,1320.8,437563
2024-11-26,1291.0,1334.7,1290.15,1312.7,52396
2024-11-27,1311.15,1339.95,1310.0,1327.5,45101
2024-11-28,1333.0,1370.0,1326.2,1345.85,24917
2024-11-29,1349.9,1375.0,1319.7,1352.8,31613
2024-12-02,1350.0,1365.0,1334.2,1354.25,32438
2024-12-03,1362.8,1379.85,1355.15,1366.95,26956
2024-12-04,1368.95,1444.35,1355.1,1406.3,115557
2024-12-05,1410.95,1432.8,1401.0,1425.35,40534
2024-12-06,1425.35,1475.0,1425.35,1457.3,56025
2024-12-09,1470.0,1492.6,1455.55,1472.3,64128
2024-12-10,1455.5,1483.9,1446.0,1461.05,61595
2024-12-11,1474.9,1480.5,1456.0,1466.7,66547
2024-12-12,1445.0,1470.0,1429.45,1461.35,27252
2024-12-13,1446.0,1475.0,1443.0,1463.7,21888
