,open,high,low,close,volume
2016-12-19,18.8,18.8,18.8,18.8,2000
2016-12-20,18.32,18.78,18.11,18.7,3220
2016-12-21,18.99,18.99,17.25,17.6,33430
2016-12-22,17.7,17.7,17.13,17.23,6140
2016-12-23,16.91,17.88,16.91,17.5,7970
2016-12-26,17.5,17.5,17.5,17.5,300
2016-12-27,17.1,18.3,16.22,17.13,2360
2016-12-28,17.13,17.92,16.56,17.09,7680
2016-12-29,16.21,17.73,16.21,17.19,1280
2016-12-30,18.58,19.01,17.31,17.4,8200
2017-01-02,17.4,18.08,17.4,17.89,2040
2017-01-03,17.88,17.88,16.91,17.27,4280
2017-01-04,16.66,18.25,16.66,17.1,15100
2017-01-05,17.64,17.64,17.4,17.61,2250
2017-01-06,16.93,18.15,16.91,18.03,8070
2017-01-09,18.47,18.5,18.43,18.44,1790
2017-01-10,18.5,18.5,17.83,18.17,1210
2017-01-11,18.4,18.5,17.81,17.86,2200
2017-01-12,18.45,18.45,17.71,18.0,4770
2017-01-13,17.73,18.35,17.73,17.82,11510
2017-01-16,17.8,19.6,17.7,18.34,7840
2017-01-17,19.1,19.1,17.73,18.27,4970
2017-01-19,17.9,18.78,17.86,18.39,6420
2017-01-20,18.78,19.28,18.4,18.65,3550
2017-01-23,19.2,19.79,18.21,19.37,15120
2017-01-24,18.9,19.78,18.9,19.35,20470
2017-01-25,19.78,20.5,19.78,19.92,31950
2017-01-27,19.87,20.46,19.51,19.73,3240
2017-01-30,19.8,20.9,19.8,19.89,7070
2017-01-31,20.5,20.5,19.51,19.93,2630
2017-02-01,19.8,20.49,19.8,20.39,6210
2017-02-02,21.0,21.0,19.71,20.0,5190
2017-02-03,20.1,20.65,19.6,20.0,11870
2017-02-06,20.5,20.83,20.03,20.7,30880
2017-02-07,21.0,21.3,20.6,21.0,11040
2017-02-08,21.05,21.29,20.63,20.66,9300
2017-02-09,20.53,20.7,20.5,20.7,360
2017-02-10,20.7,20.7,20.44,20.44,330
2017-02-13,20.0,20.2,19.41,19.73,14320
2017-02-14,19.9,19.9,18.23,18.59,27890
2017-02-15,18.8,18.81,17.1,17.31,23520
2017-02-16,17.3,18.39,17.3,18.12,8130
2017-02-17,18.01,18.48,18.01,18.41,3590
2017-02-20,18.0,19.3,17.81,18.36,5280
2017-02-21,19.28,22.03,18.5,22.03,536320
2017-02-22,23.5,26.43,23.22,26.43,2209120
2017-02-23,26.88,27.5,25.45,27.15,1458450
2017-02-27,26.5,29.86,26.5,29.86,941820
