,open,high,low,close,volume
2016-12-19,782.0,782.0,769.3,772.75,1055
2016-12-20,777.0,779.75,757.0,761.5,1691
2016-12-21,770.65,773.0,756.7,760.8,1499
2016-12-22,757.0,757.0,732.0,737.4,2798
2016-12-23,740.0,757.0,735.0,752.1,812
2016-12-26,747.0,755.55,708.8,721.85,2262
2016-12-27,721.0,748.95,714.65,738.5,655
2016-12-28,731.0,751.05,731.0,740.15,1508
2016-12-29,738.2,764.9,738.05,762.65,1519
2016-12-30,762.6,763.9,742.55,750.35,1990
2017-01-02,764.0,780.0,749.55,768.4,1775
2017-01-03,775.45,793.1,752.45,787.4,2842
2017-01-04,797.4,850.0,797.05,817.85,13365
2017-01-05,838.9,850.0,815.25,828.6,8961
2017-01-06,837.9,843.0,815.0,822.15,2908
2017-01-09,825.95,898.0,825.0,885.8,16154
2017-01-10,885.8,905.0,875.0,890.95,12230
2017-01-11,890.95,914.95,890.8,907.95,11152
2017-01-12,905.9,1089.5,905.3,1069.1,298587
2017-01-13,1063.0,1063.0,1000.0,1045.9,103307
2017-01-16,1045.9,1088.25,1030.35,1044.25,28822
2017-01-17,1044.25,1057.7,1019.0,1020.65,12374
2017-01-18,1025.0,1058.9,1006.0,1043.9,10385
2017-01-19,1054.7,1059.0,1022.0,1027.75,6662
2017-01-20,1022.05,1043.0,1019.0,1020.2,5536
2017-01-23,1040.0,1040.0,1019.5,1020.2,2642
2017-01-24,1021.95,1138.25,1020.05,1102.1,56441
2017-01-25,1104.0,1112.95,1065.2,1071.15,16406
2017-01-27,1078.0,1179.95,1065.05,1110.45,78390
2017-01-30,1107.95,1118.0,1064.4,1074.05,7824
2017-01-31,1074.8,1090.0,1050.0,1050.05,7020
2017-02-01,1050.1,1090.0,1041.25,1077.3,7386
2017-02-02,1077.3,1115.3,1066.0,1102.35,7148
2017-02-03,1106.0,1164.9,1095.2,1128.35,15654
2017-02-06,1130.0,1225.0,1125.0,1201.55,44056
2017-02-07,1208.0,1225.0,1160.2,1170.35,15184
2017-02-08,1178.0,1188.8,1133.75,1143.55,9759
2017-02-09,1158.0,1164.95,1125.0,1134.35,3876
2017-02-10,1127.05,1141.5,1100.1,1110.35,6485
2017-02-13,1135.0,1189.9,1110.1,1148.95,31944
2017-02-14,1150.05,1161.7,1110.0,1120.05,7007
2017-02-15,1135.0,1135.0,1075.25,1077.7,5545
2017-02-16,1095.0,1137.95,1065.65,1125.6,10114
2017-02-17,1107.55,1155.0,1107.55,1145.05,12329
2017-02-20,1139.95,1190.05,1139.95,1181.95,11750
2017-02-21,1185.0,1265.0,1175.0,1251.15,38097
2017-02-22,1259.95,1265.7,1188.0,1202.9,15442
2017-02-23,1220.0,1249.0,1192.35,1234.35,13860
2017-02-27,1240.0,1391.0,1239.95,1354.4,148750
2017-02-28,1341.0,1423.0,1341.0,1363.85,54660
2017-03-01,1376.8,1379.0,1331.0,1350.85,10716
2017-03-02,1357.85,1394.7,1346.4,1351.5,12831
2017-03-03,1363.0,1370.0,1316.0,1327.5,7590
2017-03-06,1334.95,1355.0,1312.0,1325.8,4762
2017-03-07,1326.85,1334.65,1294.55,1304.9,7223
2017-03-08,1319.9,1368.0,1297.0,1325.85,11889
2017-03-09,1320.05,1335.95,1276.0,1291.2,6007
2017-03-10,1300.0,1324.0,1290.0,1305.45,4973
2017-03-14,1317.95,1344.0,1308.0,1316.9,2215
2017-03-15,1308.05,1340.95,1295.2,1297.2,7082
2017-03-16,1300.5,1330.0,1300.5,1314.95,8787
2017-03-17,1322.05,1373.95,1311.2,1360.4,38738
2017-03-20,1371.9,1379.95,1343.1,1363.6,6509
2017-03-21,1368.55,1372.45,1338.85,1359.65,5508
2017-03-22,1340.0,1404.0,1338.2,1363.95,8360
2017-03-23,1387.75,1400.0,1360.0,1370.35,4163
2017-03-24,1393.0,1393.0,1360.0,1361.5,1811
2017-03-27,1353.85,1366.0,1350.05,1361.5,3266
2017-03-28,1350.1,1374.0,1350.0,1357.15,3984
