,open,high,low,close,volume
2024-01-23,460.0,518.0,445.0,464.1,16154100
2024-01-24,469.95,479.85,452.05,454.9,2599376
2024-01-25,455.9,466.8,430.55,464.3,1854715
2024-01-29,467.0,473.95,447.05,451.3,939452
2024-01-30,451.25,451.25,436.1,450.1,1036781
2024-01-31,450.9,462.7,444.5,458.75,960173
2024-02-01,459.9,481.0,450.5,475.25,1145404
2024-02-02,481.2,489.95,475.0,486.0,905769
2024-02-05,492.65,533.0,490.0,525.25,1808132
2024-02-06,545.0,559.75,516.5,524.1,1007735
2024-02-07,525.0,542.3,515.25,528.0,504433
2024-02-08,528.0,551.7,528.0,547.65,614528
2024-02-09,553.45,553.55,516.4,523.25,675982
2024-02-12,526.9,526.9,472.0,497.85,397824
2024-02-13,489.95,539.7,488.45,515.1,759109
2024-02-14,501.8,505.0,476.0,488.2,481066
2024-02-15,494.55,512.0,472.5,508.2,434641
2024-02-16,503.0,513.55,474.45,493.55,760855
2024-02-19,494.0,494.3,472.0,474.65,378025
2024-02-20,476.0,492.45,458.75,489.5,551661
2024-02-21,492.0,517.85,485.75,512.5,852098
2024-02-22,510.6,520.0,498.4,511.05,232300
2024-02-23,514.95,517.65,502.55,513.75,215022
2024-02-26,502.1,538.0,502.1,513.1,786285
2024-02-27,513.1,523.65,493.6,515.9,343575
2024-02-28,527.95,544.45,503.45,513.85,908672
2024-02-29,510.55,520.9,496.4,513.2,404284
2024-03-01,519.0,519.0,507.1,509.85,346099
2024-03-02,517.0,517.4,501.1,510.95,15015
2024-03-04,515.95,515.95,499.0,509.0,137444
2024-03-05,503.9,508.6,491.3,505.3,312015
2024-03-06,505.0,505.0,488.0,501.45,159872
2024-03-07,500.1,508.75,494.5,499.85,194706
2024-03-11,499.85,502.45,477.1,491.6,155558
2024-03-12,490.0,490.9,472.55,475.85,197601
2024-03-13,477.75,482.2,445.5,454.3,490707
2024-03-14,448.0,460.0,445.55,449.45,163160
2024-03-15,449.45,460.0,445.05,456.8,113732
2024-03-18,458.65,467.4,443.9,458.95,320312
2024-03-19,465.85,474.25,447.25,455.85,189817
2024-03-20,452.55,461.45,447.8,451.2,124561
2024-03-21,457.9,467.0,454.35,464.8,311055
2024-03-22,458.0,484.05,458.0,480.05,168586
2024-03-26,480.0,489.95,470.3,486.3,131726
2024-03-27,486.0,507.55,486.0,497.9,167058
2024-03-28,495.1,510.0,491.25,505.65,128045
2024-04-01,504.0,512.0,498.0,509.05,196231
2024-04-02,503.95,513.55,492.2,494.6,140723
2024-04-03,493.5,505.95,485.7,496.15,641297
2024-04-04,493.7,525.0,493.6,521.3,437666
2024-04-05,522.05,564.0,522.05,556.55,740471
2024-04-08,553.95,553.95,525.0,531.55,203745
2024-04-09,536.7,538.7,516.1,527.9,158978
2024-04-10,535.0,548.95,520.05,526.9,145111
2024-04-12,519.15,544.8,505.5,509.85,215214
2024-04-15,500.0,508.45,483.35,499.65,175453
2024-04-16,494.1,509.1,494.05,498.65,104188
2024-04-18,496.9,510.0,490.0,492.3,146577
2024-04-19,483.25,495.0,480.25,483.5,334314
2024-04-22,488.9,492.0,479.15,484.6,123802
2024-04-23,491.85,495.45,481.0,483.6,137971
2024-04-24,495.4,506.5,480.6,502.2,220989
2024-04-25,507.15,509.0,495.55,504.2,125915
2024-04-26,508.75,510.0,485.75,508.65,230704
2024-04-29,504.0,538.7,502.15,520.1,239037
2024-04-30,520.05,522.25,507.0,509.8,127710
2024-05-02,509.85,514.85,501.15,506.8,189038
2024-05-03,503.1,519.85,503.1,512.05,104110
2024-05-06,512.05,519.0,497.45,507.4,91808
2024-05-07,512.4,512.4,497.6,506.65,81253
2024-05-08,509.95,510.45,494.0,494.7,135734
2024-05-09,502.1,503.4,485.55,487.8,71929
2024-05-10,490.75,492.65,481.35,484.95,65702
2024-05-13,484.9,487.0,478.5,484.4,38614
2024-05-14,482.1,498.0,482.1,493.05,44978
2024-05-15,493.05,499.1,489.0,492.05,248810
2024-05-16,519.95,520.0,484.05,487.0,334252
2024-05-17,487.75,497.2,486.0,489.3,346672
2024-05-18,489.45,495.0,488.0,489.65,13038
2024-05-21,530.0,543.35,511.5,513.3,955636
2024-05-22,520.0,520.0,502.0,506.95,180889
2024-05-23,502.55,507.95,492.9,496.1,170655
2024-05-24,497.0,508.25,495.0,498.25,311581
2024-05-27,500.0,504.05,491.0,493.75,92107
2024-05-28,502.0,502.0,485.9,489.1,173605
2024-05-29,489.35,496.0,482.5,492.85,87771
2024-05-30,487.9,502.3,487.9,491.8,104270
2024-05-31,485.5,497.75,483.0,491.45,80644
2024-06-03,512.5,512.5,469.8,473.9,256001
2024-06-04,480.0,480.0,437.9,450.65,230168
2024-06-05,455.0,487.0,448.0,485.4,329221
2024-06-06,510.0,518.95,500.0,512.85,451977
2024-06-07,517.95,520.0,508.05,510.9,132195
2024-06-10,512.8,543.5,512.8,538.1,365446
2024-06-11,543.95,571.0,537.05,540.4,688665
2024-06-12,549.0,583.9,544.6,564.55,825593
2024-06-13,575.0,586.95,548.15,554.55,408041
2024-06-14,554.45,574.55,547.05,561.15,248218
2024-06-18,579.95,592.9,572.25,574.05,479933
2024-06-19,576.0,596.05,576.0,590.05,344421
2024-06-20,594.0,598.6,581.15,585.75,133122
2024-06-21,586.7,605.0,578.75,583.05,296482
2024-06-24,587.4,593.95,579.35,584.75,147524
2024-06-25,593.0,601.4,586.1,588.7,283884
2024-06-26,590.0,593.9,565.45,571.05,229356
2024-06-27,574.6,582.95,553.95,555.6,158045
2024-06-28,558.8,566.2,526.0,549.25,697280
2024-07-01,555.0,575.0,544.05,558.6,148610
2024-07-02,561.0,575.0,555.4,564.25,115552
2024-07-03,560.15,569.45,548.2,553.45,132354
2024-07-04,555.8,555.8,536.05,540.0,99551
2024-07-05,540.1,551.3,534.85,541.05,180007
2024-07-08,541.05,550.5,530.0,533.75,103268
2024-07-09,544.0,544.0,525.0,529.1,251657
2024-07-10,529.1,553.7,511.15,524.8,360614
2024-07-11,524.3,576.95,515.0,564.45,353499
2024-07-12,566.9,566.9,548.0,552.95,140050
2024-07-15,550.0,551.1,522.55,545.4,206717
2024-07-16,549.75,557.0,538.95,541.7,94782
2024-07-18,544.45,558.4,539.1,546.7,122826
2024-07-19,547.4,563.45,532.0,558.0,189006
2024-07-22,555.0,568.95,541.55,555.95,128863
2024-07-23,564.25,564.25,534.0,543.25,97376
2024-07-24,550.0,575.0,542.2,572.5,117597
2024-07-25,558.0,570.75,557.1,564.75,70092
2024-07-26,564.75,584.25,557.65,580.55,115686
2024-07-29,580.0,583.2,566.0,576.55,89220
2024-07-30,584.9,593.0,566.55,585.5,147465
2024-07-31,585.05,604.95,580.5,599.1,387636
2024-08-01,605.45,621.0,571.15,602.25,464666
2024-08-02,595.0,597.85,579.55,582.65,127741
2024-08-05,570.0,575.0,542.0,547.0,278487
2024-08-06,548.15,559.95,517.0,522.85,181057
2024-08-07,530.7,548.95,530.1,533.3,196131
2024-08-08,530.0,547.75,530.0,539.75,355102
2024-08-09,540.0,545.15,525.25,529.4,127181
2024-08-12,524.85,543.2,524.85,537.7,91907
2024-08-13,552.0,552.0,539.65,542.85,100522
2024-08-14,539.6,543.95,524.55,533.65,151171
2024-08-16,540.0,575.0,538.7,559.85,248496
2024-08-19,559.8,570.0,541.1,562.15,122094
2024-08-20,563.0,566.05,538.25,540.65,118569
2024-08-21,545.0,551.75,540.0,548.45,70915
2024-08-22,554.9,578.0,551.05,566.0,195383
2024-08-23,572.0,576.0,561.55,570.0,101583
2024-08-26,580.0,583.5,553.25,561.75,137895
2024-08-27,620.0,639.0,596.0,606.9,3324290
2024-08-28,604.75,605.4,590.4,594.25,430900
2024-08-29,595.0,596.35,581.1,585.55,161349
2024-08-30,585.55,595.0,582.6,590.05,169790
2024-09-02,610.95,629.5,602.55,617.85,445236
2024-09-03,640.0,647.8,601.0,611.6,1984394
2024-09-04,613.9,698.5,612.6,678.8,3009412
2024-09-05,680.0,680.0,655.05,659.5,631579
2024-09-06,654.5,667.55,641.55,644.95,428598
2024-09-09,644.95,666.0,642.75,648.05,625824
2024-09-10,647.85,659.9,643.0,645.95,258455
2024-09-11,652.05,676.55,652.0,666.55,619618
2024-09-12,676.55,677.35,665.0,667.7,291397
2024-09-13,674.5,690.75,634.95,655.7,4727988
2024-09-16,660.0,716.15,660.0,692.9,967735
2024-09-17,692.0,692.0,673.45,676.55,306042
2024-09-18,676.6,684.3,656.95,662.9,318777
2024-09-19,664.55,675.95,641.55,669.05,290821
2024-09-20,672.5,694.0,665.9,683.3,364475
2024-09-23,693.85,693.85,675.0,677.8,209823
2024-09-24,684.0,684.0,652.3,656.45,311113
2024-09-25,658.0,662.0,648.6,655.65,150211
2024-09-26,659.4,659.4,622.3,636.55,296168
2024-09-27,642.3,645.2,618.55,640.9,302901
2024-09-30,646.0,664.95,640.85,659.75,233955
2024-10-01,660.0,678.0,659.2,662.95,175703
2024-10-03,625.0,652.0,625.0,645.65,639449
2024-10-04,645.0,649.6,627.75,637.6,226851
2024-10-07,632.0,646.15,617.0,621.9,194971
2024-10-08,621.9,646.95,619.0,644.45,204117
2024-10-09,642.05,672.7,640.8,667.15,222844
2024-10-10,662.65,676.95,655.4,660.15,113271
2024-10-11,660.2,673.85,660.15,668.25,113852
2024-10-14,668.25,689.25,660.25,684.5,191644
2024-10-15,685.2,687.85,661.0,666.45,169540
2024-10-16,664.0,666.35,648.4,654.75,138012
2024-10-17,664.55,664.55,641.0,644.95,110050
2024-10-18,644.0,646.15,626.05,640.65,85932
2024-10-21,641.7,647.45,624.0,627.55,207672
2024-10-22,633.8,637.1,601.6,607.4,276158
2024-10-23,617.65,631.0,605.05,610.2,169575
2024-10-24,612.25,630.0,609.0,624.35,167731
2024-10-25,630.0,630.0,591.05,599.5,240788
2024-10-28,602.5,655.0,577.15,638.1,425300
2024-10-29,635.05,647.5,614.55,642.8,178380
2024-10-30,637.05,643.55,622.35,624.45,448670
2024-10-31,624.4,629.3,601.25,617.45,344199
2024-11-01,618.9,628.0,618.85,624.2,38837
2024-11-04,629.8,634.85,616.25,626.25,106374
2024-11-05,630.0,633.8,616.0,619.65,71384
2024-11-06,627.0,627.0,620.0,622.6,107843
2024-11-07,622.0,630.45,615.05,617.3,106906
2024-11-08,617.3,626.4,610.25,619.25,98437
2024-11-11,619.0,622.0,607.25,615.4,70533
2024-11-12,621.0,624.7,593.45,602.6,237756
2024-11-13,605.0,608.95,589.0,592.75,78966
2024-11-14,592.75,626.0,579.15,589.6,269497
2024-11-18,594.8,594.8,554.15,559.8,563367
2024-11-19,559.95,571.6,556.0,560.55,174314
2024-11-21,560.0,569.2,548.25,561.55,132355
2024-11-22,558.0,564.9,556.0,560.8,116368
2024-11-25,580.0,583.75,567.65,570.75,130012
2024-11-26,600.0,600.0,578.8,585.45,120139
2024-11-27,594.25,594.95,562.3,568.65,449926
2024-11-28,574.0,593.05,569.7,589.2,194039
2024-11-29,590.5,605.3,578.2,595.95,159997
2024-12-02,599.95,599.95,583.1,586.55,114512
2024-12-03,586.55,613.4,580.0,585.85,1055051
2024-12-04,584.8,598.0,579.5,591.4,161688
2024-12-05,592.05,597.6,586.65,589.75,103867
2024-12-06,598.4,604.7,590.0,601.65,134787
2024-12-09,610.0,619.9,603.15,615.95,152987
2024-12-10,609.05,634.5,608.15,615.2,219420
2024-12-11,617.95,624.2,605.0,613.75,157061
2024-12-12,617.0,620.05,606.85,609.35,95635
2024-12-13,614.9,632.0,603.0,620.8,199837
2024-12-16,625.0,625.0,613.0,617.95,170272
