,open,high,low,close,volume
2016-12-19,69.05,74.0,68.35,72.95,173432
2016-12-20,73.3,73.4,69.05,69.7,45551
2016-12-21,69.85,73.2,69.1,69.85,31774
2016-12-22,69.85,70.4,66.9,67.05,23698
2016-12-23,66.8,67.9,65.7,66.15,18698
2016-12-26,68.4,68.4,63.25,64.05,19508
2016-12-27,64.8,65.5,63.35,64.7,7245
2016-12-28,64.15,69.9,64.1,68.8,50090
2016-12-29,67.7,73.6,67.65,71.0,50575
2016-12-30,73.2,78.8,72.8,74.8,336261
2017-01-02,75.7,75.9,72.9,74.8,42112
2017-01-03,74.1,77.9,73.6,75.45,78009
2017-01-04,76.05,84.6,76.05,79.85,226656
2017-01-05,80.65,81.6,77.45,78.2,49720
2017-01-06,78.5,78.5,73.35,74.8,74834
2017-01-09,74.7,77.65,74.65,77.45,32741
2017-01-10,78.05,78.05,74.85,75.7,16486
2017-01-11,75.5,77.25,74.5,75.4,28931
2017-01-12,77.2,77.2,74.5,75.1,8360
2017-01-13,74.95,76.55,73.6,74.1,15122
2017-01-16,72.8,74.4,72.05,73.05,13302
2017-01-17,72.8,78.8,72.25,74.5,68082
2017-01-18,76.55,76.8,74.1,74.55,28595
2017-01-19,73.6,78.65,73.05,75.9,60496
2017-01-20,76.55,76.65,73.7,73.85,14908
2017-01-23,73.8,73.9,72.6,72.9,17759
2017-01-24,74.15,75.5,72.9,74.85,15094
2017-01-25,74.55,76.0,73.7,74.7,11025
2017-01-27,76.8,81.9,75.6,78.7,375200
2017-01-30,77.75,83.2,76.4,77.85,285841
2017-01-31,78.45,78.5,74.55,75.25,54526
2017-02-01,76.0,76.0,74.05,75.1,25902
2017-02-02,74.85,75.8,74.8,75.05,18146
2017-02-03,75.2,77.6,74.4,75.15,34215
2017-02-06,74.95,76.8,72.95,74.45,52338
2017-02-07,74.0,75.25,73.6,74.05,16388
2017-02-08,73.65,75.1,73.65,74.3,14611
2017-02-09,75.05,76.0,72.9,73.7,15842
2017-02-10,74.4,77.6,73.2,74.05,23891
2017-02-13,72.8,72.8,65.55,67.7,84560
2017-02-14,68.35,69.2,67.6,67.9,15156
2017-02-15,68.4,68.75,65.6,66.0,22431
2017-02-16,66.4,67.45,65.85,66.95,14391
2017-02-17,69.55,69.55,66.0,66.4,12944
2017-02-20,66.6,67.2,65.2,65.55,22196
2017-02-21,65.6,68.65,65.15,66.8,39386
2017-02-22,68.45,68.45,65.0,65.65,21654
2017-02-23,66.8,67.2,64.8,65.1,9006
2017-02-27,65.6,68.35,65.15,67.55,45000
2017-02-28,68.35,70.4,66.5,69.45,30011
2017-03-01,70.35,71.8,68.5,68.7,45955
2017-03-02,68.0,71.2,66.9,67.7,18732
2017-03-03,66.9,67.2,65.7,66.05,5904
2017-03-06,67.15,67.25,66.4,66.45,6956
2017-03-07,67.7,67.7,65.45,65.7,12659
2017-03-08,67.95,67.95,65.2,65.4,6329
2017-03-09,65.6,65.6,64.9,65.2,10231
2017-03-10,65.6,66.25,64.9,65.7,10048
2017-03-14,66.75,66.75,64.8,65.5,12861
2017-03-15,66.35,66.4,64.1,64.9,18084
2017-03-16,64.9,66.3,64.1,64.65,25668
2017-03-17,64.85,65.3,64.35,64.8,10101
2017-03-20,64.8,65.5,64.15,64.5,13036
2017-03-21,65.1,65.1,64.3,64.3,7410
2017-03-22,64.15,64.7,63.05,64.05,19246
2017-03-23,64.1,65.2,64.1,64.6,4859
2017-03-24,64.15,64.8,63.35,63.95,16124
2017-03-27,64.05,64.35,61.95,62.35,84809
2017-03-28,62.9,64.45,62.6,63.25,35600
2017-03-29,63.25,63.7,62.25,62.5,22762
2017-03-30,63.9,63.9,62.05,63.65,7691
2017-03-31,63.9,64.8,62.5,62.7,12826
2017-04-03,63.2,69.6,63.1,67.2,49555
2017-04-05,68.55,68.8,66.0,67.55,11464
2017-04-06,68.0,68.0,66.4,66.9,7819
2017-04-07,66.5,67.85,60.95,65.05,29410
2017-04-10,66.1,66.2,63.2,64.6,9849
2017-04-11,64.8,71.0,63.5,69.65,135632
2017-04-12,71.85,72.9,67.5,68.25,79676
2017-04-13,68.25,69.5,66.9,67.2,17409
2017-04-17,67.2,70.25,65.7,68.65,107859
2017-04-18,69.35,70.8,66.95,67.7,37468
2017-04-19,69.1,69.1,66.8,67.0,22845
2017-04-20,68.0,68.0,67.05,67.1,6489
2017-04-21,67.3,68.4,65.7,66.45,9912
2017-04-24,67.75,67.75,65.0,65.6,18712
2017-04-25,66.45,66.45,65.2,65.6,17652
2017-04-26,65.6,66.95,64.45,64.95,14156
2017-04-27,65.6,66.1,62.6,64.3,23489
2017-04-28,65.3,65.6,64.1,64.9,7946
2017-05-02,66.8,67.5,64.25,67.3,29485
2017-05-03,67.95,69.95,66.5,68.45,90619
2017-05-04,69.5,69.5,67.2,67.85,30120
2017-05-05,66.6,69.6,65.25,65.75,20384
2017-05-08,66.8,66.8,65.7,66.1,8496
2017-05-09,66.45,70.4,66.4,68.15,78656
2017-05-10,68.1,69.5,67.2,67.45,22032
2017-05-11,67.9,68.1,66.4,66.5,11320
2017-05-12,67.2,67.85,65.25,65.8,10400
2017-05-15,65.8,66.6,65.5,65.7,8965
2017-05-16,66.35,66.7,65.15,65.65,20140
2017-05-17,65.6,67.05,65.2,66.7,19534
2017-05-18,65.7,67.6,65.6,66.0,15372
2017-05-19,65.7,67.15,64.35,65.4,10781
2017-05-22,65.7,66.4,65.0,65.3,12459
2017-05-23,66.3,66.8,62.4,62.7,24248
2017-05-24,62.7,63.45,61.6,61.6,18365
2017-05-25,62.05,63.5,61.0,62.55,7089
2017-05-26,65.05,68.15,62.85,64.1,17625
2017-05-29,66.65,66.65,62.8,63.05,19359
2017-05-30,60.9,65.6,60.9,62.3,5951
2017-05-31,64.8,64.8,61.8,62.6,14005
