,open,high,low,close,volume
2016-12-16,182.0,184.3,179.6,182.67,8310600
2016-12-19,182.7,185.2,181.49,182.31,4227820
2016-12-20,182.6,183.2,178.48,179.05,3829135
2016-12-21,179.4,181.53,178.63,179.34,2669110
2016-12-22,179.58,179.58,174.4,175.32,1812620
2016-12-23,175.2,176.58,172.23,175.42,1947735
2016-12-26,175.34,179.6,173.44,177.85,4654220
2016-12-27,178.2,179.0,176.3,178.28,2843125
2016-12-28,178.94,181.28,176.76,177.5,3070655
2016-12-29,177.22,180.2,175.81,179.27,3826885
2016-12-30,178.75,184.53,178.11,183.65,4112110
2017-01-02,184.46,185.58,182.7,183.87,2550125
2017-01-03,183.84,190.4,182.25,189.28,5850455
2017-01-04,189.99,192.15,186.39,187.02,5133640
2017-01-05,188.76,189.36,185.36,186.23,3454185
2017-01-06,187.56,187.8,183.76,184.58,2459470
2017-01-09,184.76,186.7,183.8,184.42,2609425
2017-01-10,185.6,188.44,185.06,186.45,3106445
2017-01-11,186.76,188.1,185.84,187.3,1607105
2017-01-12,187.56,187.56,184.78,185.62,1909955
2017-01-13,186.02,186.76,184.32,185.19,1760045
2017-01-16,185.55,185.55,182.4,183.0,1699755
2017-01-17,183.4,184.6,182.6,183.78,1390625
2017-01-18,183.8,188.06,183.8,187.71,3984080
2017-01-19,188.4,189.6,185.47,185.88,2429350
2017-01-20,186.27,187.6,184.03,184.76,1146395
2017-01-23,185.0,187.6,183.82,184.64,2437705
2017-01-24,184.8,186.8,184.8,186.03,1182375
2017-01-25,187.34,187.4,185.31,186.7,3212485
2017-01-27,187.2,194.96,187.2,192.41,5545845
2017-01-30,192.99,194.38,191.42,192.13,1941435
2017-01-31,192.74,192.74,186.82,187.9,2256335
2017-02-01,188.74,194.2,186.48,192.2,3720135
2017-02-02,192.7,192.7,190.4,191.71,1667530
2017-02-03,191.71,196.4,190.52,193.47,3691600
2017-02-06,194.0,201.48,192.8,200.16,6853140
2017-02-07,200.2,205.96,200.2,204.1,8499690
2017-02-08,203.6,204.2,201.02,202.88,2972130
2017-02-09,205.0,211.98,204.9,205.54,10574080
2017-02-10,206.98,207.21,202.77,204.35,3087060
2017-02-13,205.76,205.82,201.15,202.61,2545985
2017-02-14,202.5,205.76,200.65,204.72,5458460
2017-02-15,205.0,214.29,204.81,210.12,12870440
2017-02-16,210.0,212.66,209.11,210.62,5818870
2017-02-17,210.99,212.86,205.47,207.58,5755040
2017-02-20,208.2,211.64,207.4,210.05,2411400
2017-02-21,211.0,211.9,209.1,209.56,1610810
2017-02-22,210.74,210.74,206.55,207.6,1277690
2017-02-23,206.0,209.18,206.0,207.02,2694985
2017-02-27,206.98,209.28,205.05,207.71,2689025
2017-02-28,208.2,211.99,207.68,208.63,4159690
2017-03-01,209.86,210.79,208.2,210.03,1663785
2017-03-02,211.2,211.6,206.4,206.78,2076410
2017-03-03,207.2,208.97,204.63,208.08,1912835
2017-03-06,208.3,210.8,206.68,209.93,1646120
2017-03-07,209.56,210.42,207.58,208.24,1102965
2017-03-08,207.1,209.05,205.87,206.63,1529895
2017-03-09,207.6,207.6,204.8,205.89,1112140
2017-03-10,206.94,206.96,203.12,204.44,2072045
2017-03-14,209.8,209.8,203.8,204.29,1513605
2017-03-15,204.18,205.65,203.57,204.01,2069660
2017-03-16,204.3,207.49,204.3,206.05,2022940
2017-03-17,204.8,211.59,204.8,208.8,4287475
2017-03-20,209.4,209.58,206.4,208.05,1290595
2017-03-21,208.4,209.96,204.93,205.76,2199140
2017-03-22,206.0,206.01,199.91,200.48,3150515
2017-03-23,200.6,201.86,197.2,200.05,3645425
2017-03-24,200.0,203.17,200.0,201.19,2492980
2017-03-27,200.49,204.0,198.75,203.42,2748970
2017-03-28,204.0,206.39,201.79,204.73,1966040
2017-03-29,204.98,205.76,202.31,204.06,861095
2017-03-30,204.7,205.0,200.14,200.61,4998710
2017-03-31,202.0,204.16,201.16,202.99,2475595
2017-04-03,201.02,203.6,199.44,202.93,1229775
2017-04-05,201.4,203.79,201.4,202.35,1408810
2017-04-06,202.35,202.35,198.22,198.7,1807095
2017-04-07,198.8,201.52,198.05,198.55,2009475
2017-04-10,199.0,202.0,199.0,200.53,920165
2017-04-11,200.6,206.65,200.53,205.93,2772060
2017-04-12,207.98,209.6,203.76,207.18,3639180
2017-04-13,207.6,208.78,205.5,206.43,1417500
2017-04-17,206.4,213.41,200.58,212.59,3155070
2017-04-18,214.4,214.82,208.25,209.54,3559925
2017-04-19,209.58,212.72,208.52,212.07,1577530
2017-04-20,213.5,216.81,211.2,213.65,2720690
2017-04-21,214.58,215.07,210.2,211.77,1684800
2017-04-24,212.2,213.82,211.0,211.56,1004020
2017-04-25,211.4,213.6,211.06,212.22,1703790
2017-04-26,212.3,216.88,208.8,212.8,3696500
2017-04-27,212.58,214.86,209.2,211.3,1977405
2017-04-28,213.39,215.8,210.6,211.54,1520265
2017-05-02,212.0,213.01,209.25,211.9,797225
2017-05-03,212.0,213.6,208.72,210.71,1368655
2017-05-04,211.01,211.2,208.8,210.11,529995
2017-05-05,209.8,209.8,203.33,205.72,1091400
2017-05-08,205.95,207.8,201.78,202.75,2103880
2017-05-09,202.75,204.44,200.42,202.26,1244625
2017-05-10,202.26,206.77,202.1,204.07,1305650
2017-05-11,204.2,205.38,201.6,202.38,1039030
2017-05-12,201.0,202.25,194.58,198.9,2795905
2017-05-15,199.02,201.6,199.02,200.05,1572985
2017-05-16,201.52,201.8,197.7,201.16,891245
2017-05-17,201.8,205.4,201.78,203.82,1686645
2017-05-18,203.82,203.82,199.82,200.51,842920
2017-05-19,201.0,202.17,198.6,200.03,748390
2017-05-22,200.4,201.51,195.86,197.44,1317670
2017-05-23,197.7,199.1,193.36,196.29,1752515
2017-05-24,196.29,197.78,194.24,196.53,1475775
2017-05-25,198.14,198.52,193.56,196.89,2375275
2017-05-26,197.2,206.59,197.03,205.21,2777760
2017-05-29,206.8,209.78,202.08,205.21,4331310
2017-05-30,205.44,212.98,204.58,211.96,1682685
2017-05-31,213.4,217.0,212.82,214.87,2388630
2017-06-01,214.74,214.74,210.4,212.78,939130
2017-06-02,212.6,219.29,212.6,217.67,2607945
2017-06-05,217.8,218.8,215.09,217.05,843115
2017-06-06,220.4,224.23,217.56,223.35,3020705
2017-06-07,224.38,225.39,219.96,221.24,1143700
2017-06-08,220.2,222.59,217.63,219.19,1181660
2017-06-09,218.79,221.26,216.06,219.74,972410
2017-06-12,218.0,219.46,213.81,214.71,1300300
2017-06-13,215.0,221.2,213.31,218.19,2336185
2017-06-14,217.4,217.99,214.2,214.72,1330755
2017-06-15,216.0,216.05,212.1,212.7,830915
2017-06-16,214.58,215.6,211.03,212.09,1031480
2017-06-19,212.9,215.21,211.12,213.94,1805940
2017-06-20,214.0,221.28,214.0,217.27,2836205
2017-06-21,218.94,220.6,217.4,218.74,1456415
2017-06-22,219.57,220.8,213.31,215.44,1084915
2017-06-23,215.98,215.98,210.0,213.6,1106595
2017-06-27,212.5,213.9,209.12,210.44,866070
2017-06-28,208.22,210.29,206.04,207.23,866275
2017-06-29,208.8,212.4,208.11,210.55,1828280
2017-06-30,209.9,212.7,207.56,211.33,1101775
2017-07-03,211.39,212.99,209.41,210.47,1274330
2017-07-04,211.93,213.42,210.01,212.4,1139110
2017-07-05,213.15,215.8,212.1,214.4,1119660
2017-07-06,214.8,216.27,212.69,214.68,1821405
2017-07-07,213.6,215.86,213.6,214.47,868100
2017-07-10,214.4,216.2,214.0,214.46,103670
2017-07-11,215.59,225.59,213.01,223.55,5267175
2017-07-12,226.0,227.0,222.46,224.24,3437010
2017-07-13,224.8,227.05,223.4,225.02,1496260
2017-07-14,225.38,228.24,222.82,224.37,1294695
2017-07-17,231.57,232.69,227.18,229.06,3706375
2017-07-18,229.49,229.74,224.43,225.72,615205
2017-07-19,226.0,230.49,225.72,226.82,1770985
2017-07-20,228.2,228.72,224.0,224.96,606940
2017-07-21,225.6,230.18,223.0,229.24,2409995
2017-07-24,228.8,229.0,225.66,227.18,402340
2017-07-25,227.79,228.05,224.46,224.88,631640
2017-07-26,227.6,228.25,225.2,226.36,993140
2017-07-27,228.8,238.0,228.4,235.4,5901105
2017-07-28,235.4,245.72,234.0,238.13,5269700
2017-07-31,238.0,240.57,233.49,235.82,2266885
2017-08-01,237.0,240.0,234.06,237.99,1655250
2017-08-02,238.38,240.9,234.06,235.38,2013775
2017-08-03,235.98,240.3,234.82,236.89,1570495
2017-08-04,236.4,238.0,234.9,236.05,834685
2017-08-07,237.2,242.86,237.0,239.28,2022565
2017-08-08,240.03,246.5,234.17,245.02,2322530
2017-08-09,245.0,256.5,244.39,246.2,4473645
2017-08-10,245.6,249.5,240.2,242.84,1906045
2017-08-11,240.0,246.25,232.3,243.1,3819280
2017-08-14,247.88,261.13,244.0,259.13,6599400
2017-08-16,262.0,263.77,253.5,254.87,2740045
2017-08-17,255.19,259.59,254.28,254.87,1578320
2017-08-18,254.87,257.79,252.2,255.5,1594460
2017-08-21,256.01,257.4,250.5,251.25,2569125
2017-08-22,253.8,254.36,251.0,251.86,1200670
2017-08-23,252.34,254.8,247.73,253.65,1008375
2017-08-24,254.64,254.79,249.03,250.37,1510665
2017-08-28,250.3,252.2,248.0,248.55,2232525
2017-08-29,248.61,251.6,243.7,248.31,2188870
2017-08-30,250.0,253.6,249.03,251.37,1522065
2017-08-31,253.7,258.0,251.81,255.12,2476670
2017-09-01,255.14,258.0,253.2,255.0,1470305
2017-09-04,255.0,258.5,250.51,252.43,1349110
2017-09-05,258.0,264.8,252.23,263.75,4901475
2017-09-06,262.4,265.89,260.3,260.94,3439065
2017-09-07,262.4,264.32,261.49,262.26,1094550
2017-09-08,262.8,276.89,262.49,274.98,8130745
2017-09-11,280.78,280.78,275.41,277.02,2121085
2017-09-12,277.02,288.29,276.8,285.57,4464510
2017-09-13,285.29,287.78,275.71,280.08,3280880
2017-09-14,281.2,287.6,281.2,285.77,2338075
2017-09-15,284.8,290.5,281.69,287.94,1934540
2017-09-18,288.2,290.37,286.1,288.65,1926130
2017-09-19,291.43,297.6,290.2,296.75,3019205
2017-09-20,297.2,301.1,294.82,299.73,2635505
2017-09-21,300.0,304.78,296.91,303.27,3029570
2017-09-22,300.7,302.0,285.94,287.28,3856740
2017-09-25,287.98,292.76,279.4,290.75,2657275
2017-09-26,292.68,294.01,285.99,287.05,1828540
2017-09-27,288.6,289.37,279.97,281.89,2444760
2017-09-28,280.03,293.89,278.11,291.82,4525385
2017-09-29,292.96,301.4,292.76,294.38,4188215
2017-10-03,299.79,299.79,291.4,295.11,3132425
2017-10-04,295.74,295.74,288.61,290.22,2104275
2017-10-05,289.41,292.68,286.8,287.71,1582370
2017-10-06,287.0,291.0,285.51,288.45,1834730
2017-10-09,288.3,292.19,287.41,288.97,817195
2017-10-10,289.79,299.0,289.0,297.42,2936710
2017-10-11,302.8,308.36,298.02,304.05,8006245
2017-10-12,306.34,306.8,301.2,305.66,1830705
2017-10-13,307.8,307.8,302.68,304.37,1493680
2017-10-16,305.99,306.7,304.0,304.65,799690
2017-10-17,306.53,306.53,297.24,299.5,1992780
2017-10-18,299.54,316.78,298.31,314.75,5112395
2017-10-23,312.38,324.15,311.49,322.64,3914145
2017-10-24,324.8,324.8,318.0,318.74,1732260
2017-10-25,321.8,323.99,309.0,314.22,1760905
2017-10-26,315.58,320.0,310.48,318.23,1477580
2017-10-27,319.56,321.9,315.22,317.15,1222295
2017-10-30,316.91,324.8,314.45,322.78,2503185
2017-10-31,323.02,323.03,315.4,317.03,2038080
2017-11-01,319.8,322.2,315.6,316.56,2685710
2017-11-02,317.6,318.98,310.71,314.28,1570920
2017-11-03,316.78,319.26,313.46,314.54,2049840
2017-11-06,314.69,315.99,310.76,311.72,1298415
2017-11-07,313.0,313.74,307.7,309.85,1976775
2017-11-08,309.56,314.9,308.4,313.37,2151685
2017-11-09,316.9,322.75,301.2,309.95,2378295
2017-11-10,312.0,325.6,307.4,321.65,2941430
2017-11-13,322.9,325.45,311.1,314.4,1375172
2017-11-14,316.2,319.0,312.0,314.15,1358975
2017-11-15,315.9,315.9,302.1,303.75,1756219
2017-11-16,305.0,305.8,290.6,299.6,2843967
2017-11-17,302.5,304.75,297.15,301.8,1534138
2017-11-20,302.2,307.0,301.1,304.85,1629696
2017-11-21,306.0,311.0,304.65,310.05,1287106
2017-11-22,312.35,312.35,297.3,306.95,3919927
2017-11-23,307.8,309.0,303.3,305.1,1159263
2017-11-24,307.0,315.7,303.6,312.25,2771602
2017-11-27,311.0,315.5,308.35,312.25,1559253
2017-11-28,319.25,331.8,316.45,326.7,10589486
2017-11-29,326.7,329.0,323.5,325.55,1977800
2017-11-30,326.25,327.95,319.45,326.6,1482835
2017-12-01,328.8,329.15,313.5,317.5,1734475
2017-12-04,319.0,334.0,313.7,333.0,4629422
2017-12-05,335.75,336.95,325.35,327.0,3520659
2017-12-06,327.0,330.85,321.45,324.3,1938903
2017-12-07,326.75,334.7,325.1,332.6,2691968
2017-12-08,334.95,336.0,326.0,327.8,3167898
2017-12-11,329.0,332.0,327.15,328.0,1677085
