,open,high,low,close,volume
2016-12-16,246.45,257.7,246.45,256.4,961780
2016-12-19,269.2,269.2,262.55,269.2,79872
2016-12-20,282.65,282.65,282.65,282.65,7616
2016-12-21,296.8,296.8,287.55,296.8,387314
2016-12-22,301.4,301.75,281.95,282.95,257984
2016-12-23,272.5,286.0,269.25,279.05,120460
2016-12-26,279.95,284.75,266.0,268.3,57714
2016-12-27,265.95,281.7,261.0,280.25,68536
2016-12-28,283.5,294.25,281.75,286.65,177726
2016-12-29,289.0,301.0,281.5,295.85,192552
2016-12-30,298.0,310.6,298.0,310.25,205656
2017-01-02,315.0,325.75,311.0,325.75,371304
2017-01-03,330.5,342.05,327.5,338.55,425512
2017-01-04,344.15,344.15,323.65,326.25,167802
2017-01-05,326.0,338.15,322.75,324.9,84216
2017-01-06,325.0,334.6,321.0,329.95,84040
2017-01-09,335.0,346.45,335.0,345.0,158178
2017-01-10,352.7,359.0,346.5,352.1,167314
2017-01-11,354.95,356.0,343.0,346.85,82814
2017-01-12,354.35,354.5,344.6,347.85,59086
2017-01-13,352.4,352.4,339.0,348.2,58664
2017-01-16,346.25,350.0,335.05,345.25,76290
2017-01-17,347.5,353.45,346.0,349.55,84434
2017-01-18,340.0,351.9,340.0,344.8,14386
2017-01-19,347.5,348.55,338.5,339.8,24392
2017-01-20,339.5,348.5,337.95,341.2,60146
2017-01-23,341.5,345.0,330.3,334.85,20548
2017-01-24,328.55,349.9,328.55,344.4,98438
2017-01-25,348.05,352.5,340.0,349.8,112612
2017-01-27,340.1,352.15,340.1,343.25,26444
2017-01-30,340.95,351.2,340.0,343.25,46386
2017-01-31,342.45,346.45,329.3,331.2,32186
2017-02-01,331.75,334.5,314.65,327.4,133150
2017-02-02,328.0,340.0,323.45,338.3,33684
2017-02-03,332.0,341.75,327.75,339.6,40558
2017-02-06,350.0,354.5,342.45,346.3,117520
2017-02-07,351.85,371.95,338.0,342.7,587550
2017-02-08,349.95,357.3,345.5,353.65,141184
2017-02-09,354.0,389.0,352.4,375.55,475868
2017-02-10,377.5,379.25,359.5,360.8,93134
2017-02-13,366.5,374.05,360.5,365.05,85578
2017-02-14,360.0,362.5,352.55,359.9,68476
2017-02-15,358.5,360.9,342.5,349.9,54270
2017-02-16,358.5,358.5,343.0,347.1,28488
2017-02-17,350.0,355.0,330.0,332.7,53888
2017-02-20,339.95,345.0,330.5,332.25,75426
2017-02-21,337.0,337.0,327.5,330.0,36324
2017-02-22,327.0,332.05,314.0,315.95,70460
2017-02-23,322.5,322.5,309.0,312.5,39472
2017-02-27,313.0,334.5,313.0,323.3,108042
2017-02-28,324.5,332.5,317.0,318.3,31906
2017-03-01,318.5,329.0,315.05,321.95,52268
2017-03-02,324.95,332.0,320.5,322.4,115220
2017-03-03,326.0,328.0,319.0,320.15,41884
2017-03-06,321.5,334.35,318.0,322.45,180940
2017-03-07,322.5,324.5,313.55,317.25,39410
2017-03-08,319.25,322.8,311.5,319.35,49690
2017-03-09,318.8,321.85,316.0,318.0,41400
2017-03-10,320.0,322.0,309.0,311.05,39876
2017-03-14,317.4,317.5,290.1,294.65,126556
2017-03-15,295.0,324.1,286.2,322.5,344940
2017-03-16,325.95,328.95,318.3,324.5,148666
2017-03-17,327.45,354.5,325.05,342.65,321454
2017-03-20,346.5,376.9,346.5,376.9,426252
2017-03-21,387.5,413.5,384.0,396.95,375786
2017-03-22,394.35,394.35,377.25,385.8,102938
2017-03-23,390.0,399.7,381.0,382.1,70262
2017-03-24,387.0,401.2,382.5,391.65,177494
2017-03-27,390.35,405.0,390.35,398.25,118234
2017-03-28,399.25,403.1,391.55,393.3,47544
2017-03-29,399.0,399.0,382.5,385.75,63004
2017-03-30,388.4,392.0,382.15,383.05,44938
2017-03-31,386.95,389.0,380.65,384.3,51802
2017-04-03,383.5,395.0,379.5,390.8,88480
2017-04-05,395.8,406.5,386.6,389.95,93014
2017-04-06,395.5,395.5,372.5,377.75,141548
2017-04-07,371.05,374.95,368.05,369.35,73590
2017-04-10,370.0,373.45,346.05,349.1,171456
2017-04-11,347.5,359.95,314.2,314.85,498794
2017-04-12,308.95,314.25,285.55,292.9,676424
2017-04-13,293.5,306.0,290.0,291.1,203632
2017-04-17,291.0,305.65,291.0,305.65,74350
2017-04-18,320.9,320.9,296.1,301.3,256662
2017-04-19,300.4,300.4,289.95,291.45,113916
2017-04-20,294.55,298.45,290.5,293.2,54646
2017-04-21,298.45,301.9,281.15,286.15,76500
2017-04-24,285.0,291.35,275.05,277.3,118846
2017-04-25,280.0,284.45,267.6,269.9,90428
2017-04-26,271.5,271.5,262.5,263.95,74638
2017-04-27,270.0,277.15,258.3,277.15,58120
2017-04-28,291.0,291.0,280.25,291.0,143892
2017-05-02,291.0,295.0,276.45,276.55,79848
2017-05-03,273.5,287.5,269.0,282.85,57302
2017-05-04,285.8,289.5,282.5,284.7,42858
2017-05-05,287.2,287.2,272.0,273.45,45760
2017-05-08,279.95,282.0,266.3,267.45,57730
2017-05-09,267.5,280.8,267.0,280.25,107672
2017-05-10,280.0,286.5,275.25,277.0,65458
2017-05-11,279.95,283.95,266.75,268.35,55960
2017-05-12,265.0,275.0,260.0,262.35,82268
2017-05-15,269.5,272.75,261.1,262.3,97548
2017-05-16,265.0,269.4,259.45,261.5,50924
2017-05-17,264.5,267.6,257.0,259.35,78106
