,open,high,low,close,volume
2016-12-16,671.2,671.2,656.15,666.95,5597
2016-12-19,667.25,674.8,657.3,660.55,2087
2016-12-20,667.95,676.0,661.1,665.05,2986
2016-12-21,658.05,677.0,656.15,670.7,4005
2016-12-22,663.0,674.0,662.5,663.25,2799
2016-12-23,660.1,665.85,658.0,662.2,975
2016-12-26,654.0,661.85,651.0,651.65,2024
2016-12-27,652.05,656.95,650.0,652.5,2712
2016-12-28,658.0,672.0,653.0,658.3,4068
2016-12-29,661.25,684.95,653.65,680.1,11610
2016-12-30,675.0,689.1,666.5,685.0,10212
2017-01-02,688.5,688.5,675.0,682.15,2532
2017-01-03,678.05,685.0,678.05,683.2,2176
2017-01-04,679.65,687.0,679.35,681.35,2054
2017-01-05,681.8,692.85,675.0,689.55,17023
2017-01-06,689.55,689.7,674.2,676.7,5501
2017-01-09,680.0,680.35,671.25,675.0,1673
2017-01-10,680.9,680.9,666.0,669.5,11573
2017-01-11,665.0,676.0,665.0,668.75,18363
2017-01-12,670.05,670.05,666.0,669.4,2665
2017-01-13,673.7,673.7,665.65,667.55,3221
2017-01-16,665.0,670.0,660.0,661.6,4900
2017-01-17,666.45,670.0,660.0,668.45,3616
2017-01-18,669.0,670.0,660.15,667.3,3883
2017-01-19,667.5,670.0,667.05,669.7,6400
2017-01-20,670.0,671.0,665.0,667.05,8928
2017-01-23,672.9,672.9,661.15,663.05,3778
2017-01-24,667.75,668.85,661.0,665.7,3365
2017-01-25,666.0,674.0,666.0,669.7,12074
2017-01-27,670.0,679.65,665.5,667.5,22250
2017-01-30,672.45,672.5,661.25,667.4,3856
2017-01-31,664.1,667.95,646.35,651.0,8906
2017-02-01,651.05,673.0,645.0,669.2,8344
2017-02-02,669.0,690.0,665.05,683.55,14590
2017-02-03,689.3,700.0,679.0,697.45,19996
2017-02-06,705.85,710.85,698.0,705.85,17376
2017-02-07,709.0,714.8,696.0,701.3,6622
2017-02-08,696.5,704.5,692.0,698.75,4320
2017-02-09,700.0,703.75,691.0,697.9,4006
