,open,high,low,close,volume
2016-12-16,52.1,52.5,51.1,51.2,9998105
2016-12-19,50.95,51.3,50.45,50.8,4224780
2016-12-20,50.9,50.9,49.6,50.3,4780795
2016-12-21,50.6,50.9,49.75,50.55,11180175
2016-12-22,50.3,50.3,48.3,48.65,9165275
2016-12-23,48.2,49.45,47.5,48.8,11503715
2016-12-26,48.5,48.6,46.7,47.1,5222735
2016-12-27,47.15,48.65,46.45,48.5,6676110
2016-12-28,48.5,48.8,47.5,47.7,6792070
2016-12-29,47.6,48.7,47.45,48.4,24803230
2016-12-30,48.55,48.9,48.1,48.45,5197345
2017-01-02,48.4,49.7,48.2,49.4,4015605
2017-01-03,49.65,49.95,48.9,49.35,4328255
2017-01-04,49.8,49.9,48.5,48.7,7897255
2017-01-05,49.0,51.0,48.9,50.8,7350790
2017-01-06,50.9,51.7,50.55,51.15,8288310
2017-01-09,51.2,51.75,51.1,51.3,8747655
2017-01-10,51.2,52.0,51.0,51.75,4835380
2017-01-11,51.8,52.85,51.8,52.75,5467925
2017-01-12,52.95,53.5,52.25,53.4,8089700
2017-01-13,53.7,53.8,52.55,52.8,3987465
2017-01-16,52.75,53.75,52.55,53.65,3329505
2017-01-17,53.75,53.75,52.15,52.4,5127720
2017-01-18,52.7,54.3,52.55,53.9,10799290
2017-01-19,53.65,54.35,53.2,54.1,8147505
2017-01-20,53.8,53.95,52.1,52.5,9912030
2017-01-23,52.45,54.2,52.4,54.1,7193400
2017-01-24,54.2,55.25,53.85,55.05,8954090
2017-01-25,55.6,56.3,55.3,56.1,16976370
2017-01-27,56.2,56.45,55.6,55.9,4809820
2017-01-30,55.9,56.9,55.3,56.75,5987465
2017-01-31,56.7,56.9,55.1,55.3,6593150
2017-02-01,55.5,57.0,54.95,56.75,9090120
2017-02-02,56.6,57.25,55.65,56.8,7511395
2017-02-03,56.6,56.95,54.65,55.25,6204475
2017-02-06,55.35,55.9,54.4,55.05,7465520
2017-02-07,54.9,55.95,54.1,54.5,7186450
2017-02-08,54.6,55.35,54.4,55.1,7102705
2017-02-09,55.25,55.6,54.25,54.85,8919860
2017-02-10,55.2,55.45,53.75,54.55,10310650
2017-02-13,55.15,56.55,55.0,56.4,10053405
2017-02-14,56.45,56.65,55.0,55.7,7211470
2017-02-15,55.9,56.5,54.25,54.95,9001125
2017-02-16,55.0,57.75,54.0,57.5,9368040
2017-02-17,57.4,57.9,56.75,57.55,9038695
2017-02-20,57.4,59.15,56.45,58.9,7824345
2017-02-21,59.0,59.75,58.4,58.6,7884170
2017-02-22,58.95,59.2,57.6,57.8,15144755
2017-02-23,57.6,58.5,56.85,57.25,11566115
2017-02-27,57.15,57.55,56.1,56.25,4759525
2017-02-28,56.15,57.15,56.15,56.8,8659780
2017-03-01,57.0,58.5,56.55,58.3,13420440
2017-03-02,58.75,60.0,58.7,59.15,12478445
2017-03-03,59.1,59.2,58.0,58.85,9197395
2017-03-06,59.0,59.15,58.1,58.75,3997820
2017-03-07,58.7,58.7,57.5,57.75,5103165
2017-03-08,57.9,57.95,55.4,55.9,7739460
2017-03-09,55.7,57.1,55.15,56.6,15307710
2017-03-10,56.55,56.85,55.3,55.6,7456625
2017-03-14,56.2,57.4,55.9,56.5,9960585
2017-03-15,56.5,57.4,56.15,57.15,10531135
2017-03-16,57.5,59.15,57.5,58.85,14568785
2017-03-17,59.0,59.6,58.25,58.9,26230390
2017-03-20,59.0,59.2,58.15,58.65,10110965
2017-03-21,58.5,58.75,57.3,58.25,12609175
2017-03-22,57.4,58.75,57.1,58.4,16603115
2017-03-23,59.6,61.15,58.75,59.95,62403275
2017-03-24,60.2,60.35,59.0,59.2,19269590
2017-03-27,59.25,59.4,57.8,58.45,25947935
2017-03-28,58.7,59.5,58.35,58.75,27019155
2017-03-29,59.1,59.9,58.7,59.55,30652535
2017-03-30,59.9,60.55,59.45,60.0,74972655
2017-03-31,60.5,61.75,60.0,61.15,22137970
2017-04-03,61.0,61.4,60.75,61.0,9403865
2017-04-05,61.0,61.25,60.35,60.6,14726580
2017-04-06,60.4,61.1,59.6,60.05,12239460
2017-04-07,60.0,60.7,59.6,59.8,8882690
2017-04-10,59.7,60.65,59.4,60.35,10030685
2017-04-11,60.75,61.1,60.25,60.85,18939420
2017-04-12,62.2,62.6,61.4,61.85,51566580
2017-04-13,61.6,61.65,58.8,59.1,20005460
2017-04-17,58.8,58.95,57.35,57.65,12690795
2017-04-18,57.65,59.45,56.15,56.4,22158620
2017-04-19,56.25,58.0,55.6,57.35,19267400
2017-04-20,58.0,58.3,56.95,57.7,31541375
2017-04-21,57.6,57.75,56.85,57.1,44594865
2017-04-24,56.7,57.15,55.9,56.6,47573225
2017-04-25,57.0,57.55,55.95,57.05,131390310
2017-10-11,28.8,28.8,28.75,28.8,1164000
2017-10-12,34.55,34.55,26.6,29.35,8274000
2017-10-13,29.0,30.2,28.6,29.75,1596000
2017-10-16,30.0,31.6,29.8,30.2,924000
2017-10-17,30.9,31.55,30.6,31.3,642000
2017-10-18,31.4,34.0,30.15,33.45,2148000
2017-10-23,33.95,34.8,33.6,33.8,552000
2017-10-24,33.8,34.0,31.6,31.8,288000
2017-10-25,32.0,32.6,31.4,32.4,240000
2017-10-26,32.6,33.6,32.4,32.95,324000
2017-10-27,33.4,33.8,33.2,33.4,198000
2017-10-30,33.8,34.0,32.9,33.0,282000
2017-10-31,33.1,35.5,33.1,34.75,750000
2017-11-01,34.95,40.3,34.95,39.7,1626000
2017-11-02,40.2,41.0,39.4,39.85,378000
2017-11-03,40.25,40.8,38.2,40.0,360000
2017-11-06,39.8,40.0,38.25,38.5,78000
2017-11-07,39.0,39.0,36.0,36.25,336000
2017-11-08,36.45,37.6,36.2,36.25,120000
2017-11-09,36.4,36.6,35.7,36.3,108000
2017-11-10,37.0,37.4,36.2,36.6,228000
2017-11-13,36.8,37.0,35.6,36.1,144000
2017-11-14,34.4,35.2,33.8,35.15,330000
2017-11-15,35.2,35.2,33.0,33.2,336000
2017-11-16,33.8,35.7,33.75,35.25,258000
2017-11-17,35.35,36.0,34.85,34.9,84000
2017-11-20,35.4,37.4,35.4,37.1,216000
2017-11-21,37.0,37.6,35.4,35.65,114000
2017-11-22,36.4,36.6,35.6,36.05,102000
2017-11-23,36.4,36.5,36.2,36.4,132000
2017-11-24,36.7,38.95,36.6,37.75,312000
2017-11-27,38.8,38.8,37.8,38.2,252000
2017-11-28,39.2,39.2,38.0,38.4,108000
2017-11-29,38.35,39.7,38.2,38.3,300000
2017-11-30,39.2,39.2,37.6,38.2,114000
2017-12-01,39.35,39.35,37.6,37.6,96000
2017-12-04,38.0,38.8,38.0,38.6,174000
2017-12-05,38.4,38.8,38.0,38.4,216000
2017-12-06,38.8,41.2,38.7,39.55,348000
2017-12-07,39.8,41.0,39.8,40.45,186000
2017-12-08,41.0,41.4,40.2,40.6,126000
2017-12-11,40.55,41.5,40.55,41.4,216000
2017-12-12,40.6,41.0,39.35,40.6,126000
2017-12-13,40.2,40.2,39.4,39.4,30000
2017-12-14,39.0,39.2,37.8,38.0,90000
2017-12-15,38.8,39.0,38.7,39.0,48000
2017-12-18,37.2,40.8,37.2,40.05,72000
2017-12-19,39.8,40.1,38.8,39.1,120000
2017-12-20,37.6,40.0,37.6,39.0,96000
2017-12-21,40.4,40.4,38.8,39.8,216000
2017-12-22,39.9,39.9,38.3,39.35,102000
2017-12-26,38.8,40.0,38.8,39.7,66000
2017-12-27,39.8,39.8,38.25,38.25,72000
2017-12-28,39.6,39.6,38.5,38.85,30000
2017-12-29,39.0,39.65,38.15,39.25,138000
2018-01-01,39.75,39.75,38.85,39.0,42000
2018-01-02,39.0,39.0,37.1,37.15,96000
2018-01-03,36.6,38.7,36.6,37.35,48000
2018-01-04,37.35,38.5,37.2,38.0,126000
2018-01-05,38.15,38.5,37.9,38.4,138000
2018-01-08,39.0,39.0,36.85,38.4,138000
2018-01-09,39.0,43.8,38.2,42.35,1164000
2018-01-10,43.8,45.35,43.0,43.6,294000
2018-01-11,43.2,43.4,40.85,41.2,246000
2018-01-12,42.0,43.0,40.65,40.8,156000
2018-01-15,40.6,40.8,39.6,40.0,258000
2018-01-16,41.2,42.6,40.2,42.0,156000
2018-01-17,41.0,42.6,40.7,41.2,264000
2018-01-18,42.7,42.7,40.0,40.55,108000
2018-01-19,39.6,40.4,39.0,39.9,72000
2018-01-22,39.2,39.2,39.2,39.2,6000
2018-01-23,38.2,40.0,38.2,38.6,210000
2018-01-24,39.4,39.4,38.45,39.0,54000
2018-01-25,38.05,38.2,38.05,38.2,36000
2018-01-29,39.0,39.3,38.2,38.4,42000
2018-01-30,37.4,38.05,36.8,37.8,138000
2018-01-31,37.8,38.6,37.0,37.1,156000
2018-02-01,38.4,38.4,36.2,37.15,96000
2018-02-02,36.0,37.0,34.0,34.4,252000
2018-02-05,34.0,35.6,34.0,35.6,24000
2018-02-06,33.1,34.8,33.1,33.85,72000
2018-02-07,35.0,36.0,35.0,35.2,132000
2018-02-08,36.0,36.9,36.0,36.3,120000
2018-02-09,35.6,36.0,35.5,35.6,54000
2018-02-12,36.2,37.2,35.65,35.85,78000
2018-02-14,36.0,37.4,34.8,35.05,840000
2018-02-15,35.8,36.2,34.6,35.0,174000
2018-02-16,34.85,34.85,33.2,33.45,132000
2018-02-19,32.45,34.9,32.45,34.7,48000
2018-02-20,33.8,33.8,32.95,33.35,192000
