,open,high,low,close,volume
2016-12-16,359.05,368.8,354.1,360.35,1305
2016-12-19,360.0,360.0,351.4,353.2,610
2016-12-20,360.2,360.2,353.0,359.8,290
2016-12-21,361.8,361.8,350.0,350.35,1015
2016-12-22,353.6,354.0,349.1,353.65,175
2016-12-23,353.6,361.45,353.5,357.55,197400
2016-12-26,360.8,360.8,351.2,351.85,115
2016-12-27,352.1,358.45,352.1,355.0,125
2016-12-28,360.25,360.25,350.0,360.0,375
2016-12-29,360.0,360.0,353.3,354.35,700
2016-12-30,359.0,359.0,350.4,356.0,190
2017-01-02,360.0,360.0,350.4,351.35,680
2017-01-03,352.0,358.8,340.8,349.7,640
2017-01-04,357.65,360.2,356.0,360.0,10760
2017-01-05,359.9,359.9,355.0,355.0,120
2017-01-06,359.9,360.0,358.9,359.75,70
2017-01-09,353.5,358.9,353.2,355.2,365
2017-01-10,359.8,359.9,352.0,354.25,395
2017-01-11,359.0,359.8,354.5,359.7,285
2017-01-12,359.7,360.0,350.5,352.2,675
2017-01-13,352.2,357.55,347.6,351.85,715
2017-01-16,358.8,360.0,346.2,348.55,1735
2017-01-17,351.35,358.4,351.35,358.0,375
2017-01-18,358.85,358.9,354.5,358.4,120
2017-01-19,353.2,355.2,351.4,352.0,135
2017-01-20,352.0,353.0,352.0,352.0,290
2017-01-23,356.4,359.8,348.5,356.0,335
2017-01-24,352.0,357.6,347.2,356.0,4275
2017-01-25,359.4,359.8,359.4,359.55,165
2017-01-27,354.0,360.0,353.1,358.0,1150
2017-01-30,354.0,355.6,337.6,344.7,2075
2017-01-31,345.35,357.8,345.3,347.85,955
2017-02-01,349.0,349.8,342.0,348.4,9340
2017-02-02,351.9,353.55,348.2,352.95,11635
2017-02-03,347.3,353.0,347.3,353.0,475
2017-02-06,357.65,360.0,348.0,349.55,3350
2017-02-07,348.4,355.0,348.4,355.0,2290
2017-02-08,356.55,361.0,354.4,359.6,520
2017-02-09,359.85,362.0,356.8,359.0,190
2017-02-10,358.05,359.0,350.0,350.65,2170
2017-02-13,348.75,357.8,344.2,346.35,2390
2017-02-14,345.3,353.2,345.1,349.3,1690
2017-02-15,352.0,353.6,350.0,351.95,425
2017-02-16,352.6,356.0,349.2,349.2,8035
2017-02-17,348.2,348.2,347.3,347.3,125
2017-02-20,347.3,350.95,345.0,345.2,1130
2017-02-21,345.2,351.4,345.2,345.75,875
2017-02-22,351.7,352.2,345.0,346.1,305
2017-02-23,346.25,346.25,344.0,344.15,435
2017-02-27,346.0,349.0,344.45,345.8,310
2017-02-28,351.9,351.9,346.0,347.5,350
2017-03-01,353.35,355.0,350.8,353.55,875
2017-03-02,354.9,357.95,350.25,353.35,1325
2017-03-03,356.95,356.95,343.2,347.2,4085
2017-03-06,344.2,351.8,344.2,347.4,265
2017-03-07,352.8,353.8,341.25,344.1,880
2017-03-08,349.8,351.4,347.4,349.6,690
2017-03-09,352.5,352.6,348.0,352.0,890
2017-03-10,355.3,355.3,353.0,355.05,1685
2017-03-14,355.1,355.1,350.0,352.55,185
2017-03-15,355.0,355.0,350.0,350.0,230
2017-03-16,350.0,357.0,349.0,356.0,11585
2017-03-17,359.0,359.0,347.25,358.8,685
2017-03-20,364.8,364.8,357.5,358.0,310
2017-03-21,359.2,359.2,358.0,358.05,8570
2017-03-22,355.0,359.7,350.2,357.2,63490
2017-03-23,361.85,362.0,352.2,361.35,1325
2017-03-24,361.8,361.8,358.35,360.0,310
2017-03-27,358.35,362.0,354.25,359.9,870
2017-03-28,361.0,364.8,355.0,360.45,42305
2017-03-29,360.0,360.0,323.8,328.6,84335
2017-03-30,332.5,341.6,332.5,339.8,1925
2017-03-31,339.8,349.0,337.0,347.15,33555
2017-04-03,347.0,353.9,330.0,343.65,24870
2017-04-05,343.65,353.6,330.2,347.55,9845
2017-04-06,348.0,348.0,339.2,343.0,4940
2017-04-07,343.0,345.0,339.9,340.3,2655
2017-04-10,344.2,344.2,340.2,340.25,3095
2017-04-11,340.35,342.0,339.2,340.2,1195
2017-04-12,348.8,348.8,337.0,344.0,4835
2017-04-13,346.0,346.0,341.1,341.55,1170
2017-04-17,341.6,348.0,334.25,346.1,2060
2017-04-18,346.1,349.8,343.2,344.15,10930
2017-04-19,351.6,351.6,340.65,346.0,1015
2017-04-20,349.6,349.7,331.2,346.0,4330
2017-04-21,346.2,346.2,343.0,346.0,430
2017-04-24,340.4,359.6,340.4,358.35,6605
2017-04-25,364.8,401.35,348.0,356.6,24690
2017-04-26,366.0,370.0,349.2,353.35,14610
2017-04-27,363.8,363.8,352.8,354.25,7480
2017-04-28,358.0,358.0,352.0,354.45,3180
2017-05-02,358.0,363.0,354.0,355.5,4990
2017-05-03,355.6,357.9,341.05,356.45,7120
2017-05-04,362.6,376.45,356.0,357.95,30725
2017-05-05,358.0,358.0,352.0,353.5,1540
2017-05-08,357.8,357.8,348.0,349.2,50905
2017-05-09,349.2,351.0,345.25,349.25,845
2017-05-10,349.25,352.0,344.55,348.45,1095
2017-05-11,352.0,352.0,346.25,351.65,835
2017-05-12,352.0,358.0,347.1,351.15,980
2017-05-15,357.8,368.0,352.0,353.9,3705
2017-05-16,359.8,359.8,337.0,342.8,215010
2017-05-17,344.4,356.55,344.4,348.45,6275
2017-05-18,348.45,348.45,342.2,343.55,3035
2017-05-19,343.0,349.0,335.8,347.0,6790
2017-05-22,341.2,349.8,341.2,346.65,875
2017-05-23,343.4,347.2,339.15,345.45,3205
2017-05-24,342.6,344.0,339.0,340.65,1055
2017-05-25,340.65,344.4,340.65,342.55,495
2017-05-26,351.55,351.55,342.35,342.7,735
2017-05-29,341.0,345.0,337.6,342.0,1975
2017-05-30,342.0,343.0,338.6,343.0,210
2017-05-31,343.0,343.6,340.05,343.6,675
2017-06-01,343.6,346.0,339.65,342.9,10180
2017-06-02,341.2,347.35,341.2,344.05,655
2017-06-05,347.0,347.0,336.5,343.75,5855
2017-06-06,346.75,346.75,340.05,344.8,1945
2017-06-07,341.6,344.8,340.0,341.8,1575
2017-06-08,341.15,347.0,341.15,345.0,665
2017-06-09,349.6,349.8,342.4,346.0,1040
2017-06-12,346.0,348.0,345.0,345.8,920
2017-06-13,343.0,347.6,340.2,343.05,2855
2017-06-14,344.05,348.0,343.3,344.65,1380
2017-06-15,342.35,345.8,342.35,344.8,380
2017-06-16,344.8,344.8,344.0,344.0,390
2017-06-19,341.15,346.0,341.0,344.1,580
2017-06-20,343.0,345.8,342.0,342.35,240
2017-06-21,340.25,346.0,340.0,345.7,2480
2017-06-22,342.2,345.4,342.2,345.05,1295
2017-06-23,341.6,345.0,340.0,343.4,21855
2017-06-27,340.6,343.4,327.1,339.4,3765
2017-06-28,339.4,342.95,336.65,339.45,345
2017-06-29,339.45,341.95,339.45,341.0,240
2017-06-30,339.45,343.2,338.2,343.2,5470
2017-07-03,343.2,345.0,341.0,343.0,1910
2017-07-04,343.0,360.0,343.0,352.6,1965
2017-07-05,352.6,357.8,349.0,349.9,2210
2017-07-06,349.9,353.4,346.0,351.95,1430
2017-07-07,351.95,352.0,347.4,350.0,360
2017-07-10,350.0,356.0,350.0,352.4,155
2017-07-11,350.0,354.0,349.4,354.0,3350
2017-07-12,353.8,353.8,348.4,352.0,15130
