,open,high,low,close,volume
2016-12-15,83.75,86.0,83.65,85.15,5632910
2016-12-16,85.25,86.8,85.15,85.7,15858582
2016-12-19,85.95,86.45,84.55,84.9,4706853
2016-12-20,84.45,85.6,84.3,84.55,5074074
2016-12-21,84.75,86.1,84.05,85.5,5471031
2016-12-22,85.6,86.0,84.3,84.6,6163569
2016-12-23,84.55,84.7,81.4,81.95,6724664
2016-12-26,81.65,82.2,80.15,81.4,4845286
2016-12-27,82.2,82.65,80.7,82.25,3878282
2016-12-28,82.65,83.95,82.6,83.45,5926359
2016-12-29,82.9,87.45,82.9,86.7,10728966
2016-12-30,87.2,87.4,86.05,86.55,5355577
2017-01-02,86.65,88.45,86.05,86.9,5183068
2017-01-03,86.75,87.5,85.25,85.75,3994647
2017-01-04,85.9,86.3,84.55,85.1,7252683
2017-01-05,85.5,87.3,85.5,87.1,8140725
2017-01-06,87.5,89.45,87.5,87.9,10670552
2017-01-09,89.0,89.0,87.1,87.3,5066023
2017-01-10,87.3,88.15,86.05,86.95,8103569
2017-01-11,87.05,87.9,86.3,87.55,12705403
2017-01-12,87.75,88.4,86.75,87.4,4302188
2017-01-13,88.25,88.25,86.15,86.6,4166928
2017-01-16,86.55,87.7,86.05,87.15,3734143
2017-01-17,87.3,88.35,86.05,86.5,33669869
2017-01-18,86.45,87.85,86.3,87.75,5076629
2017-01-19,87.75,88.05,85.95,86.35,8593274
2017-01-20,85.75,89.75,85.1,86.5,29113085
2017-01-23,87.25,87.25,85.1,85.8,11158908
2017-01-24,85.95,87.9,85.8,87.75,7292555
2017-01-25,87.9,88.6,87.3,87.85,10584378
2017-01-27,87.95,91.55,87.55,91.3,15118948
2017-01-30,91.15,92.5,90.3,91.1,10543750
2017-01-31,90.55,91.15,87.55,88.0,7706038
2017-02-01,88.25,89.55,86.25,89.25,7761716
2017-02-02,89.35,91.1,88.15,88.8,11866684
2017-02-03,88.8,90.45,88.45,90.2,10210853
2017-02-06,91.15,91.15,89.1,89.95,6183976
2017-02-07,90.7,90.7,88.6,89.6,9851543
2017-02-08,89.85,91.9,89.75,91.1,9804684
2017-02-09,91.45,92.8,90.6,92.45,7632908
2017-02-10,93.05,95.3,92.85,94.35,13720689
2017-02-13,95.1,95.1,90.2,93.05,28203062
2017-02-14,93.45,94.45,92.25,93.65,9363057
2017-02-15,93.35,94.55,90.7,91.05,8964244
2017-02-16,90.4,92.3,89.85,92.0,8515650
2017-02-17,92.5,93.15,91.35,92.75,5705029
2017-02-20,93.25,93.55,92.45,93.05,3825999
2017-02-21,93.3,93.7,91.55,92.95,4174549
2017-02-22,93.25,94.1,92.45,93.35,7408694
2017-02-23,93.5,93.9,91.8,92.6,13062287
2017-02-27,92.9,92.9,91.25,91.6,4785761
2017-02-28,92.0,93.15,91.65,92.85,4205338
2017-03-01,93.3,96.3,92.75,95.9,15987915
2017-03-02,97.0,98.05,93.1,93.6,15059385
2017-03-03,93.15,94.0,91.7,93.7,9378427
2017-03-06,93.75,95.15,93.75,94.7,4527334
2017-03-07,94.4,95.5,93.45,93.75,3638264
2017-03-08,93.8,94.65,92.85,94.1,3111436
2017-03-09,94.9,96.1,93.85,94.75,9078542
2017-03-10,95.15,95.4,93.65,94.15,3823169
2017-03-14,95.4,96.65,94.85,96.2,5071274
