,open,high,low,close,volume
2024-08-28,288.0,302.4,287.2,302.4,2731815
2024-08-29,317.52,317.52,317.52,317.52,190208
2024-08-30,315.9,333.39,301.64,333.39,2057263
2024-09-02,340.0,348.8,316.75,317.95,1776233
2024-09-03,312.2,312.2,302.05,302.05,575870
2024-09-04,286.95,317.15,286.95,317.05,905584
2024-09-05,315.0,315.0,302.05,304.55,518553
2024-09-06,302.0,308.0,294.0,301.8,457663
2024-09-09,300.7,301.8,291.0,294.75,244559
2024-09-10,298.0,309.45,298.0,309.45,350858
2024-09-11,312.5,323.0,304.35,309.25,1020226
2024-09-12,314.35,314.4,303.1,306.65,429322
2024-09-13,305.05,309.85,298.1,302.85,385592
2024-09-16,307.1,322.3,298.15,316.4,1476218
2024-09-17,317.9,319.7,308.4,311.05,397811
2024-09-18,300.0,311.05,299.95,303.6,433066
2024-09-19,308.0,309.0,296.25,303.65,421426
2024-09-20,309.0,309.0,302.0,303.5,185315
2024-09-23,307.0,316.55,301.95,305.45,648983
2024-09-24,306.3,308.45,300.0,300.45,264579
2024-09-25,300.0,302.8,288.8,289.85,963963
2024-09-26,297.0,303.5,274.25,277.65,1046391
2024-09-27,286.95,288.4,272.85,278.75,834213
2024-09-30,283.0,283.0,273.0,275.25,323618
2024-10-01,275.15,278.0,271.0,272.3,221325
2024-10-03,268.95,275.7,265.05,269.4,297034
2024-10-04,269.95,274.8,262.0,262.7,277383
2024-10-07,264.0,268.0,247.05,252.6,451248
2024-10-08,252.6,262.0,249.55,260.3,231018
2024-10-09,264.0,286.95,261.6,281.1,526433
2024-10-10,284.0,284.5,271.45,272.75,255576
2024-10-11,268.1,275.0,268.1,273.35,121740
2024-10-14,276.0,276.0,270.25,271.9,94224
2024-10-15,274.0,275.0,270.6,273.8,93264
2024-10-16,274.95,302.0,271.65,295.1,873099
2024-10-17,300.0,302.9,287.8,290.1,279416
2024-10-18,291.65,308.0,281.9,294.55,436921
2024-10-21,299.0,300.7,287.15,291.3,275155
2024-10-22,291.5,294.45,276.55,281.85,239452
2024-10-23,282.0,299.5,281.05,294.65,303506
2024-10-24,297.6,297.6,288.0,289.9,141364
2024-10-25,290.0,291.4,275.85,282.75,166089
2024-10-28,288.75,291.95,281.4,282.9,174637
2024-10-29,282.9,287.0,280.1,284.75,109860
2024-10-30,287.15,301.9,280.0,294.35,510988
2024-10-31,295.9,298.95,291.3,295.4,230105
2024-11-01,302.0,309.8,299.95,307.15,377201
2024-11-04,319.95,322.0,308.5,315.35,1100725
2024-11-05,318.0,375.0,313.25,364.5,5143807
2024-11-06,371.0,414.0,365.55,393.75,6370249
2024-11-07,395.05,403.3,375.6,378.65,1295755
2024-11-08,382.4,399.65,368.05,388.45,1037461
2024-11-11,402.4,402.4,371.5,389.3,1009498
2024-11-12,412.05,449.65,390.5,422.25,4725428
2024-11-13,423.95,442.45,400.0,405.25,1545414
2024-11-14,411.5,428.9,405.6,408.85,856523
2024-11-18,413.0,464.7,401.2,452.05,4038459
2024-11-19,468.9,475.0,435.15,443.8,1905826
2024-11-21,441.55,465.0,431.8,461.65,1378550
2024-11-22,464.6,464.7,435.0,439.1,962240
2024-11-25,441.0,444.85,395.2,395.4,1910907
2024-11-26,408.0,432.0,405.0,417.5,1604755
2024-11-27,423.0,424.45,402.5,405.6,621160
2024-11-28,407.7,411.35,391.6,401.75,563193
2024-11-29,403.8,405.45,392.35,398.45,374015
2024-12-02,398.4,405.0,396.0,399.8,396663
2024-12-03,401.15,424.4,401.15,417.95,889845
2024-12-04,420.4,435.0,410.0,417.25,672275
2024-12-05,419.2,437.0,412.25,422.6,671080
2024-12-06,423.45,438.4,418.0,428.8,680786
2024-12-09,428.8,438.0,425.0,427.0,397541
2024-12-10,429.5,448.7,420.35,429.75,837748
2024-12-11,431.5,434.0,420.25,421.7,275186
2024-12-12,423.4,427.05,413.15,416.1,358686
2024-12-13,416.0,432.4,412.2,428.1,822398
2024-12-16,430.0,445.0,426.15,437.45,597006
