,open,high,low,close,volume
2016-12-19,22.1,22.9,22.1,22.5,658290
2016-12-20,22.9,23.0,22.2,22.65,834740
2016-12-21,23.0,23.7,22.9,23.1,5485960
2016-12-22,23.05,23.2,22.1,22.3,877290
2016-12-23,22.35,22.75,22.15,22.3,587700
2016-12-26,22.2,22.35,21.5,21.6,734250
2016-12-27,21.8,22.1,21.6,21.9,551660
2016-12-28,22.1,22.7,21.9,22.05,688550
2016-12-29,22.2,22.4,22.05,22.15,339780
2016-12-30,22.25,22.7,22.15,22.25,585900
2017-01-02,22.3,22.6,22.3,22.45,317490
2017-01-03,22.6,22.8,22.45,22.65,423000
2017-01-04,22.7,23.65,22.65,23.0,1845700
2017-01-05,23.1,23.3,22.75,22.85,645080
2017-01-06,22.95,23.45,22.7,22.8,672740
2017-01-09,22.95,24.35,22.7,24.15,5829620
2017-01-10,24.35,24.6,23.6,23.8,3062160
2017-01-11,23.85,24.8,23.85,24.35,3227310
2017-01-12,24.65,24.85,24.2,24.3,1864030
2017-01-13,24.4,24.4,23.8,23.95,771190
2017-01-16,24.0,24.4,23.8,24.05,787550
2017-01-17,24.0,25.2,23.95,24.9,3738300
2017-01-18,24.9,26.1,24.9,25.35,10542470
2017-01-19,25.65,25.8,25.1,25.45,2168360
2017-01-20,25.6,27.15,25.6,26.2,6974170
2017-01-23,26.25,27.4,26.25,27.05,3344840
2017-01-24,27.25,27.35,26.65,26.95,2079340
2017-01-25,27.15,27.35,26.55,27.0,2037330
2017-01-27,27.15,27.4,26.6,26.75,1746890
2017-01-30,26.8,26.9,26.2,26.3,913530
2017-01-31,26.35,26.65,25.5,25.85,1451600
2017-02-01,25.6,26.45,25.35,25.9,1850100
2017-02-02,25.7,26.7,25.7,26.3,1895320
2017-02-03,26.4,27.8,26.2,27.5,3855930
2017-02-06,27.8,28.6,27.25,27.5,3974510
2017-02-07,27.6,28.4,27.45,28.1,1988670
2017-02-08,28.25,28.5,27.9,28.3,2152530
2017-02-09,28.25,28.5,27.5,27.65,1430900
2017-02-10,27.8,28.4,27.8,28.2,1908200
2017-02-13,28.4,28.45,27.55,27.7,1000650
2017-02-14,27.8,28.25,26.9,27.05,1198770
2017-02-15,26.85,27.8,26.8,27.55,1710430
2017-02-16,27.5,30.65,27.45,30.05,12976290
2017-02-17,30.15,31.0,29.15,29.75,7156660
2017-02-20,29.85,30.35,29.5,29.65,1459560
2017-02-21,29.85,30.3,29.2,29.35,1790370
2017-02-22,29.4,29.85,28.85,28.95,1435450
2017-02-23,29.45,29.55,28.5,28.6,1521010
2017-02-27,28.7,29.9,28.65,29.65,1804320
2017-02-28,29.7,31.1,29.7,30.25,3952090
2017-03-01,30.4,30.6,29.15,29.25,2823010
2017-03-02,29.45,30.0,28.55,28.75,2995440
2017-03-03,28.7,29.4,28.5,28.8,1706720
2017-03-06,29.0,29.75,28.95,29.45,3669380
2017-03-07,29.4,29.65,29.1,29.25,1279030
2017-03-08,29.4,29.95,28.95,29.5,2628400
2017-03-09,29.2,29.45,28.4,28.55,2593600
2017-03-10,28.65,29.2,28.0,28.1,1719270
2017-03-14,28.85,29.25,28.6,29.15,1981760
2017-03-15,29.2,29.75,29.2,29.3,1312640
2017-03-16,29.4,30.45,29.15,30.1,3258510
2017-03-17,30.35,31.5,29.2,30.6,4298950
2017-03-20,30.5,31.15,30.25,30.5,2048760
2017-03-21,30.75,30.75,30.05,30.5,868050
2017-03-22,30.3,31.75,30.1,31.25,3799770
2017-03-23,31.45,32.4,31.3,31.8,4245460
2017-03-24,31.9,32.25,31.45,31.65,1370350
2017-03-27,31.9,31.9,31.45,31.6,769500
2017-03-28,31.9,32.65,31.55,32.0,2786490
2017-03-29,32.2,32.65,31.7,31.85,1540450
2017-03-30,32.1,32.95,32.0,32.3,1715280
2017-03-31,32.6,33.45,32.45,33.0,3075330
2017-04-03,33.25,35.85,33.0,35.15,6161570
2017-04-05,35.3,37.4,35.3,36.1,4600450
2017-04-06,36.3,37.0,35.8,36.2,2275810
2017-04-07,35.95,36.25,35.2,35.5,1916820
2017-04-10,35.25,36.85,35.25,36.3,1845290
2017-04-11,36.5,38.95,36.5,38.6,5712050
2017-04-12,39.1,40.35,38.1,38.35,7828020
2017-04-13,38.35,39.0,37.85,38.1,1708610
2017-04-17,38.5,38.9,37.7,38.45,1688100
2017-04-18,38.85,39.6,37.85,38.0,2329710
2017-04-19,38.2,39.1,37.8,38.6,1924310
2017-04-20,38.8,40.45,38.75,40.1,3875390
2017-04-21,40.5,41.45,40.3,40.8,2977250
2017-04-24,41.0,41.7,40.95,41.15,1860010
2017-04-25,41.5,41.55,40.65,41.0,1008920
2017-04-26,41.35,41.5,39.95,40.15,1455860
2017-04-27,40.1,41.6,40.1,40.95,1338300
2017-04-28,41.2,42.7,40.7,42.4,3436730
2017-05-02,42.7,45.3,42.7,44.8,4582290
2017-05-03,45.25,46.1,45.0,45.75,3799680
2017-05-04,46.0,46.5,44.9,45.15,1910860
2017-05-05,45.2,45.55,42.55,43.15,2651240
2017-05-08,43.3,44.85,43.3,43.9,1654690
2017-05-09,44.25,45.8,44.1,45.15,3152420
2017-05-10,45.45,45.9,44.9,45.25,1165610
2017-05-11,45.25,45.5,44.4,44.55,1258410
2017-05-12,44.7,44.8,43.6,44.05,1160790
2017-05-15,44.45,45.25,43.9,44.45,1388100
2017-05-16,44.6,44.65,41.9,42.3,2666530
2017-05-17,42.35,42.35,40.75,41.0,2308640
2017-05-18,40.5,42.8,40.3,40.7,2446150
2017-05-19,41.15,41.85,40.2,40.75,1218380
2017-05-22,41.05,41.8,39.3,39.5,1034370
2017-05-23,39.5,40.95,38.05,39.05,2506310
2017-05-24,39.35,40.1,37.5,37.8,1953640
2017-05-25,38.05,40.0,38.0,39.7,1784720
2017-05-26,42.4,43.5,41.2,42.65,6656250
2017-05-29,42.75,43.25,42.05,42.2,1540540
2017-05-30,41.7,43.9,40.6,43.55,3080610
2017-05-31,43.95,44.55,43.3,43.85,1963650
2017-06-01,43.9,44.3,43.35,43.8,1279300
2017-06-02,44.1,44.75,43.6,44.25,1828120
2017-06-05,44.25,45.3,44.1,44.7,5805610
2017-06-06,44.35,45.2,44.35,44.8,1653610
2017-06-07,44.8,46.2,44.8,45.6,1905480
2017-06-08,46.05,48.25,46.0,47.75,5085880
2017-06-09,48.3,48.55,47.05,47.35,2303870
2017-06-12,47.0,47.2,45.9,46.15,1185170
2017-06-13,46.4,48.25,46.35,47.8,2148330
2017-06-14,48.2,52.6,47.9,51.95,9090710
2017-06-15,52.7,55.0,52.5,53.85,10135090
2017-06-16,54.25,54.8,53.85,54.5,4022980
2017-06-19,54.85,63.75,54.7,62.8,32150950
2017-06-20,62.45,66.3,61.4,62.75,36070990
2017-06-21,62.0,63.8,61.65,62.25,11915190
2017-06-22,62.6,64.3,61.9,62.45,6722900
2017-06-23,62.8,63.0,58.8,59.1,6011800
2017-06-27,59.4,59.5,56.7,57.25,3796980
2017-06-28,57.0,61.6,55.6,60.6,10758630
2017-06-29,61.5,63.35,61.4,62.4,9757440
2017-06-30,62.0,62.15,60.6,61.05,3214220
2017-07-03,61.2,63.65,60.25,62.6,6279830
2017-07-04,62.7,63.1,61.4,61.7,2891880
2017-07-05,61.8,65.4,61.5,63.85,11615120
2017-07-06,64.2,65.3,63.1,63.4,4216970
2017-07-07,63.35,63.5,61.8,62.15,2981410
2017-07-10,62.15,64.15,61.5,63.25,1812690
2017-07-11,63.6,64.7,62.5,63.0,4614140
2017-07-12,63.4,64.2,61.7,63.05,7385610
2017-07-13,63.25,63.95,62.3,62.7,5148690
2017-07-14,62.9,62.9,60.7,60.95,2772460
2017-07-17,60.9,61.4,59.4,59.6,2226350
2017-07-18,59.1,59.5,57.6,57.9,1407350
2017-07-19,58.0,59.5,58.0,58.8,1841980
2017-07-20,58.75,60.0,58.65,59.55,1849960
2017-07-21,59.8,61.7,59.6,60.65,2785340
2017-07-24,60.95,61.05,59.5,59.6,1645240
2017-07-25,59.6,61.4,59.2,59.6,1837780
2017-07-26,59.95,60.25,59.0,59.2,793070
2017-07-27,59.5,59.5,57.2,58.25,910580
2017-07-28,58.0,58.75,57.05,58.35,1581040
2017-07-31,57.8,59.5,57.8,58.35,1883100
2017-08-01,58.6,59.6,58.4,58.7,1718150
2017-08-02,58.55,59.2,58.55,58.75,1292110
2017-08-03,59.5,64.9,59.2,63.4,17687590
2017-08-04,63.95,66.3,62.8,64.75,9607600
2017-08-07,65.05,67.3,63.5,66.3,6770340
2017-08-08,66.3,66.75,63.5,63.95,3607420
2017-08-09,63.95,65.55,62.5,63.45,3305060
2017-08-10,63.45,65.95,54.5,58.3,15675110
2017-08-11,57.85,61.75,57.45,61.15,5477140
2017-08-14,62.2,63.3,62.0,62.6,2056070
2017-08-16,63.1,64.0,62.6,62.95,2211490
2017-08-17,63.2,64.5,62.8,63.6,2461380
2017-08-18,63.2,63.8,61.5,61.9,1949560
2017-08-21,61.9,63.2,60.6,61.05,2011650
2017-08-22,61.5,62.7,60.4,60.7,1775270
2017-08-23,61.1,62.3,61.0,62.0,2499790
2017-08-24,62.3,63.7,62.1,63.05,2246920
2017-08-28,63.65,65.5,63.4,65.0,3860180
2017-08-29,65.2,65.2,62.5,63.85,2255850
2017-08-30,64.5,68.35,63.5,67.5,10142630
2017-08-31,68.5,73.2,68.5,70.8,17575110
2017-09-01,71.05,72.0,69.0,70.55,6362370
2017-09-04,70.5,72.0,69.3,71.2,4823800
2017-09-05,71.9,79.05,71.1,78.35,20006170
2017-09-06,78.05,81.85,77.1,79.8,18515810
2017-09-07,80.2,80.5,78.0,79.15,6464900
2017-09-08,79.7,81.9,79.0,80.1,6541640
2017-09-11,80.8,82.1,79.3,79.85,4269890
2017-09-12,80.4,81.1,79.55,80.05,1889360
2017-09-13,80.35,81.9,79.8,80.45,3047200
2017-09-14,81.0,83.2,80.25,82.55,5888580
2017-09-15,82.0,82.5,80.3,80.9,3717250
2017-09-18,81.5,84.8,81.0,83.6,7515230
2017-09-19,84.25,85.3,82.6,83.9,4006750
2017-09-20,84.3,85.25,82.0,82.55,2379480
2017-09-21,83.0,83.75,79.65,81.4,2934290
2017-09-22,81.0,84.0,79.3,79.9,5094570
2017-09-25,80.3,80.85,72.5,76.4,5185210
2017-09-26,76.4,81.2,75.9,80.55,5372380
2017-09-27,81.45,82.45,75.9,77.5,3669120
2017-09-28,78.4,80.5,77.0,80.1,3354130
2017-09-29,80.8,82.0,79.75,80.55,2526540
2017-10-03,81.85,90.5,81.0,89.65,19698560
2017-10-04,91.5,93.65,90.3,90.95,14731420
2017-10-05,91.0,92.8,90.55,91.0,5732670
2017-10-06,91.25,95.9,90.55,92.55,12130350
2017-10-09,93.15,96.0,91.3,92.05,8243970
2017-10-10,92.6,94.15,91.5,92.0,5226630
2017-10-11,92.95,93.6,89.5,90.6,6974990
2017-10-12,91.4,92.1,90.5,91.0,2351770
2017-10-13,91.8,93.6,90.6,91.25,5330410
2017-10-16,92.05,93.0,91.5,91.8,2210050
2017-10-17,92.6,92.75,90.45,90.9,2130710
2017-10-18,91.6,92.45,91.0,91.4,2288780
2017-10-23,91.95,93.9,90.8,92.25,3193720
2017-10-24,93.2,96.15,88.5,90.95,16004520
2017-10-25,92.5,93.35,90.2,90.95,3221140
2017-10-26,91.1,92.95,90.55,92.55,2994610
2017-10-27,92.6,92.9,90.7,90.95,1779140
2017-10-30,91.4,92.3,90.9,91.75,2821960
2017-10-31,91.7,94.4,91.2,92.4,5952050
2017-11-01,92.95,94.2,91.7,92.2,2434890
2017-11-02,92.6,93.2,91.25,91.75,2118230
2017-11-03,92.45,93.0,91.5,91.7,1991060
2017-11-06,91.5,101.55,91.2,100.5,22121880
2017-11-07,102.9,109.8,102.4,105.35,21939090
2017-11-08,106.65,108.05,96.8,101.0,8365550
2017-11-09,103.2,103.9,98.5,100.65,4103930
2017-11-10,100.0,103.8,98.0,99.6,6283280
2017-11-13,100.2,102.8,99.3,100.35,4171660
2017-11-14,101.0,102.2,100.1,100.6,3208190
2017-11-15,98.9,98.9,90.0,92.5,7128090
2017-11-16,92.6,93.05,87.25,90.65,9210040
2017-11-17,91.5,99.7,91.45,98.15,7595870
2017-11-20,98.45,99.9,94.0,95.05,3906820
2017-11-21,95.5,97.5,94.0,96.6,3612180
2017-11-22,96.5,99.5,94.1,97.8,7723830
2017-11-23,98.3,99.45,96.25,97.3,3546810
2017-11-24,97.3,98.35,96.0,96.55,2057730
2017-11-27,96.6,99.0,96.25,96.75,2164950
2017-11-28,97.0,97.9,96.2,97.15,1863660
2017-11-29,97.6,98.0,94.5,95.45,1966460
2017-11-30,94.75,96.0,93.35,94.35,1594770
2017-12-01,95.0,95.95,93.3,93.75,1165920
2017-12-04,95.1,95.1,92.5,92.95,1031590
2017-12-05,93.2,94.05,91.3,92.75,1895700
2017-12-06,92.6,94.4,91.65,92.45,1765480
2017-12-07,92.1,93.8,92.1,93.15,1055150
2017-12-08,93.5,97.0,93.25,94.25,2847440
2017-12-11,95.1,95.7,92.9,93.3,1290510
2017-12-12,93.3,96.85,93.3,95.65,2621690
2017-12-13,95.4,96.3,94.6,95.05,1270730
2017-12-14,95.5,95.8,93.0,93.85,887080
2017-12-15,94.8,96.5,94.0,94.35,1055880
2017-12-18,94.7,94.8,90.8,92.85,1287420
2017-12-19,93.65,94.9,93.0,94.0,1090480
2017-12-20,93.0,94.7,93.0,93.8,1172950
2017-12-21,93.6,95.0,93.6,94.15,947970
2017-12-22,94.0,96.65,94.0,96.1,2287930
2017-12-26,96.5,99.1,96.1,98.2,3204730
2017-12-27,98.95,100.6,95.8,97.2,2644420
2017-12-28,97.6,98.45,96.5,97.8,970620
2017-12-29,98.5,99.8,97.15,97.55,1744970
2018-01-01,98.0,98.8,95.8,96.6,1478910
2018-01-02,98.0,103.5,96.25,101.55,7821570
2018-01-03,102.8,121.8,102.1,117.3,31904220
2018-01-04,124.0,132.5,117.2,119.25,45411200
2018-01-05,120.15,129.4,115.8,127.35,22223760
2018-01-08,130.0,152.8,130.0,152.05,52856230
2018-01-09,154.5,159.4,142.8,145.1,43562220
2018-01-10,145.3,147.2,138.45,142.45,15428150
2018-01-11,142.5,150.0,141.0,145.85,14823240
2018-01-12,146.5,149.4,144.1,145.65,9648050
2018-01-15,146.5,147.0,142.5,143.1,4207240
2018-01-16,142.85,143.4,133.0,134.05,9252090
2018-01-17,134.05,137.4,124.9,131.3,14425600
2018-01-18,132.7,135.3,125.45,126.9,6475560
2018-01-19,127.25,132.85,124.0,130.15,11055790
2018-01-22,129.3,132.1,127.5,128.8,6934680
2018-01-23,127.7,130.8,127.0,127.4,4363550
2018-01-24,127.0,127.0,119.65,120.55,5739380
2018-01-25,122.0,130.7,121.9,127.4,11275130
