,open,high,low,close,volume
2016-12-19,644.9,660.0,623.9,631.15,2149
2016-12-20,643.0,644.0,608.0,616.5,1943
2016-12-21,624.85,630.0,612.0,615.25,1379
2016-12-22,613.9,634.85,605.2,626.35,2525
2016-12-23,618.4,646.0,616.1,621.35,3555
2016-12-26,611.05,623.95,600.35,605.5,1225
2016-12-27,610.0,629.0,608.0,621.4,1987
2016-12-28,624.6,643.95,622.75,626.4,1377
2016-12-29,625.6,639.95,614.05,618.55,991
2016-12-30,630.05,660.0,625.0,635.6,11128
2017-01-02,629.0,648.95,629.0,638.95,696
2017-01-03,626.15,657.0,623.55,635.75,1674
2017-01-04,635.75,645.65,626.35,630.55,802
2017-01-05,626.2,644.2,621.5,632.55,1267
2017-01-06,636.0,648.75,626.4,630.1,2070
2017-01-09,630.05,639.9,611.2,618.25,1776
2017-01-10,634.25,634.9,615.1,622.15,1420
2017-01-11,634.95,646.95,625.1,637.1,5323
2017-01-12,638.0,642.0,625.2,626.35,996
2017-01-13,637.9,643.15,627.95,634.45,3551
2017-01-16,633.5,636.0,625.0,626.4,833
2017-01-17,629.6,629.6,620.0,620.75,685
2017-01-18,617.55,638.9,614.05,628.0,4680
2017-01-19,626.0,626.0,615.0,616.15,1040
2017-01-20,616.15,640.0,603.5,617.55,3180
2017-01-23,636.0,636.0,615.2,621.65,926
2017-01-24,617.2,630.0,616.0,618.85,1069
2017-01-25,635.8,648.0,623.0,629.7,24163
2017-01-27,623.55,634.85,612.0,616.2,6127
2017-01-30,616.1,620.0,595.05,602.05,3600
2017-01-31,586.1,610.0,582.25,586.9,3307
2017-02-01,585.0,590.0,572.35,584.25,1971
2017-02-02,587.4,590.3,576.55,579.75,991
2017-02-03,575.0,599.0,570.1,590.15,917
2017-02-06,587.95,616.8,585.5,605.55,4207
2017-02-07,605.55,614.9,598.65,610.55,2549
2017-02-08,613.2,618.0,601.0,602.5,2237
2017-02-09,602.05,634.05,599.0,613.15,11891
2017-02-10,614.65,619.95,602.5,603.8,3982
2017-02-13,606.75,611.65,587.0,595.2,916
2017-02-14,596.95,612.0,590.25,605.05,3784
2017-02-15,592.55,608.0,590.0,602.7,4643
2017-02-16,599.0,609.95,596.1,606.55,1193
2017-02-17,606.0,607.5,590.5,604.15,2221
2017-02-20,592.05,603.05,592.05,595.55,786
2017-02-21,602.9,602.9,586.2,594.05,3502
2017-02-22,593.0,593.0,586.7,587.85,1062
2017-02-23,585.05,608.0,585.0,597.75,5668
2017-02-27,612.0,612.0,591.95,598.1,271
2017-02-28,604.95,607.0,591.9,593.5,833
2017-03-01,593.0,597.9,588.0,592.1,711
2017-03-02,590.0,592.35,580.0,582.3,614
2017-03-03,586.4,586.4,573.1,577.15,939
2017-03-06,580.05,588.5,575.0,577.75,758
2017-03-07,578.5,585.0,578.5,580.85,133
2017-03-08,583.75,583.75,565.55,570.75,487
2017-03-09,574.0,594.75,557.15,572.85,1947
2017-03-10,575.5,585.8,566.0,571.6,1094
2017-03-14,580.0,580.05,563.9,566.55,2036
2017-03-15,573.9,583.45,570.0,573.5,2639
2017-03-16,572.05,584.95,567.0,568.95,2106
2017-03-17,575.05,579.9,564.2,572.0,1548
2017-03-20,565.5,573.0,560.0,564.0,2087
2017-03-21,551.5,574.95,551.5,564.65,3172
2017-03-22,568.5,572.85,565.0,572.35,975
2017-03-23,571.55,581.2,564.1,566.95,1652
2017-03-24,568.0,577.0,565.0,570.65,645
2017-03-27,570.2,572.4,559.0,561.65,853
2017-03-28,560.2,574.0,551.1,556.95,7627
2017-03-29,571.9,571.9,556.0,561.8,1951
2017-03-30,571.5,674.15,571.5,674.15,71774
2017-03-31,718.0,728.0,670.0,682.85,124339
2017-04-03,679.8,679.8,639.2,655.15,20844
2017-04-05,660.0,669.0,646.0,648.35,9166
2017-04-06,650.0,666.0,640.05,647.7,8955
2017-04-07,643.75,652.95,620.0,623.45,6244
2017-04-10,625.0,639.9,625.0,628.8,3366
2017-04-11,623.0,638.0,622.0,625.15,5111
2017-04-12,632.0,632.0,597.6,605.65,8412
2017-04-13,603.3,625.0,602.0,610.15,4828
2017-04-17,616.0,628.0,609.1,614.25,3186
2017-04-18,614.0,644.95,614.0,626.9,17804
2017-04-19,616.65,635.15,615.3,621.75,1394
2017-04-20,616.4,634.85,616.4,624.7,1619
2017-04-21,620.35,635.4,613.0,626.75,2009
2017-04-24,625.5,631.0,616.5,623.95,1184
2017-04-25,623.95,630.2,613.6,619.55,1318
2017-04-26,622.05,630.0,605.05,617.3,3370
2017-04-27,606.25,616.65,605.0,607.4,2392
2017-04-28,610.05,614.95,605.1,609.35,2177
2017-05-02,609.35,615.0,605.0,611.0,1730
2017-05-03,602.2,609.0,593.0,596.0,3751
2017-05-04,605.0,605.0,593.0,596.75,1307
2017-05-05,604.0,660.0,587.0,625.9,45359
2017-05-08,620.05,644.0,619.0,622.5,3939
2017-05-09,621.0,638.0,620.65,622.95,1463
2017-05-10,621.8,643.95,621.5,629.05,2612
2017-05-11,624.1,655.0,621.05,630.5,13107
2017-05-12,629.45,632.0,615.0,618.05,2337
2017-05-15,623.05,625.0,605.35,617.25,2872
2017-05-16,612.55,636.9,607.3,625.0,2696
2017-05-17,623.0,630.0,612.0,614.55,2319
2017-05-18,614.0,632.0,606.0,614.45,4742
2017-05-19,627.95,628.0,615.0,617.25,5460
2017-05-22,617.05,618.55,603.35,605.4,2498
2017-05-23,601.0,604.7,570.0,589.65,6889
2017-05-24,589.0,599.9,575.0,576.65,1324
2017-05-25,580.0,598.95,572.2,576.75,2438
2017-05-26,577.5,589.95,565.0,585.8,2645
2017-05-29,581.0,584.45,571.05,574.9,2253
2017-05-30,576.0,579.75,559.0,564.5,2115
2017-05-31,571.0,599.7,547.6,592.65,11409
2017-06-01,581.25,598.0,581.25,587.95,1500
2017-06-02,590.0,693.95,589.9,665.1,126345
2017-06-05,661.9,661.9,630.0,632.25,19447
2017-06-06,630.0,641.45,618.05,620.05,6768
2017-06-07,635.9,663.0,621.0,635.75,30261
2017-06-08,649.0,649.0,632.95,635.45,2944
2017-06-09,635.0,688.0,628.0,657.6,80178
2017-06-12,652.0,654.95,635.0,638.5,7772
2017-06-13,642.0,664.0,640.0,644.3,11478
2017-06-14,640.3,654.0,635.0,637.35,4960
2017-06-15,649.0,650.0,637.85,644.15,5943
2017-06-16,642.55,744.0,642.55,693.25,223707
2017-06-19,695.0,728.0,675.25,701.65,62700
2017-06-20,699.0,710.5,687.0,692.2,16407
2017-06-21,706.0,708.0,685.7,691.55,7631
2017-06-22,693.0,704.0,670.6,676.1,8444
2017-06-23,684.5,688.15,650.2,655.5,6241
2017-06-27,656.5,656.5,632.0,638.15,5397
2017-06-28,627.0,654.0,622.1,636.1,5679
2017-06-29,649.75,655.0,630.0,631.55,5726
2017-06-30,632.0,633.55,616.55,623.55,3175
2017-07-03,642.3,647.95,620.25,634.7,3475
2017-07-04,638.5,643.0,636.2,636.8,1449
2017-07-05,630.0,645.55,630.0,635.55,3027
2017-07-06,653.9,653.9,630.05,638.35,2121
2017-07-07,637.25,654.0,634.25,641.25,2775
2017-07-10,625.25,645.0,625.25,633.85,878
2017-07-11,643.15,716.0,631.2,666.95,42802
2017-07-12,667.0,701.5,667.0,683.0,24648
2017-07-13,688.8,698.0,661.6,664.2,6481
2017-07-14,670.05,690.0,652.6,660.65,22500
2017-07-17,663.65,697.3,661.0,670.65,24461
2017-07-18,664.05,679.9,655.9,660.1,5842
2017-07-19,666.0,667.0,655.15,659.35,6201
2017-07-20,669.9,669.9,647.0,650.7,4756
2017-07-21,644.0,664.0,640.3,656.5,5117
2017-07-24,650.0,673.45,638.2,653.25,8433
2017-07-25,655.1,668.75,647.0,658.0,4937
2017-07-26,652.05,659.7,645.1,648.6,4332
2017-07-27,644.05,657.45,630.2,636.55,2908
2017-07-28,645.85,649.95,623.05,631.05,2990
2017-07-31,645.0,656.3,627.25,642.1,5967
2017-08-01,636.0,645.9,633.5,635.05,1351
2017-08-02,635.0,643.5,627.05,628.65,2173
2017-08-03,628.1,633.65,605.05,613.75,3382
2017-08-04,611.0,629.9,609.95,612.75,2828
2017-08-07,613.5,619.95,602.5,609.5,2093
2017-08-08,615.0,618.9,588.0,592.6,4000
2017-08-09,592.8,601.0,581.0,586.05,2341
2017-08-10,583.0,597.0,574.0,579.6,2612
2017-08-11,560.0,579.95,540.15,559.45,4679
2017-08-14,560.0,597.0,560.0,588.8,1720
2017-08-16,583.0,624.0,583.0,609.45,10893
2017-08-17,608.0,626.85,605.25,607.15,3327
2017-08-18,606.7,612.0,597.5,606.15,1854
2017-08-21,607.0,614.95,575.05,581.75,10114
2017-08-22,584.05,594.9,570.0,575.75,3317
2017-08-23,577.0,586.0,571.0,572.85,784
2017-08-24,570.0,574.0,560.15,565.5,1967
2017-08-28,568.0,574.75,562.0,564.25,1368
2017-08-29,561.25,576.9,559.0,566.35,1735
2017-08-30,563.25,577.95,550.0,572.35,5927
2017-08-31,575.0,576.0,567.1,570.85,3131
2017-09-01,571.0,660.0,571.0,625.9,87455
2017-09-04,632.75,632.75,586.55,592.5,12018
2017-09-05,606.75,616.0,590.0,594.55,8606
2017-09-06,594.55,604.0,593.05,595.25,3432
2017-09-07,588.05,614.8,588.0,598.8,2484
2017-09-08,600.95,601.0,585.05,591.55,4746
2017-09-11,595.0,600.0,585.05,592.2,2864
2017-09-12,590.0,596.9,581.05,584.6,5976
2017-09-13,630.0,680.0,601.0,638.85,112016
2017-09-14,653.0,658.0,615.1,619.15,13938
2017-09-15,611.0,665.0,608.0,638.9,13509
2017-09-18,654.0,655.0,623.0,626.1,4063
2017-09-19,625.05,642.0,615.5,621.65,4976
2017-09-20,631.0,632.95,615.55,619.6,2967
2017-09-21,615.1,623.9,611.0,618.95,1226
2017-09-22,606.25,613.0,587.7,592.75,4969
2017-09-25,588.9,590.0,576.0,585.7,2524
2017-09-26,603.0,605.0,585.55,595.6,1601
2017-09-27,592.0,598.25,579.85,580.85,1827
2017-09-28,577.25,589.85,577.1,588.35,1137
2017-09-29,590.0,604.0,583.0,585.15,2750
2017-10-03,599.0,610.0,582.0,583.5,1917
2017-10-04,586.6,603.0,585.0,592.05,1803
2017-10-05,595.95,596.0,590.0,594.2,1426
2017-10-06,588.0,620.0,588.0,614.75,7662
2017-10-09,620.0,646.0,610.15,633.4,13005
2017-10-10,644.0,644.0,621.0,622.4,2389
2017-10-11,616.0,635.0,616.0,618.8,3772
2017-10-12,620.0,629.0,607.0,620.65,2547
2017-10-13,634.9,634.9,616.0,617.1,1389
2017-10-16,611.0,625.55,605.0,613.65,1652
2017-10-17,603.6,629.0,603.6,622.7,4187
2017-10-18,608.05,621.0,608.05,614.1,1949
2017-10-23,622.0,628.0,616.0,616.35,1487
2017-10-24,616.0,626.8,614.1,622.25,2497
2017-10-25,622.1,628.9,612.0,613.7,666
2017-10-26,612.5,623.0,612.5,617.95,613
2017-10-27,612.0,639.0,606.1,624.75,2635
2017-10-30,633.9,650.0,625.25,630.15,3019
2017-10-31,629.95,660.0,629.95,641.0,16009
2017-11-01,640.05,650.5,631.05,637.45,3721
2017-11-02,635.0,644.0,631.0,636.15,865
2017-11-03,639.8,642.0,625.0,638.65,2418
