,open,high,low,close,volume
2016-12-19,3821.55,3859.7,3821.5,3846.4,1399
2016-12-20,3824.65,3857.25,3807.65,3825.35,1029
2016-12-21,3779.0,3825.35,3779.0,3813.9,1800
2016-12-22,3814.8,3814.95,3792.35,3805.85,2664
2016-12-23,3783.4,3832.5,3775.3,3787.35,817
2016-12-26,3760.95,3859.7,3760.95,3780.65,3814
2016-12-27,3779.0,3823.75,3778.9,3784.3,2221
2016-12-28,3796.8,3828.25,3782.7,3796.5,4267
2016-12-29,3746.6,3886.45,3746.6,3861.5,10695
2016-12-30,3809.4,3875.4,3809.4,3860.1,7267
2017-01-02,3897.8,3897.8,3831.9,3855.75,870
2017-01-03,3865.95,3894.7,3821.1,3828.05,1065
2017-01-04,3901.8,3901.8,3828.25,3835.5,2895
2017-01-05,3799.55,3859.7,3760.95,3770.4,60163
2017-01-06,3805.8,3813.0,3769.9,3779.15,111966
2017-01-09,3786.95,3804.95,3760.05,3786.8,824
2017-01-10,3810.0,3812.95,3765.45,3777.75,11486
2017-01-11,3789.65,3814.8,3740.3,3751.15,108918
2017-01-12,3760.95,3794.95,3748.4,3777.2,759
2017-01-13,3752.0,3814.8,3752.0,3789.8,1131
2017-01-16,3791.25,3810.25,3658.6,3712.25,5824
2017-01-17,3715.15,3734.0,3680.15,3731.5,8669
2017-01-18,3702.8,3730.45,3681.15,3692.6,32901
2017-01-19,3723.0,3742.1,3687.5,3730.8,2422
2017-01-20,3743.0,3743.0,3693.6,3716.35,1892
2017-01-23,3716.05,3812.1,3689.2,3788.35,5148
2017-01-24,3761.05,3772.55,3720.55,3756.05,3606
2017-01-25,3768.1,3807.6,3752.05,3772.5,1502
2017-01-27,3780.45,3804.95,3717.85,3757.15,7498
2017-01-30,3769.9,3769.9,3708.95,3720.65,2275
2017-01-31,3741.15,3741.15,3671.2,3690.85,26103
2017-02-01,3698.2,3705.45,3621.8,3644.7,4807
2017-02-02,3671.2,3671.2,3646.95,3662.2,22143
2017-02-03,3675.7,3680.15,3636.2,3662.85,50736
2017-02-06,3733.1,3733.1,3647.15,3668.0,23434
2017-02-07,3715.15,3716.05,3657.7,3678.15,14766
2017-02-08,3729.55,3731.3,3690.05,3724.65,1443
2017-02-09,3759.35,3759.35,3687.5,3718.9,1383
2017-02-10,3724.05,3751.95,3698.1,3743.65,3318
2017-02-13,3737.9,3747.5,3702.8,3731.05,1992
2017-02-14,3804.7,3804.7,3710.7,3724.75,1817
2017-02-15,3759.15,3759.15,3662.2,3679.6,2128
2017-02-16,3661.2,3692.75,3659.6,3679.75,8861
2017-02-17,3666.7,3711.6,3653.75,3679.6,38341
2017-02-20,3707.1,3751.95,3684.65,3739.6,1262
2017-02-21,3751.95,3761.85,3716.95,3751.45,1117
2017-02-22,3755.6,3771.6,3726.85,3746.35,1805
2017-02-23,3736.75,3796.35,3689.15,3712.1,6698
2017-02-27,3716.95,3765.45,3716.95,3735.0,1928
2017-02-28,3702.6,3724.55,3646.4,3699.8,40188
2017-03-01,3743.0,3845.6,3680.15,3836.25,27301
2017-03-02,3837.55,3856.5,3797.75,3824.95,4958
2017-03-03,3810.3,3886.6,3787.85,3861.2,3407
2017-03-06,3859.7,3884.3,3836.35,3862.95,5025
2017-03-07,3786.1,3871.5,3786.1,3859.4,6232
2017-03-08,3859.6,3885.7,3783.3,3837.1,16124
2017-03-09,3886.6,3886.6,3787.9,3860.25,2048
2017-03-10,3793.35,3867.75,3793.35,3808.05,1641
2017-03-14,3816.75,3860.6,3814.8,3851.95,2216
2017-03-15,3869.5,4037.4,3821.15,4006.1,8557
2017-03-16,4006.1,4030.2,3949.65,3993.35,6478
2017-03-17,4039.2,4039.2,3939.55,4029.3,6425
2017-03-20,4061.65,4128.95,3932.4,4059.45,6390
2017-03-21,4089.8,4127.15,4012.25,4110.05,3111
2017-03-22,4108.25,4172.05,4041.05,4162.75,12311
2017-03-23,4129.9,4178.35,4128.95,4149.7,4646
2017-03-24,4182.8,4182.8,4128.95,4152.8,1972
2017-03-27,4151.45,4254.6,4093.05,4214.15,5393
2017-03-28,4254.6,4362.35,4218.45,4318.3,18839
2017-03-29,4389.2,4433.7,4205.35,4271.6,16452
2017-03-30,4272.5,4443.1,4200.75,4266.0,25699
2017-03-31,4266.0,4266.0,4206.15,4221.35,15185
2017-04-03,4277.95,4326.45,4094.75,4296.25,4453
2017-04-05,4281.55,4347.95,4224.65,4253.2,4344
2017-04-06,4294.35,4294.5,4170.25,4204.3,6332
