,open,high,low,close,volume
2016-12-19,144.2,145.95,141.0,142.3,4689
2016-12-20,143.75,144.6,140.4,140.85,2631
2016-12-21,141.4,141.9,137.4,138.0,4248
2016-12-22,137.4,138.2,133.7,134.35,6458
2016-12-23,133.25,143.0,131.55,139.9,11794
2016-12-26,138.2,141.1,134.0,135.0,4575
2016-12-27,138.0,138.0,134.0,135.4,5005
2016-12-28,138.2,141.45,136.1,138.65,5495
2016-12-29,139.0,140.95,138.4,139.85,2974
2016-12-30,139.8,141.8,137.2,137.8,6242
2017-01-02,138.95,140.2,136.6,139.2,3106
2017-01-03,138.8,144.45,137.3,143.6,6219
2017-01-04,141.2,148.4,141.2,145.95,20039
2017-01-05,148.6,151.0,146.6,148.4,10646
2017-01-06,147.3,148.2,144.0,146.1,6489
2017-01-09,147.0,147.8,144.2,145.0,7413
2017-01-10,146.1,147.2,145.2,145.85,3396
2017-01-11,147.4,156.2,145.8,152.65,26216
2017-01-12,150.2,154.35,148.0,148.8,7635
2017-01-13,148.25,150.3,142.4,144.85,16304
2017-01-16,145.0,146.6,143.4,144.4,2474
2017-01-17,146.6,146.6,142.8,143.35,3223
2017-01-18,145.2,153.8,143.8,150.25,28290
2017-01-19,153.2,157.4,151.65,155.4,27612
2017-01-20,154.0,157.55,148.35,149.25,10876
2017-01-23,149.25,153.3,148.55,150.0,6954
2017-01-24,151.6,154.45,149.4,150.95,7756
2017-01-25,151.85,152.0,150.0,151.05,6051
2017-01-27,148.8,152.6,146.2,148.7,11311
2017-01-30,150.0,151.0,143.15,145.2,7134
2017-01-31,148.6,148.6,144.6,146.0,3800
2017-02-01,145.0,146.95,143.35,145.1,8660
2017-02-02,148.8,152.8,146.0,151.5,9626
2017-02-03,152.0,158.4,151.0,157.0,25045
2017-02-06,166.8,174.0,164.0,166.9,110157
2017-02-07,167.9,167.9,160.3,161.2,21087
2017-02-08,162.4,162.4,159.25,160.45,10515
2017-02-09,162.0,166.0,161.0,165.05,13935
2017-02-10,166.55,166.6,161.0,161.9,9461
2017-02-13,165.8,165.8,156.3,157.05,10094
2017-02-14,159.55,161.4,152.4,153.6,10608
2017-02-15,153.0,156.5,148.3,149.15,7274
2017-02-16,151.8,155.2,149.2,153.6,8969
2017-02-17,154.75,154.8,151.85,153.2,6562
2017-02-20,154.4,154.4,150.2,151.4,10206
2017-02-21,151.4,153.6,151.0,151.65,3096
2017-02-22,154.0,154.0,147.9,149.45,5532
2017-02-23,151.0,151.4,147.2,149.6,2481
2017-02-27,153.2,153.9,149.15,151.0,14853
2017-02-28,151.0,156.4,150.8,155.2,6238
2017-03-01,153.05,159.6,153.05,157.55,8150
2017-03-02,159.0,161.9,155.1,155.9,7047
2017-03-03,158.15,158.35,153.2,155.0,2081
2017-03-06,156.6,156.6,153.0,153.9,4436
2017-03-07,155.75,156.0,151.2,152.55,3827
2017-03-08,151.95,153.15,149.0,150.85,5431
2017-03-09,151.0,153.15,148.3,152.35,13281
2017-03-10,152.4,156.0,152.05,154.7,6288
2017-03-14,159.35,159.35,153.0,155.3,5115
