,open,high,low,close,volume
2020-10-19,18.4,18.4,18.05,18.05,270000
2020-10-20,18.05,18.05,18.05,18.05,105000
2020-10-21,18.0,18.05,18.0,18.0,180000
2020-10-22,18.2,18.2,18.0,18.0,22500
2020-10-23,18.0,18.0,18.0,18.0,45000
2020-10-26,18.0,18.4,18.0,18.2,45000
2020-10-27,18.0,18.0,18.0,18.0,37500
2020-10-28,18.0,18.1,18.0,18.1,37500
2020-10-29,18.0,18.0,18.0,18.0,22500
2020-10-30,18.0,18.0,18.0,18.0,7500
2020-11-02,18.0,18.05,18.0,18.0,67500
2020-11-03,18.0,18.0,18.0,18.0,7500
2020-11-04,18.0,18.0,18.0,18.0,22500
2020-11-05,18.0,18.0,18.0,18.0,22500
2020-11-06,18.0,18.0,18.0,18.0,7500
2020-11-09,18.0,18.0,18.0,18.0,15000
2020-11-10,18.0,18.0,18.0,18.0,22500
2020-11-12,18.0,18.2,18.0,18.2,15000
2020-11-13,18.0,18.0,18.0,18.0,7500
2020-11-17,18.0,18.0,18.0,18.0,30000
2020-11-18,18.0,18.0,18.0,18.0,15000
2020-11-19,18.0,18.0,18.0,18.0,15000
2020-11-20,18.0,18.0,18.0,18.0,7500
2020-11-23,18.0,18.0,18.0,18.0,7500
2020-11-24,18.0,18.0,18.0,18.0,22500
2020-11-26,18.0,18.0,18.0,18.0,15000
2020-12-02,18.0,18.6,18.0,18.0,210000
2020-12-03,18.0,18.0,18.0,18.0,22500
2020-12-04,18.05,18.1,18.0,18.0,30000
2020-12-07,18.0,18.0,18.0,18.0,7500
2020-12-10,21.55,21.55,18.0,18.0,97500
2020-12-11,18.4,18.4,18.4,18.4,22500
2020-12-14,18.0,18.0,18.0,18.0,15000
2020-12-15,21.35,21.35,20.6,20.6,52500
2020-12-16,21.55,21.55,20.0,20.0,60000
2020-12-17,18.8,18.8,18.8,18.8,7500
2020-12-18,18.8,21.5,18.8,20.9,180000
2020-12-21,18.65,18.65,18.4,18.4,30000
2020-12-22,17.5,17.5,17.5,17.5,7500
2020-12-23,17.2,18.0,17.2,18.0,15000
2020-12-24,18.05,18.05,18.05,18.05,7500
2020-12-28,18.1,18.1,18.0,18.05,37500
2020-12-29,18.0,18.0,18.0,18.0,75000
2020-12-30,18.0,18.05,18.0,18.05,90000
2021-01-01,18.0,18.0,18.0,18.0,7500
2021-01-04,18.0,18.0,18.0,18.0,15000
2021-01-06,16.8,16.8,16.8,16.8,15000
2021-01-07,18.6,20.15,18.6,18.8,75000
2021-01-08,19.6,19.6,18.5,19.55,30000
2021-01-11,19.4,19.4,18.55,18.55,15000
2021-01-12,18.2,18.2,18.2,18.2,7500
2021-01-14,17.9,17.9,17.9,17.9,7500
2021-01-15,17.9,17.9,17.3,17.3,15000
2021-01-18,17.0,17.0,17.0,17.0,7500
2021-01-19,16.9,16.9,16.9,16.9,7500
2021-01-20,13.5,17.35,13.5,17.35,15000
2021-01-29,18.0,18.0,18.0,18.0,7500
2021-02-01,18.0,18.0,18.0,18.0,15000
