,open,high,low,close,volume
2024-03-05,225.0,236.25,221.0,221.2,5401099
2024-03-06,210.15,210.15,210.15,210.15,95696
2024-03-07,199.65,220.65,199.65,204.55,1649886
2024-03-11,194.35,204.4,194.35,194.4,876448
2024-03-12,191.0,191.0,184.7,184.7,671584
2024-03-13,179.5,192.0,175.5,175.5,410281
2024-03-14,167.5,183.0,166.75,182.15,384963
2024-03-15,181.8,188.25,175.55,185.55,179054
2024-03-18,185.0,186.9,181.0,182.7,114960
2024-03-19,177.0,191.8,177.0,191.65,264325
2024-03-20,193.8,212.0,190.1,201.15,1977104
2024-03-21,203.05,208.0,182.8,184.85,920688
2024-03-22,182.9,186.2,176.4,180.05,376126
2024-03-26,180.05,183.0,171.5,172.15,640947
2024-03-27,172.15,178.8,172.15,175.15,345224
2024-03-28,175.15,175.5,169.3,171.4,411864
2024-04-01,171.1,181.5,171.1,178.6,250283
2024-04-02,179.95,194.8,179.0,186.75,2600157
2024-04-03,197.0,213.9,190.3,205.85,3771188
2024-04-04,211.0,211.4,201.1,204.1,596052
2024-04-05,203.5,203.5,197.35,200.0,349498
2024-04-08,203.0,204.7,196.4,200.6,230589
2024-04-09,201.15,202.7,195.0,196.75,198864
2024-04-10,197.0,198.5,191.7,195.85,172485
2024-04-12,195.85,197.95,188.85,189.9,214581
2024-04-15,180.1,186.65,180.1,181.6,195899
2024-04-16,182.0,187.9,180.25,184.65,131481
2024-04-18,187.95,188.7,181.65,183.25,232663
2024-04-19,182.9,187.0,180.2,184.55,214225
2024-04-22,189.0,197.0,187.2,194.2,353913
2024-04-23,197.0,220.9,196.0,217.6,2711267
2024-04-24,219.0,220.0,210.0,212.15,608755
2024-04-25,211.15,219.6,207.0,216.0,729069
2024-04-26,212.8,224.0,211.85,218.95,1128185
2024-04-29,222.0,231.3,222.0,226.55,2391665
2024-04-30,227.0,233.1,217.6,219.45,1098329
2024-05-02,222.0,225.4,217.15,221.75,487839
2024-05-03,224.75,224.75,213.3,221.9,408812
2024-05-06,223.6,223.6,208.3,209.5,437648
2024-05-07,211.6,224.1,204.8,213.7,1352926
2024-05-08,214.65,222.8,212.75,221.1,809862
2024-05-09,224.8,228.95,213.1,214.8,1003918
2024-05-10,217.0,221.75,208.1,213.8,798865
2024-05-13,214.4,214.8,203.95,206.7,455246
2024-05-14,209.0,215.55,206.0,210.85,404946
2024-05-15,216.5,229.5,208.45,222.65,1693910
2024-05-16,224.95,228.9,210.4,214.55,1688058
2024-05-17,215.4,231.7,209.0,211.4,2799900
2024-05-18,211.8,215.0,209.9,212.0,105428
2024-05-21,212.0,212.9,208.0,209.85,404333
2024-05-22,210.0,217.35,206.9,209.8,487094
2024-05-23,212.0,214.45,208.75,209.85,279436
2024-05-24,209.85,211.5,203.0,203.65,508373
2024-05-27,205.9,205.9,196.5,199.2,314208
2024-05-28,199.7,200.65,192.8,194.65,206700
2024-05-29,195.0,195.9,190.0,190.95,184761
2024-05-30,192.9,197.0,191.6,193.55,303370
2024-05-31,194.0,196.45,187.75,189.35,440509
2024-06-03,197.0,202.05,191.05,197.2,367596
2024-06-04,196.35,196.35,169.7,180.15,365546
2024-06-05,182.0,186.3,177.3,185.05,231341
2024-06-06,186.75,195.1,186.4,191.75,188492
2024-06-07,192.0,196.4,190.3,194.75,145873
2024-06-10,194.75,199.28,192.85,196.55,338518
2024-06-11,198.1,205.8,194.53,201.47,350601
2024-06-12,199.5,206.3,199.5,201.19,185911
2024-06-13,202.0,205.98,201.0,201.91,94227
2024-06-14,204.0,213.15,202.25,210.19,602340
2024-06-18,212.7,215.33,207.55,213.76,382903
2024-06-19,214.0,215.4,200.33,204.92,309385
2024-06-20,206.95,214.89,205.29,210.25,350656
2024-06-21,210.75,214.0,209.0,210.47,268452
2024-06-24,210.5,220.5,210.47,211.52,435074
2024-06-25,213.65,219.29,200.98,202.79,2277224
2024-06-26,202.79,204.47,195.25,196.92,254702
2024-06-27,197.5,208.2,197.11,199.73,648131
2024-06-28,200.92,204.5,197.5,198.39,198701
2024-07-01,198.89,207.95,198.89,203.39,481589
2024-07-02,205.45,213.16,204.0,209.31,1680810
2024-07-03,212.0,217.1,209.31,211.65,649596
2024-07-04,212.5,216.25,210.49,212.06,602228
2024-07-05,214.4,228.4,208.21,225.85,5420092
2024-07-08,228.0,237.0,218.22,230.08,5206666
2024-07-09,234.6,241.4,231.17,237.55,4728927
2024-07-10,240.2,243.9,230.55,237.02,2030380
2024-07-11,241.1,243.95,238.0,242.65,1411779
2024-07-12,242.99,244.4,234.0,236.54,928938
2024-07-15,237.9,269.9,234.53,259.27,4896207
2024-07-16,261.0,269.39,253.26,254.61,1016668
2024-07-18,256.64,267.0,248.01,261.7,1417618
2024-07-19,270.0,272.0,245.78,248.6,1258776
2024-07-22,248.0,258.95,242.41,254.81,1428754
2024-07-23,258.0,258.0,240.1,253.42,755438
2024-07-24,255.0,273.0,254.0,268.0,1484393
2024-07-25,264.05,288.23,263.27,275.17,2030686
2024-07-26,279.45,289.35,271.81,283.92,1342040
2024-07-29,286.8,288.9,273.61,277.17,830998
2024-07-30,279.05,284.0,272.36,280.08,991530
2024-07-31,282.1,283.5,275.8,277.24,378012
2024-08-01,277.25,288.0,276.1,285.6,999384
2024-08-02,279.8,336.0,279.0,322.4,4850711
2024-08-05,307.0,324.5,298.1,304.25,2047845
2024-08-06,311.7,319.7,295.35,298.15,820447
2024-08-07,306.0,335.0,300.5,318.4,2117758
2024-08-08,318.0,359.95,316.2,350.8,3158134
2024-08-09,373.7,385.0,355.2,375.95,2685445
2024-08-12,376.9,392.25,372.55,384.6,2156829
2024-08-13,385.0,398.0,347.0,359.2,3140432
2024-08-14,360.1,363.95,336.4,339.6,1085963
2024-08-16,344.85,359.75,344.85,353.55,658223
2024-08-19,355.5,369.9,351.95,354.8,833428
2024-08-20,356.1,365.4,352.4,361.15,548664
2024-08-21,363.05,418.0,363.05,410.25,3528468
2024-08-22,413.0,431.0,407.2,417.25,2302629
2024-08-23,417.7,433.9,403.85,428.6,1290801
2024-08-26,432.9,438.7,411.8,417.9,664001
2024-08-27,416.5,422.6,409.1,412.35,344569
2024-08-28,411.25,435.45,409.55,427.4,726103
2024-08-29,428.0,439.0,416.35,419.1,457044
2024-08-30,420.5,423.35,414.15,415.85,257917
2024-09-02,417.5,438.0,414.0,421.05,708198
2024-09-03,414.0,427.7,414.0,418.7,536895
2024-09-04,414.0,433.7,411.0,423.8,598438
2024-09-05,425.9,439.2,425.0,430.3,655820
2024-09-06,432.0,439.0,412.35,414.85,561073
2024-09-09,415.0,415.85,391.3,399.15,521020
2024-09-10,402.3,414.0,401.0,403.9,319384
2024-09-11,403.8,403.8,386.55,393.0,564330
2024-09-12,396.0,401.75,387.45,393.3,251034
2024-09-13,390.6,404.0,387.05,397.95,260968
2024-09-16,399.85,406.0,387.15,390.25,379561
2024-09-17,389.9,389.9,376.7,382.25,387580
2024-09-18,384.45,388.75,374.15,377.2,319081
2024-09-19,382.0,382.25,358.4,362.0,571187
2024-09-20,364.6,400.0,364.45,393.4,860595
2024-09-23,393.7,400.05,388.4,390.8,299070
2024-09-24,395.0,413.4,394.05,409.3,828257
2024-09-25,409.95,425.95,409.5,412.7,531832
2024-09-26,412.65,412.65,394.4,397.15,329499
2024-09-27,397.15,406.75,383.0,391.0,380541
2024-09-30,389.85,395.2,380.0,386.45,361671
2024-10-01,388.95,393.45,382.6,384.75,164266
2024-10-03,376.95,396.0,375.2,377.95,308356
2024-10-04,377.75,382.0,365.3,380.1,367840
2024-10-07,382.9,384.75,352.7,355.0,431353
2024-10-08,354.95,385.0,353.0,382.6,427289
2024-10-09,382.5,389.8,377.1,378.75,185248
2024-10-10,380.0,389.85,378.0,387.05,254875
2024-10-11,388.4,395.0,374.05,379.25,280597
2024-10-14,381.45,394.0,377.15,391.7,258452
2024-10-15,393.8,427.55,387.3,421.45,883304
2024-10-16,422.9,463.1,419.55,443.15,2410424
2024-10-17,446.75,454.0,430.1,433.35,641379
2024-10-18,436.1,455.0,421.55,447.1,897077
2024-10-21,450.55,484.8,450.55,470.85,1363779
2024-10-22,471.0,479.0,438.0,442.3,1257860
