,open,high,low,close,volume
2016-12-16,1515.35,1543.85,1515.35,1540.55,620
2016-12-19,1540.55,1540.6,1520.65,1536.5,572
2016-12-20,1506.6,1528.2,1493.05,1513.1,2289
2016-12-21,1536.15,1536.15,1506.6,1517.85,913
2016-12-22,1538.95,1538.95,1483.55,1494.55,965
2016-12-23,1510.15,1510.15,1485.55,1493.85,2200
2016-12-26,1525.45,1525.45,1458.55,1496.3,657
2016-12-27,1466.65,1539.0,1466.65,1524.95,728
2016-12-28,1547.1,1547.85,1499.05,1537.2,581
2016-12-29,1498.55,1593.0,1498.55,1563.7,863
2016-12-30,1566.0,1641.6,1558.2,1616.7,2165
2017-01-02,1584.35,1617.0,1584.35,1616.15,874
2017-01-03,1617.85,1617.85,1600.5,1617.2,313
2017-01-04,1617.85,1617.85,1600.2,1612.4,144996
2017-01-05,1614.6,1619.85,1602.75,1614.75,374
2017-01-06,1636.15,1636.15,1604.0,1617.0,376
2017-01-09,1646.35,1646.35,1593.0,1607.6,411
2017-01-10,1606.5,1619.45,1583.6,1612.1,1022
2017-01-11,1620.0,1638.35,1601.25,1624.3,1126
2017-01-12,1646.35,1652.4,1609.75,1633.35,2778
2017-01-13,1633.35,1646.95,1620.55,1636.85,1617
2017-01-16,1620.0,1652.4,1563.3,1633.45,1496
2017-01-17,1641.55,1668.5,1623.8,1641.3,1202
2017-01-18,1662.65,1663.15,1623.25,1644.6,1389
2017-01-19,1633.55,1663.2,1620.0,1645.6,1337
2017-01-20,1646.95,1647.0,1620.55,1632.2,1689
2017-01-23,1633.45,1659.95,1625.4,1649.8,394
2017-01-24,1657.25,1779.3,1630.8,1692.05,3228
2017-01-25,1700.45,1736.05,1685.45,1728.35,1215
2017-01-27,1744.15,1744.15,1698.4,1724.1,1630
2017-01-30,1694.55,1730.7,1694.55,1720.35,1643
2017-01-31,1738.8,1738.8,1709.1,1719.75,643
2017-02-01,1728.0,1755.0,1701.0,1730.95,1798
2017-02-02,1723.2,1730.7,1708.0,1727.75,833
2017-02-03,1725.3,1751.7,1707.25,1738.0,1215
2017-02-06,1719.95,1752.3,1717.2,1744.7,1337
2017-02-07,1749.65,1943.45,1685.35,1857.05,16169
2017-02-08,1916.45,1963.45,1872.35,1904.2,6613
2017-02-09,1874.35,1934.8,1853.85,1882.4,1267
2017-02-10,1932.65,1932.65,1879.2,1901.45,2004
2017-02-13,1900.75,1934.8,1874.9,1893.6,1102
2017-02-14,1906.2,1906.2,1869.65,1887.2,902
2017-02-15,1890.0,1907.8,1838.75,1849.65,1526
2017-02-16,1849.45,1852.2,1795.5,1846.8,3159
2017-02-17,1862.45,1862.45,1819.8,1824.9,3535
2017-02-20,1816.55,1852.15,1792.8,1797.1,2939
2017-02-21,1784.75,1795.5,1765.8,1786.1,5589
2017-02-22,1819.25,1829.5,1768.55,1807.7,1415
2017-02-23,1782.0,1834.9,1782.0,1822.55,1296
2017-02-27,1820.7,1835.8,1809.0,1833.35,2456
2017-02-28,1833.3,1833.3,1808.45,1824.1,1065
2017-03-01,1836.0,1836.0,1797.15,1814.4,2556
2017-03-02,1803.55,1825.15,1790.9,1804.35,3456
2017-03-03,1782.6,1816.85,1782.6,1794.25,1689
2017-03-06,1818.55,1821.95,1773.9,1811.8,1281
2017-03-07,1824.8,1824.8,1783.9,1799.15,2204
2017-03-08,1803.25,1803.25,1771.75,1776.5,350
2017-03-09,1782.05,1812.25,1742.1,1794.95,1817
2017-03-10,1759.05,1817.1,1759.05,1800.15,952
2017-03-14,1802.0,1820.85,1793.35,1808.55,1048
2017-03-15,1803.2,1819.75,1787.4,1795.65,1141
2017-03-16,1809.0,1825.2,1773.35,1809.7,2778
2017-03-17,1814.45,1828.95,1804.7,1812.45,1983
2017-03-20,1835.9,1835.9,1794.95,1807.5,744
2017-03-21,1806.25,1813.85,1785.3,1808.45,1030
2017-03-22,1812.8,1816.0,1783.35,1811.45,2398
2017-03-23,1804.7,1884.55,1785.55,1841.15,3891
2017-03-24,1847.35,1885.15,1825.2,1873.65,2985
2017-03-27,1906.2,1906.2,1836.25,1869.0,556
2017-03-28,1855.4,1861.35,1838.7,1847.15,2550
2017-03-29,1863.0,2157.3,1836.55,2049.0,36393
2017-03-30,2025.55,2046.6,1950.5,1996.35,4085
2017-03-31,1988.8,2036.35,1922.55,1966.85,2128
2017-04-03,1923.5,2042.3,1923.5,1982.6,3770
2017-04-05,1972.1,2019.6,1958.1,1995.25,4070
2017-04-06,1979.25,2037.95,1976.4,2009.65,3607
2017-04-07,1988.3,2069.95,1988.3,2049.4,2580
2017-04-10,2026.45,2102.2,2026.45,2068.5,1769
2017-04-11,2052.0,2106.0,2033.15,2087.85,1639
2017-04-12,2095.2,2132.45,2052.0,2116.3,2224
2017-04-13,2093.05,2157.15,2093.05,2145.8,1996
2017-04-17,2119.5,2257.2,2119.5,2204.8,2756
2017-04-18,2192.4,2260.45,2171.4,2211.7,2070
2017-04-19,2219.5,2293.9,2203.6,2237.45,2574
2017-04-20,2235.6,2313.9,2235.6,2296.1,5752
2017-04-21,2273.4,2391.65,2273.4,2339.75,4343
2017-04-24,2324.7,2402.8,2324.7,2378.85,2531
2017-04-25,2376.0,2438.65,2358.75,2393.1,3657
2017-04-26,2365.2,2438.6,2357.2,2404.1,3056
2017-04-27,2403.0,2423.5,2362.3,2372.2,1659
2017-04-28,2365.2,2397.55,2306.35,2333.0,1830
2017-05-02,2386.25,2386.25,2306.9,2336.25,1426
2017-05-03,2338.2,2402.45,2262.6,2316.75,4822
2017-05-04,2212.4,2364.1,2197.0,2279.65,8080
2017-05-05,2322.0,2322.0,2269.1,2308.75,1596
2017-05-08,2315.2,2341.45,2285.85,2304.65,1943
2017-05-09,2281.5,2305.25,2241.55,2252.6,2063
2017-05-10,2258.7,2288.5,2001.65,2234.3,29583
2017-05-11,2236.15,2278.85,2201.6,2228.3,6517
2017-05-12,2228.3,2228.3,2187.0,2208.2,2089
2017-05-15,2182.1,2228.05,2166.5,2196.45,1233
2017-05-16,2196.5,2265.3,2185.4,2224.7,2300
2017-05-17,2265.3,2265.3,2188.1,2206.7,1476
2017-05-18,2165.4,2209.7,2165.4,2197.05,1294
2017-05-19,2160.85,2210.2,2160.85,2197.65,1517
2017-05-22,2187.05,2222.65,2174.2,2204.8,1607
2017-05-23,2173.5,2200.5,2120.05,2193.05,2150
2017-05-24,2174.35,2208.6,2151.9,2195.65,124289
2017-05-25,2182.8,2207.45,2160.95,2192.35,2104
2017-05-26,2191.3,2220.5,2161.1,2209.9,2159
2017-05-29,2213.45,2216.65,2180.65,2193.05,665
2017-05-30,2192.4,2211.3,2170.85,2205.75,1091
2017-05-31,2190.15,2318.75,2190.15,2271.8,3430
2017-06-01,2273.4,2360.9,2273.4,2319.8,3887
2017-06-02,2322.0,2348.9,2273.95,2299.9,11702
2017-06-05,2273.95,2310.1,2242.25,2281.05,1331
2017-06-06,2309.0,2332.55,2253.95,2312.05,1176
2017-06-07,2327.4,2327.4,2246.4,2268.65,2865
