,open,high,low,close,volume
2016-12-16,208.9,208.9,203.65,207.15,25135
2016-12-19,204.55,208.2,204.1,205.4,28523
2016-12-20,204.0,207.1,204.0,204.55,23012
2016-12-21,205.1,205.1,202.75,202.75,25146
2016-12-22,200.1,208.0,200.0,202.7,5170
2016-12-23,202.0,204.55,201.35,201.95,297
2016-12-26,200.0,204.45,200.0,201.5,3817
2016-12-27,200.0,229.1,200.0,216.4,417934
2016-12-28,214.55,217.25,209.1,210.25,66077
2016-12-29,207.45,217.75,207.45,215.1,19426
2016-12-30,215.1,220.45,212.3,218.65,27962
2017-01-02,219.55,220.9,214.65,218.25,49995
2017-01-03,218.2,219.75,215.55,218.2,28952
2017-01-04,215.65,221.45,215.65,218.25,23639
2017-01-05,215.9,220.2,215.9,218.25,27302
2017-01-06,218.35,221.35,217.75,219.45,28611
2017-01-09,217.8,222.5,217.8,220.4,65813
2017-01-10,219.1,222.75,218.25,220.05,13475
2017-01-11,220.05,223.35,220.05,223.05,16808
2017-01-12,222.55,223.2,221.8,222.85,4873
2017-01-13,222.65,223.2,221.8,222.9,15048
2017-01-16,222.9,223.1,222.75,222.9,4829
2017-01-17,222.75,225.45,222.75,225.0,6303
2017-01-18,225.45,226.8,221.35,222.35,7216
2017-01-19,219.3,225.45,219.3,222.35,6919
2017-01-20,219.45,224.55,219.1,219.75,9504
2017-01-23,225.0,227.05,219.35,223.7,9680
2017-01-24,222.0,229.1,222.0,223.6,18524
2017-01-25,221.45,225.7,220.9,222.1,12881
2017-01-27,220.5,222.75,218.2,219.4,11704
2017-01-30,221.55,221.8,218.8,219.75,17886
2017-01-31,217.1,220.45,216.85,218.45,15741
2017-02-01,214.85,228.2,214.8,223.55,33638
2017-02-02,221.35,228.2,221.35,227.75,39732
2017-02-03,229.1,232.4,227.3,229.6,19327
2017-02-06,229.6,249.8,227.25,239.1,67672
2017-02-07,239.1,245.35,236.35,240.6,20317
2017-02-08,245.2,251.8,237.75,241.4,33528
2017-02-09,238.4,246.25,238.4,243.4,6941
2017-02-10,246.35,250.7,245.45,248.3,29953
2017-02-13,250.0,252.45,243.75,246.5,24838
2017-02-14,247.3,248.05,245.45,245.95,4895
2017-02-15,250.0,250.8,243.75,248.1,31878
2017-02-16,248.0,252.1,247.25,250.7,31471
2017-02-17,251.9,253.55,247.55,248.15,10307
2017-02-20,245.0,256.3,245.0,253.85,39523
2017-02-21,250.5,252.65,247.75,250.3,30800
2017-02-22,247.3,250.05,247.3,247.8,4367
2017-02-23,247.9,250.0,245.45,246.35,4257
2017-02-27,248.2,248.85,245.45,245.55,7491
2017-02-28,246.55,248.0,244.35,244.6,16588
2017-03-01,245.45,251.2,244.55,250.55,12122
2017-03-02,251.6,251.6,245.45,248.7,17182
2017-03-03,247.1,250.9,246.4,248.2,8481
2017-03-06,250.6,250.9,246.1,248.4,8723
2017-03-07,249.1,249.1,246.35,246.8,18469
2017-03-08,246.65,247.25,245.45,245.95,2299
2017-03-09,245.45,250.0,245.45,245.45,11286
2017-03-10,247.8,248.2,241.8,243.4,21065
2017-03-14,245.45,249.85,241.3,242.95,17732
2017-03-15,241.0,243.65,237.75,239.55,40073
2017-03-16,242.75,242.75,239.5,239.7,29953
2017-03-17,242.05,266.85,239.7,257.35,596475
2017-03-20,259.9,260.9,252.25,257.3,67705
2017-03-21,260.0,281.8,259.9,262.9,349217
2017-03-22,263.65,267.2,253.8,256.7,47047
2017-03-23,258.2,266.35,255.0,260.95,44198
2017-03-24,263.65,263.65,257.7,258.2,14608
2017-03-27,257.65,257.9,253.3,255.4,18403
2017-03-28,262.75,268.2,255.55,264.1,67012
2017-03-29,264.1,264.55,258.65,260.5,50644
2017-03-30,258.4,264.55,252.7,257.35,36421
2017-03-31,257.55,263.25,257.55,260.75,11726
2017-04-03,270.9,270.9,257.35,260.4,15895
2017-04-05,255.5,263.65,255.5,260.9,10934
2017-04-06,259.75,265.9,258.9,262.75,10945
2017-04-07,265.45,268.45,260.1,265.7,25509
2017-04-10,266.1,268.1,260.1,264.45,15224
2017-04-11,262.95,271.8,262.95,269.55,21263
2017-04-12,269.75,273.65,267.55,272.1,19866
2017-04-13,271.75,281.75,269.35,280.8,43109
2017-04-17,275.1,293.6,275.1,289.65,44715
2017-04-18,294.45,294.45,279.8,282.2,40392
2017-04-19,282.2,282.85,270.45,274.45,54406
2017-04-20,275.75,279.3,274.1,274.75,110176
2017-04-21,274.55,280.6,274.55,278.6,57244
2017-04-24,281.4,282.25,276.95,279.65,30019
2017-04-25,281.8,281.8,275.95,277.3,20779
2017-04-26,280.75,281.1,277.25,278.15,18986
2017-04-27,277.25,280.0,277.25,279.55,12309
2017-04-28,278.2,278.2,275.0,277.1,9713
2017-05-02,279.55,279.55,277.75,278.75,8470
2017-05-03,278.65,281.75,277.75,279.1,8679
2017-05-04,281.65,283.55,276.4,277.3,9185
2017-05-05,282.75,282.75,274.55,276.0,19459
2017-05-08,275.0,275.1,272.75,273.45,7733
2017-05-09,275.45,275.45,270.0,270.45,4180
2017-05-10,270.45,273.65,270.45,272.7,5830
2017-05-11,270.45,275.45,270.0,272.55,6941
2017-05-12,274.1,277.15,272.75,273.3,3718
2017-05-15,278.2,280.0,272.75,274.45,9020
2017-05-16,275.1,276.35,270.3,272.15,5577
2017-05-17,280.0,280.0,268.4,268.95,8910
2017-05-18,270.45,273.45,268.95,270.55,2365
2017-05-19,272.7,279.1,268.2,269.35,45177
2017-05-22,276.9,276.9,268.45,272.85,66209
2017-05-23,273.55,276.45,270.25,276.25,47938
2017-05-24,274.95,277.75,274.55,276.7,36421
2017-05-25,275.45,286.2,275.0,281.85,12947
2017-05-26,281.75,290.0,281.75,284.55,5236
2017-05-29,287.5,289.05,281.8,281.8,9042
2017-05-30,282.75,284.45,281.65,284.15,4719
2017-05-31,284.15,286.45,281.8,282.1,11836
2017-06-01,286.35,286.35,280.9,281.7,7931
2017-06-02,281.8,284.75,279.45,280.45,55726
2017-06-05,286.15,288.2,281.8,281.85,20086
2017-06-06,287.4,287.4,279.15,282.15,2156
2017-06-07,285.45,285.45,281.8,281.85,10065
2017-06-08,280.0,285.8,280.0,281.9,13728
2017-06-09,280.0,286.35,279.55,282.35,15565
2017-06-12,286.25,288.2,282.8,286.1,11385
2017-06-13,282.75,288.2,282.75,288.0,5060
2017-06-14,282.9,295.45,282.9,291.0,107712
2017-06-15,295.35,304.3,291.4,299.4,49148
2017-06-16,300.0,301.3,293.8,294.6,12419
2017-06-19,298.1,298.1,290.9,291.9,9108
2017-06-20,291.8,317.25,291.15,308.95,52558
2017-06-21,308.2,313.1,299.9,302.8,18480
2017-06-22,300.2,314.35,298.8,299.2,18062
2017-06-23,302.65,305.55,295.65,300.85,8822
2017-06-27,297.75,307.5,291.85,303.8,11462
2017-06-28,297.7,303.05,293.8,299.1,40084
2017-06-29,297.65,312.25,291.8,294.15,16797
2017-06-30,292.0,331.8,291.35,324.3,184338
2017-07-03,332.1,352.25,332.1,338.55,351571
2017-07-04,335.25,338.0,327.4,330.3,54637
2017-07-05,327.6,340.7,327.45,330.1,28083
2017-07-06,330.1,340.9,325.0,328.9,61380
2017-07-07,327.25,335.45,327.25,332.0,13618
2017-07-10,332.0,336.35,315.55,329.55,6908
2017-07-11,333.65,336.0,328.1,329.2,10263
2017-07-12,335.2,335.2,325.9,329.65,15411
2017-07-13,327.75,332.45,327.75,330.65,26411
2017-07-14,328.9,331.1,325.45,328.25,16412
2017-07-17,328.3,328.3,323.45,324.8,7887
2017-07-18,300.0,318.1,296.8,298.25,253264
2017-07-19,304.9,305.6,296.25,303.9,62667
2017-07-20,306.25,308.0,304.55,306.75,22836
2017-07-21,309.1,311.35,306.55,308.2,25795
2017-07-24,305.2,310.9,297.7,303.35,49445
2017-07-25,300.3,301.8,293.1,293.75,20009
2017-07-26,291.9,298.2,286.85,290.05,18161
2017-07-27,291.6,292.75,282.5,283.95,12903
2017-07-28,286.35,288.6,281.1,283.55,13156
2017-07-31,288.2,288.2,280.15,281.85,17094
2017-08-01,285.9,285.9,272.8,274.25,36630
2017-08-02,279.55,280.9,261.55,271.3,27610
2017-08-03,271.8,276.25,266.9,267.2,24343
2017-08-04,265.9,267.7,263.2,263.75,20636
2017-08-07,263.75,266.35,262.55,263.8,37070
2017-08-08,266.35,270.9,263.2,265.8,14212
2017-08-09,263.65,264.1,250.1,253.15,24035
2017-08-10,253.2,255.45,245.45,246.05,26466
2017-08-11,246.1,249.25,236.35,238.35,50677
2017-08-14,235.55,249.25,235.55,245.05,18337
2017-08-16,241.45,266.4,241.45,255.55,93137
2017-08-17,257.65,270.55,254.55,261.65,96052
2017-08-18,263.5,266.35,254.1,255.3,52195
2017-08-21,254.55,260.2,250.0,250.9,16720
2017-08-22,248.65,254.55,246.55,248.55,13101
2017-08-23,246.85,250.45,243.65,247.35,13156
2017-08-24,248.2,249.65,243.65,244.7,12958
2017-08-28,244.05,251.45,244.05,245.9,13057
2017-08-29,244.1,250.0,244.1,246.45,17138
2017-08-30,249.1,250.55,244.55,246.45,7898
2017-08-31,245.45,248.8,245.45,247.45,6644
2017-09-01,249.9,254.15,248.2,249.65,11055
2017-09-04,249.1,249.65,245.7,248.3,20130
2017-09-05,245.9,251.2,245.9,247.8,6402
2017-09-06,247.75,249.95,246.9,247.25,6963
2017-09-07,249.1,251.35,241.35,246.8,844800
2017-09-08,248.2,249.1,243.9,245.15,7436
2017-09-11,245.45,252.65,244.55,248.3,20449
2017-09-12,245.55,254.3,245.5,252.0,7942
2017-09-13,252.8,259.9,250.0,257.75,13156
2017-09-14,255.9,262.75,254.55,258.15,9548
2017-09-15,261.45,261.45,253.35,255.85,10989
2017-09-18,255.9,257.8,254.1,256.45,11935
2017-09-19,255.55,258.2,255.45,257.3,4983
2017-09-20,257.25,260.45,254.75,258.8,20757
2017-09-21,260.75,263.2,254.55,255.75,31790
2017-09-22,255.3,259.95,254.55,257.75,11803
2017-09-25,260.9,260.9,254.75,256.85,10989
2017-09-26,254.55,263.65,254.4,259.75,76164
2017-09-27,261.35,261.8,254.85,258.5,21626
2017-09-28,256.4,259.1,255.9,258.5,5599
2017-09-29,255.95,261.8,255.95,259.2,5709
2017-10-03,262.35,262.35,254.6,256.85,14454
2017-10-04,254.8,260.55,254.8,258.55,6369
2017-10-05,261.75,261.75,254.65,258.6,8569
2017-10-06,258.2,261.7,258.2,260.95,15114
2017-10-09,258.35,274.55,258.35,272.35,29128
2017-10-10,276.2,276.25,268.3,272.9,9625
2017-10-11,273.2,276.2,270.0,272.2,20911
2017-10-12,275.0,276.35,270.15,273.35,6831
2017-10-13,277.25,277.25,272.25,272.75,9295
2017-10-16,276.8,276.85,272.7,273.2,9812
2017-10-17,275.7,280.5,272.75,279.5,10692
2017-10-18,280.8,283.7,279.1,282.1,12639
2017-10-23,275.1,284.55,275.0,282.75,15895
2017-10-24,281.1,284.45,272.75,273.75,125565
2017-10-25,277.85,280.45,274.75,279.15,6897
2017-10-26,275.6,284.55,274.15,281.05,7051
2017-10-27,277.45,286.3,277.45,282.8,9636
2017-10-30,279.55,291.8,279.55,283.65,50292
2017-10-31,281.8,290.9,281.8,286.3,12298
2017-11-01,296.65,302.25,296.65,300.9,69883
2017-11-02,298.7,320.45,297.8,313.0,65087
2017-11-03,313.8,323.2,306.35,310.7,9735
2017-11-06,310.7,310.7,304.35,306.35,5423
2017-11-07,305.45,310.7,305.1,308.85,25751
2017-11-08,305.8,311.8,305.8,310.0,25795
2017-11-09,312.75,312.75,308.65,311.5,23716
2017-11-10,312.75,312.75,308.4,312.1,24398
2017-11-13,313.25,313.25,307.45,309.2,3003
2017-11-14,309.1,309.1,301.35,307.95,6831
2017-11-15,306.8,312.2,301.9,309.1,67166
2017-11-16,306.3,312.45,306.25,309.7,8745
2017-11-17,312.25,316.95,312.25,314.6,10340
2017-11-20,317.2,317.25,314.2,316.25,7194
2017-11-21,318.2,319.55,314.45,318.5,9251
2017-11-22,318.2,318.2,315.3,316.05,6281
2017-11-23,316.05,316.05,305.85,307.35,7018
2017-11-24,311.35,315.6,307.35,309.95,3509
2017-11-27,309.95,312.75,309.1,309.75,6864
2017-11-28,312.75,315.9,305.05,309.5,219450
2017-11-29,312.25,312.25,306.8,308.45,114488
2017-11-30,306.8,307.25,294.35,297.4,20240
2017-12-01,297.9,301.3,295.45,298.3,4796
2017-12-04,301.45,301.45,289.75,291.1,67155
2017-12-05,289.3,294.45,284.55,286.55,15686
2017-12-06,290.8,290.85,286.35,288.5,9658
2017-12-07,285.65,290.9,284.2,289.35,18007
2017-12-08,290.9,290.9,286.35,287.0,18392
2017-12-11,287.0,291.45,287.0,288.85,81829
2017-12-12,287.05,293.1,287.05,290.7,6963
2017-12-13,289.2,296.2,289.2,292.0,17325
2017-12-14,289.85,295.45,289.85,291.7,14641
2017-12-15,291.75,304.55,291.75,295.25,11946
2017-12-18,292.35,295.45,292.3,294.6,6270
2017-12-19,296.35,296.35,292.95,294.6,6358
2017-12-20,294.55,300.0,291.7,295.1,75526
2017-12-21,299.45,299.8,293.65,294.05,6072
2017-12-22,295.45,295.45,293.75,295.45,2189
2017-12-26,297.2,300.0,295.45,297.1,4818
2017-12-27,300.0,306.2,280.0,284.35,31933
2017-12-28,285.05,292.5,285.05,290.0,5698
2017-12-29,288.3,291.65,288.3,291.55,5357
2018-01-01,291.35,291.35,287.75,289.05,7491
2018-01-02,293.4,293.4,287.25,288.55,7557
2018-01-03,290.8,290.8,287.3,288.25,1749
2018-01-04,288.6,298.2,285.1,286.9,20031
2018-01-05,290.9,294.1,289.55,291.4,7073
2018-01-08,288.55,294.1,288.55,290.25,9537
2018-01-09,287.75,291.25,286.75,288.9,5115
2018-01-10,293.2,293.2,288.2,290.25,8129
2018-01-11,294.0,294.0,284.65,286.1,30371
2018-01-12,286.45,293.35,285.45,290.3,20449
2018-01-15,287.75,290.3,286.45,287.05,16170
2018-01-16,287.0,289.5,284.65,288.15,6864
2018-01-17,289.75,289.75,281.8,285.45,256476
2018-01-18,288.8,288.8,271.8,275.3,34518
2018-01-19,280.65,294.6,270.5,283.45,206272
2018-01-22,283.45,285.35,281.65,282.0,42889
2018-01-23,289.1,292.7,279.15,291.3,45463
2018-01-24,294.9,298.2,292.75,297.45,22880
2018-01-25,302.35,302.8,297.8,300.9,16082
2018-01-29,309.0,309.0,300.0,300.65,19162
2018-01-30,300.65,306.3,297.75,299.95,48565
2018-01-31,299.1,299.6,293.65,295.45,60610
2018-02-01,300.0,307.25,286.7,304.5,77055
2018-02-02,309.1,309.1,300.1,304.5,28490
2018-02-05,302.75,302.75,283.8,290.0,21274
2018-02-06,288.75,288.75,283.3,284.5,26675
2018-02-07,290.45,290.55,286.45,290.2,23111
2018-02-08,290.2,293.2,290.0,290.6,7359
2018-02-09,292.75,300.0,286.35,291.65,15037
2018-02-12,295.55,297.25,286.4,295.4,19811
2018-02-14,291.8,297.75,291.8,297.15,15499
2018-02-15,300.0,300.0,296.05,298.7,8591
2018-02-16,299.0,302.75,299.0,301.7,15279
2018-02-19,305.35,305.35,296.35,296.6,15026
2018-02-20,296.65,302.65,296.65,300.85,12023
2018-02-21,303.0,303.0,291.0,292.8,12628
2018-02-22,294.55,300.0,294.55,298.55,4576
2018-02-23,304.1,304.1,293.65,295.5,9383
2018-02-26,302.65,302.65,289.1,291.35,19250
2018-02-27,294.55,300.0,289.55,296.35,5016
2018-02-28,297.75,297.75,287.45,288.8,8492
2018-03-01,290.9,294.55,287.4,288.2,9460
2018-03-05,292.45,296.8,282.8,284.35,5874
2018-03-06,288.6,290.45,268.3,272.35,16731
2018-03-07,272.35,274.1,265.9,267.8,13684
2018-03-08,271.25,272.25,265.9,267.75,5269
2018-03-09,271.55,271.55,263.65,269.9,8305
2018-03-12,273.55,273.55,266.35,267.4,11946
2018-03-13,270.45,271.8,250.1,255.9,59345
2018-03-14,256.35,270.0,256.35,269.5,35794
2018-03-15,271.75,271.8,265.5,269.95,4873
2018-03-16,267.25,271.75,267.25,268.85,6688
2018-03-19,271.75,271.75,263.45,267.05,11781
2018-03-20,267.75,267.75,264.55,265.55,2684
2018-03-21,269.5,271.7,263.65,264.25,4719
2018-03-22,265.1,270.45,264.3,265.65,6567
2018-03-23,264.25,268.65,264.25,265.15,11220
2018-03-26,265.1,269.3,262.9,265.35,6545
2018-03-27,264.6,269.1,264.55,265.25,5874
2018-03-28,268.0,268.2,263.85,266.9,5346
2018-04-02,269.1,278.6,265.9,273.9,11517
2018-04-03,278.2,281.35,275.5,278.15,4158
2018-04-04,280.55,289.1,276.8,281.5,7755
2018-04-05,278.75,290.75,278.75,285.4,13761
2018-04-06,289.1,289.7,283.75,288.25,8008
2018-04-09,285.9,290.0,279.6,282.45,25157
2018-04-10,282.45,285.45,281.8,282.25,19910
2018-04-11,284.35,289.0,277.35,279.9,55088
2018-04-12,282.65,288.65,277.25,281.35,162833
2018-04-13,285.0,285.0,280.9,282.65,33968
2018-04-16,281.8,284.1,280.9,282.0,16841
2018-04-17,284.35,284.55,281.8,282.95,23727
2018-04-18,284.65,284.65,280.45,280.45,37323
2018-04-19,286.25,286.25,264.2,278.8,39325
2018-04-20,280.9,281.35,271.75,280.25,18942
2018-04-23,284.2,284.2,280.8,281.35,5775
2018-04-24,282.55,282.55,278.05,281.6,12045
2018-04-25,282.35,282.35,277.2,277.35,37620
2018-04-26,281.8,281.8,274.8,276.65,806696
2018-04-27,273.9,280.0,273.9,278.3,9735
2018-04-30,279.15,280.9,275.75,277.3,6402
2018-05-02,277.65,280.2,275.45,277.05,4246
2018-05-03,278.15,280.9,273.65,276.2,9823
2018-05-04,278.05,279.8,275.0,278.05,4345
2018-05-07,279.2,280.9,279.1,280.7,16544
2018-05-08,281.8,281.8,277.8,278.2,6248
2018-05-09,281.35,281.35,275.35,277.8,9405
2018-05-10,281.35,281.35,275.55,276.95,4851
2018-05-11,275.55,278.15,275.05,277.8,5291
2018-05-14,280.9,286.35,277.25,277.5,16203
2018-05-15,277.6,283.65,277.3,281.9,19635
2018-05-16,283.3,283.45,275.65,278.85,14553
2018-05-17,277.45,282.8,276.8,281.9,53460
2018-05-18,282.75,282.75,281.75,282.1,9438
2018-05-21,284.1,284.55,277.85,282.3,4158
2018-05-22,277.3,281.35,276.0,279.0,10362
