,open,high,low,close,volume
2023-12-18 03:45:00+00:00,30832.05,31175.7,30832.05,31174.3,53
2023-12-18 03:50:00+00:00,31158.1,31388.0,31130.0,31331.55,113
2023-12-18 03:55:00+00:00,31345.55,31345.55,31250.15,31250.15,31
2023-12-18 04:00:00+00:00,31250.15,31304.25,31191.4,31273.8,7
2023-12-18 04:05:00+00:00,31273.8,31274.1,31222.75,31274.1,11
2023-12-18 04:10:00+00:00,31274.1,31309.8,31274.1,31290.75,8
2023-12-18 04:15:00+00:00,31290.75,31395.1,31290.75,31347.25,14
2023-12-18 04:20:00+00:00,31347.25,31347.25,31188.85,31219.3,44
2023-12-18 04:25:00+00:00,31219.3,31220.0,31167.6,31168.0,14
2023-12-18 04:30:00+00:00,31168.0,31198.7,31129.6,31198.7,7
2023-12-18 04:35:00+00:00,31198.7,31200.0,31186.9,31186.9,5
2023-12-18 04:40:00+00:00,31186.9,31186.9,31129.6,31129.6,8
2023-12-18 04:45:00+00:00,31129.6,31133.5,31050.05,31102.55,33
2023-12-18 04:50:00+00:00,31102.55,31180.15,31102.55,31174.45,47
2023-12-18 04:55:00+00:00,31174.45,31250.25,31174.45,31250.15,42
2023-12-18 05:00:00+00:00,31250.15,31250.25,31250.15,31250.25,6
2023-12-18 05:05:00+00:00,31250.25,31250.3,31227.85,31227.85,6
2023-12-18 05:10:00+00:00,31227.85,31228.0,31220.0,31220.0,7
2023-12-18 05:15:00+00:00,31220.0,31247.95,31220.0,31220.65,6
2023-12-18 05:20:00+00:00,31220.65,31220.65,31200.0,31200.0,1
2023-12-18 05:25:00+00:00,31200.0,31244.25,31200.0,31243.95,2
2023-12-18 05:30:00+00:00,31243.95,31250.3,31243.15,31250.3,3
2023-12-18 05:35:00+00:00,31250.3,31250.3,31215.85,31224.85,6
2023-12-18 05:40:00+00:00,31224.85,31247.9,31176.1,31239.2,16
2023-12-18 05:45:00+00:00,31239.2,31247.7,31239.2,31247.7,1
2023-12-18 05:50:00+00:00,31247.7,31250.85,31247.7,31247.95,115
2023-12-18 05:55:00+00:00,31247.95,31250.85,31247.95,31250.85,3
2023-12-18 06:00:00+00:00,31250.85,31250.85,31234.05,31234.2,9
2023-12-18 06:05:00+00:00,31234.2,31250.95,31234.2,31250.95,53
2023-12-18 06:10:00+00:00,31250.95,31250.95,31250.95,31250.95,4
2023-12-18 06:15:00+00:00,31250.95,31250.95,31192.0,31192.0,39
2023-12-18 06:20:00+00:00,31192.0,31192.0,31175.95,31175.95,3
2023-12-18 06:25:00+00:00,31175.95,31191.85,31160.0,31160.6,9
2023-12-18 06:30:00+00:00,31160.6,31160.6,31160.6,31160.6,0
2023-12-18 06:35:00+00:00,31160.6,31226.9,31160.6,31213.5,21
2023-12-18 06:40:00+00:00,31213.5,31239.05,31213.5,31236.85,3
2023-12-18 06:45:00+00:00,31236.85,31236.85,31236.85,31236.85,0
2023-12-18 06:50:00+00:00,31226.2,31226.2,31212.05,31212.05,2
2023-12-18 06:55:00+00:00,31212.05,31234.9,31193.35,31193.35,16
2023-12-18 07:00:00+00:00,31193.35,31216.6,31163.0,31216.6,5
2023-12-18 07:05:00+00:00,31216.6,31216.6,31216.6,31216.6,0
2023-12-18 07:10:00+00:00,31216.6,31229.95,31192.8,31193.05,6
2023-12-18 07:15:00+00:00,31193.05,31193.05,31193.05,31193.05,0
2023-12-18 07:20:00+00:00,31193.05,31193.05,31192.8,31192.8,2
2023-12-18 07:25:00+00:00,31192.8,31240.35,31192.8,31231.8,11
