,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1228.0,1230.9,1220.0,1230.9,7405
2023-12-18 03:50:00+00:00,1229.0,1237.75,1227.05,1235.95,4509
2023-12-18 03:55:00+00:00,1236.05,1238.85,1230.05,1230.05,9293
2023-12-18 04:00:00+00:00,1230.05,1231.8,1228.5,1230.0,4668
2023-12-18 04:05:00+00:00,1230.0,1231.0,1225.2,1226.8,6170
2023-12-18 04:10:00+00:00,1226.8,1226.95,1225.25,1225.7,1146
2023-12-18 04:15:00+00:00,1225.35,1226.95,1225.35,1226.4,421
2023-12-18 04:20:00+00:00,1226.4,1226.4,1222.0,1223.25,3613
2023-12-18 04:25:00+00:00,1223.25,1225.6,1222.95,1224.4,1593
2023-12-18 04:30:00+00:00,1224.4,1229.2,1224.4,1228.65,709
2023-12-18 04:35:00+00:00,1228.65,1230.0,1227.9,1227.9,522
2023-12-18 04:40:00+00:00,1226.85,1228.8,1226.0,1228.65,1148
2023-12-18 04:45:00+00:00,1228.65,1228.7,1226.1,1226.5,438
2023-12-18 04:50:00+00:00,1226.5,1227.0,1225.25,1227.0,359
2023-12-18 04:55:00+00:00,1227.0,1227.0,1226.3,1226.3,189
2023-12-18 05:00:00+00:00,1226.3,1226.4,1224.95,1224.95,600
2023-12-18 05:05:00+00:00,1224.95,1225.0,1224.2,1224.8,206
2023-12-18 05:10:00+00:00,1224.8,1225.0,1224.0,1224.8,131
2023-12-18 05:15:00+00:00,1224.8,1227.0,1224.6,1224.95,851
2023-12-18 05:20:00+00:00,1224.95,1225.0,1224.5,1224.5,102
2023-12-18 05:25:00+00:00,1224.5,1225.0,1221.15,1221.15,1059
2023-12-18 05:30:00+00:00,1221.0,1223.0,1218.0,1222.1,11359
2023-12-18 05:35:00+00:00,1222.1,1223.0,1221.15,1221.15,174
2023-12-18 05:40:00+00:00,1221.15,1222.05,1220.0,1221.0,975
2023-12-18 05:45:00+00:00,1220.6,1222.3,1220.5,1222.3,224
2023-12-18 05:50:00+00:00,1222.55,1223.0,1218.0,1219.0,2794
2023-12-18 05:55:00+00:00,1219.0,1219.8,1218.1,1219.45,700
2023-12-18 06:00:00+00:00,1219.6,1221.0,1218.7,1220.6,1157
2023-12-18 06:05:00+00:00,1220.6,1223.15,1219.7,1222.8,1609
2023-12-18 06:10:00+00:00,1222.8,1224.8,1221.9,1222.85,2029
2023-12-18 06:15:00+00:00,1222.85,1225.05,1222.05,1222.05,1346
2023-12-18 06:20:00+00:00,1222.05,1222.5,1218.25,1219.3,927
2023-12-18 06:25:00+00:00,1219.3,1221.15,1218.5,1219.0,539
2023-12-18 06:30:00+00:00,1219.0,1219.75,1217.0,1219.0,1487
2023-12-18 06:35:00+00:00,1219.0,1219.75,1217.05,1218.1,375
2023-12-18 06:40:00+00:00,1218.1,1219.2,1216.55,1218.45,675
2023-12-18 06:45:00+00:00,1218.45,1219.8,1217.7,1217.8,289
2023-12-18 06:50:00+00:00,1217.8,1218.5,1217.0,1217.4,725
2023-12-18 06:55:00+00:00,1217.4,1220.0,1213.0,1214.35,3193
2023-12-18 07:00:00+00:00,1214.35,1215.85,1214.2,1214.25,834
2023-12-18 07:05:00+00:00,1214.25,1217.0,1214.15,1215.0,483
2023-12-18 07:10:00+00:00,1215.0,1217.0,1214.4,1215.7,707
2023-12-18 07:15:00+00:00,1215.7,1216.35,1214.5,1216.0,1185
2023-12-18 07:20:00+00:00,1216.0,1217.95,1216.0,1216.0,1194
2023-12-18 07:25:00+00:00,1216.0,1216.0,1211.05,1213.3,3971
2023-12-18 07:30:00+00:00,1213.3,1213.3,1211.0,1211.0,576
2023-12-18 07:35:00+00:00,1211.0,1217.95,1211.0,1214.35,3442
2023-12-18 07:40:00+00:00,1214.35,1214.35,1209.05,1213.05,2495
2023-12-18 07:45:00+00:00,1213.05,1213.45,1212.7,1213.0,761
2023-12-18 07:50:00+00:00,1213.0,1214.95,1213.0,1214.85,1273
2023-12-18 07:55:00+00:00,1214.85,1217.9,1213.55,1217.0,2201
2023-12-18 08:00:00+00:00,1218.4,1218.4,1217.0,1217.0,75
2023-12-18 08:05:00+00:00,1217.0,1220.0,1216.7,1217.55,452
2023-12-18 08:10:00+00:00,1217.55,1219.95,1216.0,1219.2,1097
2023-12-18 08:15:00+00:00,1219.2,1219.95,1216.7,1219.4,2024
2023-12-18 08:20:00+00:00,1219.4,1219.85,1218.05,1218.05,262
2023-12-18 08:25:00+00:00,1218.05,1219.7,1218.05,1218.9,114
2023-12-18 08:30:00+00:00,1218.9,1219.65,1218.2,1218.2,458
2023-12-18 08:35:00+00:00,1218.2,1218.95,1217.0,1217.0,263
2023-12-18 08:40:00+00:00,1217.0,1218.35,1215.85,1218.35,195
2023-12-18 08:45:00+00:00,1218.35,1218.55,1216.35,1216.95,549
2023-12-18 08:50:00+00:00,1216.95,1217.0,1216.7,1217.0,121
2023-12-18 08:55:00+00:00,1217.0,1217.0,1216.7,1217.0,80
2023-12-18 09:00:00+00:00,1217.0,1219.85,1216.7,1219.85,1522
2023-12-18 09:05:00+00:00,1219.85,1219.85,1218.35,1218.35,361
2023-12-18 09:10:00+00:00,1218.35,1218.35,1216.8,1216.8,161
2023-12-18 09:15:00+00:00,1216.8,1217.1,1214.95,1215.0,1714
2023-12-18 09:20:00+00:00,1215.0,1218.15,1215.0,1217.0,1275
2023-12-18 09:25:00+00:00,1217.0,1217.9,1208.95,1210.0,7505
2023-12-18 09:30:00+00:00,1210.0,1213.05,1207.45,1210.35,2752
2023-12-18 09:35:00+00:00,1210.35,1212.95,1202.6,1205.75,8703
2023-12-18 09:40:00+00:00,1205.75,1209.5,1204.2,1205.8,5175
2023-12-18 09:45:00+00:00,1206.35,1208.95,1204.0,1205.5,6099
2023-12-18 09:50:00+00:00,1205.1,1207.6,1205.05,1206.7,6977
2023-12-18 09:55:00+00:00,1206.7,1206.9,1205.0,1205.7,5419
2023-12-19 03:45:00+00:00,1206.15,1218.05,1201.05,1207.7,16526
2023-12-19 03:50:00+00:00,1207.65,1211.15,1205.55,1208.95,1600
2023-12-19 03:55:00+00:00,1209.8,1213.8,1207.2,1211.2,2399
2023-12-19 04:00:00+00:00,1211.2,1217.0,1211.1,1215.1,2987
2023-12-19 04:05:00+00:00,1214.9,1215.75,1212.0,1214.7,1630
2023-12-19 04:10:00+00:00,1214.7,1218.0,1214.7,1216.0,2837
2023-12-19 04:15:00+00:00,1216.0,1220.0,1214.55,1218.85,2120
2023-12-19 04:20:00+00:00,1218.85,1223.25,1215.0,1215.0,4145
2023-12-19 04:25:00+00:00,1216.1,1220.7,1215.05,1220.0,2724
