,open,high,low,close,volume
2023-12-18 03:45:00+00:00,460.0,461.7,455.45,459.55,4877
2023-12-18 03:50:00+00:00,459.8,463.15,458.0,462.5,2249
2023-12-18 03:55:00+00:00,462.5,462.75,460.5,462.0,966
2023-12-18 04:00:00+00:00,462.25,465.0,461.5,465.0,4969
2023-12-18 04:05:00+00:00,465.0,465.55,463.55,465.0,3593
2023-12-18 04:10:00+00:00,465.0,465.0,463.25,463.25,1757
2023-12-18 04:15:00+00:00,463.25,464.75,463.25,464.75,5736
2023-12-18 04:20:00+00:00,464.75,471.0,464.75,468.65,9049
2023-12-18 04:25:00+00:00,468.65,469.0,466.55,466.7,3548
2023-12-18 04:30:00+00:00,466.7,467.85,466.7,467.2,789
2023-12-18 04:35:00+00:00,467.2,469.0,467.0,469.0,2863
2023-12-18 04:40:00+00:00,469.0,475.25,467.0,473.3,29475
2023-12-18 04:45:00+00:00,473.3,477.2,472.0,476.3,31761
2023-12-18 04:50:00+00:00,476.3,476.5,474.1,476.0,13600
2023-12-18 04:55:00+00:00,476.0,478.0,474.75,477.5,24657
2023-12-18 05:00:00+00:00,477.7,478.05,476.75,477.55,6337
2023-12-18 05:05:00+00:00,478.0,478.0,475.2,476.85,5671
2023-12-18 05:10:00+00:00,476.85,476.85,475.0,475.05,3849
2023-12-18 05:15:00+00:00,475.9,477.0,475.35,475.35,3413
2023-12-18 05:20:00+00:00,475.35,475.65,474.75,475.0,1742
2023-12-18 05:25:00+00:00,475.0,476.8,475.0,475.6,1274
2023-12-18 05:30:00+00:00,475.6,476.2,475.0,475.9,2151
2023-12-18 05:35:00+00:00,475.35,476.0,475.0,475.5,2459
2023-12-18 05:40:00+00:00,475.5,475.95,475.05,475.05,502
2023-12-18 05:45:00+00:00,475.05,475.5,474.25,475.0,1925
2023-12-18 05:50:00+00:00,475.0,475.4,474.75,475.0,381
2023-12-18 05:55:00+00:00,475.0,475.5,475.0,475.5,1045
2023-12-18 06:00:00+00:00,475.5,475.5,475.0,475.4,662
2023-12-18 06:05:00+00:00,475.4,475.5,474.9,475.0,1069
2023-12-18 06:10:00+00:00,475.0,475.4,474.25,475.0,1325
2023-12-18 06:15:00+00:00,475.0,475.5,474.7,475.5,1340
2023-12-18 06:20:00+00:00,475.5,475.7,475.0,475.0,1068
2023-12-18 06:25:00+00:00,475.0,475.7,475.0,475.0,1243
2023-12-18 06:30:00+00:00,475.25,475.9,475.0,475.25,582
2023-12-18 06:35:00+00:00,475.25,475.85,475.0,475.7,3944
2023-12-18 06:40:00+00:00,475.25,475.65,475.0,475.65,1137
2023-12-18 06:45:00+00:00,475.05,475.95,475.0,475.95,672
2023-12-18 06:50:00+00:00,475.85,475.85,475.0,475.05,729
2023-12-18 06:55:00+00:00,475.05,475.8,475.0,475.1,910
2023-12-18 07:00:00+00:00,475.1,475.95,475.0,475.95,2711
2023-12-18 07:05:00+00:00,475.3,475.65,474.95,475.1,820
2023-12-18 07:10:00+00:00,475.1,475.8,475.05,475.05,431
2023-12-18 07:15:00+00:00,475.05,476.65,474.95,476.65,2581
2023-12-18 07:20:00+00:00,476.0,477.0,476.0,477.0,2247
2023-12-18 07:25:00+00:00,477.0,477.0,476.1,476.4,333
2023-12-18 07:30:00+00:00,476.4,476.4,475.05,475.6,987
2023-12-18 07:35:00+00:00,475.6,477.0,475.05,476.5,2751
2023-12-18 07:40:00+00:00,476.5,477.2,476.5,476.5,1093
2023-12-18 07:45:00+00:00,476.5,477.2,475.95,475.95,4038
2023-12-18 07:50:00+00:00,475.95,478.0,475.95,476.95,6852
2023-12-18 07:55:00+00:00,476.95,477.75,475.7,475.7,1405
2023-12-18 08:00:00+00:00,475.7,476.65,475.5,475.5,1090
2023-12-18 08:05:00+00:00,475.5,476.45,475.05,475.05,2179
2023-12-18 08:10:00+00:00,475.05,475.65,475.05,475.5,1212
2023-12-18 08:15:00+00:00,475.5,475.95,475.0,475.7,825
2023-12-18 08:20:00+00:00,475.95,475.95,474.95,475.0,1672
2023-12-18 08:25:00+00:00,475.0,475.85,475.0,475.15,335
2023-12-18 08:30:00+00:00,475.85,478.95,475.55,476.2,9659
2023-12-18 08:35:00+00:00,477.0,478.9,476.1,476.45,1295
2023-12-18 08:40:00+00:00,476.45,479.2,476.45,477.4,4508
2023-12-18 08:45:00+00:00,477.4,477.85,476.5,476.5,702
2023-12-18 08:50:00+00:00,476.5,478.0,476.4,478.0,621
2023-12-18 08:55:00+00:00,478.0,478.0,476.4,477.15,928
2023-12-18 09:00:00+00:00,477.1,477.75,476.4,477.75,1276
2023-12-18 09:05:00+00:00,477.75,477.8,476.2,476.2,3544
2023-12-18 09:10:00+00:00,476.2,477.35,475.75,475.75,664
2023-12-18 09:15:00+00:00,475.75,476.4,475.75,476.4,210
2023-12-18 09:20:00+00:00,476.4,477.6,476.0,477.4,1769
2023-12-18 09:25:00+00:00,477.4,477.45,476.0,476.8,1691
2023-12-18 09:30:00+00:00,476.8,477.3,475.85,476.05,1525
2023-12-18 09:35:00+00:00,476.05,477.0,475.85,477.0,2035
2023-12-18 09:40:00+00:00,477.0,477.2,475.25,475.35,3539
2023-12-18 09:45:00+00:00,475.45,477.0,475.35,475.35,2798
2023-12-18 09:50:00+00:00,475.35,475.8,475.0,475.8,10354
2023-12-18 09:55:00+00:00,475.7,475.75,474.7,475.0,6802
2023-12-19 03:45:00+00:00,477.6,477.6,475.0,476.6,4805
2023-12-19 03:50:00+00:00,476.6,477.0,474.75,475.0,2458
2023-12-19 03:55:00+00:00,475.8,476.9,475.0,475.55,1468
2023-12-19 04:00:00+00:00,475.55,476.45,475.15,475.15,1136
2023-12-19 04:05:00+00:00,475.15,475.95,472.25,473.25,4815
2023-12-19 04:10:00+00:00,473.25,473.25,468.95,469.0,9953
2023-12-19 04:15:00+00:00,469.45,471.45,468.05,470.4,1993
2023-12-19 04:20:00+00:00,470.4,471.4,470.3,470.6,560
2023-12-19 04:25:00+00:00,470.6,471.25,470.6,470.65,156
2023-12-19 04:30:00+00:00,470.65,471.65,470.6,470.85,872
2023-12-19 04:35:00+00:00,470.85,470.85,469.2,469.5,1844
2023-12-19 04:40:00+00:00,469.5,469.85,469.0,469.5,1331
2023-12-19 04:45:00+00:00,469.5,471.2,469.5,470.7,337
2023-12-19 04:50:00+00:00,470.7,471.9,470.15,471.15,2399
2023-12-19 04:55:00+00:00,471.15,472.75,471.05,472.35,594
2023-12-19 05:00:00+00:00,472.35,472.35,470.6,470.65,1992
2023-12-19 05:05:00+00:00,470.65,472.2,470.55,471.85,2485
2023-12-19 05:10:00+00:00,471.85,472.35,470.55,470.9,573
2023-12-19 05:15:00+00:00,470.9,471.95,470.05,471.85,985
2023-12-19 05:20:00+00:00,471.85,472.15,470.6,470.6,350
2023-12-19 05:25:00+00:00,471.1,471.95,470.55,470.7,1240
2023-12-19 05:30:00+00:00,470.7,470.85,470.5,470.8,321
2023-12-19 05:35:00+00:00,470.8,470.8,470.0,470.1,954
2023-12-19 05:40:00+00:00,470.1,470.5,470.05,470.1,152
2023-12-19 05:45:00+00:00,470.1,470.6,469.25,470.6,2822
2023-12-19 05:50:00+00:00,470.6,470.6,469.9,469.9,123
2023-12-19 05:55:00+00:00,469.9,470.55,469.9,470.5,1093
2023-12-19 06:00:00+00:00,470.5,470.65,470.0,470.0,466
2023-12-19 06:05:00+00:00,470.45,471.7,470.0,471.2,7845
2023-12-19 06:10:00+00:00,471.2,471.9,470.65,471.9,412
2023-12-19 06:15:00+00:00,471.9,471.9,471.25,471.25,93
