,open,high,low,close,volume
2023-12-18 03:45:00+00:00,2232.0,2232.0,2215.0,2223.7,19765
2023-12-18 03:50:00+00:00,2223.7,2225.5,2211.0,2221.0,12617
2023-12-18 03:55:00+00:00,2220.85,2226.2,2219.3,2225.45,6775
2023-12-18 04:00:00+00:00,2226.45,2229.8,2220.0,2220.9,9551
2023-12-18 04:05:00+00:00,2220.9,2224.65,2220.9,2222.0,2238
2023-12-18 04:10:00+00:00,2222.0,2227.0,2221.2,2222.5,2433
2023-12-18 04:15:00+00:00,2222.5,2228.35,2222.0,2227.25,8655
2023-12-18 04:20:00+00:00,2227.25,2231.6,2227.0,2230.0,6371
2023-12-18 04:25:00+00:00,2230.0,2231.5,2224.85,2228.45,4880
2023-12-18 04:30:00+00:00,2228.45,2237.9,2228.45,2236.05,10759
2023-12-18 04:35:00+00:00,2236.05,2239.8,2234.05,2234.2,6197
2023-12-18 04:40:00+00:00,2234.2,2237.5,2233.55,2235.3,1564
2023-12-18 04:45:00+00:00,2235.3,2238.0,2233.55,2235.8,1588
2023-12-18 04:50:00+00:00,2235.8,2237.05,2233.0,2234.2,2744
2023-12-18 04:55:00+00:00,2234.2,2235.0,2231.5,2232.0,1426
2023-12-18 05:00:00+00:00,2232.0,2233.65,2231.1,2231.9,1572
2023-12-18 05:05:00+00:00,2231.9,2233.6,2228.3,2229.3,1314
2023-12-18 05:10:00+00:00,2229.3,2232.0,2227.0,2230.95,1394
2023-12-18 05:15:00+00:00,2230.95,2236.8,2230.9,2235.0,4515
2023-12-18 05:20:00+00:00,2235.0,2236.2,2233.5,2234.95,3856
2023-12-18 05:25:00+00:00,2234.95,2236.1,2230.9,2231.65,1514
2023-12-18 05:30:00+00:00,2231.65,2236.75,2231.1,2235.75,2278
2023-12-18 05:35:00+00:00,2236.75,2236.95,2234.05,2235.5,1248
2023-12-18 05:40:00+00:00,2235.5,2236.8,2233.3,2235.45,2014
2023-12-18 05:45:00+00:00,2235.5,2235.5,2234.05,2234.95,879
2023-12-18 05:50:00+00:00,2234.95,2234.95,2229.75,2230.25,1283
2023-12-18 05:55:00+00:00,2230.25,2232.75,2230.25,2232.4,2019
2023-12-18 06:00:00+00:00,2232.4,2232.45,2228.1,2229.7,3372
2023-12-18 06:05:00+00:00,2229.7,2231.35,2229.0,2230.0,1478
2023-12-18 06:10:00+00:00,2230.0,2231.95,2229.15,2231.9,480
2023-12-18 06:15:00+00:00,2231.9,2232.95,2231.0,2231.0,2945
2023-12-18 06:20:00+00:00,2231.0,2233.85,2231.0,2233.0,542
2023-12-18 06:25:00+00:00,2233.0,2236.35,2233.0,2234.0,1970
2023-12-18 06:30:00+00:00,2234.0,2235.1,2229.45,2229.45,3008
2023-12-18 06:35:00+00:00,2229.45,2231.65,2228.0,2230.9,9411
2023-12-18 06:40:00+00:00,2230.9,2237.5,2230.9,2235.1,7325
2023-12-18 06:45:00+00:00,2235.1,2236.0,2232.0,2234.35,5200
2023-12-18 06:50:00+00:00,2234.35,2235.15,2233.1,2234.75,376
2023-12-18 06:55:00+00:00,2234.75,2237.0,2233.45,2234.4,1215
2023-12-18 07:00:00+00:00,2234.4,2235.9,2232.1,2232.1,1056
2023-12-18 07:05:00+00:00,2233.3,2235.85,2232.1,2234.15,2585
2023-12-18 07:10:00+00:00,2234.15,2236.95,2233.35,2234.7,2248
2023-12-18 07:15:00+00:00,2234.7,2236.4,2234.25,2234.75,788
2023-12-18 07:20:00+00:00,2234.75,2235.0,2233.0,2233.05,2535
2023-12-18 07:25:00+00:00,2233.05,2234.0,2232.15,2232.45,4633
2023-12-18 07:30:00+00:00,2232.45,2234.0,2232.45,2233.45,8200
2023-12-18 07:35:00+00:00,2233.45,2234.5,2233.0,2234.5,4751
2023-12-18 07:40:00+00:00,2234.5,2234.5,2231.7,2233.5,4893
2023-12-18 07:45:00+00:00,2233.5,2235.0,2230.65,2230.65,3625
2023-12-18 07:50:00+00:00,2230.65,2231.4,2229.25,2230.0,1809
2023-12-18 07:55:00+00:00,2230.0,2232.15,2230.0,2232.15,1064
2023-12-18 08:00:00+00:00,2232.15,2232.95,2230.65,2231.4,469
2023-12-18 08:05:00+00:00,2231.4,2231.5,2230.0,2230.6,2228
2023-12-18 08:10:00+00:00,2230.6,2232.25,2230.25,2231.65,1064
2023-12-18 08:15:00+00:00,2231.65,2232.45,2230.25,2230.25,679
2023-12-18 08:20:00+00:00,2230.25,2232.0,2229.25,2230.9,457
2023-12-18 08:25:00+00:00,2230.9,2232.5,2230.8,2232.5,1248
2023-12-18 08:30:00+00:00,2232.5,2237.4,2231.9,2237.4,5491
2023-12-18 08:35:00+00:00,2237.4,2237.5,2236.35,2236.75,4975
2023-12-18 08:40:00+00:00,2236.75,2238.5,2236.35,2236.35,6598
2023-12-18 08:45:00+00:00,2236.35,2238.2,2234.45,2234.45,1064
2023-12-18 08:50:00+00:00,2234.45,2235.0,2231.3,2231.7,532
2023-12-18 08:55:00+00:00,2231.7,2234.45,2231.25,2232.95,1073
2023-12-18 09:00:00+00:00,2232.95,2235.45,2232.95,2235.45,2208
