,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1079.0,1079.8,1072.75,1077.75,206376
2023-12-18 03:50:00+00:00,1077.2,1078.8,1073.3,1078.0,128331
2023-12-18 03:55:00+00:00,1078.0,1085.9,1078.0,1085.0,169418
2023-12-18 04:00:00+00:00,1085.3,1091.9,1082.6,1083.7,309058
2023-12-18 04:05:00+00:00,1083.25,1086.45,1083.0,1084.3,91827
2023-12-18 04:10:00+00:00,1083.9,1086.95,1083.5,1085.55,51927
2023-12-18 04:15:00+00:00,1085.55,1086.0,1084.0,1085.9,39210
2023-12-18 04:20:00+00:00,1085.95,1091.4,1085.6,1091.4,162516
2023-12-18 04:25:00+00:00,1091.05,1095.0,1087.45,1088.25,246570
2023-12-18 04:30:00+00:00,1088.25,1089.15,1084.65,1086.9,92712
2023-12-18 04:35:00+00:00,1086.9,1087.4,1084.0,1085.5,97357
2023-12-18 04:40:00+00:00,1085.5,1087.0,1085.0,1086.45,43902
2023-12-18 04:45:00+00:00,1086.75,1087.35,1085.5,1085.65,37411
2023-12-18 04:50:00+00:00,1085.65,1086.7,1085.0,1085.25,40219
2023-12-18 04:55:00+00:00,1085.0,1087.0,1084.2,1084.65,51905
2023-12-18 05:00:00+00:00,1084.8,1085.5,1083.0,1083.6,59414
2023-12-18 05:05:00+00:00,1083.8,1085.45,1082.8,1083.5,55911
2023-12-18 05:10:00+00:00,1083.5,1085.5,1082.2,1085.2,66706
2023-12-18 05:15:00+00:00,1085.0,1088.0,1085.0,1086.05,54533
2023-12-18 05:20:00+00:00,1086.65,1087.75,1086.1,1087.15,32814
2023-12-18 05:25:00+00:00,1087.5,1087.5,1086.2,1086.2,23446
2023-12-18 05:30:00+00:00,1086.2,1088.5,1086.2,1087.8,29540
2023-12-18 05:35:00+00:00,1087.7,1088.8,1087.2,1088.0,24571
2023-12-18 05:40:00+00:00,1087.95,1088.85,1087.5,1088.85,23602
2023-12-18 05:45:00+00:00,1088.85,1089.5,1088.15,1088.55,52857
2023-12-18 05:50:00+00:00,1088.55,1089.4,1088.0,1088.4,32667
2023-12-18 05:55:00+00:00,1088.4,1088.75,1087.15,1087.65,29293
2023-12-18 06:00:00+00:00,1087.55,1088.0,1087.05,1087.7,18639
2023-12-18 06:05:00+00:00,1087.95,1089.0,1087.6,1088.5,23795
2023-12-18 06:10:00+00:00,1088.55,1090.9,1088.0,1090.6,64953
2023-12-18 06:15:00+00:00,1090.6,1090.6,1088.5,1088.85,33410
2023-12-18 06:20:00+00:00,1088.9,1092.15,1088.5,1091.5,62408
2023-12-18 06:25:00+00:00,1091.5,1091.8,1089.2,1089.5,34454
2023-12-18 06:30:00+00:00,1089.5,1089.95,1089.0,1089.3,19604
2023-12-18 06:35:00+00:00,1089.3,1090.75,1089.15,1089.95,21804
2023-12-18 06:40:00+00:00,1089.95,1093.75,1089.55,1092.5,76394
2023-12-18 06:45:00+00:00,1092.5,1092.5,1091.1,1091.65,28757
2023-12-18 06:50:00+00:00,1091.5,1092.5,1091.3,1092.2,21331
2023-12-18 06:55:00+00:00,1092.45,1094.5,1091.2,1091.7,78741
2023-12-18 07:00:00+00:00,1092.0,1092.8,1090.1,1090.45,41353
2023-12-18 07:05:00+00:00,1090.35,1091.0,1089.5,1089.9,26422
2023-12-18 07:10:00+00:00,1089.9,1090.6,1088.15,1089.45,50700
2023-12-18 07:15:00+00:00,1089.4,1090.7,1089.0,1090.25,22166
2023-12-18 07:20:00+00:00,1090.3,1090.85,1089.05,1089.1,22367
2023-12-18 07:25:00+00:00,1089.1,1089.5,1087.5,1087.7,47676
2023-12-18 07:30:00+00:00,1087.7,1089.2,1087.35,1087.6,29698
2023-12-18 07:35:00+00:00,1087.6,1087.95,1086.3,1087.5,37715
2023-12-18 07:40:00+00:00,1087.45,1091.45,1087.2,1089.85,62905
2023-12-18 07:45:00+00:00,1089.85,1091.0,1088.75,1089.0,29028
2023-12-18 07:50:00+00:00,1089.0,1090.25,1088.95,1089.95,14909
2023-12-18 07:55:00+00:00,1089.95,1091.0,1089.3,1090.45,17608
2023-12-18 08:00:00+00:00,1090.45,1091.15,1088.9,1090.0,49045
2023-12-18 08:05:00+00:00,1090.1,1092.0,1089.8,1091.25,39790
2023-12-18 08:10:00+00:00,1091.65,1094.2,1091.3,1093.95,83327
2023-12-18 08:15:00+00:00,1093.5,1093.95,1091.25,1091.55,53763
2023-12-18 08:20:00+00:00,1091.7,1098.65,1091.4,1096.4,230185
2023-12-18 08:25:00+00:00,1097.0,1097.0,1092.15,1095.5,93701
2023-12-18 08:30:00+00:00,1095.5,1102.4,1095.15,1098.8,339103
2023-12-18 08:35:00+00:00,1099.3,1101.6,1097.65,1098.2,120282
2023-12-18 08:40:00+00:00,1098.5,1099.5,1096.85,1097.15,82612
2023-12-18 08:45:00+00:00,1097.15,1097.95,1094.0,1095.6,92134
2023-12-18 08:50:00+00:00,1095.6,1097.0,1093.5,1095.0,75011
2023-12-18 08:55:00+00:00,1095.0,1096.5,1094.25,1096.0,52884
2023-12-18 09:00:00+00:00,1096.0,1096.4,1093.2,1096.0,51410
2023-12-18 09:05:00+00:00,1096.0,1097.05,1095.35,1096.75,72609
2023-12-18 09:10:00+00:00,1096.75,1097.0,1095.0,1095.0,58141
2023-12-18 09:15:00+00:00,1095.3,1096.9,1094.5,1096.85,52081
2023-12-18 09:20:00+00:00,1096.85,1096.95,1096.0,1096.85,41644
