,open,high,low,close,volume
2023-12-18 03:45:00+00:00,200.65,202.1,199.15,199.55,12848
2023-12-18 03:50:00+00:00,199.55,200.9,199.4,199.95,8574
2023-12-18 03:55:00+00:00,199.95,200.4,199.65,199.85,5616
2023-12-18 04:00:00+00:00,199.85,199.85,199.25,199.8,2514
2023-12-18 04:05:00+00:00,199.8,199.85,199.4,199.8,840
2023-12-18 04:10:00+00:00,199.8,200.0,199.25,199.25,2667
2023-12-18 04:15:00+00:00,199.25,199.9,199.25,199.9,1961
2023-12-18 04:20:00+00:00,199.9,199.95,199.7,199.95,1182
2023-12-18 04:25:00+00:00,199.95,200.0,199.5,199.65,568
2023-12-18 04:30:00+00:00,199.65,200.15,199.65,200.05,5285
2023-12-18 04:35:00+00:00,200.05,200.7,199.8,200.0,1157
2023-12-18 04:40:00+00:00,200.0,200.0,199.6,199.8,3258
2023-12-18 04:45:00+00:00,200.0,200.0,199.8,200.0,877
2023-12-18 04:50:00+00:00,200.0,200.6,200.0,200.0,1079
2023-12-18 04:55:00+00:00,200.0,200.55,199.55,200.15,7504
2023-12-18 05:00:00+00:00,200.15,200.45,199.9,200.0,2328
2023-12-18 05:05:00+00:00,200.0,200.0,199.7,199.9,323
2023-12-18 05:10:00+00:00,199.9,200.0,199.5,199.55,2757
2023-12-18 05:15:00+00:00,199.55,199.75,199.5,199.75,294
2023-12-18 05:20:00+00:00,199.75,199.75,199.5,199.65,540
2023-12-18 05:25:00+00:00,199.65,199.8,199.5,199.5,195
2023-12-18 05:30:00+00:00,199.5,199.6,199.3,199.6,490
2023-12-18 05:35:00+00:00,199.5,199.6,199.3,199.5,905
2023-12-18 05:40:00+00:00,199.5,199.95,199.35,199.75,1832
2023-12-18 05:45:00+00:00,199.75,200.0,199.75,200.0,461
2023-12-18 05:50:00+00:00,200.0,200.1,200.0,200.05,248
2023-12-18 05:55:00+00:00,200.05,200.1,200.0,200.0,730
2023-12-18 06:00:00+00:00,199.95,200.25,199.6,199.8,892
2023-12-18 06:05:00+00:00,199.8,200.0,199.8,199.8,899
2023-12-18 06:10:00+00:00,200.0,200.2,199.6,199.75,2736
2023-12-18 06:15:00+00:00,199.75,199.9,199.5,199.9,375
2023-12-18 06:20:00+00:00,199.9,200.0,199.65,199.9,868
2023-12-18 06:25:00+00:00,199.9,200.0,199.7,199.9,2017
2023-12-18 06:30:00+00:00,199.9,199.95,199.7,199.85,686
2023-12-18 06:35:00+00:00,199.85,200.0,199.7,199.75,655
2023-12-18 06:40:00+00:00,199.75,200.0,199.7,200.0,1260
2023-12-18 06:45:00+00:00,200.0,200.0,199.9,199.9,306
2023-12-18 06:50:00+00:00,199.9,200.0,199.9,200.0,500
2023-12-18 06:55:00+00:00,200.0,200.45,200.0,200.45,487
2023-12-18 07:00:00+00:00,200.45,200.45,200.05,200.25,1406
2023-12-18 07:05:00+00:00,200.25,200.5,200.05,200.4,928
2023-12-18 07:10:00+00:00,200.4,200.4,200.1,200.3,295
2023-12-18 07:15:00+00:00,200.3,200.5,200.25,200.25,362
2023-12-18 07:20:00+00:00,200.25,200.35,200.1,200.35,40
2023-12-18 07:25:00+00:00,200.35,200.7,200.25,200.55,1045
2023-12-18 07:30:00+00:00,200.55,200.55,200.25,200.55,208
2023-12-18 07:35:00+00:00,200.55,200.55,200.3,200.55,36
2023-12-18 07:40:00+00:00,200.55,200.7,200.3,200.6,567
2023-12-18 07:45:00+00:00,200.6,200.6,200.0,200.0,1742
2023-12-18 07:50:00+00:00,200.0,200.3,200.0,200.3,1230
2023-12-18 07:55:00+00:00,200.3,200.5,200.15,200.4,282
2023-12-18 08:00:00+00:00,200.4,200.4,200.15,200.4,624
2023-12-18 08:05:00+00:00,200.45,200.45,199.8,199.8,2867
2023-12-18 08:10:00+00:00,199.8,199.95,199.5,199.75,2509
2023-12-18 08:15:00+00:00,199.75,199.95,199.75,199.95,235
2023-12-18 08:20:00+00:00,199.95,200.0,199.65,200.0,962
2023-12-18 08:25:00+00:00,200.0,200.2,200.0,200.2,10
2023-12-18 08:30:00+00:00,200.2,200.6,200.2,200.35,826
2023-12-18 08:35:00+00:00,200.35,200.45,200.05,200.45,72
2023-12-18 08:40:00+00:00,200.45,200.55,200.2,200.4,1409
2023-12-18 08:45:00+00:00,200.4,200.4,200.2,200.2,1220
2023-12-18 08:50:00+00:00,200.2,200.4,199.7,199.95,3513
2023-12-18 08:55:00+00:00,199.95,200.3,199.95,200.0,3368
2023-12-18 09:00:00+00:00,200.0,200.5,199.85,199.95,1958
2023-12-18 09:05:00+00:00,199.95,200.1,199.7,199.95,329
2023-12-18 09:10:00+00:00,199.95,199.95,199.8,199.8,7
2023-12-18 09:15:00+00:00,199.8,199.8,199.65,199.8,2068
2023-12-18 09:20:00+00:00,199.8,199.8,199.5,199.5,2206
2023-12-18 09:25:00+00:00,199.5,199.95,199.5,199.8,1315
2023-12-18 09:30:00+00:00,199.8,199.9,198.85,199.45,15416
2023-12-18 09:35:00+00:00,199.45,199.75,199.4,199.75,1467
2023-12-18 09:40:00+00:00,199.75,199.8,199.5,199.7,1107
2023-12-18 09:45:00+00:00,199.7,199.7,199.4,199.7,1734
2023-12-18 09:50:00+00:00,199.7,199.7,199.35,199.35,6792
2023-12-18 09:55:00+00:00,199.35,200.3,199.3,200.3,5414
2023-12-19 03:45:00+00:00,200.3,201.0,200.0,200.3,3879
2023-12-19 03:50:00+00:00,200.3,200.5,199.8,200.2,5108
2023-12-19 03:55:00+00:00,200.2,200.8,199.6,200.8,3952
2023-12-19 04:00:00+00:00,200.8,201.35,199.65,201.35,4625
2023-12-19 04:05:00+00:00,201.35,201.7,200.6,200.8,9779
2023-12-19 04:10:00+00:00,200.8,201.2,200.5,201.15,4224
2023-12-19 04:15:00+00:00,201.15,201.3,200.7,201.1,13830
2023-12-19 04:20:00+00:00,201.1,201.65,200.75,201.6,9760
2023-12-19 04:25:00+00:00,201.6,202.4,201.4,202.0,6394
2023-12-19 04:30:00+00:00,202.0,205.0,201.9,204.75,25236
2023-12-19 04:35:00+00:00,205.0,205.2,203.5,203.7,16438
2023-12-19 04:40:00+00:00,203.7,205.7,203.7,205.3,12678
2023-12-19 04:45:00+00:00,205.3,205.9,204.65,204.9,16869
2023-12-19 04:50:00+00:00,204.9,205.5,204.8,204.9,5946
2023-12-19 04:55:00+00:00,204.9,205.5,204.75,205.0,12058
2023-12-19 05:00:00+00:00,205.0,205.3,204.7,205.05,11689
2023-12-19 05:05:00+00:00,205.25,206.75,205.05,206.4,16992
2023-12-19 05:10:00+00:00,206.4,207.25,206.05,206.6,18634
2023-12-19 05:15:00+00:00,206.95,207.0,206.5,206.6,10109
2023-12-19 05:20:00+00:00,206.6,206.8,206.0,206.1,5132
2023-12-19 05:25:00+00:00,206.1,206.3,205.25,205.75,5725
2023-12-19 05:30:00+00:00,205.75,206.0,205.5,206.0,1497
2023-12-19 05:35:00+00:00,206.0,206.0,205.5,205.95,2705
2023-12-19 05:40:00+00:00,205.95,205.95,205.15,205.45,4262
2023-12-19 05:45:00+00:00,205.45,205.95,205.45,205.55,1877
2023-12-19 05:50:00+00:00,205.55,205.7,205.25,205.25,4568
2023-12-19 05:55:00+00:00,205.5,205.55,205.25,205.4,501
2023-12-19 06:00:00+00:00,205.4,205.5,205.1,205.35,2465
2023-12-19 06:05:00+00:00,205.35,205.5,205.0,205.4,1700
2023-12-19 06:10:00+00:00,205.3,205.6,205.05,205.2,1524
2023-12-19 06:15:00+00:00,205.2,205.55,204.3,204.45,4377
2023-12-19 06:20:00+00:00,204.45,204.7,204.1,204.7,3024
2023-12-19 06:25:00+00:00,204.7,204.9,204.5,204.65,2140
2023-12-19 06:30:00+00:00,204.65,205.0,204.4,204.4,1735
2023-12-19 06:35:00+00:00,204.4,204.7,204.3,204.6,663
2023-12-19 06:40:00+00:00,204.6,204.6,204.05,204.5,1479
2023-12-19 06:45:00+00:00,204.5,204.55,204.05,204.25,1471
2023-12-19 06:50:00+00:00,204.05,204.45,204.05,204.1,1312
2023-12-19 06:55:00+00:00,204.1,204.15,203.8,204.15,1942
2023-12-19 07:00:00+00:00,204.15,204.25,203.9,204.25,1125
2023-12-19 07:05:00+00:00,204.0,204.4,204.0,204.1,465
2023-12-19 07:10:00+00:00,204.1,204.15,203.55,203.95,1914
2023-12-19 07:15:00+00:00,203.75,204.45,203.75,204.3,1932
2023-12-19 07:20:00+00:00,204.35,204.6,202.8,202.8,6948
2023-12-19 07:25:00+00:00,202.8,203.45,202.0,203.3,9360
2023-12-19 07:30:00+00:00,203.3,203.45,203.05,203.3,617
2023-12-19 07:35:00+00:00,203.3,203.35,203.05,203.3,123
2023-12-19 07:40:00+00:00,203.3,203.5,203.1,203.5,909
2023-12-19 07:45:00+00:00,203.5,203.7,203.2,203.7,1379
2023-12-19 07:50:00+00:00,203.8,203.95,203.3,203.65,2002
2023-12-19 07:55:00+00:00,203.6,203.9,203.5,203.9,414
2023-12-19 08:00:00+00:00,203.9,204.0,203.9,203.9,637
2023-12-19 08:05:00+00:00,203.9,203.95,203.35,203.55,3016
2023-12-19 08:10:00+00:00,203.55,204.55,203.5,204.25,1722
2023-12-19 08:15:00+00:00,204.25,204.4,203.75,203.95,2644
2023-12-19 08:20:00+00:00,203.95,204.0,203.55,203.7,1703
2023-12-19 08:25:00+00:00,203.7,203.7,203.3,203.5,515
2023-12-19 08:30:00+00:00,203.5,203.65,202.9,202.9,4517
2023-12-19 08:35:00+00:00,202.9,203.9,202.9,203.75,1086
2023-12-19 08:40:00+00:00,203.75,204.05,203.65,203.9,331
2023-12-19 08:45:00+00:00,203.9,204.45,203.9,204.25,1032
2023-12-19 08:50:00+00:00,204.25,204.4,203.75,203.75,5189
2023-12-19 08:55:00+00:00,203.75,203.9,203.5,203.85,1093
2023-12-19 09:00:00+00:00,203.85,203.85,203.25,203.6,474
2023-12-19 09:05:00+00:00,203.6,203.7,203.2,203.5,1248
2023-12-19 09:10:00+00:00,203.5,203.95,203.4,203.4,2569
2023-12-19 09:15:00+00:00,203.4,203.7,203.0,203.3,6071
2023-12-19 09:20:00+00:00,203.3,203.3,202.3,202.5,1770
2023-12-19 09:25:00+00:00,202.5,202.8,202.5,202.8,5956
2023-12-19 09:30:00+00:00,202.8,203.35,202.8,203.0,2075
2023-12-19 09:35:00+00:00,203.0,203.35,201.9,202.0,10471
2023-12-19 09:40:00+00:00,202.0,202.3,201.45,201.95,3930
2023-12-19 09:45:00+00:00,202.2,203.05,201.8,203.05,4995
2023-12-19 09:50:00+00:00,203.05,203.05,202.25,202.65,3929
2023-12-19 09:55:00+00:00,202.65,204.9,202.55,204.9,10032
2023-12-20 03:45:00+00:00,204.05,206.95,203.3,203.9,10591
2023-12-20 03:50:00+00:00,203.9,204.65,203.55,204.6,2011
2023-12-20 03:55:00+00:00,204.6,204.85,204.15,204.4,2416
2023-12-20 04:00:00+00:00,204.2,204.5,204.1,204.2,4163
2023-12-20 04:05:00+00:00,204.2,205.45,204.2,205.15,3205
2023-12-20 04:10:00+00:00,205.15,205.35,204.9,205.05,2229
2023-12-20 04:15:00+00:00,204.95,205.1,204.65,205.0,1942
2023-12-20 04:20:00+00:00,205.0,205.25,204.6,204.9,2171
2023-12-20 04:25:00+00:00,204.65,205.3,204.65,205.3,2129
2023-12-20 04:30:00+00:00,205.3,205.4,204.85,205.1,765
2023-12-20 04:35:00+00:00,205.1,205.1,204.0,204.25,1752
2023-12-20 04:40:00+00:00,204.25,204.3,203.65,203.95,1104
2023-12-20 04:45:00+00:00,203.95,204.0,203.5,204.0,1253
2023-12-20 04:50:00+00:00,204.0,204.0,203.55,203.9,771
2023-12-20 04:55:00+00:00,203.9,203.9,203.25,203.35,3696
2023-12-20 05:00:00+00:00,203.35,203.5,203.0,203.5,709
2023-12-20 05:05:00+00:00,203.5,203.5,202.6,203.0,4222
2023-12-20 05:10:00+00:00,203.0,203.35,203.0,203.35,1153
2023-12-20 05:15:00+00:00,203.35,203.9,203.3,203.85,1335
2023-12-20 05:20:00+00:00,203.85,204.4,203.8,204.4,1445
2023-12-20 05:25:00+00:00,204.4,204.65,204.3,204.65,649
2023-12-20 05:30:00+00:00,204.65,204.7,204.5,204.7,259
2023-12-20 05:35:00+00:00,204.7,205.0,204.65,204.7,1562
2023-12-20 05:40:00+00:00,204.7,205.0,204.4,204.85,2376
2023-12-20 05:45:00+00:00,204.85,204.85,204.3,204.5,604
2023-12-20 05:50:00+00:00,204.5,204.7,204.2,204.3,2619
2023-12-20 05:55:00+00:00,204.65,204.65,204.5,204.5,124
2023-12-20 06:00:00+00:00,204.5,204.5,203.6,203.75,2750
2023-12-20 06:05:00+00:00,203.75,203.75,203.7,203.7,294
2023-12-20 06:10:00+00:00,203.7,203.7,203.3,203.3,1380
2023-12-20 06:15:00+00:00,203.3,203.55,202.9,202.9,3973
2023-12-20 06:20:00+00:00,202.9,203.05,202.6,202.6,1292
2023-12-20 06:25:00+00:00,202.6,203.1,202.6,202.95,1293
2023-12-20 06:30:00+00:00,202.95,203.0,202.7,202.7,1930
2023-12-20 06:35:00+00:00,202.7,202.9,202.55,202.8,919
2023-12-20 06:40:00+00:00,202.8,203.0,202.6,202.95,620
2023-12-20 06:45:00+00:00,202.95,202.95,202.85,202.95,151
2023-12-20 06:50:00+00:00,202.9,202.9,202.9,202.9,57
2023-12-20 06:55:00+00:00,202.9,202.9,202.65,202.65,102
2023-12-20 07:00:00+00:00,202.6,202.75,202.3,202.5,2888
2023-12-20 07:05:00+00:00,202.5,202.8,202.5,202.8,162
2023-12-20 07:10:00+00:00,202.8,203.0,202.75,202.95,468
2023-12-20 07:15:00+00:00,202.95,202.95,201.85,202.15,12673
2023-12-20 07:20:00+00:00,202.15,202.55,202.15,202.45,407
2023-12-20 07:25:00+00:00,202.45,203.0,202.45,202.45,2422
2023-12-20 07:30:00+00:00,201.85,202.3,201.8,202.3,2740
2023-12-20 07:35:00+00:00,202.05,202.3,202.0,202.25,807
2023-12-20 07:40:00+00:00,202.25,202.25,201.35,201.35,1801
2023-12-20 07:45:00+00:00,201.35,201.75,200.75,200.75,3694
2023-12-20 07:50:00+00:00,200.75,201.4,200.6,200.8,8149
2023-12-20 07:55:00+00:00,200.75,200.75,199.05,199.5,14602
2023-12-20 08:00:00+00:00,199.5,199.9,197.5,197.9,10922
2023-12-20 08:05:00+00:00,197.9,199.05,196.85,198.55,5251
2023-12-20 08:10:00+00:00,198.75,199.8,198.5,199.0,4886
2023-12-20 08:15:00+00:00,198.95,199.4,198.05,198.4,5240
2023-12-20 08:20:00+00:00,198.35,198.8,197.35,197.9,3511
2023-12-20 08:25:00+00:00,197.9,198.45,197.9,198.4,1069
2023-12-20 08:30:00+00:00,198.0,198.3,197.0,197.4,2902
2023-12-20 08:35:00+00:00,197.4,198.15,197.0,198.0,1611
2023-12-20 08:40:00+00:00,198.0,198.55,197.5,198.0,1851
2023-12-20 08:45:00+00:00,198.0,198.65,197.3,198.35,2545
2023-12-20 08:50:00+00:00,198.35,198.95,198.1,198.7,2306
2023-12-20 08:55:00+00:00,198.7,199.05,198.15,199.05,1498
2023-12-20 09:00:00+00:00,199.05,199.35,198.5,198.6,2333
2023-12-20 09:05:00+00:00,198.6,198.95,197.75,198.0,2296
2023-12-20 09:10:00+00:00,197.9,198.0,197.05,197.05,2456
2023-12-20 09:15:00+00:00,197.05,197.5,196.5,197.5,7647
2023-12-20 09:20:00+00:00,197.5,198.5,197.4,198.2,1271
2023-12-20 09:25:00+00:00,198.45,198.45,197.8,198.2,928
2023-12-20 09:30:00+00:00,198.2,198.45,197.85,198.4,3038
2023-12-20 09:35:00+00:00,198.4,198.7,198.2,198.7,1608
2023-12-20 09:40:00+00:00,198.7,199.2,197.9,198.4,3862
2023-12-20 09:45:00+00:00,198.0,198.6,197.85,198.0,3286
2023-12-20 09:50:00+00:00,197.9,198.55,197.75,197.75,2572
2023-12-20 09:55:00+00:00,197.75,200.0,197.75,199.0,3421
2023-12-21 03:45:00+00:00,198.0,198.6,195.4,198.6,3656
2023-12-21 03:50:00+00:00,198.6,199.85,198.0,198.4,4326
2023-12-21 03:55:00+00:00,198.4,199.9,196.75,197.5,6753
2023-12-21 04:00:00+00:00,197.5,198.05,197.45,197.75,988
2023-12-21 04:05:00+00:00,197.75,200.0,197.75,199.3,3043
2023-12-21 04:10:00+00:00,199.3,200.0,199.3,199.5,936
2023-12-21 04:15:00+00:00,199.5,200.0,198.8,199.3,3151
2023-12-21 04:20:00+00:00,199.3,199.65,199.15,199.5,536
2023-12-21 04:25:00+00:00,199.4,199.65,199.05,199.45,940
2023-12-21 04:30:00+00:00,199.45,199.5,199.1,199.1,302
2023-12-21 04:35:00+00:00,199.1,200.0,199.1,200.0,1284
2023-12-21 04:40:00+00:00,200.0,200.45,199.6,200.0,1116
2023-12-21 04:45:00+00:00,200.0,200.45,199.75,200.45,355
2023-12-21 04:50:00+00:00,200.3,200.3,199.8,200.0,947
2023-12-21 04:55:00+00:00,200.0,200.0,198.9,198.9,1085
2023-12-21 05:00:00+00:00,199.05,199.05,198.25,198.75,702
2023-12-21 05:05:00+00:00,198.75,199.35,198.0,198.75,2571
2023-12-21 05:10:00+00:00,198.75,200.0,198.75,199.45,1133
2023-12-21 05:15:00+00:00,199.45,199.9,199.45,199.8,24
2023-12-21 05:20:00+00:00,199.8,199.8,199.35,199.65,142
2023-12-21 05:25:00+00:00,199.65,199.65,199.4,199.65,191
2023-12-21 05:30:00+00:00,199.65,200.1,199.65,199.65,1224
2023-12-21 05:35:00+00:00,199.65,199.65,198.75,198.75,1547
2023-12-21 05:40:00+00:00,198.75,198.95,198.15,198.65,519
2023-12-21 05:45:00+00:00,198.65,198.8,197.55,198.2,1902
2023-12-21 05:50:00+00:00,198.2,198.6,198.2,198.6,321
2023-12-21 05:55:00+00:00,198.6,198.8,198.05,198.25,548
2023-12-21 06:00:00+00:00,198.25,198.9,198.25,198.9,189
2023-12-21 06:05:00+00:00,198.8,199.15,198.8,199.15,417
2023-12-21 06:10:00+00:00,199.15,199.5,199.15,199.2,175
2023-12-21 06:15:00+00:00,199.2,199.45,199.2,199.4,40
2023-12-21 06:20:00+00:00,199.4,199.5,199.05,199.45,177
2023-12-21 06:25:00+00:00,199.45,199.6,199.25,199.5,180
2023-12-21 06:30:00+00:00,199.5,199.65,199.2,199.65,159
2023-12-21 06:35:00+00:00,199.65,199.9,199.4,199.9,165
2023-12-21 06:40:00+00:00,199.9,200.0,199.3,200.0,371
