,open,high,low,close,volume
2023-12-18 03:45:00+00:00,128.0,128.3,126.35,126.7,18854
2023-12-18 03:50:00+00:00,126.75,128.35,126.6,127.9,8959
2023-12-18 03:55:00+00:00,127.9,128.6,127.8,127.95,9124
2023-12-18 04:00:00+00:00,127.95,127.95,127.35,127.7,3143
2023-12-18 04:05:00+00:00,127.7,128.0,127.5,127.65,4748
2023-12-18 04:10:00+00:00,127.65,127.65,127.1,127.5,5892
2023-12-18 04:15:00+00:00,127.5,127.65,127.15,127.4,2431
2023-12-18 04:20:00+00:00,127.4,127.4,126.95,127.25,1712
2023-12-18 04:25:00+00:00,127.1,127.3,126.65,127.3,4917
2023-12-18 04:30:00+00:00,127.3,127.75,127.3,127.7,5807
2023-12-18 04:35:00+00:00,127.7,127.7,127.05,127.05,444
2023-12-18 04:40:00+00:00,127.05,128.0,127.05,127.6,2715
2023-12-18 04:45:00+00:00,127.6,128.25,127.6,127.6,7156
2023-12-18 04:50:00+00:00,127.6,127.85,127.6,127.6,1432
2023-12-18 04:55:00+00:00,127.6,127.8,127.3,127.7,1426
2023-12-18 05:00:00+00:00,127.7,127.7,127.3,127.3,3167
2023-12-18 05:05:00+00:00,127.3,127.3,126.8,126.85,6595
2023-12-18 05:10:00+00:00,126.85,126.9,126.65,126.7,7675
2023-12-18 05:15:00+00:00,126.7,127.4,126.7,127.4,727
2023-12-18 05:20:00+00:00,127.5,127.7,127.4,127.4,3005
2023-12-18 05:25:00+00:00,127.4,127.5,127.4,127.4,123
2023-12-18 05:30:00+00:00,127.4,127.4,126.9,126.9,1556
2023-12-18 05:35:00+00:00,126.9,126.9,126.65,126.85,5107
2023-12-18 05:40:00+00:00,126.85,127.05,126.75,127.05,2630
2023-12-18 05:45:00+00:00,127.0,127.4,127.0,127.15,1883
2023-12-18 05:50:00+00:00,127.15,127.7,127.0,127.15,11153
2023-12-18 05:55:00+00:00,127.15,127.15,126.75,126.75,1427
2023-12-18 06:00:00+00:00,126.75,127.2,126.75,127.0,1420
2023-12-18 06:05:00+00:00,127.0,127.0,126.85,126.85,283
2023-12-18 06:10:00+00:00,126.75,127.0,126.7,127.0,3288
2023-12-18 06:15:00+00:00,127.0,127.0,126.85,126.85,2366
2023-12-18 06:20:00+00:00,127.0,127.0,127.0,127.0,297
2023-12-18 06:25:00+00:00,127.0,127.0,126.8,126.9,938
2023-12-18 06:30:00+00:00,126.75,126.75,126.05,126.5,6106
2023-12-18 06:35:00+00:00,126.5,126.7,126.5,126.5,2399
2023-12-18 06:40:00+00:00,126.5,126.55,126.25,126.4,905
2023-12-18 06:45:00+00:00,126.4,126.7,126.35,126.35,1430
2023-12-18 06:50:00+00:00,126.35,126.7,126.35,126.5,331
2023-12-18 06:55:00+00:00,126.5,126.55,126.5,126.5,265
2023-12-18 07:00:00+00:00,126.5,126.7,126.35,126.35,252
2023-12-18 07:05:00+00:00,126.35,126.6,126.35,126.35,802
2023-12-18 07:10:00+00:00,126.35,126.35,126.35,126.35,230
2023-12-18 07:15:00+00:00,126.35,126.6,126.3,126.35,302
2023-12-18 07:20:00+00:00,126.35,126.55,126.2,126.2,1469
2023-12-18 07:25:00+00:00,126.2,126.5,126.2,126.5,2045
2023-12-18 07:30:00+00:00,126.5,126.65,126.4,126.45,1700
2023-12-18 07:35:00+00:00,126.65,126.65,126.45,126.5,891
2023-12-18 07:40:00+00:00,126.5,126.5,126.3,126.3,882
2023-12-18 07:45:00+00:00,126.3,126.5,126.25,126.45,1105
2023-12-18 07:50:00+00:00,126.45,126.55,126.45,126.55,1110
2023-12-18 07:55:00+00:00,126.55,126.55,126.55,126.55,36
2023-12-18 08:00:00+00:00,126.55,126.85,126.55,126.55,1923
2023-12-18 08:05:00+00:00,126.55,126.8,126.35,126.5,1031
2023-12-18 08:10:00+00:00,126.35,126.75,126.35,126.45,1217
2023-12-18 08:15:00+00:00,126.45,126.6,126.3,126.45,1265
2023-12-18 08:20:00+00:00,126.35,126.65,126.35,126.5,262
2023-12-18 08:25:00+00:00,126.65,127.15,126.45,126.85,5261
2023-12-18 08:30:00+00:00,126.9,126.9,126.5,126.75,3176
2023-12-18 08:35:00+00:00,126.55,126.85,126.55,126.6,1406
2023-12-18 08:40:00+00:00,126.6,126.6,126.35,126.35,1602
2023-12-18 08:45:00+00:00,126.35,126.5,126.35,126.5,300
2023-12-18 08:50:00+00:00,126.5,126.5,126.3,126.3,779
2023-12-18 08:55:00+00:00,126.3,126.85,126.3,126.85,3723
2023-12-18 09:00:00+00:00,126.85,126.9,126.6,126.6,137
2023-12-18 09:05:00+00:00,126.6,126.85,126.45,126.55,2728
2023-12-18 09:10:00+00:00,126.55,126.65,126.3,126.65,1816
2023-12-18 09:15:00+00:00,126.65,126.65,126.2,126.5,2792
2023-12-18 09:20:00+00:00,126.5,126.5,126.2,126.5,964
2023-12-18 09:25:00+00:00,126.3,126.55,126.25,126.25,811
2023-12-18 09:30:00+00:00,126.5,126.5,126.05,126.2,2466
2023-12-18 09:35:00+00:00,126.2,126.35,125.55,125.6,9637
2023-12-18 09:40:00+00:00,126.0,126.2,125.5,126.2,8325
2023-12-18 09:45:00+00:00,126.1,126.25,125.15,126.2,9662
2023-12-18 09:50:00+00:00,126.2,126.2,125.55,125.8,6155
2023-12-18 09:55:00+00:00,125.8,126.8,125.6,125.8,8285
2023-12-19 03:45:00+00:00,126.8,127.45,126.0,126.65,10734
2023-12-19 03:50:00+00:00,126.65,127.05,126.45,126.65,5213
2023-12-19 03:55:00+00:00,126.65,126.95,126.5,126.75,2618
2023-12-19 04:00:00+00:00,126.75,126.95,126.35,126.9,4403
2023-12-19 04:05:00+00:00,126.9,127.2,125.85,125.85,15991
2023-12-19 04:10:00+00:00,125.85,125.85,125.25,125.7,4265
2023-12-19 04:15:00+00:00,125.7,125.7,125.3,125.5,5168
2023-12-19 04:20:00+00:00,125.5,125.75,125.2,125.2,5584
2023-12-19 04:25:00+00:00,125.2,125.6,125.2,125.6,1341
2023-12-19 04:30:00+00:00,125.8,126.0,125.2,125.2,4484
2023-12-19 04:35:00+00:00,125.2,125.35,124.55,124.55,6967
2023-12-19 04:40:00+00:00,124.55,125.6,124.5,125.6,10420
2023-12-19 04:45:00+00:00,125.6,125.85,125.3,125.85,7438
2023-12-19 04:50:00+00:00,125.85,125.85,125.55,125.6,1577
2023-12-19 04:55:00+00:00,125.6,126.15,125.6,125.6,10726
2023-12-19 05:00:00+00:00,125.6,125.6,125.1,125.45,3081
2023-12-19 05:05:00+00:00,125.45,126.3,125.45,126.3,11526
2023-12-19 05:10:00+00:00,126.3,127.4,126.3,127.4,19805
2023-12-19 05:15:00+00:00,127.4,127.5,127.0,127.0,4895
2023-12-19 05:20:00+00:00,127.0,127.15,126.8,126.95,1969
2023-12-19 05:25:00+00:00,126.95,126.95,126.6,126.65,1718
2023-12-19 05:30:00+00:00,126.65,126.7,126.65,126.7,100
2023-12-19 05:35:00+00:00,126.7,126.7,126.0,126.0,8065
2023-12-19 05:40:00+00:00,126.0,126.0,125.5,125.9,4904
2023-12-19 05:45:00+00:00,125.9,125.95,125.55,125.9,2553
2023-12-19 05:50:00+00:00,125.6,125.85,125.6,125.75,1666
2023-12-19 05:55:00+00:00,125.75,125.85,125.6,125.8,752
2023-12-19 06:00:00+00:00,125.8,125.8,125.5,125.55,2002
2023-12-19 06:05:00+00:00,125.55,125.8,125.55,125.8,328
2023-12-19 06:10:00+00:00,125.8,125.9,125.6,125.9,1049
2023-12-19 06:15:00+00:00,125.9,125.9,125.7,125.7,207
2023-12-19 06:20:00+00:00,125.7,125.9,125.5,125.5,4063
2023-12-19 06:25:00+00:00,125.5,125.5,125.2,125.2,7484
2023-12-19 06:30:00+00:00,125.2,125.5,125.15,125.5,5174
2023-12-19 06:35:00+00:00,125.5,125.5,125.2,125.2,369
2023-12-19 06:40:00+00:00,125.2,125.55,125.2,125.55,967
2023-12-19 06:45:00+00:00,125.55,125.55,125.4,125.5,2954
2023-12-19 06:50:00+00:00,125.5,125.55,125.5,125.5,170
2023-12-19 06:55:00+00:00,125.5,125.55,125.5,125.55,803
2023-12-19 07:00:00+00:00,125.55,125.7,125.55,125.7,755
2023-12-19 07:05:00+00:00,125.7,125.8,125.55,125.55,1723
2023-12-19 07:10:00+00:00,125.55,125.55,125.4,125.4,997
2023-12-19 07:15:00+00:00,125.4,125.6,125.3,125.6,484
2023-12-19 07:20:00+00:00,125.6,125.6,125.35,125.35,424
2023-12-19 07:25:00+00:00,125.35,125.4,125.25,125.3,1116
2023-12-19 07:30:00+00:00,125.3,125.5,125.3,125.3,281
2023-12-19 07:35:00+00:00,125.3,125.6,125.25,125.5,3030
2023-12-19 07:40:00+00:00,125.5,125.5,125.3,125.3,22
2023-12-19 07:45:00+00:00,125.3,125.5,125.3,125.5,11
2023-12-19 07:50:00+00:00,125.5,125.55,125.3,125.5,659
2023-12-19 07:55:00+00:00,125.5,125.5,125.25,125.45,638
2023-12-19 08:00:00+00:00,125.45,125.65,125.4,125.65,468
2023-12-19 08:05:00+00:00,125.65,125.7,125.5,125.7,232
2023-12-19 08:10:00+00:00,125.7,125.7,125.7,125.7,10
2023-12-19 08:15:00+00:00,125.7,125.75,125.55,125.75,287
2023-12-19 08:20:00+00:00,125.75,125.8,125.55,125.8,2005
2023-12-19 08:25:00+00:00,125.8,125.95,125.55,125.55,3370
2023-12-19 08:30:00+00:00,125.55,125.95,125.55,125.75,1179
2023-12-19 08:35:00+00:00,125.75,126.1,125.75,126.1,3867
2023-12-19 08:40:00+00:00,126.1,126.25,125.7,125.7,3028
2023-12-19 08:45:00+00:00,125.7,126.0,125.25,125.4,6290
2023-12-19 08:50:00+00:00,125.4,125.55,125.35,125.35,2209
2023-12-19 08:55:00+00:00,125.35,125.55,125.2,125.3,2097
2023-12-19 09:00:00+00:00,125.3,125.4,125.3,125.4,77
2023-12-19 09:05:00+00:00,125.4,125.4,125.25,125.35,823
2023-12-19 09:10:00+00:00,125.35,125.4,125.25,125.25,1447
2023-12-19 09:15:00+00:00,125.25,125.4,125.25,125.25,1440
2023-12-19 09:20:00+00:00,125.25,125.5,125.15,125.3,1952
2023-12-19 09:25:00+00:00,125.3,125.3,125.1,125.1,2564
2023-12-19 09:30:00+00:00,125.1,125.15,125.0,125.1,2407
