,open,high,low,close,volume
2023-12-18 03:45:00+00:00,912.0,940.0,910.15,936.6,66982
2023-12-18 03:50:00+00:00,936.85,949.0,933.0,945.65,50632
2023-12-18 03:55:00+00:00,945.05,948.0,935.55,936.0,21778
2023-12-18 04:00:00+00:00,935.05,936.9,931.0,932.5,19541
2023-12-18 04:05:00+00:00,932.5,932.95,923.0,926.55,21998
2023-12-18 04:10:00+00:00,926.55,936.0,925.75,932.0,13095
2023-12-18 04:15:00+00:00,931.2,931.95,924.5,925.0,7791
2023-12-18 04:20:00+00:00,925.0,925.55,923.0,925.15,5827
2023-12-18 04:25:00+00:00,924.6,927.65,923.6,924.5,8158
2023-12-18 04:30:00+00:00,924.5,926.25,922.1,922.5,3262
2023-12-18 04:35:00+00:00,923.0,923.0,919.5,920.8,9956
2023-12-18 04:40:00+00:00,920.4,921.45,917.1,921.35,9182
2023-12-18 04:45:00+00:00,921.7,924.0,921.1,922.8,3023
2023-12-18 04:50:00+00:00,922.8,923.95,921.1,921.1,4461
2023-12-18 04:55:00+00:00,921.1,924.8,921.05,923.6,4441
2023-12-18 05:00:00+00:00,923.0,925.8,923.0,925.8,3688
2023-12-18 05:05:00+00:00,925.8,925.8,922.1,923.35,2070
2023-12-18 05:10:00+00:00,923.35,924.55,923.3,923.85,1355
2023-12-18 05:15:00+00:00,923.85,925.75,923.85,925.1,1405
2023-12-18 05:20:00+00:00,925.1,926.0,923.1,925.0,1965
2023-12-18 05:25:00+00:00,925.0,925.05,923.0,925.0,916
2023-12-18 05:30:00+00:00,925.0,925.0,923.5,923.6,1583
2023-12-18 05:35:00+00:00,924.05,924.2,922.1,922.85,943
2023-12-18 05:40:00+00:00,922.0,923.95,922.0,923.3,1318
2023-12-18 05:45:00+00:00,923.3,923.35,922.05,922.05,315
2023-12-18 05:50:00+00:00,922.05,922.4,920.6,922.15,1604
2023-12-18 05:55:00+00:00,922.15,922.15,921.0,921.85,782
2023-12-18 06:00:00+00:00,921.85,922.4,921.5,922.0,605
2023-12-18 06:05:00+00:00,922.0,922.4,922.0,922.0,303
2023-12-18 06:10:00+00:00,922.0,923.8,922.0,923.0,1469
2023-12-18 06:15:00+00:00,923.0,924.2,922.0,922.9,1315
2023-12-18 06:20:00+00:00,922.9,922.9,921.55,921.95,722
2023-12-18 06:25:00+00:00,921.95,922.0,920.5,921.5,1684
2023-12-18 06:30:00+00:00,921.5,924.4,920.1,924.4,2219
2023-12-18 06:35:00+00:00,923.1,924.4,922.55,923.0,868
2023-12-18 06:40:00+00:00,923.0,928.0,923.0,928.0,4669
2023-12-18 06:45:00+00:00,928.0,928.0,925.1,925.6,955
2023-12-18 06:50:00+00:00,925.6,926.5,925.05,925.65,753
2023-12-18 06:55:00+00:00,925.65,925.95,925.05,925.85,1731
2023-12-18 07:00:00+00:00,925.55,925.6,925.05,925.05,660
2023-12-18 07:05:00+00:00,925.05,925.95,925.05,925.95,666
2023-12-18 07:10:00+00:00,925.95,925.95,925.05,925.05,405
2023-12-18 07:15:00+00:00,925.05,926.4,924.05,925.7,4241
2023-12-18 07:20:00+00:00,925.7,925.9,925.05,925.2,378
2023-12-18 07:25:00+00:00,925.15,930.0,925.15,927.95,12501
2023-12-18 07:30:00+00:00,927.95,927.95,925.2,925.95,2334
2023-12-18 07:35:00+00:00,925.2,927.0,925.0,926.25,2286
2023-12-18 07:40:00+00:00,926.25,926.25,923.55,924.15,950
2023-12-18 07:45:00+00:00,924.15,924.15,920.1,921.4,7029
2023-12-18 07:50:00+00:00,921.4,922.6,920.55,921.95,1246
2023-12-18 07:55:00+00:00,921.95,923.05,921.55,922.1,1233
2023-12-18 08:00:00+00:00,922.1,923.75,922.05,923.75,428
2023-12-18 08:05:00+00:00,923.75,923.75,922.25,923.45,488
2023-12-18 08:10:00+00:00,923.45,923.8,922.5,923.35,343
2023-12-18 08:15:00+00:00,923.35,923.35,919.0,920.15,6592
2023-12-18 08:20:00+00:00,920.15,920.5,919.05,920.0,1400
2023-12-18 08:25:00+00:00,920.0,920.0,918.65,919.1,1518
2023-12-18 08:30:00+00:00,918.55,920.0,918.55,919.2,906
2023-12-18 08:35:00+00:00,919.2,919.85,916.0,916.5,5966
2023-12-18 08:40:00+00:00,916.5,917.7,914.85,916.25,3589
2023-12-18 08:45:00+00:00,916.2,917.9,915.7,917.45,603
2023-12-18 08:50:00+00:00,917.45,917.8,916.1,917.0,966
2023-12-18 08:55:00+00:00,917.0,918.35,916.55,918.2,1188
2023-12-18 09:00:00+00:00,918.25,918.8,917.45,917.55,1116
2023-12-18 09:05:00+00:00,917.55,918.7,916.1,916.5,1572
2023-12-18 09:10:00+00:00,916.5,917.05,915.35,915.9,1690
2023-12-18 09:15:00+00:00,915.9,917.3,915.55,917.0,1477
2023-12-18 09:20:00+00:00,917.3,918.95,916.6,918.95,3045
2023-12-18 09:25:00+00:00,918.8,919.0,916.55,918.25,2942
2023-12-18 09:30:00+00:00,918.2,918.25,916.25,917.0,2538
2023-12-18 09:35:00+00:00,917.0,917.0,914.0,916.0,4291
2023-12-18 09:40:00+00:00,916.0,916.0,911.35,911.65,5948
2023-12-18 09:45:00+00:00,911.95,912.0,901.5,906.65,9548
2023-12-18 09:50:00+00:00,906.65,907.85,902.0,906.0,8381
2023-12-18 09:55:00+00:00,905.5,908.9,905.0,907.0,8254
2023-12-19 03:45:00+00:00,950.0,950.0,920.0,922.1,39432
2023-12-19 03:50:00+00:00,922.7,925.0,915.0,917.0,25589
2023-12-19 03:55:00+00:00,917.45,920.2,916.9,918.05,17272
2023-12-19 04:00:00+00:00,918.05,918.05,911.25,911.25,11260
2023-12-19 04:05:00+00:00,912.0,915.45,910.0,910.0,16799
2023-12-19 04:10:00+00:00,910.0,910.0,891.75,894.0,42310
2023-12-19 04:15:00+00:00,894.0,896.2,888.0,891.05,36499
