,open,high,low,close,volume
2023-12-18 03:45:00+00:00,861.15,869.3,852.1,852.5,17646
2023-12-18 03:50:00+00:00,853.6,859.8,849.8,856.7,9848
2023-12-18 03:55:00+00:00,857.3,867.85,856.35,867.85,5772
2023-12-18 04:00:00+00:00,867.85,868.0,861.2,862.05,3346
2023-12-18 04:05:00+00:00,862.05,866.7,862.05,864.7,3270
2023-12-18 04:10:00+00:00,865.0,866.0,862.75,866.0,1446
2023-12-18 04:15:00+00:00,866.0,868.7,865.4,865.6,9675
2023-12-18 04:20:00+00:00,865.6,868.25,865.45,865.7,1523
2023-12-18 04:25:00+00:00,865.7,867.0,863.1,865.75,2914
2023-12-18 04:30:00+00:00,865.75,867.9,865.05,867.9,1290
2023-12-18 04:35:00+00:00,867.9,867.9,865.0,865.9,2534
2023-12-18 04:40:00+00:00,865.9,866.0,863.2,865.0,1652
2023-12-18 04:45:00+00:00,865.0,866.55,864.3,864.95,856
2023-12-18 04:50:00+00:00,864.3,866.0,864.3,865.75,1392
2023-12-18 04:55:00+00:00,865.75,866.1,863.15,863.8,995
2023-12-18 05:00:00+00:00,863.8,864.8,863.1,864.6,521
2023-12-18 05:05:00+00:00,864.6,866.95,863.6,865.3,2194
2023-12-18 05:10:00+00:00,865.3,866.75,865.3,865.95,588
2023-12-18 05:15:00+00:00,865.95,867.0,865.5,866.15,580
2023-12-18 05:20:00+00:00,867.0,867.0,864.65,864.65,732
2023-12-18 05:25:00+00:00,865.8,865.95,865.0,865.95,456
2023-12-18 05:30:00+00:00,865.95,866.0,865.0,865.85,1628
2023-12-18 05:35:00+00:00,865.85,866.45,865.0,866.4,2679
2023-12-18 05:40:00+00:00,866.4,866.45,865.0,865.95,1096
2023-12-18 05:45:00+00:00,865.95,866.45,865.0,865.0,2807
2023-12-18 05:50:00+00:00,865.0,866.0,864.6,865.65,1078
2023-12-18 05:55:00+00:00,865.65,866.0,865.15,865.8,341
2023-12-18 06:00:00+00:00,865.8,866.0,865.45,866.0,250
2023-12-18 06:05:00+00:00,866.0,866.0,865.8,865.95,457
2023-12-18 06:10:00+00:00,865.95,866.0,865.0,865.0,1166
2023-12-18 06:15:00+00:00,865.0,865.8,865.0,865.8,188
2023-12-18 06:20:00+00:00,865.4,865.8,865.35,865.6,140
2023-12-18 06:25:00+00:00,865.6,866.0,864.85,864.95,711
2023-12-18 06:30:00+00:00,864.95,864.95,863.45,864.4,738
2023-12-18 06:35:00+00:00,864.4,865.95,864.4,865.6,207
2023-12-18 06:40:00+00:00,865.6,866.0,863.4,864.85,378
2023-12-18 06:45:00+00:00,864.85,865.65,861.1,861.75,1270
2023-12-18 06:50:00+00:00,861.75,863.55,861.05,863.5,2166
2023-12-18 06:55:00+00:00,863.5,864.45,858.35,859.15,7152
2023-12-18 07:00:00+00:00,859.15,862.8,858.55,860.85,1387
2023-12-18 07:05:00+00:00,860.85,861.0,859.8,861.0,356
2023-12-18 07:10:00+00:00,861.0,862.25,861.0,862.1,296
