,open,high,low,close,volume
2023-12-18 03:45:00+00:00,323.8,323.8,317.55,318.0,2139
2023-12-18 03:50:00+00:00,318.75,318.75,317.0,317.95,1235
2023-12-18 03:55:00+00:00,317.95,318.45,317.95,318.45,527
2023-12-18 04:00:00+00:00,318.45,318.45,317.55,318.1,306
2023-12-18 04:05:00+00:00,318.1,318.1,317.55,317.55,55
2023-12-18 04:10:00+00:00,317.55,317.6,317.55,317.6,9
2023-12-18 04:15:00+00:00,317.6,317.6,317.5,317.5,50
2023-12-18 04:20:00+00:00,317.5,317.5,317.5,317.5,112
2023-12-18 04:25:00+00:00,317.5,317.5,316.95,316.95,158
2023-12-18 04:30:00+00:00,316.95,317.3,316.95,317.3,16
2023-12-18 04:35:00+00:00,316.95,317.3,316.95,317.3,43
2023-12-18 04:40:00+00:00,317.3,318.5,317.3,317.85,280
2023-12-18 04:45:00+00:00,317.85,318.35,317.85,318.3,102
2023-12-18 04:50:00+00:00,318.3,318.3,317.75,317.75,35
2023-12-18 04:55:00+00:00,317.75,318.45,317.75,318.45,75
2023-12-18 05:00:00+00:00,318.45,318.45,318.45,318.45,0
2023-12-18 05:05:00+00:00,318.45,318.9,318.45,318.8,114
2023-12-18 05:10:00+00:00,318.8,318.8,318.8,318.8,0
2023-12-18 05:15:00+00:00,318.85,318.85,318.2,318.2,64
2023-12-18 05:20:00+00:00,318.2,318.2,318.0,318.0,8
2023-12-18 05:25:00+00:00,318.0,318.15,318.0,318.15,130
2023-12-18 05:30:00+00:00,318.1,319.0,318.1,319.0,2118
2023-12-18 05:35:00+00:00,319.0,319.0,318.2,318.2,349
2023-12-18 05:40:00+00:00,318.6,318.6,318.45,318.45,280
2023-12-18 05:45:00+00:00,319.0,319.0,317.3,317.55,10179
2023-12-18 05:50:00+00:00,318.4,318.45,318.0,318.0,150
2023-12-18 05:55:00+00:00,318.0,318.0,318.0,318.0,0
2023-12-18 06:00:00+00:00,318.0,318.5,318.0,318.5,87
2023-12-18 06:05:00+00:00,318.5,318.95,318.5,318.95,166
2023-12-18 06:10:00+00:00,318.9,318.9,318.9,318.9,330
2023-12-18 06:15:00+00:00,318.35,318.35,318.3,318.3,90
2023-12-18 06:20:00+00:00,318.0,318.0,318.0,318.0,1267
2023-12-18 06:25:00+00:00,318.0,318.1,318.0,318.1,16
2023-12-18 06:30:00+00:00,318.1,318.1,317.8,317.8,25
2023-12-18 06:35:00+00:00,317.8,317.8,317.8,317.8,0
2023-12-18 06:40:00+00:00,317.8,318.0,317.5,318.0,61
2023-12-18 06:45:00+00:00,318.0,318.0,317.3,317.7,54
2023-12-18 06:50:00+00:00,317.8,317.8,317.8,317.8,10
2023-12-18 06:55:00+00:00,317.8,319.0,317.8,319.0,400
2023-12-18 07:00:00+00:00,317.85,319.0,317.75,319.0,526
2023-12-18 07:05:00+00:00,319.0,319.0,319.0,319.0,0
2023-12-18 07:10:00+00:00,318.15,318.8,318.15,318.8,37
2023-12-18 07:15:00+00:00,318.8,318.8,318.5,318.5,50
2023-12-18 07:25:00+00:00,318.0,318.15,318.0,318.15,75
2023-12-18 07:30:00+00:00,318.15,318.15,318.1,318.1,55
2023-12-18 07:35:00+00:00,318.1,318.1,318.1,318.1,0
2023-12-18 07:40:00+00:00,318.1,318.1,318.1,318.1,2
2023-12-18 07:45:00+00:00,318.1,318.1,318.1,318.1,55
2023-12-18 07:50:00+00:00,318.5,318.5,318.5,318.5,3
2023-12-18 07:55:00+00:00,318.5,318.5,318.5,318.5,0
2023-12-18 08:00:00+00:00,318.6,318.6,318.6,318.6,500
2023-12-18 08:10:00+00:00,318.15,318.15,318.15,318.15,2
2023-12-18 08:15:00+00:00,318.15,318.15,318.15,318.15,7
2023-12-18 08:20:00+00:00,318.15,318.65,318.0,318.15,777
2023-12-18 08:25:00+00:00,318.05,318.05,318.05,318.05,37
2023-12-18 08:30:00+00:00,318.05,318.05,318.05,318.05,0
2023-12-18 08:35:00+00:00,318.05,318.05,318.05,318.05,0
2023-12-18 08:40:00+00:00,318.1,318.75,318.1,318.75,40
2023-12-18 08:45:00+00:00,318.75,318.75,318.75,318.75,0
2023-12-18 08:50:00+00:00,317.7,317.75,317.7,317.75,655
2023-12-18 08:55:00+00:00,317.75,317.75,317.75,317.75,0
2023-12-18 09:00:00+00:00,317.75,318.7,317.75,318.5,102
2023-12-18 09:05:00+00:00,318.5,318.5,317.8,317.8,46
2023-12-18 09:10:00+00:00,317.8,317.95,317.75,317.95,37
2023-12-18 09:15:00+00:00,317.95,318.0,317.0,317.0,2021
2023-12-18 09:20:00+00:00,317.0,318.15,316.9,318.15,1036
2023-12-18 09:25:00+00:00,318.15,318.4,317.4,317.4,153
2023-12-18 09:30:00+00:00,317.4,318.4,317.4,318.4,185
2023-12-18 09:35:00+00:00,318.0,318.85,317.6,318.85,164
2023-12-18 09:40:00+00:00,318.85,318.85,317.45,317.55,424
2023-12-18 09:45:00+00:00,317.55,318.8,317.55,318.7,40298
2023-12-18 09:50:00+00:00,318.7,318.7,317.2,317.6,6016
2023-12-18 09:55:00+00:00,317.6,318.5,317.6,317.7,850
2023-12-19 03:45:00+00:00,320.1,320.95,317.2,319.85,7226
2023-12-19 03:50:00+00:00,319.85,319.85,319.0,319.0,1098
2023-12-19 03:55:00+00:00,319.0,319.3,319.0,319.25,201
2023-12-19 04:00:00+00:00,319.25,319.25,318.0,318.0,351
2023-12-19 04:05:00+00:00,318.0,318.0,318.0,318.0,42
2023-12-19 04:10:00+00:00,318.0,318.85,318.0,318.85,100
2023-12-19 04:15:00+00:00,318.05,318.75,318.05,318.75,155
2023-12-19 04:20:00+00:00,318.95,318.95,318.7,318.7,101
2023-12-19 04:25:00+00:00,318.7,319.0,318.7,319.0,2098
2023-12-19 04:30:00+00:00,319.0,319.15,318.95,319.15,5059
