,open,high,low,close,volume
2023-12-18 03:45:00+00:00,840.5,842.0,828.15,833.65,1461
2023-12-18 03:50:00+00:00,833.65,835.05,829.0,835.0,1279
2023-12-18 03:55:00+00:00,835.0,839.45,835.0,838.45,391
2023-12-18 04:00:00+00:00,838.45,839.85,831.25,831.25,702
2023-12-18 04:05:00+00:00,831.25,834.0,831.0,831.75,1187
2023-12-18 04:10:00+00:00,831.75,835.05,830.85,835.05,475
2023-12-18 04:15:00+00:00,835.05,835.05,829.75,831.5,2282
2023-12-18 04:20:00+00:00,831.5,832.0,829.1,831.6,660
2023-12-18 04:25:00+00:00,831.6,833.7,830.25,831.1,1689
2023-12-18 04:30:00+00:00,831.1,831.95,831.1,831.4,169
2023-12-18 04:35:00+00:00,831.4,835.2,831.4,834.55,344
2023-12-18 04:40:00+00:00,834.55,835.2,833.7,834.7,98
2023-12-18 04:45:00+00:00,834.7,835.0,830.15,831.25,1499
2023-12-18 04:50:00+00:00,831.25,832.8,831.25,831.3,94
2023-12-18 04:55:00+00:00,831.3,832.8,830.0,831.3,339
2023-12-18 05:00:00+00:00,832.05,833.95,832.05,832.6,241
2023-12-18 05:05:00+00:00,832.6,832.65,830.95,831.75,57
2023-12-18 05:10:00+00:00,831.75,831.75,830.2,830.4,98
2023-12-18 05:15:00+00:00,830.4,833.45,830.4,831.9,41
2023-12-18 05:20:00+00:00,831.9,833.2,828.6,828.8,397
2023-12-18 05:25:00+00:00,829.8,830.45,825.55,826.45,2277
2023-12-18 05:30:00+00:00,826.85,828.4,826.65,827.2,124
2023-12-18 05:35:00+00:00,827.2,829.25,826.0,826.0,554
2023-12-18 05:40:00+00:00,825.5,826.9,825.5,825.65,194
2023-12-18 05:45:00+00:00,825.65,826.9,825.6,826.9,128
2023-12-18 05:50:00+00:00,826.9,827.95,825.8,826.35,911
2023-12-18 05:55:00+00:00,826.35,826.35,826.0,826.15,96
2023-12-18 06:00:00+00:00,826.15,827.65,826.05,826.05,248
2023-12-18 06:05:00+00:00,826.1,827.6,826.1,826.2,318
2023-12-18 06:10:00+00:00,826.65,827.8,825.65,825.85,177
2023-12-18 06:15:00+00:00,825.85,826.3,817.5,820.0,4139
2023-12-18 06:20:00+00:00,820.0,822.25,820.0,820.65,162
2023-12-18 06:25:00+00:00,820.65,822.85,819.2,820.0,1345
2023-12-18 06:30:00+00:00,819.6,820.6,818.95,820.0,655
2023-12-18 06:35:00+00:00,820.1,820.1,820.0,820.0,227
2023-12-18 06:40:00+00:00,820.0,820.0,819.6,820.0,78
2023-12-18 06:45:00+00:00,820.0,820.2,818.95,820.0,304
2023-12-18 06:50:00+00:00,820.0,820.2,819.25,819.95,1780
2023-12-18 06:55:00+00:00,819.95,821.45,819.95,821.3,589
2023-12-18 07:00:00+00:00,821.3,822.0,820.0,820.8,397
2023-12-18 07:05:00+00:00,820.8,820.8,819.9,820.55,141
2023-12-18 07:10:00+00:00,820.55,822.0,819.0,822.0,969
2023-12-18 07:15:00+00:00,822.0,823.0,820.15,820.5,180
2023-12-18 07:20:00+00:00,820.5,821.0,819.4,819.4,601
2023-12-18 07:25:00+00:00,819.4,821.0,819.0,820.1,289
2023-12-18 07:30:00+00:00,820.1,820.5,819.35,819.35,207
2023-12-18 07:35:00+00:00,819.35,820.3,818.5,819.05,1212
2023-12-18 07:40:00+00:00,818.5,819.15,818.5,819.15,119
2023-12-18 07:45:00+00:00,819.15,819.75,819.15,819.45,353
2023-12-18 07:50:00+00:00,819.45,819.45,818.0,818.0,456
2023-12-18 07:55:00+00:00,818.0,820.0,818.0,819.45,279
2023-12-18 08:00:00+00:00,819.45,819.55,819.05,819.05,103
2023-12-18 08:05:00+00:00,819.05,820.0,819.0,820.0,286
2023-12-18 08:10:00+00:00,819.55,820.0,819.55,820.0,113
2023-12-18 08:15:00+00:00,820.0,820.0,818.7,818.85,101
2023-12-18 08:20:00+00:00,818.85,819.75,818.8,819.75,7
2023-12-18 08:25:00+00:00,819.75,819.75,818.55,819.6,131
2023-12-18 08:30:00+00:00,819.6,819.6,818.65,818.8,139
2023-12-18 08:35:00+00:00,818.8,820.45,818.8,819.9,252
2023-12-18 08:40:00+00:00,819.9,820.0,819.1,819.1,55
2023-12-18 08:45:00+00:00,819.1,820.0,819.0,819.0,211
2023-12-18 08:50:00+00:00,819.0,819.4,818.0,819.1,355
2023-12-18 08:55:00+00:00,819.1,819.8,818.05,819.8,40
2023-12-18 09:00:00+00:00,819.8,819.8,818.3,818.3,657
2023-12-18 09:05:00+00:00,818.3,820.15,818.3,819.95,135
2023-12-18 09:10:00+00:00,819.95,820.0,819.0,819.0,543
2023-12-18 09:15:00+00:00,819.0,820.0,819.0,820.0,305
2023-12-18 09:20:00+00:00,820.0,820.0,819.2,820.0,13
