,open,high,low,close,volume
2023-12-18 03:45:00+00:00,269.9,273.0,267.95,273.0,409
2023-12-18 03:50:00+00:00,272.95,272.95,269.5,269.5,514
2023-12-18 03:55:00+00:00,273.0,273.0,269.5,270.0,783
2023-12-18 04:00:00+00:00,270.0,271.6,270.0,271.6,4
2023-12-18 04:05:00+00:00,274.95,274.95,272.3,272.65,411
2023-12-18 04:10:00+00:00,272.65,272.65,271.4,271.4,22
2023-12-18 04:15:00+00:00,271.4,272.65,270.1,271.75,332
2023-12-18 04:20:00+00:00,271.75,275.9,271.1,271.1,12061
2023-12-18 04:25:00+00:00,271.1,271.1,270.45,270.45,98
2023-12-18 04:30:00+00:00,270.45,273.9,270.45,273.9,403
2023-12-18 04:35:00+00:00,273.9,273.9,273.0,273.2,224
2023-12-18 04:40:00+00:00,273.2,273.4,272.6,273.4,11
2023-12-18 04:45:00+00:00,273.4,273.6,272.5,273.6,235
2023-12-18 04:50:00+00:00,273.6,273.6,273.1,273.1,89
2023-12-18 04:55:00+00:00,273.1,273.1,272.3,272.3,182
2023-12-18 05:00:00+00:00,272.3,272.3,270.5,270.6,407
2023-12-18 05:05:00+00:00,270.6,271.25,270.0,270.95,195
2023-12-18 05:10:00+00:00,270.95,270.95,270.05,270.1,52
2023-12-18 05:15:00+00:00,270.1,270.1,270.1,270.1,0
2023-12-18 05:20:00+00:00,270.1,270.1,270.1,270.1,50
2023-12-18 05:25:00+00:00,270.1,272.45,270.1,272.45,210
2023-12-18 05:30:00+00:00,272.45,272.45,272.35,272.35,100
2023-12-18 05:35:00+00:00,272.35,272.35,271.05,271.05,127
2023-12-18 05:40:00+00:00,271.05,272.4,271.05,271.1,166
2023-12-18 05:45:00+00:00,271.1,273.6,270.1,272.1,373
2023-12-18 05:50:00+00:00,272.1,272.1,272.0,272.0,30
2023-12-18 05:55:00+00:00,272.0,272.0,271.2,271.2,1
2023-12-18 06:00:00+00:00,271.4,278.0,271.4,273.45,4405
2023-12-18 06:05:00+00:00,272.95,276.05,272.95,275.65,221
2023-12-18 06:10:00+00:00,275.65,275.65,274.85,275.3,293
2023-12-18 06:15:00+00:00,275.3,275.3,274.5,274.5,563
2023-12-18 06:20:00+00:00,274.5,275.3,274.5,275.0,150
2023-12-18 06:25:00+00:00,275.0,275.3,275.0,275.0,456
2023-12-18 06:30:00+00:00,275.0,275.0,272.6,274.1,305
2023-12-18 06:35:00+00:00,274.1,274.85,273.65,273.65,19
2023-12-18 06:40:00+00:00,273.65,273.65,272.5,272.5,200
2023-12-18 06:45:00+00:00,272.5,273.3,272.5,273.3,5
2023-12-18 06:50:00+00:00,273.3,273.3,273.2,273.2,6
2023-12-18 06:55:00+00:00,273.2,273.3,273.2,273.3,25
2023-12-18 07:00:00+00:00,273.3,273.3,273.3,273.3,0
2023-12-18 07:05:00+00:00,273.3,273.3,273.3,273.3,10
2023-12-18 07:10:00+00:00,273.3,274.7,273.3,274.7,100
2023-12-18 07:15:00+00:00,274.7,274.7,273.3,273.3,10
2023-12-18 07:20:00+00:00,273.3,273.3,273.3,273.3,0
2023-12-18 07:25:00+00:00,273.3,273.3,273.3,273.3,50
2023-12-18 07:30:00+00:00,273.3,273.35,273.3,273.35,1
2023-12-18 07:35:00+00:00,273.35,274.0,273.3,274.0,302
2023-12-18 07:40:00+00:00,274.0,274.0,273.3,273.3,38
