,open,high,low,close,volume
2023-12-18 03:45:00+00:00,2318.2,2337.65,2309.7,2337.3,3149
2023-12-18 03:50:00+00:00,2333.2,2377.05,2332.65,2363.55,7856
2023-12-18 03:55:00+00:00,2358.8,2367.0,2354.4,2367.0,2408
2023-12-18 04:00:00+00:00,2363.7,2368.0,2345.7,2348.9,1969
2023-12-18 04:05:00+00:00,2348.9,2359.1,2347.7,2352.85,1856
2023-12-18 04:10:00+00:00,2350.65,2356.65,2347.9,2347.9,1647
2023-12-18 04:15:00+00:00,2347.9,2348.95,2340.5,2343.2,1617
2023-12-18 04:20:00+00:00,2343.2,2344.8,2340.5,2343.0,644
2023-12-18 04:25:00+00:00,2342.4,2355.15,2340.5,2352.0,2481
2023-12-18 04:30:00+00:00,2352.0,2363.95,2350.15,2362.7,2578
2023-12-18 04:35:00+00:00,2362.7,2371.75,2359.6,2367.2,3311
2023-12-18 04:40:00+00:00,2367.2,2371.0,2364.15,2370.0,2381
2023-12-18 04:45:00+00:00,2370.0,2370.15,2363.6,2365.0,944
2023-12-18 04:50:00+00:00,2365.0,2367.0,2363.2,2365.05,725
2023-12-18 04:55:00+00:00,2363.5,2368.6,2363.5,2368.0,980
2023-12-18 05:00:00+00:00,2368.0,2371.0,2365.0,2370.0,1691
2023-12-18 05:05:00+00:00,2370.0,2375.0,2365.05,2373.0,2555
2023-12-18 05:10:00+00:00,2373.0,2373.0,2369.5,2371.0,815
2023-12-18 05:15:00+00:00,2371.0,2376.95,2371.0,2374.2,1587
2023-12-18 05:20:00+00:00,2374.2,2375.6,2369.0,2369.8,1441
2023-12-18 05:25:00+00:00,2369.8,2369.8,2365.05,2367.0,425
2023-12-18 05:30:00+00:00,2367.0,2368.95,2365.7,2367.7,746
2023-12-18 05:35:00+00:00,2367.7,2368.0,2365.0,2367.1,424
2023-12-18 05:40:00+00:00,2367.1,2368.4,2356.9,2358.9,1253
2023-12-18 05:45:00+00:00,2358.9,2363.65,2355.0,2361.3,947
2023-12-18 05:50:00+00:00,2361.3,2363.25,2360.2,2362.0,453
2023-12-18 05:55:00+00:00,2360.0,2362.4,2357.85,2362.0,309
2023-12-18 06:00:00+00:00,2362.0,2362.0,2356.55,2357.15,515
2023-12-18 06:05:00+00:00,2357.15,2359.85,2356.45,2356.65,276
2023-12-18 06:10:00+00:00,2356.65,2359.1,2353.6,2356.9,603
2023-12-18 06:15:00+00:00,2356.9,2357.0,2350.05,2353.6,486
2023-12-18 06:20:00+00:00,2353.6,2356.45,2350.05,2352.85,316
2023-12-18 06:25:00+00:00,2352.85,2354.45,2350.9,2351.25,431
2023-12-18 06:30:00+00:00,2351.25,2355.85,2351.2,2354.45,284
2023-12-18 06:35:00+00:00,2352.9,2355.45,2351.0,2352.7,366
2023-12-18 06:40:00+00:00,2352.7,2355.0,2351.2,2353.65,564
2023-12-18 06:45:00+00:00,2354.95,2355.0,2352.1,2352.1,318
2023-12-18 06:50:00+00:00,2353.0,2354.95,2351.4,2354.05,558
2023-12-18 06:55:00+00:00,2352.0,2353.95,2351.8,2352.15,159
2023-12-18 07:00:00+00:00,2353.85,2353.95,2350.05,2350.3,334
2023-12-18 07:05:00+00:00,2352.4,2352.95,2350.25,2350.75,313
2023-12-18 07:10:00+00:00,2350.75,2353.0,2350.4,2352.8,185
2023-12-18 07:15:00+00:00,2352.8,2353.0,2349.0,2349.0,1105
2023-12-18 07:20:00+00:00,2348.0,2350.5,2345.05,2350.5,634
2023-12-18 07:25:00+00:00,2350.5,2350.5,2347.45,2349.05,106
2023-12-18 07:30:00+00:00,2349.05,2350.65,2344.15,2347.45,568
2023-12-18 07:35:00+00:00,2347.45,2348.65,2345.0,2345.0,263
2023-12-18 07:40:00+00:00,2345.0,2346.95,2345.0,2345.0,221
2023-12-18 07:45:00+00:00,2345.0,2347.0,2344.8,2345.0,192
2023-12-18 07:50:00+00:00,2345.0,2346.2,2342.5,2344.55,181
2023-12-18 07:55:00+00:00,2344.55,2346.0,2344.15,2345.0,60
2023-12-18 08:00:00+00:00,2346.15,2346.15,2344.0,2344.0,54
2023-12-18 08:05:00+00:00,2344.0,2345.6,2342.2,2342.2,443
2023-12-18 08:10:00+00:00,2342.2,2344.85,2342.2,2344.0,121
2023-12-18 08:15:00+00:00,2344.7,2344.7,2342.0,2344.3,142
2023-12-18 08:20:00+00:00,2342.15,2344.25,2342.0,2342.0,126
2023-12-18 08:25:00+00:00,2342.0,2344.65,2341.5,2343.95,439
