,open,high,low,close,volume
2023-12-18 03:45:00+00:00,640.0,642.5,639.1,639.4,247
2023-12-18 03:50:00+00:00,639.4,641.45,637.75,641.45,284
2023-12-18 03:55:00+00:00,641.45,644.65,637.55,642.8,1187
2023-12-18 04:00:00+00:00,642.8,642.8,638.55,639.75,296
2023-12-18 04:05:00+00:00,639.75,641.45,639.25,641.45,192
2023-12-18 04:10:00+00:00,641.45,641.9,640.95,640.95,77
2023-12-18 04:15:00+00:00,642.6,643.0,642.6,642.9,334
2023-12-18 04:20:00+00:00,642.9,643.3,639.55,642.8,215
2023-12-18 04:25:00+00:00,642.8,642.8,639.0,641.05,165
2023-12-18 04:30:00+00:00,641.05,642.5,640.75,642.0,146
2023-12-18 04:35:00+00:00,642.0,642.55,641.0,641.5,376
2023-12-18 04:40:00+00:00,640.85,640.85,640.85,640.85,10
2023-12-18 04:45:00+00:00,640.85,642.0,640.85,641.05,184
2023-12-18 04:50:00+00:00,641.05,641.05,640.8,640.8,122
2023-12-18 04:55:00+00:00,640.8,641.8,639.2,641.7,175
2023-12-18 05:00:00+00:00,641.7,641.7,640.0,640.0,16
2023-12-18 05:05:00+00:00,640.0,641.3,640.0,641.3,15
2023-12-18 05:10:00+00:00,640.2,640.2,640.0,640.0,17
2023-12-18 05:15:00+00:00,640.0,641.3,640.0,641.3,25
2023-12-18 05:20:00+00:00,641.3,641.3,641.0,641.0,25
2023-12-18 05:25:00+00:00,641.0,641.15,641.0,641.15,14
2023-12-18 05:30:00+00:00,641.15,641.15,641.15,641.15,0
2023-12-18 05:35:00+00:00,641.15,641.75,640.0,640.0,55
2023-12-18 05:40:00+00:00,640.0,641.65,640.0,641.65,14
2023-12-18 05:45:00+00:00,641.65,641.65,641.2,641.2,55
2023-12-18 05:50:00+00:00,641.2,641.2,641.2,641.2,0
2023-12-18 05:55:00+00:00,641.2,641.2,640.0,640.0,97
2023-12-18 06:00:00+00:00,640.0,641.85,640.0,641.85,38
2023-12-18 06:05:00+00:00,641.85,643.45,641.85,642.85,564
2023-12-18 06:10:00+00:00,642.85,645.0,642.85,645.0,1461
2023-12-18 06:15:00+00:00,645.0,645.0,642.5,642.5,60
2023-12-18 06:20:00+00:00,642.5,642.55,642.5,642.55,8
2023-12-18 06:25:00+00:00,642.55,644.45,642.55,644.45,91
2023-12-18 06:30:00+00:00,644.45,644.45,643.1,643.1,19
2023-12-18 06:35:00+00:00,643.1,645.0,643.1,644.0,747
2023-12-18 06:40:00+00:00,644.0,646.0,640.55,645.3,1579
2023-12-18 06:45:00+00:00,645.3,656.2,645.3,652.7,7439
2023-12-18 06:50:00+00:00,652.7,656.85,650.05,656.8,2025
2023-12-18 06:55:00+00:00,656.8,689.9,656.8,685.0,17774
2023-12-18 07:00:00+00:00,685.0,689.75,678.0,678.0,14260
2023-12-18 07:05:00+00:00,678.0,679.95,675.0,675.4,4414
2023-12-18 07:10:00+00:00,675.4,678.65,675.1,677.6,4157
2023-12-18 07:15:00+00:00,677.6,680.0,677.0,677.4,4573
2023-12-18 07:20:00+00:00,677.4,677.5,666.45,668.8,11691
2023-12-18 07:25:00+00:00,668.8,678.4,667.5,676.05,10826
2023-12-18 07:30:00+00:00,676.05,676.6,673.55,675.45,430
2023-12-18 07:35:00+00:00,675.45,675.45,672.05,673.95,755
2023-12-18 07:40:00+00:00,673.95,680.0,673.45,678.0,4683
2023-12-18 07:45:00+00:00,678.0,680.0,677.05,678.1,1357
2023-12-18 07:50:00+00:00,678.1,678.3,674.55,676.9,1745
2023-12-18 07:55:00+00:00,676.9,676.9,673.55,674.85,289
2023-12-18 08:00:00+00:00,674.85,674.9,671.0,671.05,562
2023-12-18 08:05:00+00:00,671.05,671.05,669.7,670.75,1222
2023-12-18 08:10:00+00:00,670.95,672.35,669.0,669.0,2104
2023-12-18 08:15:00+00:00,669.05,670.05,667.35,669.5,623
2023-12-18 08:20:00+00:00,669.5,669.75,668.0,668.0,688
2023-12-18 08:25:00+00:00,668.0,672.15,668.0,670.75,1228
2023-12-18 08:30:00+00:00,670.75,671.95,670.75,671.95,24
2023-12-18 08:35:00+00:00,671.95,673.4,669.6,670.15,1183
2023-12-18 08:40:00+00:00,670.15,670.2,668.0,669.55,2280
2023-12-18 08:45:00+00:00,669.55,669.8,668.0,669.8,2499
2023-12-18 08:50:00+00:00,669.8,670.35,668.75,670.15,110
2023-12-18 08:55:00+00:00,670.15,670.15,668.55,668.9,81
2023-12-18 09:00:00+00:00,668.9,669.9,668.5,668.55,94
2023-12-18 09:05:00+00:00,668.55,668.55,668.0,668.05,259
2023-12-18 09:10:00+00:00,668.3,669.4,668.3,668.6,765
2023-12-18 09:15:00+00:00,668.6,668.9,668.0,668.9,1851
2023-12-18 09:20:00+00:00,668.0,671.0,668.0,669.1,1288
2023-12-18 09:25:00+00:00,669.1,669.95,668.0,669.0,824
2023-12-18 09:30:00+00:00,668.05,669.55,668.05,669.55,92
2023-12-18 09:35:00+00:00,669.55,669.85,668.65,668.8,245
2023-12-18 09:40:00+00:00,668.8,671.25,668.8,670.5,510
2023-12-18 09:45:00+00:00,670.5,679.3,670.5,671.2,7423
2023-12-18 09:50:00+00:00,671.2,677.2,671.2,675.8,1978
2023-12-18 09:55:00+00:00,675.95,680.0,674.8,676.0,9154
2023-12-19 03:45:00+00:00,682.65,682.65,665.55,668.9,2704
2023-12-19 03:50:00+00:00,668.9,670.6,666.75,667.1,694
2023-12-19 03:55:00+00:00,667.1,671.05,667.1,671.05,189
2023-12-19 04:00:00+00:00,671.05,671.65,668.55,668.7,525
2023-12-19 04:05:00+00:00,668.7,669.75,665.6,666.0,317
