,open,high,low,close,volume
2023-12-18 03:45:00+00:00,530.0,531.5,525.0,530.1,363392
2023-12-18 03:50:00+00:00,530.2,530.45,525.15,528.15,177456
2023-12-18 03:55:00+00:00,528.15,530.4,527.8,529.4,82018
2023-12-18 04:00:00+00:00,529.25,530.9,528.3,529.2,83674
2023-12-18 04:05:00+00:00,529.35,530.9,528.7,530.5,72809
2023-12-18 04:10:00+00:00,530.55,531.45,528.0,528.15,77225
2023-12-18 04:15:00+00:00,528.35,529.9,528.15,529.45,31970
2023-12-18 04:20:00+00:00,529.45,530.0,528.4,529.2,23615
2023-12-18 04:25:00+00:00,529.25,530.0,528.2,529.0,30746
2023-12-18 04:30:00+00:00,529.0,530.9,528.95,529.7,90363
2023-12-18 04:35:00+00:00,529.9,531.4,529.65,530.3,65772
2023-12-18 04:40:00+00:00,530.6,532.5,530.35,532.0,105857
2023-12-18 04:45:00+00:00,532.0,532.0,530.95,531.3,34934
2023-12-18 04:50:00+00:00,531.3,531.85,530.0,530.25,26019
2023-12-18 04:55:00+00:00,530.25,530.5,529.4,529.45,30742
2023-12-18 05:00:00+00:00,529.55,530.0,529.0,529.2,18809
2023-12-18 05:05:00+00:00,529.2,529.75,528.15,528.3,46973
2023-12-18 05:10:00+00:00,528.3,529.7,528.3,529.45,15838
2023-12-18 05:15:00+00:00,529.45,532.1,529.45,530.25,48767
2023-12-18 05:20:00+00:00,530.25,530.7,530.0,530.0,18747
2023-12-18 05:25:00+00:00,530.2,530.2,528.9,529.2,16922
2023-12-18 05:30:00+00:00,529.25,529.9,529.2,529.65,12623
2023-12-18 05:35:00+00:00,529.65,529.95,528.4,529.0,32592
2023-12-18 05:40:00+00:00,529.0,529.3,528.5,528.95,15757
2023-12-18 05:45:00+00:00,528.95,529.0,528.4,528.95,12226
2023-12-18 05:50:00+00:00,528.3,528.65,527.0,527.3,45625
2023-12-18 05:55:00+00:00,527.05,527.5,526.35,526.95,67346
2023-12-18 06:00:00+00:00,526.95,527.4,526.65,527.4,9387
2023-12-18 06:05:00+00:00,527.2,527.65,526.7,527.1,17704
2023-12-18 06:10:00+00:00,527.1,529.0,526.75,528.4,38772
2023-12-18 06:15:00+00:00,528.4,528.4,527.35,527.55,15181
2023-12-18 06:20:00+00:00,527.55,529.0,527.55,528.8,17082
2023-12-18 06:25:00+00:00,528.85,528.85,528.1,528.2,9884
2023-12-18 06:30:00+00:00,528.2,528.5,528.05,528.25,5935
2023-12-18 06:35:00+00:00,528.25,528.8,528.05,528.3,18890
2023-12-18 06:40:00+00:00,528.3,529.0,528.25,528.65,28481
2023-12-18 06:45:00+00:00,528.55,528.8,528.25,528.25,10770
2023-12-18 06:50:00+00:00,528.25,528.5,527.7,527.7,12716
2023-12-18 06:55:00+00:00,527.7,528.45,527.7,528.35,10008
2023-12-18 07:00:00+00:00,528.35,528.45,526.7,527.2,29367
2023-12-18 07:05:00+00:00,527.2,527.5,526.5,527.0,10642
2023-12-18 07:10:00+00:00,527.0,527.65,526.05,527.3,25874
2023-12-18 07:15:00+00:00,527.3,527.3,526.65,527.05,11341
2023-12-18 07:20:00+00:00,527.05,527.3,526.45,526.7,12946
2023-12-18 07:25:00+00:00,526.7,527.0,526.5,526.65,7186
2023-12-18 07:30:00+00:00,526.65,526.8,525.5,525.85,27442
2023-12-18 07:35:00+00:00,525.85,526.65,525.55,526.45,6216
2023-12-18 07:40:00+00:00,526.45,526.9,525.9,526.15,6298
2023-12-18 07:45:00+00:00,526.15,526.6,525.85,525.95,6639
2023-12-18 07:50:00+00:00,525.95,526.05,525.35,525.4,16739
2023-12-18 07:55:00+00:00,525.4,526.1,525.4,526.05,9197
2023-12-18 08:00:00+00:00,526.05,526.2,525.5,525.65,8660
2023-12-18 08:05:00+00:00,525.65,526.2,525.35,526.0,8747
2023-12-18 08:10:00+00:00,526.0,527.55,525.55,527.05,34564
2023-12-18 08:15:00+00:00,527.05,527.55,527.0,527.3,8932
2023-12-18 08:20:00+00:00,527.3,528.0,527.1,527.75,14033
2023-12-18 08:25:00+00:00,527.75,527.9,527.15,527.15,11012
2023-12-18 08:30:00+00:00,527.2,528.25,527.15,527.5,19050
2023-12-18 08:35:00+00:00,527.5,528.0,527.45,527.65,11405
2023-12-18 08:40:00+00:00,527.65,528.3,527.2,527.55,33055
2023-12-18 08:45:00+00:00,527.6,528.55,526.4,526.5,73123
2023-12-18 08:50:00+00:00,526.5,526.85,526.05,526.35,29519
2023-12-18 08:55:00+00:00,526.4,526.65,525.65,526.15,42084
2023-12-18 09:00:00+00:00,526.15,526.7,525.95,526.5,30643
2023-12-18 09:05:00+00:00,526.6,526.95,526.35,526.55,17409
2023-12-18 09:10:00+00:00,526.7,527.35,525.35,525.35,63085
2023-12-18 09:15:00+00:00,525.6,526.3,525.15,525.6,16853
2023-12-18 09:20:00+00:00,525.6,526.0,525.6,525.8,7554
2023-12-18 09:25:00+00:00,525.8,526.05,525.1,525.25,25465
2023-12-18 09:30:00+00:00,525.15,525.5,524.3,524.85,42518
2023-12-18 09:35:00+00:00,524.85,525.5,524.6,525.5,27340
2023-12-18 09:40:00+00:00,525.4,525.7,524.8,525.3,27216
2023-12-18 09:45:00+00:00,525.3,526.85,525.0,526.5,77742
2023-12-18 09:50:00+00:00,526.5,526.7,525.8,526.4,67307
2023-12-18 09:55:00+00:00,526.35,527.75,525.0,526.0,51419
2023-12-19 03:45:00+00:00,528.4,530.55,526.7,527.7,162093
2023-12-19 03:50:00+00:00,527.4,528.6,527.0,527.4,50659
2023-12-19 03:55:00+00:00,527.05,527.05,525.0,526.65,79732
2023-12-19 04:00:00+00:00,526.65,526.8,525.35,525.7,36625
2023-12-19 04:05:00+00:00,525.55,525.8,522.5,523.15,59746
2023-12-19 04:10:00+00:00,523.0,523.75,520.55,520.85,84473
2023-12-19 04:15:00+00:00,520.7,521.25,519.45,519.85,75845
2023-12-19 04:20:00+00:00,519.85,520.95,519.25,520.25,63986
2023-12-19 04:25:00+00:00,520.2,520.7,519.3,520.4,29134
2023-12-19 04:30:00+00:00,520.35,521.5,520.05,520.1,55033
2023-12-19 04:35:00+00:00,520.3,520.7,517.55,517.95,71572
2023-12-19 04:40:00+00:00,517.95,519.8,517.7,518.1,32813
2023-12-19 04:45:00+00:00,518.3,520.25,517.0,520.25,64817
2023-12-19 04:50:00+00:00,520.25,521.0,518.4,518.95,35230
2023-12-19 04:55:00+00:00,518.95,519.9,518.5,519.0,18229
2023-12-19 05:00:00+00:00,519.0,519.2,518.0,519.0,29269
2023-12-19 05:05:00+00:00,519.0,519.6,518.45,519.6,18231
2023-12-19 05:10:00+00:00,519.2,520.75,519.2,520.3,25002
2023-12-19 05:15:00+00:00,520.3,520.6,518.1,518.1,19817
2023-12-19 05:20:00+00:00,518.2,518.85,518.0,518.1,24415
2023-12-19 05:25:00+00:00,518.1,518.3,517.5,517.5,29332
2023-12-19 05:30:00+00:00,517.5,518.5,517.3,517.8,22099
2023-12-19 05:35:00+00:00,517.85,518.5,517.8,518.4,12307
2023-12-19 05:40:00+00:00,518.4,519.85,518.1,519.4,34867
2023-12-19 05:45:00+00:00,519.4,520.0,519.05,519.1,17700
2023-12-19 05:50:00+00:00,519.3,520.4,519.05,519.85,14906
2023-12-19 05:55:00+00:00,519.85,521.65,519.65,521.5,38195
2023-12-19 06:00:00+00:00,521.45,521.9,521.3,521.5,28155
2023-12-19 06:05:00+00:00,521.35,522.0,520.85,521.95,43282
2023-12-19 06:10:00+00:00,521.95,522.7,521.0,522.15,37709
2023-12-19 06:15:00+00:00,522.15,522.3,521.35,522.15,17343
2023-12-19 06:20:00+00:00,522.2,522.55,521.65,521.9,26971
2023-12-19 06:25:00+00:00,521.9,522.0,521.3,521.4,15693
2023-12-19 06:30:00+00:00,521.4,522.0,521.35,521.6,20787
2023-12-19 06:35:00+00:00,521.65,521.85,521.0,521.75,24035
2023-12-19 06:40:00+00:00,521.75,521.75,521.1,521.45,12206
2023-12-19 06:45:00+00:00,521.5,522.0,521.15,521.55,28321
