,open,high,low,close,volume
2023-12-18 03:45:00+00:00,2589.95,2599.0,2485.7,2501.0,5581
2023-12-18 03:50:00+00:00,2501.0,2503.35,2457.3,2487.05,5568
2023-12-18 03:55:00+00:00,2487.05,2515.4,2487.05,2512.85,3358
2023-12-18 04:00:00+00:00,2510.15,2517.95,2505.05,2515.3,1218
2023-12-18 04:05:00+00:00,2515.9,2543.0,2515.9,2537.9,1790
2023-12-18 04:10:00+00:00,2537.9,2552.9,2536.05,2548.3,1298
2023-12-18 04:15:00+00:00,2548.7,2554.95,2540.85,2541.45,1298
2023-12-18 04:20:00+00:00,2541.45,2551.55,2533.4,2535.9,1164
2023-12-18 04:25:00+00:00,2534.75,2543.95,2533.75,2540.4,521
2023-12-18 04:30:00+00:00,2540.4,2550.0,2540.1,2541.05,967
2023-12-18 04:35:00+00:00,2541.05,2545.9,2535.45,2543.7,313
2023-12-18 04:40:00+00:00,2543.7,2547.95,2535.45,2542.1,387
2023-12-18 04:45:00+00:00,2542.1,2550.0,2532.8,2532.8,456
2023-12-18 04:50:00+00:00,2534.75,2543.9,2528.6,2541.45,828
2023-12-18 04:55:00+00:00,2541.45,2550.0,2541.45,2546.0,1247
2023-12-18 05:00:00+00:00,2545.6,2549.7,2545.6,2547.25,157
2023-12-18 05:05:00+00:00,2547.25,2549.85,2545.6,2548.95,147
2023-12-18 05:10:00+00:00,2547.05,2550.0,2540.05,2543.15,1814
2023-12-18 05:15:00+00:00,2543.15,2549.35,2543.15,2549.25,32
2023-12-18 05:20:00+00:00,2549.25,2550.0,2547.0,2547.0,882
2023-12-18 05:25:00+00:00,2547.0,2550.0,2547.0,2547.1,410
2023-12-18 05:30:00+00:00,2547.1,2550.95,2547.0,2550.0,368
2023-12-18 05:35:00+00:00,2547.2,2549.95,2536.5,2536.95,1277
2023-12-18 05:40:00+00:00,2536.95,2541.0,2535.45,2540.65,127
2023-12-18 05:45:00+00:00,2540.65,2544.8,2539.35,2542.55,94
2023-12-18 05:50:00+00:00,2542.55,2543.95,2539.25,2543.0,118
2023-12-18 05:55:00+00:00,2543.0,2546.05,2539.8,2546.05,588
2023-12-18 06:00:00+00:00,2542.9,2548.8,2539.6,2545.0,839
2023-12-18 06:05:00+00:00,2545.0,2546.15,2539.6,2542.0,1116
2023-12-18 06:10:00+00:00,2542.0,2547.95,2542.0,2545.55,328
2023-12-18 06:15:00+00:00,2545.55,2548.9,2541.65,2547.15,2033
2023-12-18 06:20:00+00:00,2547.15,2547.15,2543.0,2543.9,799
2023-12-18 06:25:00+00:00,2543.85,2546.5,2540.1,2542.4,423
2023-12-18 06:30:00+00:00,2540.2,2545.95,2538.8,2545.85,474
2023-12-18 06:35:00+00:00,2545.85,2547.35,2540.15,2545.8,180
2023-12-18 06:40:00+00:00,2547.55,2547.85,2541.85,2545.75,221
2023-12-18 06:45:00+00:00,2545.75,2547.65,2541.0,2546.8,226
2023-12-18 06:50:00+00:00,2546.8,2548.75,2543.25,2543.25,544
2023-12-18 06:55:00+00:00,2543.25,2549.15,2541.4,2544.55,479
2023-12-18 07:00:00+00:00,2544.55,2547.55,2542.7,2546.4,174
2023-12-18 07:05:00+00:00,2546.4,2548.1,2542.05,2542.7,430
2023-12-18 07:10:00+00:00,2542.7,2549.2,2542.7,2544.45,417
2023-12-18 07:15:00+00:00,2544.45,2549.65,2542.05,2544.2,233
2023-12-18 07:20:00+00:00,2544.3,2550.0,2542.35,2545.9,873
2023-12-18 07:25:00+00:00,2545.9,2548.95,2542.65,2544.9,398
2023-12-18 07:30:00+00:00,2544.9,2548.85,2539.05,2547.1,383
2023-12-18 07:35:00+00:00,2547.1,2547.95,2543.55,2546.2,253
2023-12-18 07:40:00+00:00,2546.2,2547.95,2543.8,2547.3,160
2023-12-18 07:45:00+00:00,2547.3,2547.95,2545.0,2546.0,132
2023-12-18 07:50:00+00:00,2546.0,2549.95,2543.05,2545.05,1153
2023-12-18 07:55:00+00:00,2545.05,2549.05,2544.05,2546.75,554
2023-12-18 08:00:00+00:00,2546.75,2548.95,2544.2,2544.3,412
2023-12-18 08:05:00+00:00,2544.3,2548.0,2541.05,2545.5,519
2023-12-18 08:10:00+00:00,2544.15,2545.5,2537.45,2541.4,324
2023-12-18 08:15:00+00:00,2541.4,2548.0,2539.0,2542.1,319
2023-12-18 08:20:00+00:00,2542.1,2547.8,2541.25,2545.05,199
2023-12-18 08:25:00+00:00,2545.05,2547.8,2541.15,2545.45,184
2023-12-18 08:30:00+00:00,2545.45,2549.75,2541.05,2542.35,416
2023-12-18 08:35:00+00:00,2544.75,2547.8,2535.15,2535.8,923
2023-12-18 08:40:00+00:00,2535.8,2542.4,2535.25,2542.25,174
2023-12-18 08:45:00+00:00,2542.25,2544.0,2537.8,2541.9,221
2023-12-18 08:50:00+00:00,2541.9,2542.75,2530.0,2535.0,1048
2023-12-18 08:55:00+00:00,2535.0,2535.05,2531.55,2533.2,318
2023-12-18 09:00:00+00:00,2533.2,2537.7,2529.15,2536.55,472
2023-12-18 09:05:00+00:00,2538.7,2541.6,2536.05,2539.45,210
2023-12-18 09:10:00+00:00,2539.45,2542.5,2525.8,2528.75,824
2023-12-18 09:15:00+00:00,2526.05,2537.6,2526.05,2535.4,337
2023-12-18 09:20:00+00:00,2535.4,2538.0,2532.15,2536.6,368
2023-12-18 09:25:00+00:00,2533.95,2539.95,2533.05,2537.2,372
2023-12-18 09:30:00+00:00,2537.2,2540.95,2535.0,2537.05,1154
2023-12-18 09:35:00+00:00,2537.05,2545.0,2533.0,2540.0,2059
2023-12-18 09:40:00+00:00,2539.95,2545.0,2535.15,2537.7,1823
2023-12-18 09:45:00+00:00,2537.45,2544.9,2536.9,2540.0,1859
2023-12-18 09:50:00+00:00,2539.95,2542.4,2534.2,2535.05,2529
2023-12-18 09:55:00+00:00,2535.05,2543.45,2535.05,2539.7,793
2023-12-19 03:45:00+00:00,2545.0,2548.6,2500.0,2526.9,2305
2023-12-19 03:50:00+00:00,2526.9,2550.0,2526.5,2540.45,842
2023-12-19 03:55:00+00:00,2540.45,2548.95,2535.3,2545.45,703
2023-12-19 04:00:00+00:00,2544.4,2557.95,2541.25,2556.0,557
2023-12-19 04:05:00+00:00,2556.0,2556.0,2543.75,2551.1,660
2023-12-19 04:10:00+00:00,2551.1,2556.0,2545.05,2545.05,809
2023-12-19 04:15:00+00:00,2547.85,2548.65,2538.85,2542.85,634
2023-12-19 04:20:00+00:00,2542.85,2552.6,2542.85,2549.25,179
2023-12-19 04:25:00+00:00,2549.25,2554.85,2544.45,2551.4,383
2023-12-19 04:30:00+00:00,2551.4,2568.95,2538.7,2538.7,4101
2023-12-19 04:35:00+00:00,2540.0,2547.1,2537.45,2541.3,504
2023-12-19 04:40:00+00:00,2541.3,2547.95,2541.2,2543.05,482
2023-12-19 04:45:00+00:00,2543.05,2553.05,2543.0,2549.7,186
2023-12-19 04:50:00+00:00,2549.55,2553.8,2546.85,2549.4,254
2023-12-19 04:55:00+00:00,2549.4,2554.0,2548.0,2552.6,392
2023-12-19 05:00:00+00:00,2549.8,2556.3,2543.8,2551.75,866
2023-12-19 05:05:00+00:00,2551.75,2554.0,2550.15,2551.65,385
