,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1049.0,1049.0,1035.1,1041.4,1909
2023-12-18 03:50:00+00:00,1040.35,1043.35,1038.75,1042.5,753
2023-12-18 03:55:00+00:00,1042.5,1044.4,1041.95,1042.0,917
2023-12-18 04:00:00+00:00,1042.0,1043.1,1039.55,1043.1,3278
2023-12-18 04:05:00+00:00,1043.1,1046.85,1043.0,1043.75,7290
2023-12-18 04:10:00+00:00,1043.75,1044.0,1041.4,1043.25,1052
2023-12-18 04:15:00+00:00,1043.25,1043.65,1042.2,1042.95,57
2023-12-18 04:20:00+00:00,1042.95,1043.6,1042.2,1042.5,233
2023-12-18 04:25:00+00:00,1042.5,1043.6,1042.25,1043.0,59
2023-12-18 04:30:00+00:00,1043.0,1044.0,1043.0,1043.8,126
2023-12-18 04:35:00+00:00,1043.8,1044.95,1043.0,1043.95,2148
2023-12-18 04:40:00+00:00,1043.95,1044.0,1042.2,1042.45,960
2023-12-18 04:45:00+00:00,1042.45,1043.5,1042.45,1042.8,578
2023-12-18 04:50:00+00:00,1042.8,1042.8,1042.8,1042.8,31
2023-12-18 04:55:00+00:00,1042.8,1042.8,1042.5,1042.5,43
2023-12-18 05:00:00+00:00,1042.5,1042.5,1042.2,1042.2,50
2023-12-18 05:05:00+00:00,1042.2,1042.7,1042.0,1042.0,88
2023-12-18 05:10:00+00:00,1042.0,1042.8,1042.0,1042.15,37
2023-12-18 05:15:00+00:00,1042.15,1043.0,1042.0,1042.95,144
2023-12-18 05:20:00+00:00,1042.95,1043.8,1042.6,1043.65,592
2023-12-18 05:25:00+00:00,1043.65,1043.65,1043.0,1043.1,71
2023-12-18 05:30:00+00:00,1043.1,1043.55,1042.0,1042.85,79
2023-12-18 05:35:00+00:00,1042.85,1042.85,1041.7,1042.35,196
2023-12-18 05:40:00+00:00,1042.35,1042.35,1038.6,1040.0,1645
2023-12-18 05:45:00+00:00,1040.0,1041.8,1040.0,1040.9,1070
2023-12-18 05:50:00+00:00,1040.9,1040.95,1040.0,1040.95,8
2023-12-18 05:55:00+00:00,1040.95,1040.95,1039.55,1040.8,633
2023-12-18 06:00:00+00:00,1040.8,1040.8,1038.6,1038.6,1017
2023-12-18 06:05:00+00:00,1039.65,1042.75,1039.65,1042.0,1295
2023-12-18 06:10:00+00:00,1042.0,1042.0,1041.05,1041.05,50
2023-12-18 06:15:00+00:00,1041.05,1042.0,1040.8,1040.8,22
2023-12-18 06:20:00+00:00,1040.8,1042.0,1040.8,1040.8,55
2023-12-18 06:25:00+00:00,1040.8,1041.6,1040.1,1040.7,219
2023-12-18 06:30:00+00:00,1040.7,1040.9,1040.7,1040.8,26
2023-12-18 06:35:00+00:00,1040.8,1041.85,1040.8,1041.0,43
2023-12-18 06:40:00+00:00,1041.0,1041.0,1039.6,1039.6,628
2023-12-18 06:45:00+00:00,1039.6,1039.85,1039.6,1039.6,17
2023-12-18 06:50:00+00:00,1039.6,1039.6,1039.6,1039.6,8
2023-12-18 06:55:00+00:00,1039.6,1039.6,1039.0,1039.0,47
