,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1613.0,1615.85,1600.25,1606.55,24034
2023-12-18 03:50:00+00:00,1604.65,1613.1,1603.0,1611.9,13169
2023-12-18 03:55:00+00:00,1611.9,1614.95,1611.0,1613.8,6215
2023-12-18 04:00:00+00:00,1613.8,1618.0,1612.8,1614.0,5177
2023-12-18 04:05:00+00:00,1614.0,1618.0,1613.55,1615.75,5715
2023-12-18 04:10:00+00:00,1615.75,1616.9,1613.9,1615.95,4441
2023-12-18 04:15:00+00:00,1616.0,1618.0,1614.6,1615.45,4611
2023-12-18 04:20:00+00:00,1615.0,1615.0,1611.25,1613.0,3781
2023-12-18 04:25:00+00:00,1613.05,1615.0,1612.0,1615.0,104509
2023-12-18 04:30:00+00:00,1615.05,1617.0,1614.0,1614.8,3058
2023-12-18 04:35:00+00:00,1614.15,1616.95,1614.0,1614.35,3861
2023-12-18 04:40:00+00:00,1613.55,1616.1,1613.55,1616.1,1487
2023-12-18 04:45:00+00:00,1616.1,1617.45,1614.3,1616.05,3624
2023-12-18 04:50:00+00:00,1616.05,1617.4,1614.3,1614.95,1862
2023-12-18 04:55:00+00:00,1615.05,1616.55,1614.3,1614.5,2178
2023-12-18 05:00:00+00:00,1614.5,1617.35,1614.5,1616.8,2376
2023-12-18 05:05:00+00:00,1616.8,1616.8,1613.05,1615.15,2809
2023-12-18 05:10:00+00:00,1615.7,1617.6,1615.0,1616.45,1947
2023-12-18 05:15:00+00:00,1616.45,1622.0,1616.1,1621.4,57846
2023-12-18 05:20:00+00:00,1620.2,1621.8,1618.0,1619.95,12866
2023-12-18 05:25:00+00:00,1619.95,1620.95,1618.8,1618.9,3021
2023-12-18 05:30:00+00:00,1618.9,1619.65,1618.0,1618.95,1834
2023-12-18 05:35:00+00:00,1618.95,1618.95,1618.0,1618.0,111942
2023-12-18 05:40:00+00:00,1618.0,1618.65,1614.0,1615.95,19699
2023-12-18 05:45:00+00:00,1615.95,1617.4,1614.0,1615.95,3484
2023-12-18 05:50:00+00:00,1615.95,1616.25,1612.25,1614.05,3068
2023-12-18 05:55:00+00:00,1614.05,1617.5,1614.05,1615.3,2668
2023-12-18 06:00:00+00:00,1615.3,1615.3,1613.15,1615.0,1802
2023-12-18 06:05:00+00:00,1615.0,1615.3,1613.2,1615.0,4334
2023-12-18 06:10:00+00:00,1615.3,1617.2,1614.5,1615.35,3147
2023-12-18 06:15:00+00:00,1615.35,1616.4,1612.65,1614.5,2139
2023-12-18 06:20:00+00:00,1613.45,1616.0,1613.0,1614.1,2782
2023-12-18 06:25:00+00:00,1613.95,1614.1,1613.0,1614.05,1329
2023-12-18 06:30:00+00:00,1614.1,1614.1,1611.6,1613.05,4379
2023-12-18 06:35:00+00:00,1613.05,1622.5,1612.25,1620.0,20582
2023-12-18 06:40:00+00:00,1620.5,1621.75,1620.0,1620.8,2763
2023-12-18 06:45:00+00:00,1620.8,1622.0,1620.0,1621.25,4339
2023-12-18 06:50:00+00:00,1621.25,1621.95,1615.05,1615.85,21600
2023-12-18 06:55:00+00:00,1615.85,1615.85,1613.15,1614.5,3293
2023-12-18 07:00:00+00:00,1614.5,1617.5,1613.7,1617.4,4404
2023-12-18 07:05:00+00:00,1617.4,1620.0,1616.95,1619.0,3361
2023-12-18 07:10:00+00:00,1619.0,1623.0,1618.75,1623.0,6155
2023-12-18 07:15:00+00:00,1623.0,1624.8,1621.75,1624.5,8349
2023-12-18 07:20:00+00:00,1624.8,1626.0,1621.0,1621.6,61412
2023-12-18 07:25:00+00:00,1621.6,1623.4,1616.75,1617.35,5668
2023-12-18 07:30:00+00:00,1617.85,1618.6,1615.0,1618.15,6841
2023-12-18 07:35:00+00:00,1618.15,1618.75,1615.1,1618.75,4332
2023-12-18 07:40:00+00:00,1618.75,1618.75,1615.55,1618.15,2796
2023-12-18 07:45:00+00:00,1619.0,1619.75,1617.0,1618.85,4415
2023-12-18 07:50:00+00:00,1618.85,1619.45,1616.5,1616.5,3888
2023-12-18 07:55:00+00:00,1616.9,1618.2,1616.5,1617.05,3897
2023-12-18 08:00:00+00:00,1617.1,1618.35,1615.1,1615.85,4764
2023-12-18 08:05:00+00:00,1615.4,1617.85,1615.2,1616.05,4107
2023-12-18 08:10:00+00:00,1616.05,1618.0,1615.1,1615.95,4248
2023-12-18 08:15:00+00:00,1616.2,1619.05,1614.25,1619.0,6913
2023-12-18 08:20:00+00:00,1619.05,1619.05,1614.1,1615.85,21018
2023-12-18 08:25:00+00:00,1616.15,1616.8,1615.4,1616.05,2569
2023-12-18 08:30:00+00:00,1616.65,1616.65,1615.1,1615.25,3622
2023-12-18 08:35:00+00:00,1615.3,1617.4,1615.1,1615.7,2470
2023-12-18 08:40:00+00:00,1615.15,1616.0,1613.2,1614.5,8681
2023-12-18 08:45:00+00:00,1614.7,1614.7,1612.0,1613.25,5497
2023-12-18 08:50:00+00:00,1613.25,1613.25,1609.55,1609.75,6401
2023-12-18 08:55:00+00:00,1610.0,1611.9,1609.95,1611.1,4155
2023-12-18 09:00:00+00:00,1611.1,1611.25,1610.1,1610.7,3727
2023-12-18 09:05:00+00:00,1610.95,1610.95,1610.2,1610.4,3397
2023-12-18 09:10:00+00:00,1610.4,1610.4,1609.5,1610.2,4551
2023-12-18 09:15:00+00:00,1610.2,1610.2,1608.2,1608.35,3955
2023-12-18 09:20:00+00:00,1608.35,1610.2,1605.05,1606.0,6894
2023-12-18 09:25:00+00:00,1606.0,1608.5,1605.5,1608.3,4764
2023-12-18 09:30:00+00:00,1608.3,1609.0,1606.55,1606.8,12019
2023-12-18 09:35:00+00:00,1606.8,1608.0,1606.75,1607.9,10854
2023-12-18 09:40:00+00:00,1607.9,1608.0,1607.15,1607.15,8325
2023-12-18 09:45:00+00:00,1607.0,1610.0,1606.9,1609.0,13021
2023-12-18 09:50:00+00:00,1609.0,1609.25,1601.4,1607.95,21912
2023-12-18 09:55:00+00:00,1608.0,1610.15,1606.0,1608.5,13346
2023-12-19 03:45:00+00:00,1608.0,1623.3,1608.0,1618.65,13148
2023-12-19 03:50:00+00:00,1617.15,1618.9,1613.05,1617.35,14315
2023-12-19 03:55:00+00:00,1617.2,1623.2,1615.75,1620.05,12281
2023-12-19 04:00:00+00:00,1620.05,1622.1,1618.3,1620.55,4760
2023-12-19 04:05:00+00:00,1620.9,1621.7,1619.95,1620.85,3181
2023-12-19 04:10:00+00:00,1620.9,1620.9,1618.05,1618.95,2760
2023-12-19 04:15:00+00:00,1618.95,1621.0,1618.5,1620.05,4423
2023-12-19 04:20:00+00:00,1620.05,1620.05,1619.0,1619.15,1448
2023-12-19 04:25:00+00:00,1619.15,1621.0,1619.0,1620.0,2238
2023-12-19 04:30:00+00:00,1620.5,1621.6,1620.0,1620.5,1871
2023-12-19 04:35:00+00:00,1620.5,1620.85,1619.25,1619.9,1930
2023-12-19 04:40:00+00:00,1619.8,1620.4,1619.25,1620.0,1783
2023-12-19 04:45:00+00:00,1620.0,1622.0,1619.95,1621.0,2186
2023-12-19 04:50:00+00:00,1621.0,1621.6,1620.0,1620.85,2825
2023-12-19 04:55:00+00:00,1620.85,1622.25,1620.0,1621.0,2983
2023-12-19 05:00:00+00:00,1622.2,1622.95,1621.0,1622.85,1462
2023-12-19 05:05:00+00:00,1622.85,1629.8,1621.95,1625.9,9739
2023-12-19 05:10:00+00:00,1625.9,1628.05,1625.4,1626.05,3634
2023-12-19 05:15:00+00:00,1626.6,1629.4,1624.5,1628.65,112743
2023-12-19 05:20:00+00:00,1628.65,1629.85,1621.0,1623.65,14359
2023-12-19 05:25:00+00:00,1623.65,1623.7,1616.75,1619.7,7433
2023-12-19 05:30:00+00:00,1620.0,1622.95,1619.7,1622.7,1278
2023-12-19 05:35:00+00:00,1622.7,1624.95,1622.25,1624.4,1980
2023-12-19 05:40:00+00:00,1624.4,1625.0,1623.0,1623.9,1568
2023-12-19 05:45:00+00:00,1623.9,1623.9,1621.05,1621.75,760
2023-12-19 05:50:00+00:00,1621.15,1621.15,1619.35,1620.95,3007
2023-12-19 05:55:00+00:00,1620.95,1623.95,1619.4,1623.95,1813
2023-12-19 06:00:00+00:00,1624.0,1628.65,1624.0,1628.65,5638
2023-12-19 06:05:00+00:00,1628.65,1629.85,1627.9,1629.4,4364
2023-12-19 06:10:00+00:00,1629.4,1629.4,1621.25,1622.8,6080
2023-12-19 06:15:00+00:00,1623.45,1623.45,1621.1,1621.95,1941
2023-12-19 06:20:00+00:00,1622.0,1622.0,1618.35,1618.95,4137
2023-12-19 06:25:00+00:00,1618.95,1620.0,1616.3,1617.6,6730
2023-12-19 06:30:00+00:00,1617.95,1617.95,1613.05,1613.1,3118
2023-12-19 06:35:00+00:00,1613.75,1614.4,1610.35,1610.95,7439
2023-12-19 06:40:00+00:00,1610.95,1611.7,1604.95,1605.5,9762
2023-12-19 06:45:00+00:00,1605.5,1611.45,1604.95,1608.0,4465
2023-12-19 06:50:00+00:00,1608.9,1609.2,1607.0,1609.05,2972
2023-12-19 06:55:00+00:00,1609.05,1612.5,1608.55,1611.05,2908
2023-12-19 07:00:00+00:00,1611.1,1612.25,1610.4,1612.25,1247
2023-12-19 07:05:00+00:00,1612.25,1612.25,1608.0,1608.55,3452
2023-12-19 07:10:00+00:00,1609.1,1609.65,1603.2,1604.8,10981
2023-12-19 07:15:00+00:00,1604.8,1606.75,1604.0,1606.1,11042
2023-12-19 07:20:00+00:00,1606.1,1606.1,1601.0,1602.3,13193
2023-12-19 07:25:00+00:00,1602.95,1605.2,1602.3,1602.4,6131
2023-12-19 07:30:00+00:00,1602.4,1602.9,1601.0,1601.1,7743
2023-12-19 07:35:00+00:00,1601.35,1601.7,1597.45,1599.15,12118
2023-12-19 07:40:00+00:00,1599.15,1599.75,1598.15,1598.2,4653
2023-12-19 07:45:00+00:00,1598.15,1600.95,1597.8,1599.45,6866
2023-12-19 07:50:00+00:00,1599.45,1600.35,1598.5,1600.35,4383
2023-12-19 07:55:00+00:00,1600.7,1600.7,1599.15,1599.5,4308
2023-12-19 08:00:00+00:00,1599.5,1600.3,1599.0,1599.55,5156
2023-12-19 08:05:00+00:00,1599.65,1601.5,1599.1,1600.5,5947
2023-12-19 08:10:00+00:00,1600.5,1600.95,1600.0,1600.8,5512
2023-12-19 08:15:00+00:00,1600.8,1600.95,1600.0,1600.35,7501
2023-12-19 08:20:00+00:00,1600.65,1601.9,1600.3,1601.8,5770
2023-12-19 08:25:00+00:00,1601.85,1601.85,1600.5,1600.6,5756
2023-12-19 08:30:00+00:00,1600.6,1600.95,1599.0,1600.0,7990
2023-12-19 08:35:00+00:00,1600.0,1601.35,1599.2,1600.2,8100
2023-12-19 08:40:00+00:00,1600.25,1600.3,1599.0,1599.3,5623
2023-12-19 08:45:00+00:00,1599.3,1600.8,1599.0,1600.0,5452
2023-12-19 08:50:00+00:00,1600.2,1600.2,1599.3,1599.9,4124
2023-12-19 08:55:00+00:00,1599.9,1600.15,1599.1,1599.9,4860
2023-12-19 09:00:00+00:00,1599.9,1600.0,1599.0,1599.4,4238
2023-12-19 09:05:00+00:00,1599.4,1600.0,1599.0,1599.85,4887
2023-12-19 09:10:00+00:00,1599.75,1600.0,1598.8,1599.85,8665
2023-12-19 09:15:00+00:00,1599.95,1600.0,1599.0,1599.9,7218
2023-12-19 09:20:00+00:00,1599.9,1599.9,1597.85,1598.15,8136
2023-12-19 09:25:00+00:00,1598.15,1598.9,1596.0,1596.75,8619
2023-12-19 09:30:00+00:00,1596.75,1599.65,1596.35,1599.5,10744
2023-12-19 09:35:00+00:00,1599.5,1600.0,1598.6,1600.0,16560
