,open,high,low,close,volume
2023-12-18 03:45:00+00:00,453.65,453.65,448.0,449.85,73949
2023-12-18 03:50:00+00:00,450.0,451.15,448.8,451.15,34496
2023-12-18 03:55:00+00:00,451.15,453.6,450.7,453.35,39094
2023-12-18 04:00:00+00:00,453.4,454.0,451.4,452.05,25296
2023-12-18 04:05:00+00:00,452.05,452.9,451.5,451.75,17404
2023-12-18 04:10:00+00:00,451.75,452.6,451.65,452.0,12458
2023-12-18 04:15:00+00:00,452.0,453.5,452.0,453.45,11746
2023-12-18 04:20:00+00:00,453.35,453.65,452.3,452.95,8846
2023-12-18 04:25:00+00:00,452.95,453.45,452.35,453.0,9672
2023-12-18 04:30:00+00:00,453.0,454.1,453.0,453.0,12988
2023-12-18 04:35:00+00:00,453.0,453.2,452.5,452.75,7105
2023-12-18 04:40:00+00:00,452.75,453.5,452.5,453.15,4620
2023-12-18 04:45:00+00:00,453.35,453.8,453.15,453.5,9515
2023-12-18 04:50:00+00:00,453.75,453.75,453.4,453.75,5728
2023-12-18 04:55:00+00:00,454.0,455.0,453.75,454.7,25676
2023-12-18 05:00:00+00:00,454.75,455.2,454.0,455.2,13337
2023-12-18 05:05:00+00:00,455.1,456.1,454.45,454.85,41289
2023-12-18 05:10:00+00:00,454.85,455.4,454.25,455.15,12948
2023-12-18 05:15:00+00:00,455.1,455.7,454.85,455.15,15175
2023-12-18 05:20:00+00:00,455.15,456.55,455.15,456.55,27240
2023-12-18 05:25:00+00:00,456.6,457.0,455.3,455.7,35357
2023-12-18 05:30:00+00:00,455.7,455.85,455.2,455.65,8938
2023-12-18 05:35:00+00:00,455.75,456.05,455.5,455.8,8297
2023-12-18 05:40:00+00:00,455.8,455.85,455.5,455.55,5729
2023-12-18 05:45:00+00:00,455.55,455.6,455.45,455.45,8998
2023-12-18 05:50:00+00:00,455.45,455.6,455.0,455.2,9422
2023-12-18 05:55:00+00:00,455.4,455.6,455.2,455.45,5252
2023-12-18 06:00:00+00:00,455.5,455.55,455.0,455.0,7754
2023-12-18 06:05:00+00:00,455.0,455.1,454.1,454.45,22105
2023-12-18 06:10:00+00:00,454.45,454.65,454.0,454.05,8841
2023-12-18 06:15:00+00:00,454.05,454.15,453.55,453.6,8463
2023-12-18 06:20:00+00:00,453.6,453.95,453.6,453.85,4948
2023-12-18 06:25:00+00:00,453.85,453.9,453.55,453.55,4944
