,open,high,low,close,volume
2023-12-18 03:45:00+00:00,431.25,431.25,427.05,429.1,751
2023-12-18 03:50:00+00:00,429.1,429.1,427.65,427.9,1039
2023-12-18 03:55:00+00:00,427.9,429.05,427.4,429.05,337
2023-12-18 04:00:00+00:00,429.05,429.4,428.55,428.55,202
2023-12-18 04:05:00+00:00,428.45,428.6,427.6,427.65,105
2023-12-18 04:10:00+00:00,427.65,428.35,427.65,428.35,101
2023-12-18 04:15:00+00:00,428.35,429.0,428.05,428.05,650
2023-12-18 04:20:00+00:00,428.05,428.3,426.25,426.25,484
2023-12-18 04:25:00+00:00,426.25,427.85,426.25,427.85,0
2023-12-18 04:30:00+00:00,427.85,428.05,427.2,427.3,86
2023-12-18 04:35:00+00:00,427.3,427.3,427.2,427.2,65
2023-12-18 04:40:00+00:00,427.2,427.85,426.6,426.7,666
2023-12-18 04:45:00+00:00,426.7,427.3,426.7,426.75,209
2023-12-18 04:50:00+00:00,426.75,426.75,426.7,426.7,0
2023-12-18 04:55:00+00:00,426.7,427.65,426.7,427.65,71
2023-12-18 05:00:00+00:00,427.65,429.65,427.65,429.65,931
2023-12-18 05:05:00+00:00,429.65,429.65,426.75,426.75,696
2023-12-18 05:10:00+00:00,426.75,426.75,426.75,426.75,52
2023-12-18 05:15:00+00:00,426.75,426.75,425.9,425.95,586
2023-12-18 05:20:00+00:00,425.95,426.2,425.0,426.2,965
2023-12-18 05:25:00+00:00,426.2,426.2,425.3,425.3,250
2023-12-18 05:30:00+00:00,425.3,426.8,425.3,426.25,182
2023-12-18 05:35:00+00:00,426.25,427.0,426.25,427.0,448
2023-12-18 05:40:00+00:00,427.0,427.05,426.3,426.3,1075
2023-12-18 05:45:00+00:00,426.3,427.1,426.3,427.1,552
2023-12-18 05:50:00+00:00,427.1,427.9,427.1,427.1,1027
2023-12-18 05:55:00+00:00,427.1,427.1,427.0,427.0,480
2023-12-18 06:00:00+00:00,427.0,428.75,427.0,427.55,68
2023-12-18 06:05:00+00:00,427.55,428.95,427.55,428.95,267
2023-12-18 06:10:00+00:00,428.95,428.95,428.95,428.95,0
2023-12-18 06:15:00+00:00,428.95,429.0,428.95,429.0,5
2023-12-18 06:20:00+00:00,429.0,429.0,428.95,428.95,3
2023-12-18 06:25:00+00:00,428.95,428.95,428.4,428.95,211
2023-12-18 06:30:00+00:00,428.95,428.95,428.4,428.95,62
2023-12-18 06:35:00+00:00,428.95,429.55,428.95,429.55,578
2023-12-18 06:40:00+00:00,429.55,430.0,429.1,430.0,1695
2023-12-18 06:45:00+00:00,430.0,430.75,429.65,429.8,378
2023-12-18 06:50:00+00:00,429.55,430.5,429.15,430.25,380
2023-12-18 06:55:00+00:00,430.25,430.25,428.05,428.05,3963
2023-12-18 07:00:00+00:00,428.05,428.05,428.05,428.05,0
2023-12-18 07:05:00+00:00,428.05,428.3,428.05,428.3,50
2023-12-18 07:10:00+00:00,428.3,428.3,427.5,428.0,31
2023-12-18 07:15:00+00:00,428.0,428.0,427.55,427.55,212
2023-12-18 07:20:00+00:00,427.55,427.55,427.55,427.55,0
2023-12-18 07:25:00+00:00,427.55,428.05,427.55,427.95,51
2023-12-18 07:30:00+00:00,427.95,428.0,427.95,428.0,20
2023-12-18 07:35:00+00:00,428.0,428.0,428.0,428.0,460
2023-12-18 07:40:00+00:00,428.0,428.0,428.0,428.0,226
2023-12-18 07:45:00+00:00,428.0,428.25,428.0,428.25,14
2023-12-18 07:50:00+00:00,428.25,428.45,427.5,428.45,3639
