,open,high,low,close,volume
2023-12-18 03:45:00+00:00,260.95,260.95,257.5,258.8,6588
2023-12-18 03:50:00+00:00,258.8,260.1,257.95,260.1,4867
2023-12-18 03:55:00+00:00,260.1,261.9,258.9,260.5,4585
2023-12-18 04:00:00+00:00,260.5,260.85,258.85,258.85,1778
2023-12-18 04:05:00+00:00,258.85,259.0,258.0,258.0,1544
2023-12-18 04:10:00+00:00,258.0,258.95,257.5,258.8,4528
2023-12-18 04:15:00+00:00,258.8,259.0,258.45,259.0,1452
2023-12-18 04:20:00+00:00,259.0,259.0,258.25,258.65,1872
2023-12-18 04:25:00+00:00,258.65,258.85,257.9,258.85,713
2023-12-18 04:30:00+00:00,258.85,261.5,258.85,260.6,3422
2023-12-18 04:35:00+00:00,260.6,261.55,260.6,261.3,879
2023-12-18 04:40:00+00:00,261.3,261.45,260.75,260.9,101
2023-12-18 04:45:00+00:00,260.9,260.9,259.8,260.7,1550
2023-12-18 04:50:00+00:00,260.7,260.7,259.85,259.9,578
2023-12-18 04:55:00+00:00,259.9,260.3,259.9,260.3,21
2023-12-18 05:00:00+00:00,260.7,265.35,260.0,263.75,17491
2023-12-18 05:05:00+00:00,263.75,263.75,260.9,261.45,1510
2023-12-18 05:10:00+00:00,261.45,261.9,261.15,261.15,175
2023-12-18 05:15:00+00:00,261.15,261.15,261.0,261.0,139
2023-12-18 05:20:00+00:00,261.0,261.7,261.0,261.1,503
2023-12-18 05:25:00+00:00,261.1,261.35,261.1,261.35,138
2023-12-18 05:30:00+00:00,261.35,261.35,260.3,260.9,341
2023-12-18 05:35:00+00:00,260.9,261.0,260.3,260.95,503
2023-12-18 05:40:00+00:00,260.95,261.0,260.5,261.0,604
2023-12-18 05:45:00+00:00,261.0,261.0,261.0,261.0,378
2023-12-18 05:50:00+00:00,261.0,261.25,260.75,261.25,607
2023-12-18 05:55:00+00:00,261.25,261.3,260.75,261.2,201
2023-12-18 06:00:00+00:00,261.2,261.55,261.2,261.55,183
2023-12-18 06:05:00+00:00,261.55,261.55,261.05,261.55,613
2023-12-18 06:10:00+00:00,261.55,261.65,261.55,261.65,3
2023-12-18 06:15:00+00:00,261.65,263.0,261.65,262.05,2005
