,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1172.0,1190.95,1172.0,1190.95,924
2023-12-18 03:50:00+00:00,1190.95,1198.05,1185.0,1191.65,822
2023-12-18 03:55:00+00:00,1191.65,1191.65,1187.8,1188.25,57
2023-12-18 04:00:00+00:00,1188.25,1190.9,1184.95,1184.95,390
2023-12-18 04:05:00+00:00,1184.95,1186.2,1184.1,1186.2,205
2023-12-18 04:10:00+00:00,1186.2,1186.2,1183.0,1185.7,142
2023-12-18 04:15:00+00:00,1185.7,1185.7,1184.35,1184.7,11
2023-12-18 04:20:00+00:00,1186.95,1186.95,1180.05,1184.95,226
2023-12-18 04:25:00+00:00,1184.95,1185.0,1180.8,1182.85,213
2023-12-18 04:30:00+00:00,1182.85,1186.25,1182.85,1185.85,23
2023-12-18 04:35:00+00:00,1185.85,1185.85,1181.6,1184.0,100
2023-12-18 04:40:00+00:00,1184.0,1185.0,1182.95,1185.0,63
2023-12-18 04:45:00+00:00,1183.35,1185.6,1181.65,1183.1,139
2023-12-18 04:50:00+00:00,1183.1,1183.1,1183.1,1183.1,14
2023-12-18 04:55:00+00:00,1183.1,1183.95,1183.1,1183.95,33
2023-12-18 05:00:00+00:00,1183.95,1183.95,1182.05,1182.1,59
2023-12-18 05:05:00+00:00,1182.1,1184.0,1182.1,1184.0,100
2023-12-18 05:10:00+00:00,1184.0,1184.7,1183.0,1184.7,20
2023-12-18 05:15:00+00:00,1184.3,1184.3,1180.0,1180.0,498
2023-12-18 05:20:00+00:00,1180.0,1180.0,1178.1,1178.1,127
2023-12-18 05:25:00+00:00,1178.1,1179.75,1176.15,1177.85,64
2023-12-18 05:30:00+00:00,1177.85,1177.85,1172.25,1172.25,325
2023-12-18 05:35:00+00:00,1172.25,1173.95,1172.25,1172.25,309
2023-12-18 05:40:00+00:00,1172.25,1173.65,1171.0,1173.65,103
2023-12-18 05:45:00+00:00,1173.65,1174.0,1172.4,1174.0,929
2023-12-18 05:50:00+00:00,1174.0,1178.9,1174.0,1175.05,126
2023-12-18 05:55:00+00:00,1175.05,1175.05,1170.05,1173.85,551
2023-12-18 06:00:00+00:00,1173.85,1173.85,1173.85,1173.85,0
2023-12-18 06:05:00+00:00,1173.85,1174.05,1173.85,1174.05,3
2023-12-18 06:10:00+00:00,1174.05,1177.05,1174.05,1177.05,35
2023-12-18 06:15:00+00:00,1177.05,1179.7,1174.05,1174.95,192
2023-12-18 06:20:00+00:00,1174.95,1177.75,1173.75,1173.75,161
2023-12-18 06:25:00+00:00,1173.75,1174.1,1173.75,1174.1,10
