,open,high,low,close,volume
2023-12-18 03:45:00+00:00,4631.6,4650.0,4611.0,4621.0,283
2023-12-18 03:50:00+00:00,4621.0,4635.8,4611.2,4635.8,186
2023-12-18 03:55:00+00:00,4635.8,4637.45,4630.0,4630.0,95
2023-12-18 04:00:00+00:00,4630.0,4630.0,4607.55,4618.15,82
2023-12-18 04:05:00+00:00,4618.15,4638.45,4615.0,4638.45,370
2023-12-18 04:10:00+00:00,4638.45,4642.05,4630.6,4632.8,6
2023-12-18 04:15:00+00:00,4632.8,4654.8,4632.05,4654.8,85
2023-12-18 04:20:00+00:00,4654.8,4654.8,4650.0,4650.0,28
2023-12-18 04:25:00+00:00,4650.0,4654.8,4650.0,4654.8,13
2023-12-18 04:30:00+00:00,4654.8,4658.05,4641.2,4641.2,110
2023-12-18 04:35:00+00:00,4641.2,4643.6,4640.0,4642.45,16
2023-12-18 04:40:00+00:00,4642.45,4646.65,4640.0,4645.7,11
2023-12-18 04:45:00+00:00,4645.7,4645.7,4627.6,4627.6,357
2023-12-18 04:50:00+00:00,4629.9,4635.8,4625.2,4633.7,25
2023-12-18 04:55:00+00:00,4633.7,4633.7,4625.0,4625.0,92
2023-12-18 05:00:00+00:00,4625.0,4631.4,4625.0,4625.05,6
2023-12-18 05:05:00+00:00,4625.05,4634.5,4625.05,4633.9,10
2023-12-18 05:10:00+00:00,4633.9,4644.8,4633.9,4644.8,23
2023-12-18 05:15:00+00:00,4644.8,4644.8,4636.25,4636.25,2
2023-12-18 05:20:00+00:00,4636.25,4636.25,4635.85,4635.85,2
2023-12-18 05:25:00+00:00,4635.85,4640.2,4635.85,4640.2,9
2023-12-18 05:30:00+00:00,4640.2,4659.2,4640.2,4659.2,336
2023-12-18 05:35:00+00:00,4659.2,4663.55,4659.2,4659.2,5
2023-12-18 05:40:00+00:00,4659.2,4659.2,4654.2,4654.2,13
2023-12-18 05:45:00+00:00,4654.2,4654.2,4654.2,4654.2,0
2023-12-18 05:50:00+00:00,4654.2,4654.2,4645.85,4645.85,1
2023-12-18 05:55:00+00:00,4645.85,4645.85,4645.85,4645.85,0
2023-12-18 06:00:00+00:00,4645.85,4645.85,4640.05,4640.05,11
2023-12-18 06:05:00+00:00,4645.85,4645.85,4635.55,4645.85,34
2023-12-18 06:10:00+00:00,4645.85,4645.85,4645.85,4645.85,0
2023-12-18 06:15:00+00:00,4645.85,4645.85,4637.55,4637.55,8
2023-12-18 06:20:00+00:00,4637.55,4645.25,4637.55,4639.2,47
2023-12-18 06:25:00+00:00,4639.2,4639.2,4639.2,4639.2,0
2023-12-18 06:30:00+00:00,4639.2,4639.2,4637.9,4637.9,10
2023-12-18 06:35:00+00:00,4637.9,4637.9,4637.9,4637.9,0
2023-12-18 06:40:00+00:00,4637.9,4645.85,4637.9,4645.85,13
2023-12-18 06:45:00+00:00,4645.85,4645.85,4645.85,4645.85,0
2023-12-18 06:50:00+00:00,4645.85,4645.85,4635.0,4642.9,111
2023-12-18 06:55:00+00:00,4642.9,4642.9,4642.9,4642.9,0
2023-12-18 07:00:00+00:00,4642.9,4642.9,4642.9,4642.9,0
2023-12-18 07:05:00+00:00,4642.9,4643.35,4635.0,4640.05,55
2023-12-18 07:10:00+00:00,4640.05,4643.75,4640.05,4642.55,11
2023-12-18 07:15:00+00:00,4645.85,4645.85,4642.55,4642.55,18
2023-12-18 07:20:00+00:00,4642.55,4642.55,4640.05,4640.05,7
2023-12-18 07:25:00+00:00,4640.05,4640.05,4640.05,4640.05,0
2023-12-18 07:30:00+00:00,4640.05,4640.05,4630.0,4630.0,758
2023-12-18 07:35:00+00:00,4630.0,4630.0,4630.0,4630.0,55
2023-12-18 07:40:00+00:00,4630.0,4630.0,4630.0,4630.0,0
2023-12-18 07:45:00+00:00,4630.0,4630.0,4630.0,4630.0,0
2023-12-18 07:50:00+00:00,4630.0,4634.3,4630.0,4630.0,8
2023-12-18 07:55:00+00:00,4630.0,4630.0,4630.0,4630.0,0
2023-12-18 08:00:00+00:00,4630.0,4638.0,4630.0,4630.0,66
2023-12-18 08:05:00+00:00,4630.0,4630.2,4630.0,4630.2,1
2023-12-18 08:10:00+00:00,4630.2,4637.3,4630.0,4630.0,18
2023-12-18 08:15:00+00:00,4630.0,4638.0,4630.0,4638.0,69
2023-12-18 08:20:00+00:00,4638.0,4638.0,4630.0,4632.0,47
2023-12-18 08:25:00+00:00,4637.7,4638.0,4637.4,4637.4,49
2023-12-18 08:30:00+00:00,4637.4,4637.75,4632.5,4632.55,16
2023-12-18 08:35:00+00:00,4632.55,4637.7,4632.55,4637.7,5
2023-12-18 08:40:00+00:00,4637.7,4640.0,4632.05,4639.5,1164
2023-12-18 08:45:00+00:00,4639.5,4640.0,4639.5,4640.0,125
2023-12-18 08:50:00+00:00,4640.0,4640.0,4639.25,4639.25,2
2023-12-18 08:55:00+00:00,4639.25,4649.65,4639.25,4642.05,680
2023-12-18 09:00:00+00:00,4642.05,4642.05,4642.05,4642.05,5
2023-12-18 09:05:00+00:00,4642.05,4649.95,4642.0,4649.95,20
2023-12-18 09:10:00+00:00,4649.95,4652.45,4649.95,4649.95,25
2023-12-18 09:15:00+00:00,4649.95,4651.95,4649.95,4650.35,13
2023-12-18 09:20:00+00:00,4650.35,4650.35,4641.15,4647.25,13
2023-12-18 09:25:00+00:00,4647.25,4652.95,4641.05,4643.9,56
2023-12-18 09:30:00+00:00,4643.9,4648.5,4641.35,4648.5,14
2023-12-18 09:35:00+00:00,4648.5,4650.0,4648.5,4650.0,28
2023-12-18 09:40:00+00:00,4650.0,4665.0,4643.45,4665.0,387
2023-12-18 09:45:00+00:00,4660.2,4688.0,4660.2,4672.6,148
2023-12-18 09:50:00+00:00,4672.6,4686.2,4672.4,4672.4,157
2023-12-18 09:55:00+00:00,4672.4,4672.4,4661.0,4670.0,292
2023-12-19 03:45:00+00:00,4666.05,4669.7,4659.3,4665.1,150
2023-12-19 03:50:00+00:00,4665.1,4679.95,4642.55,4650.5,238
2023-12-19 03:55:00+00:00,4650.5,4662.35,4649.75,4659.9,79
2023-12-19 04:00:00+00:00,4659.9,4660.5,4649.25,4660.5,70
2023-12-19 04:05:00+00:00,4660.5,4660.5,4650.05,4650.05,12
2023-12-19 04:10:00+00:00,4650.05,4656.4,4645.95,4645.95,33
2023-12-19 04:15:00+00:00,4645.95,4645.95,4644.75,4645.35,8
2023-12-19 04:20:00+00:00,4645.35,4660.5,4645.35,4659.35,61
2023-12-19 04:25:00+00:00,4659.35,4659.35,4659.35,4659.35,0
2023-12-19 04:30:00+00:00,4659.35,4659.35,4659.35,4659.35,0
2023-12-19 04:35:00+00:00,4659.35,4659.35,4643.3,4650.0,98
2023-12-19 04:40:00+00:00,4650.0,4650.75,4641.05,4641.05,17
2023-12-19 04:45:00+00:00,4641.05,4641.05,4641.0,4641.0,20
2023-12-19 04:50:00+00:00,4641.0,4654.9,4637.55,4648.15,143
2023-12-19 04:55:00+00:00,4648.15,4648.15,4630.1,4641.55,81
2023-12-19 05:00:00+00:00,4641.55,4644.75,4638.05,4638.05,9
2023-12-19 05:05:00+00:00,4638.05,4638.3,4638.05,4638.3,1
2023-12-19 05:10:00+00:00,4638.3,4638.3,4636.5,4636.5,5
2023-12-19 05:15:00+00:00,4636.5,4637.75,4630.0,4631.2,104
2023-12-19 05:20:00+00:00,4631.2,4631.2,4630.1,4630.1,2
2023-12-19 05:25:00+00:00,4630.1,4630.5,4630.0,4630.0,2
2023-12-19 05:30:00+00:00,4630.0,4630.0,4630.0,4630.0,0
2023-12-19 05:35:00+00:00,4630.0,4635.55,4630.0,4635.55,4
2023-12-19 05:40:00+00:00,4635.55,4635.55,4635.45,4635.5,2
2023-12-19 05:45:00+00:00,4635.5,4635.5,4635.5,4635.5,3
2023-12-19 05:50:00+00:00,4635.5,4635.5,4635.0,4635.0,14
2023-12-19 05:55:00+00:00,4635.0,4654.5,4630.5,4654.5,241
2023-12-19 06:00:00+00:00,4654.5,4654.5,4649.65,4649.65,0
2023-12-19 06:05:00+00:00,4649.65,4659.95,4649.65,4655.2,16
2023-12-19 06:10:00+00:00,4655.2,4655.2,4655.2,4655.2,0
2023-12-19 06:15:00+00:00,4655.2,4696.0,4655.2,4681.8,623
2023-12-19 06:20:00+00:00,4681.8,4681.8,4674.15,4674.15,6
2023-12-19 06:25:00+00:00,4674.15,4674.15,4671.4,4674.0,26
2023-12-19 06:30:00+00:00,4674.0,4690.0,4674.0,4690.0,46
2023-12-19 06:35:00+00:00,4690.0,4690.0,4677.55,4679.0,57
2023-12-19 06:40:00+00:00,4679.0,4688.3,4676.7,4676.7,69
2023-12-19 06:45:00+00:00,4676.7,4676.7,4670.0,4670.0,2
2023-12-19 06:50:00+00:00,4670.0,4670.0,4662.6,4662.6,43
2023-12-19 06:55:00+00:00,4662.6,4663.2,4652.0,4663.2,69
2023-12-19 07:00:00+00:00,4663.25,4679.15,4663.25,4679.15,16
2023-12-19 07:05:00+00:00,4679.15,4679.35,4668.65,4668.65,32
2023-12-19 07:10:00+00:00,4668.65,4680.0,4668.65,4680.0,25
2023-12-19 07:15:00+00:00,4680.0,4680.0,4665.3,4675.0,20
2023-12-19 07:20:00+00:00,4675.0,4675.0,4665.25,4667.3,37
2023-12-19 07:25:00+00:00,4667.3,4667.3,4662.7,4662.7,21
2023-12-19 07:30:00+00:00,4662.7,4680.0,4662.7,4670.85,307
2023-12-19 07:35:00+00:00,4670.85,4675.0,4670.85,4675.0,9
2023-12-19 07:40:00+00:00,4675.0,4675.0,4672.8,4672.8,11
2023-12-19 07:45:00+00:00,4672.8,4672.8,4672.8,4672.8,11
2023-12-19 07:50:00+00:00,4672.8,4673.5,4662.55,4669.95,41
2023-12-19 07:55:00+00:00,4669.95,4669.95,4669.95,4669.95,3
2023-12-19 08:00:00+00:00,4669.95,4669.95,4669.0,4669.0,1
2023-12-19 08:05:00+00:00,4669.0,4669.0,4662.7,4664.35,8
2023-12-19 08:10:00+00:00,4664.35,4664.35,4664.35,4664.35,0
2023-12-19 08:15:00+00:00,4664.35,4668.4,4664.35,4668.4,2
2023-12-19 08:20:00+00:00,4668.4,4680.0,4668.4,4675.65,55
2023-12-19 08:25:00+00:00,4675.65,4675.65,4670.45,4675.5,28
2023-12-19 08:30:00+00:00,4675.5,4675.5,4670.0,4675.5,14
2023-12-19 08:35:00+00:00,4675.5,4675.5,4675.5,4675.5,0
2023-12-19 08:40:00+00:00,4675.5,4675.5,4675.35,4675.35,1
2023-12-19 08:45:00+00:00,4675.35,4685.0,4675.35,4685.0,241
2023-12-19 08:50:00+00:00,4685.0,4685.0,4681.35,4681.35,2
2023-12-19 08:55:00+00:00,4681.35,4685.0,4681.35,4685.0,5
2023-12-19 09:00:00+00:00,4685.0,4687.0,4683.85,4687.0,255
2023-12-19 09:05:00+00:00,4687.0,4687.0,4670.0,4670.0,58
2023-12-19 09:10:00+00:00,4670.0,4670.0,4660.1,4660.1,68
2023-12-19 09:15:00+00:00,4660.1,4660.1,4658.0,4658.0,25
2023-12-19 09:20:00+00:00,4658.0,4658.0,4656.85,4657.05,4
2023-12-19 09:25:00+00:00,4657.05,4658.0,4652.25,4654.0,42
