,open,high,low,close,volume
2023-12-18 03:45:00+00:00,855.9,855.9,845.65,854.2,191
2023-12-18 03:50:00+00:00,853.75,853.75,853.75,853.75,1
2023-12-18 03:55:00+00:00,853.75,853.75,853.75,853.75,6
2023-12-18 04:00:00+00:00,853.75,853.75,850.0,852.25,128
2023-12-18 04:05:00+00:00,852.1,852.1,850.0,850.0,236
2023-12-18 04:10:00+00:00,850.0,851.85,850.0,851.35,16
2023-12-18 04:15:00+00:00,851.35,852.0,851.35,852.0,20
2023-12-18 04:20:00+00:00,852.0,869.0,849.05,863.7,1822
2023-12-18 04:25:00+00:00,863.7,939.55,861.0,921.25,9135
2023-12-18 04:30:00+00:00,921.25,945.0,921.25,933.75,22454
2023-12-18 04:35:00+00:00,932.05,939.15,932.0,937.0,6397
2023-12-18 04:40:00+00:00,939.15,939.15,920.4,927.8,5990
2023-12-18 04:45:00+00:00,925.6,930.2,920.55,923.9,2123
2023-12-18 04:50:00+00:00,923.9,925.0,912.0,915.1,4826
2023-12-18 04:55:00+00:00,916.1,919.95,911.0,912.1,1964
2023-12-18 05:00:00+00:00,913.75,916.0,912.1,915.15,627
2023-12-18 05:05:00+00:00,915.55,916.0,911.3,913.0,414
2023-12-18 05:10:00+00:00,913.0,913.65,911.0,911.15,435
2023-12-18 05:15:00+00:00,911.45,913.1,911.0,912.25,691
2023-12-18 05:20:00+00:00,912.25,913.0,912.25,912.25,1789
2023-12-18 05:25:00+00:00,912.25,913.0,911.5,911.5,233
2023-12-18 05:30:00+00:00,911.5,912.15,911.5,911.95,221
2023-12-18 05:35:00+00:00,911.95,911.95,909.25,911.85,1031
2023-12-18 05:40:00+00:00,911.85,911.85,895.3,897.0,2734
2023-12-18 05:45:00+00:00,897.0,897.0,892.0,893.55,2659
2023-12-18 05:50:00+00:00,894.5,896.2,888.25,888.25,1181
2023-12-18 05:55:00+00:00,886.05,888.9,883.9,886.4,1388
2023-12-18 06:00:00+00:00,886.0,890.0,885.6,887.65,1643
2023-12-18 06:05:00+00:00,887.65,895.0,886.55,892.1,583
2023-12-18 06:10:00+00:00,892.1,895.0,889.8,890.05,457
2023-12-18 06:15:00+00:00,890.05,891.75,890.05,890.15,89
2023-12-18 06:20:00+00:00,890.15,892.05,890.15,890.2,372
2023-12-18 06:25:00+00:00,890.2,893.2,890.15,892.5,65
2023-12-18 06:30:00+00:00,892.5,893.0,887.15,888.95,439
2023-12-18 06:35:00+00:00,888.95,889.3,886.05,888.25,643
2023-12-18 06:40:00+00:00,888.25,889.4,887.35,887.55,109
2023-12-18 06:45:00+00:00,887.55,887.55,886.05,886.25,196
2023-12-18 06:50:00+00:00,887.95,890.95,887.95,888.5,178
2023-12-18 06:55:00+00:00,888.5,888.5,885.0,885.0,458
2023-12-18 07:00:00+00:00,885.0,885.1,885.0,885.1,85
2023-12-18 07:05:00+00:00,885.1,886.0,885.0,885.0,23
2023-12-18 07:10:00+00:00,886.0,887.95,885.05,885.35,66
2023-12-18 07:15:00+00:00,885.35,889.6,885.35,889.6,87
2023-12-18 07:20:00+00:00,889.6,889.6,888.55,889.4,70
2023-12-18 07:25:00+00:00,889.4,890.0,886.45,888.0,414
2023-12-18 07:30:00+00:00,888.0,888.85,888.0,888.85,39
2023-12-18 07:35:00+00:00,888.85,889.2,886.0,887.0,215
2023-12-18 07:40:00+00:00,887.0,890.0,887.0,887.15,307
2023-12-18 07:45:00+00:00,889.1,889.1,887.05,887.05,26
2023-12-18 07:50:00+00:00,887.05,887.5,887.0,887.0,14
2023-12-18 07:55:00+00:00,887.0,887.5,885.65,885.65,345
2023-12-18 08:00:00+00:00,885.65,885.65,885.05,885.05,85
2023-12-18 08:05:00+00:00,885.05,885.6,884.25,885.6,367
2023-12-18 08:10:00+00:00,885.6,885.6,878.25,879.1,873
2023-12-18 08:15:00+00:00,879.1,880.0,879.1,880.0,602
2023-12-18 08:20:00+00:00,880.0,880.0,872.8,875.75,616
2023-12-18 08:25:00+00:00,875.75,875.85,874.1,875.85,109
2023-12-18 08:30:00+00:00,875.85,875.85,870.6,870.6,857
2023-12-18 08:35:00+00:00,870.6,875.2,870.6,875.05,300
2023-12-18 08:40:00+00:00,875.05,878.0,874.3,877.5,522
2023-12-18 08:45:00+00:00,877.5,878.15,877.1,878.15,26
2023-12-18 08:50:00+00:00,878.15,878.15,875.0,875.0,193
2023-12-18 08:55:00+00:00,876.0,876.0,873.95,875.85,941
2023-12-18 09:00:00+00:00,875.85,875.85,874.0,874.0,71
2023-12-18 09:05:00+00:00,874.0,875.55,873.0,875.15,346
2023-12-18 09:10:00+00:00,875.15,876.7,875.15,876.7,200
2023-12-18 09:15:00+00:00,876.7,876.7,873.0,874.9,104
2023-12-18 09:20:00+00:00,874.9,877.7,874.2,877.7,315
2023-12-18 09:25:00+00:00,877.7,877.7,870.8,872.8,478
2023-12-18 09:30:00+00:00,872.8,872.8,872.8,872.8,79
2023-12-18 09:35:00+00:00,872.8,873.65,870.85,872.95,372
2023-12-18 09:40:00+00:00,872.95,873.5,871.0,871.0,454
2023-12-18 09:45:00+00:00,871.0,872.75,865.4,872.35,1897
2023-12-18 09:50:00+00:00,872.35,875.0,869.0,873.05,2021
2023-12-18 09:55:00+00:00,874.0,879.9,873.0,877.65,7377
2023-12-19 03:45:00+00:00,878.2,879.9,867.35,867.35,1049
