,open,high,low,close,volume
2023-12-18 03:45:00+00:00,603.85,607.3,601.95,604.8,4872
2023-12-18 03:50:00+00:00,604.8,611.9,604.4,610.0,2400
2023-12-18 03:55:00+00:00,610.0,612.8,608.55,609.2,4982
2023-12-18 04:00:00+00:00,609.2,612.95,608.1,608.1,3325
2023-12-18 04:05:00+00:00,608.1,611.9,608.05,610.85,1484
2023-12-18 04:10:00+00:00,610.85,611.0,606.8,606.8,1613
2023-12-18 04:15:00+00:00,607.5,609.35,607.5,607.5,1247
2023-12-18 04:20:00+00:00,607.5,610.95,607.45,608.05,2505
2023-12-18 04:25:00+00:00,608.05,610.0,608.05,609.55,305
2023-12-18 04:30:00+00:00,609.55,612.0,609.45,610.25,2916
2023-12-18 04:35:00+00:00,610.55,612.0,610.55,610.7,3375
2023-12-18 04:40:00+00:00,610.7,610.7,610.5,610.65,170
2023-12-18 04:45:00+00:00,610.65,612.95,610.3,612.25,3196
2023-12-18 04:50:00+00:00,612.1,612.1,610.0,610.9,1116
2023-12-18 04:55:00+00:00,610.9,610.95,610.0,610.0,1352
2023-12-18 05:00:00+00:00,610.0,610.9,610.0,610.0,727
2023-12-18 05:05:00+00:00,610.0,610.7,610.0,610.0,669
2023-12-18 05:10:00+00:00,610.0,611.0,609.1,610.5,1276
2023-12-18 05:15:00+00:00,610.5,611.6,609.3,611.0,1418
2023-12-18 05:20:00+00:00,611.0,611.0,609.65,610.4,629
2023-12-18 05:25:00+00:00,610.4,610.45,609.4,609.4,870
2023-12-18 05:30:00+00:00,609.4,609.4,609.0,609.05,243
2023-12-18 05:35:00+00:00,609.05,609.5,607.6,608.5,1323
2023-12-18 05:40:00+00:00,608.5,609.95,608.5,609.95,296
2023-12-18 05:45:00+00:00,609.95,609.95,609.35,609.35,870
2023-12-18 05:50:00+00:00,608.35,609.1,608.35,608.35,20
2023-12-18 05:55:00+00:00,608.35,609.4,608.35,608.7,269
2023-12-18 06:00:00+00:00,608.7,610.0,608.7,609.05,998
2023-12-18 06:05:00+00:00,609.05,610.0,609.05,609.6,78
2023-12-18 06:10:00+00:00,609.6,610.5,609.6,610.4,1501
2023-12-18 06:15:00+00:00,610.4,610.4,610.0,610.0,7
2023-12-18 06:20:00+00:00,610.0,610.7,609.05,610.5,1082
2023-12-18 06:25:00+00:00,610.5,610.65,610.0,610.0,200
2023-12-18 06:30:00+00:00,610.0,610.5,609.85,609.85,56
2023-12-18 06:35:00+00:00,609.55,610.6,609.55,610.6,117
2023-12-18 06:40:00+00:00,610.6,610.6,609.35,609.4,285
2023-12-18 06:45:00+00:00,609.4,610.0,609.2,610.0,46
2023-12-18 06:50:00+00:00,610.0,610.0,609.1,609.2,79
2023-12-18 06:55:00+00:00,609.2,609.9,609.2,609.8,57
2023-12-18 07:00:00+00:00,609.8,609.8,608.35,608.35,1247
2023-12-18 07:05:00+00:00,608.35,608.6,608.0,608.1,148
2023-12-18 07:10:00+00:00,608.1,608.15,608.1,608.15,47
2023-12-18 07:15:00+00:00,608.15,609.45,608.15,609.45,245
2023-12-18 07:20:00+00:00,609.45,609.95,609.05,609.95,84
2023-12-18 07:25:00+00:00,609.95,610.0,609.05,609.45,137
2023-12-18 07:30:00+00:00,609.45,609.8,609.0,609.05,280
2023-12-18 07:35:00+00:00,609.05,609.65,609.0,609.05,150
2023-12-18 07:40:00+00:00,609.05,609.05,606.5,606.5,1392
2023-12-18 07:45:00+00:00,606.5,607.65,606.5,607.5,128
2023-12-18 07:50:00+00:00,607.5,608.75,607.5,608.65,83
2023-12-18 07:55:00+00:00,608.65,608.65,608.0,608.6,16
2023-12-18 08:00:00+00:00,608.6,608.6,608.05,608.05,35
2023-12-18 08:05:00+00:00,608.05,608.65,608.05,608.65,43
2023-12-18 08:10:00+00:00,608.65,609.55,608.1,609.55,206
2023-12-18 08:15:00+00:00,609.55,609.55,608.65,608.65,20
2023-12-18 08:20:00+00:00,608.65,608.95,608.1,608.95,239
2023-12-18 08:25:00+00:00,608.95,609.0,608.6,608.65,28
2023-12-18 08:30:00+00:00,609.0,610.75,608.5,610.7,1326
2023-12-18 08:35:00+00:00,610.7,610.8,610.5,610.55,318
2023-12-18 08:40:00+00:00,610.55,611.0,610.5,610.5,2435
2023-12-18 08:45:00+00:00,610.5,611.0,610.5,610.65,101
2023-12-18 08:50:00+00:00,610.65,611.0,609.25,609.25,1842
2023-12-18 08:55:00+00:00,609.25,610.85,609.25,610.85,745
2023-12-18 09:00:00+00:00,610.85,610.85,609.25,610.05,1311
2023-12-18 09:05:00+00:00,610.05,610.05,609.4,609.4,150
2023-12-18 09:10:00+00:00,609.4,609.4,607.0,607.1,4310
2023-12-18 09:15:00+00:00,607.1,608.0,607.1,607.7,57
2023-12-18 09:20:00+00:00,608.0,608.7,607.7,607.9,169
2023-12-18 09:25:00+00:00,607.9,608.85,607.2,608.35,535
2023-12-18 09:30:00+00:00,608.35,608.35,607.4,608.0,297
2023-12-18 09:35:00+00:00,608.0,612.0,607.4,608.65,3572
2023-12-18 09:40:00+00:00,608.6,609.5,608.5,609.5,246
2023-12-18 09:45:00+00:00,609.5,609.5,607.2,607.25,1593
2023-12-18 09:50:00+00:00,607.25,608.65,607.15,607.8,533
2023-12-18 09:55:00+00:00,607.8,610.0,607.0,607.0,2398
2023-12-19 03:45:00+00:00,611.5,611.5,607.4,608.0,1724
2023-12-19 03:50:00+00:00,608.0,609.2,607.15,609.2,2356
2023-12-19 03:55:00+00:00,609.2,610.95,609.1,609.4,2517
2023-12-19 04:00:00+00:00,609.4,609.8,607.35,609.15,1189
2023-12-19 04:05:00+00:00,609.15,609.4,607.15,607.5,2165
2023-12-19 04:10:00+00:00,608.0,608.95,607.15,607.35,1991
2023-12-19 04:15:00+00:00,607.6,608.5,607.3,608.15,804
2023-12-19 04:20:00+00:00,608.15,609.0,608.15,608.15,222
2023-12-19 04:25:00+00:00,608.2,608.75,607.8,607.8,827
2023-12-19 04:30:00+00:00,607.8,608.7,607.15,607.15,1958
2023-12-19 04:35:00+00:00,607.55,607.55,603.1,603.2,5950
2023-12-19 04:40:00+00:00,603.2,604.2,602.9,603.25,4560
2023-12-19 04:45:00+00:00,603.25,605.0,603.25,605.0,2888
2023-12-19 04:50:00+00:00,605.0,606.5,605.0,605.65,460
2023-12-19 04:55:00+00:00,605.65,606.0,603.9,604.4,1070
2023-12-19 05:00:00+00:00,604.4,606.0,603.9,606.0,565
2023-12-19 05:05:00+00:00,606.0,606.0,605.05,605.85,122
2023-12-19 05:10:00+00:00,605.85,605.85,604.25,604.25,382
2023-12-19 05:15:00+00:00,604.25,605.5,604.25,604.8,536
2023-12-19 05:20:00+00:00,604.8,605.95,604.8,605.95,386
2023-12-19 05:25:00+00:00,605.95,605.95,604.85,605.5,23
2023-12-19 05:30:00+00:00,605.5,605.9,605.5,605.7,313
2023-12-19 05:35:00+00:00,605.7,605.7,604.5,605.35,383
2023-12-19 05:40:00+00:00,605.35,605.35,604.6,605.0,79
2023-12-19 05:45:00+00:00,605.0,605.0,604.6,605.0,91
2023-12-19 05:50:00+00:00,605.0,605.0,604.6,604.6,13
2023-12-19 05:55:00+00:00,604.6,605.35,604.6,605.35,336
2023-12-19 06:00:00+00:00,605.35,605.6,605.0,605.6,61
2023-12-19 06:05:00+00:00,605.6,606.45,605.0,606.45,591
2023-12-19 06:10:00+00:00,606.45,608.95,606.45,607.0,2582
2023-12-19 06:15:00+00:00,607.0,607.55,606.2,607.4,581
2023-12-19 06:20:00+00:00,607.4,608.8,607.4,608.8,693
2023-12-19 06:25:00+00:00,608.8,608.8,608.0,608.1,71
2023-12-19 06:30:00+00:00,608.1,608.1,607.75,607.75,2550
2023-12-19 06:35:00+00:00,607.75,608.15,607.75,607.8,1186
2023-12-19 06:40:00+00:00,608.15,608.15,607.75,608.15,679
2023-12-19 06:45:00+00:00,608.15,608.6,607.75,608.6,484
2023-12-19 06:50:00+00:00,608.6,608.6,608.0,608.6,66
2023-12-19 06:55:00+00:00,608.6,608.6,606.7,608.35,1105
2023-12-19 07:00:00+00:00,608.35,608.6,607.5,608.6,231
2023-12-19 07:05:00+00:00,608.6,608.85,608.0,608.2,156
2023-12-19 07:10:00+00:00,608.2,609.2,608.2,608.3,971
2023-12-19 07:15:00+00:00,608.3,608.95,608.3,608.95,21
2023-12-19 07:20:00+00:00,608.95,609.7,608.4,609.7,333
2023-12-19 07:25:00+00:00,609.7,609.7,607.85,608.15,1080
2023-12-19 07:30:00+00:00,608.15,608.8,607.5,607.6,368
2023-12-19 07:35:00+00:00,607.6,608.3,607.55,607.55,26
2023-12-19 07:40:00+00:00,608.35,608.35,608.3,608.35,8
2023-12-19 07:45:00+00:00,608.35,608.65,608.0,608.05,196
