,open,high,low,close,volume
2024-05-07 03:45:00+00:00,132.85,132.85,132.85,132.85,0
2024-05-07 03:50:00+00:00,132.85,132.85,132.85,132.85,0
2024-05-07 03:55:00+00:00,132.85,132.85,132.85,132.85,0
2024-05-07 04:00:00+00:00,132.85,132.85,132.85,132.85,0
2024-05-07 04:05:00+00:00,132.85,132.85,128.0,130.0,500
2024-05-07 04:10:00+00:00,130.0,130.0,129.0,129.0,250
2024-05-07 04:15:00+00:00,129.0,129.0,129.0,129.0,0
2024-05-07 04:20:00+00:00,129.0,129.0,127.95,128.0,149
2024-05-07 04:25:00+00:00,121.25,121.25,121.25,121.25,1
2024-05-07 04:30:00+00:00,121.25,121.25,121.25,121.25,0
2024-05-07 04:35:00+00:00,121.25,121.25,121.25,121.25,0
2024-05-07 04:40:00+00:00,121.25,121.25,121.25,121.25,0
2024-05-07 04:45:00+00:00,121.25,128.45,121.25,128.45,1
2024-05-07 04:50:00+00:00,128.45,128.45,128.45,128.45,0
2024-05-07 04:55:00+00:00,128.45,128.45,128.45,128.45,0
2024-05-07 05:00:00+00:00,128.45,128.45,128.45,128.45,0
2024-05-07 05:05:00+00:00,128.45,128.45,128.45,128.45,0
2024-05-07 05:10:00+00:00,128.45,128.45,128.45,128.45,0
2024-05-07 05:15:00+00:00,128.45,128.45,128.45,128.45,0
2024-05-07 05:20:00+00:00,128.45,128.45,128.45,128.45,0
2024-05-07 05:25:00+00:00,128.45,128.45,128.45,128.45,0
2024-05-07 05:30:00+00:00,128.45,128.45,124.95,124.95,60
2024-05-07 05:35:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 05:40:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 05:45:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 05:50:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 05:55:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 06:00:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 06:05:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 06:10:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 06:15:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 06:20:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 06:25:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 06:30:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 06:35:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 06:40:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 06:45:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 06:50:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 06:55:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 07:00:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 07:05:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 07:10:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 07:15:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 07:20:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 07:25:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 07:30:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 07:35:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 07:40:00+00:00,124.95,124.95,124.95,124.95,0
2024-05-07 07:45:00+00:00,124.95,124.95,121.6,121.6,2
2024-05-07 07:50:00+00:00,121.6,121.6,121.6,121.6,0
2024-05-07 07:55:00+00:00,121.6,121.6,121.6,121.6,0
2024-05-07 08:00:00+00:00,121.6,121.6,121.6,121.6,0
2024-05-07 08:05:00+00:00,121.6,121.6,121.6,121.6,0
2024-05-07 08:10:00+00:00,121.6,121.6,121.6,121.6,0
2024-05-07 08:15:00+00:00,121.6,121.6,121.6,121.6,0
2024-05-07 08:20:00+00:00,121.25,121.25,121.25,121.25,105
2024-05-07 08:25:00+00:00,121.25,121.25,121.25,121.25,0
2024-05-07 08:30:00+00:00,121.25,121.25,121.25,121.25,0
2024-05-07 08:35:00+00:00,121.25,121.25,121.25,121.25,0
2024-05-07 08:40:00+00:00,121.25,121.25,121.25,121.25,0
2024-05-07 08:45:00+00:00,121.25,121.25,121.25,121.25,0
2024-05-07 08:50:00+00:00,121.25,121.25,121.25,121.25,0
2024-05-07 08:55:00+00:00,121.25,121.25,121.25,121.25,0
2024-05-07 09:00:00+00:00,121.25,121.25,121.25,121.25,0
2024-05-07 09:05:00+00:00,120.7,120.7,120.7,120.7,25
2024-05-07 09:10:00+00:00,120.7,120.7,120.7,120.7,0
2024-05-07 09:15:00+00:00,120.7,120.7,120.7,120.7,10
2024-05-07 09:20:00+00:00,120.7,120.7,120.7,120.7,0
2024-05-07 09:25:00+00:00,120.7,120.7,120.7,120.7,0
2024-05-07 09:30:00+00:00,120.7,120.7,120.7,120.7,0
2024-05-07 09:35:00+00:00,120.7,120.7,120.7,120.7,0
2024-05-07 09:40:00+00:00,120.7,120.7,120.7,120.7,0
2024-05-07 09:45:00+00:00,120.7,120.7,120.7,120.7,0
