,open,high,low,close,volume
2024-04-29 03:45:00+00:00,306.0,308.9,295.0,300.1,305981
2024-04-29 03:50:00+00:00,300.0,300.0,288.0,292.0,49422
2024-04-29 03:55:00+00:00,294.0,294.0,280.6,286.5,57123
2024-04-29 04:00:00+00:00,286.5,288.15,282.55,284.35,27155
2024-04-29 04:05:00+00:00,284.35,287.0,282.9,286.0,20198
2024-04-29 04:10:00+00:00,286.0,289.5,286.0,288.55,17754
2024-04-29 04:15:00+00:00,288.55,288.55,287.0,287.0,7692
2024-04-29 04:20:00+00:00,287.0,287.95,285.5,285.55,3876
2024-04-29 04:25:00+00:00,285.5,287.0,285.0,285.0,2743
2024-04-29 04:30:00+00:00,286.05,286.35,282.85,282.85,8546
2024-04-29 04:35:00+00:00,282.85,283.0,270.7,275.85,57286
2024-04-29 04:40:00+00:00,275.85,279.25,270.2,278.05,26048
2024-04-29 04:45:00+00:00,278.05,285.85,278.05,282.9,26837
2024-04-29 04:50:00+00:00,282.9,282.9,275.5,278.0,10659
2024-04-29 04:55:00+00:00,278.8,281.9,277.7,279.0,5135
2024-04-29 05:00:00+00:00,279.0,280.0,277.5,280.0,1151
2024-04-29 05:05:00+00:00,280.0,282.2,279.95,281.0,1527
2024-04-29 05:10:00+00:00,281.0,282.95,279.95,280.1,1331
2024-04-29 05:15:00+00:00,280.1,281.0,279.75,279.75,1208
2024-04-29 05:20:00+00:00,279.75,280.85,276.5,280.0,5400
2024-04-29 05:25:00+00:00,280.0,281.0,278.7,279.3,2682
2024-04-29 05:30:00+00:00,279.3,280.95,276.65,278.8,4245
2024-04-29 05:35:00+00:00,278.8,279.2,277.05,279.15,587
2024-04-29 05:40:00+00:00,279.15,279.2,278.0,278.35,546
2024-04-29 05:45:00+00:00,278.35,281.2,278.35,280.8,3523
2024-04-29 05:50:00+00:00,280.8,280.8,277.4,279.4,2100
2024-04-29 05:55:00+00:00,279.4,279.45,277.4,278.45,1574
2024-04-29 06:00:00+00:00,278.45,279.6,278.4,278.5,1260
2024-04-29 06:05:00+00:00,279.25,279.55,278.7,279.55,269
2024-04-29 06:10:00+00:00,279.55,279.55,278.0,278.0,3226
2024-04-29 06:15:00+00:00,278.0,279.75,278.0,279.5,417
2024-04-29 06:20:00+00:00,279.5,279.7,279.4,279.4,189
2024-04-29 06:25:00+00:00,279.8,279.8,276.7,278.0,3585
2024-04-29 06:30:00+00:00,278.0,278.0,276.95,277.55,2894
2024-04-29 06:35:00+00:00,277.55,278.0,277.55,278.0,6039
2024-04-29 06:40:00+00:00,277.5,278.0,277.5,277.95,7026
2024-04-29 06:45:00+00:00,277.95,278.0,277.6,278.0,1351
2024-04-29 06:50:00+00:00,278.0,278.0,277.55,277.95,633
2024-04-29 06:55:00+00:00,277.95,278.0,277.5,278.0,1582
2024-04-29 07:00:00+00:00,277.6,278.0,277.55,278.0,358
2024-04-29 07:05:00+00:00,278.0,278.0,277.5,277.55,10189
2024-04-29 07:10:00+00:00,277.55,278.0,277.55,277.95,767
2024-04-29 07:15:00+00:00,277.95,278.0,277.65,278.0,5120
2024-04-29 07:20:00+00:00,277.65,278.0,277.55,277.6,2368
2024-04-29 07:25:00+00:00,277.6,278.0,277.6,278.0,676
2024-04-29 07:30:00+00:00,278.0,278.0,277.7,278.0,6381
2024-04-29 07:35:00+00:00,278.0,278.0,278.0,278.0,145
2024-04-29 07:40:00+00:00,278.0,278.0,277.7,277.95,584
2024-04-29 07:45:00+00:00,277.95,278.0,277.7,278.0,3001
2024-04-29 07:50:00+00:00,277.8,278.0,277.75,277.75,460
2024-04-29 07:55:00+00:00,277.75,279.55,277.75,278.6,13338
2024-04-29 08:00:00+00:00,278.6,279.5,278.3,279.5,1196
2024-04-29 08:05:00+00:00,279.5,279.9,279.4,279.8,3636
2024-04-29 08:10:00+00:00,279.8,282.0,279.7,281.0,6742
2024-04-29 08:15:00+00:00,281.1,281.5,280.25,281.4,1251
2024-04-29 08:20:00+00:00,281.4,283.0,281.4,282.25,7493
2024-04-29 08:25:00+00:00,282.25,282.25,279.5,280.95,19139
2024-04-29 08:30:00+00:00,281.35,281.35,280.1,280.9,336
2024-04-29 08:35:00+00:00,280.9,281.0,280.3,281.0,502
2024-04-29 08:40:00+00:00,281.0,281.4,280.5,280.7,598
2024-04-29 08:45:00+00:00,280.7,281.35,280.55,280.55,1432
2024-04-29 08:50:00+00:00,280.55,280.95,280.55,280.75,403
2024-04-29 08:55:00+00:00,280.75,280.95,280.55,280.7,192
2024-04-29 09:00:00+00:00,280.7,285.05,280.4,282.1,39382
2024-04-29 09:05:00+00:00,282.1,282.1,279.25,279.95,686
2024-04-29 09:10:00+00:00,279.95,280.8,278.0,279.8,3657
2024-04-29 09:15:00+00:00,279.8,279.8,278.6,279.7,708
2024-04-29 09:20:00+00:00,279.1,279.15,278.0,278.5,4476
2024-04-29 09:25:00+00:00,278.5,278.5,276.55,276.55,4704
2024-04-29 09:30:00+00:00,276.55,277.0,276.55,276.6,1530
2024-04-29 09:35:00+00:00,276.6,277.0,275.1,276.8,28282
2024-04-29 09:40:00+00:00,276.7,277.0,276.7,277.0,2717
2024-04-29 09:45:00+00:00,277.0,277.0,275.0,276.15,6414
2024-04-29 09:50:00+00:00,276.2,277.0,273.0,274.95,14769
