,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1968.3,1973.9,1960.5,1965.9,1368
2023-12-18 03:50:00+00:00,1965.9,1974.4,1960.5,1970.0,426
2023-12-18 03:55:00+00:00,1966.5,1972.5,1965.0,1968.6,1018
2023-12-18 04:00:00+00:00,1968.6,1972.4,1964.85,1966.75,386
2023-12-18 04:05:00+00:00,1966.75,1972.5,1966.75,1972.5,204
2023-12-18 04:10:00+00:00,1972.5,1972.5,1969.6,1972.5,184
2023-12-18 04:15:00+00:00,1972.5,1972.5,1963.05,1965.2,574
2023-12-18 04:20:00+00:00,1967.45,1967.8,1965.05,1965.05,56
2023-12-18 04:25:00+00:00,1965.05,1965.05,1961.8,1961.8,180
2023-12-18 04:30:00+00:00,1961.8,1964.6,1961.3,1963.7,74
2023-12-18 04:35:00+00:00,1963.7,1965.95,1963.7,1965.95,128
2023-12-18 04:40:00+00:00,1965.95,1966.0,1963.05,1963.15,72
2023-12-18 04:45:00+00:00,1963.15,1965.4,1963.15,1965.2,16
2023-12-18 04:50:00+00:00,1965.2,1972.5,1963.9,1968.65,834
2023-12-18 04:55:00+00:00,1968.65,1968.65,1965.0,1965.9,74
2023-12-18 05:00:00+00:00,1965.9,1970.0,1963.4,1969.95,344
2023-12-18 05:05:00+00:00,1968.7,1970.0,1966.6,1967.4,72
2023-12-18 05:10:00+00:00,1967.4,1969.6,1967.4,1969.6,30
2023-12-18 05:15:00+00:00,1969.6,1971.25,1967.6,1968.05,72
2023-12-18 05:20:00+00:00,1968.05,1969.5,1965.3,1965.3,68
2023-12-18 05:25:00+00:00,1965.3,1969.2,1965.3,1969.2,10
2023-12-18 05:30:00+00:00,1969.2,1969.5,1963.05,1966.0,74
2023-12-18 05:35:00+00:00,1966.0,1966.0,1963.5,1963.5,22
2023-12-18 05:40:00+00:00,1968.9,1969.5,1967.0,1967.0,60
2023-12-18 05:45:00+00:00,1967.0,1969.5,1964.0,1965.95,66
2023-12-18 05:50:00+00:00,1965.95,1965.95,1962.7,1965.5,238
2023-12-18 05:55:00+00:00,1965.5,1965.6,1963.8,1965.6,14
2023-12-18 06:00:00+00:00,1965.6,1969.4,1965.6,1968.3,52
2023-12-18 06:05:00+00:00,1968.3,1968.3,1962.6,1963.0,134
2023-12-18 06:10:00+00:00,1963.0,1965.0,1962.55,1963.0,114
2023-12-18 06:15:00+00:00,1963.0,1965.6,1963.0,1964.0,174
2023-12-18 06:20:00+00:00,1964.0,1967.5,1964.0,1966.8,72
2023-12-18 06:25:00+00:00,1966.8,1967.3,1963.05,1963.05,74
2023-12-18 06:30:00+00:00,1963.05,1964.9,1963.05,1964.9,6
2023-12-18 06:35:00+00:00,1964.9,1969.0,1964.9,1966.6,102
2023-12-18 06:40:00+00:00,1966.6,1970.0,1966.6,1966.8,350
2023-12-18 06:45:00+00:00,1966.8,1978.3,1966.8,1977.7,2116
2023-12-18 06:50:00+00:00,1977.7,1977.7,1974.0,1974.0,628
2023-12-18 06:55:00+00:00,1974.0,1975.35,1972.95,1974.5,10
2023-12-18 07:00:00+00:00,1974.5,1974.5,1968.4,1968.4,128
2023-12-18 07:05:00+00:00,1968.4,1971.8,1965.8,1965.8,180
2023-12-18 07:10:00+00:00,1965.8,1969.6,1965.3,1966.95,38
2023-12-18 07:15:00+00:00,1966.95,1967.2,1962.6,1966.25,98
2023-12-18 07:20:00+00:00,1966.25,1966.25,1964.1,1964.1,46
2023-12-18 07:25:00+00:00,1964.1,1971.6,1964.1,1971.4,256
2023-12-18 07:30:00+00:00,1971.4,1971.4,1968.9,1971.4,58
2023-12-18 07:35:00+00:00,1971.4,1971.4,1967.3,1969.8,60
2023-12-18 07:40:00+00:00,1969.8,1973.0,1969.15,1973.0,108
2023-12-18 07:45:00+00:00,1973.0,1973.5,1970.6,1971.7,154
2023-12-18 07:50:00+00:00,1971.7,1972.0,1968.35,1970.1,124
2023-12-18 07:55:00+00:00,1970.1,1974.45,1970.1,1974.45,214
2023-12-18 08:00:00+00:00,1974.45,1976.4,1972.0,1976.4,480
2023-12-18 08:05:00+00:00,1976.4,1980.0,1975.4,1979.75,492
2023-12-18 08:10:00+00:00,1979.75,1992.5,1979.4,1992.5,3526
2023-12-18 08:15:00+00:00,1992.5,1994.5,1980.3,1980.3,4514
2023-12-18 08:20:00+00:00,1980.3,1986.0,1980.05,1983.1,396
2023-12-18 08:25:00+00:00,1985.4,1985.4,1979.95,1982.25,386
2023-12-18 08:30:00+00:00,1982.25,1982.4,1977.0,1977.5,440
2023-12-18 08:35:00+00:00,1977.5,1982.1,1977.5,1981.55,320
2023-12-18 08:40:00+00:00,1981.55,1986.15,1981.55,1986.15,446
2023-12-18 08:45:00+00:00,1986.15,1992.5,1985.25,1990.4,1230
2023-12-18 08:50:00+00:00,1989.9,1992.0,1985.0,1986.45,628
2023-12-18 08:55:00+00:00,1986.45,1988.9,1984.1,1987.5,224
2023-12-18 09:00:00+00:00,1987.5,1989.9,1985.0,1988.0,152
2023-12-18 09:05:00+00:00,1988.0,1988.0,1980.0,1980.0,230
2023-12-18 09:10:00+00:00,1980.0,1983.0,1975.0,1978.0,1912
2023-12-18 09:15:00+00:00,1978.0,1982.65,1977.8,1979.65,628
2023-12-18 09:20:00+00:00,1979.65,1980.6,1976.4,1980.6,56
2023-12-18 09:25:00+00:00,1980.6,1982.9,1980.6,1982.9,88
2023-12-18 09:30:00+00:00,1982.9,1984.5,1980.0,1983.35,300
2023-12-18 09:35:00+00:00,1983.35,1986.6,1982.6,1985.55,570
2023-12-18 09:40:00+00:00,1985.7,1986.45,1981.0,1982.4,254
2023-12-18 09:45:00+00:00,1982.4,1987.5,1981.0,1981.0,652
2023-12-18 09:50:00+00:00,1981.0,1989.2,1980.0,1982.5,1886
2023-12-18 09:55:00+00:00,1982.5,1987.5,1980.0,1983.5,646
2023-12-19 03:45:00+00:00,1975.0,1992.5,1975.0,1992.5,642
2023-12-19 03:50:00+00:00,1992.5,1992.5,1980.85,1980.85,462
2023-12-19 03:55:00+00:00,1980.85,1992.5,1980.0,1989.0,1164
2023-12-19 04:00:00+00:00,1989.6,1992.5,1987.15,1990.0,2594
2023-12-19 04:05:00+00:00,1988.5,1990.5,1987.0,1989.5,358
2023-12-19 04:10:00+00:00,1989.5,1991.8,1985.25,1987.7,800
2023-12-19 04:15:00+00:00,1987.7,1987.7,1980.0,1980.0,752
2023-12-19 04:20:00+00:00,1980.0,1983.25,1979.25,1980.8,48
2023-12-19 04:25:00+00:00,1980.8,1983.6,1976.4,1983.6,540
2023-12-19 04:30:00+00:00,1983.6,1983.6,1978.05,1978.1,238
2023-12-19 04:35:00+00:00,1978.1,1980.8,1967.85,1974.0,1216
2023-12-19 04:40:00+00:00,1974.0,1974.0,1967.4,1972.35,1212
2023-12-19 04:45:00+00:00,1972.35,1977.1,1971.85,1975.0,98
2023-12-19 04:50:00+00:00,1975.0,1979.0,1975.0,1977.25,132
2023-12-19 04:55:00+00:00,1977.25,1977.7,1975.1,1977.0,12
2023-12-19 05:00:00+00:00,1977.0,1978.4,1973.0,1978.0,340
2023-12-19 05:05:00+00:00,1978.0,1979.0,1976.0,1977.75,226
2023-12-19 05:10:00+00:00,1977.75,1979.45,1976.3,1979.45,384
2023-12-19 05:15:00+00:00,1979.45,1987.0,1979.45,1987.0,554
2023-12-19 05:20:00+00:00,1987.0,1995.0,1985.0,1989.3,9496
2023-12-19 05:25:00+00:00,1989.3,1990.2,1984.2,1984.6,526
2023-12-19 05:30:00+00:00,1984.65,1984.65,1982.5,1982.5,34
2023-12-19 05:35:00+00:00,1982.5,1984.2,1980.6,1980.6,258
2023-12-19 05:40:00+00:00,1980.6,1983.5,1980.6,1980.6,42
2023-12-19 05:45:00+00:00,1980.6,1980.6,1975.0,1975.0,304
2023-12-19 05:50:00+00:00,1975.0,1980.4,1975.0,1979.35,242
2023-12-19 05:55:00+00:00,1979.35,1984.8,1977.4,1984.8,382
2023-12-19 06:00:00+00:00,1987.5,1987.5,1983.1,1985.75,472
2023-12-19 06:05:00+00:00,1985.75,1988.8,1985.0,1986.2,214
2023-12-19 06:10:00+00:00,1986.2,1986.2,1982.75,1985.4,20
2023-12-19 06:15:00+00:00,1985.4,1986.7,1985.4,1986.7,28
2023-12-19 06:20:00+00:00,1986.7,1988.4,1984.35,1985.6,10
2023-12-19 06:25:00+00:00,1985.6,1985.6,1980.3,1980.3,14
2023-12-19 06:30:00+00:00,1980.3,1983.7,1980.3,1980.8,14
2023-12-19 06:35:00+00:00,1980.8,1982.45,1976.3,1976.3,48
2023-12-19 06:40:00+00:00,1976.3,1980.7,1976.3,1980.7,14
2023-12-19 06:45:00+00:00,1980.7,1983.5,1980.7,1982.5,222
2023-12-19 06:50:00+00:00,1982.5,1983.2,1980.7,1980.7,36
2023-12-19 06:55:00+00:00,1980.7,1983.95,1979.6,1980.1,360
2023-12-19 07:00:00+00:00,1980.1,1983.4,1979.7,1982.1,16
2023-12-19 07:05:00+00:00,1982.1,1982.1,1979.7,1979.7,4
2023-12-19 07:10:00+00:00,1979.7,1980.4,1976.0,1976.0,92
2023-12-19 07:15:00+00:00,1976.0,1976.0,1975.1,1975.1,110
2023-12-19 07:20:00+00:00,1975.1,1975.1,1975.1,1975.1,0
2023-12-19 07:25:00+00:00,1975.1,1978.4,1975.1,1975.3,12
2023-12-19 07:30:00+00:00,1975.3,1975.35,1972.55,1975.0,108
2023-12-19 07:35:00+00:00,1975.0,1975.4,1973.0,1975.0,108
2023-12-19 07:40:00+00:00,1975.0,1975.3,1973.0,1974.6,36
2023-12-19 07:45:00+00:00,1974.6,1977.8,1972.65,1977.8,154
2023-12-19 07:50:00+00:00,1977.8,1977.8,1977.8,1977.8,0
2023-12-19 07:55:00+00:00,1975.05,1975.05,1975.05,1975.05,74
2023-12-19 08:00:00+00:00,1975.05,1980.3,1975.05,1977.3,20
2023-12-19 08:05:00+00:00,1977.3,1978.6,1976.0,1978.6,30
2023-12-19 08:10:00+00:00,1978.6,1978.6,1975.3,1975.3,10
2023-12-19 08:15:00+00:00,1975.3,1977.55,1975.3,1975.45,90
2023-12-19 08:20:00+00:00,1975.35,1978.0,1975.1,1978.0,110
2023-12-19 08:25:00+00:00,1978.0,1978.0,1976.0,1976.0,20
2023-12-19 08:30:00+00:00,1976.0,1979.6,1975.1,1977.9,98
2023-12-19 08:35:00+00:00,1977.9,1977.9,1975.1,1976.0,164
2023-12-19 08:40:00+00:00,1976.0,1979.4,1976.0,1979.4,50
2023-12-19 08:45:00+00:00,1979.4,1979.4,1975.3,1976.0,170
2023-12-19 08:50:00+00:00,1977.8,1978.3,1976.0,1977.8,10
2023-12-19 08:55:00+00:00,1977.8,1978.2,1975.25,1978.2,176
2023-12-19 09:00:00+00:00,1978.2,1978.2,1976.0,1976.0,20
2023-12-19 09:05:00+00:00,1976.0,1979.3,1976.0,1976.3,222
2023-12-19 09:10:00+00:00,1976.3,1978.95,1976.1,1976.85,74
2023-12-19 09:15:00+00:00,1976.85,1979.3,1976.05,1976.05,288
2023-12-19 09:20:00+00:00,1976.05,1978.1,1975.05,1975.05,116
2023-12-19 09:25:00+00:00,1975.05,1976.0,1970.6,1970.6,1334
