,open,high,low,close,volume
2023-12-18 03:45:00+00:00,156.0,156.7,152.8,152.8,1840
2023-12-18 03:50:00+00:00,152.8,154.65,152.8,153.05,320
2023-12-18 03:55:00+00:00,153.05,153.4,153.0,153.0,740
2023-12-18 04:00:00+00:00,153.2,154.0,152.9,153.6,1070
2023-12-18 04:05:00+00:00,153.6,153.6,153.6,153.6,10
2023-12-18 04:10:00+00:00,154.15,154.15,152.45,152.55,2550
2023-12-18 04:15:00+00:00,152.55,153.35,152.55,153.35,4400
2023-12-18 04:20:00+00:00,153.35,153.35,152.8,153.0,2760
2023-12-18 04:25:00+00:00,153.0,153.0,153.0,153.0,10
2023-12-18 04:30:00+00:00,153.0,153.0,152.95,152.95,160
2023-12-18 04:35:00+00:00,152.95,153.0,152.95,153.0,1000
2023-12-18 04:40:00+00:00,153.0,153.4,152.7,152.8,5290
2023-12-18 04:45:00+00:00,152.8,153.0,152.8,153.0,1000
2023-12-18 04:50:00+00:00,153.0,153.5,153.0,153.5,3000
2023-12-18 04:55:00+00:00,153.5,153.5,153.5,153.5,10
2023-12-18 05:00:00+00:00,153.5,153.5,153.0,153.0,440
2023-12-18 05:05:00+00:00,153.0,153.0,153.0,153.0,0
2023-12-18 05:10:00+00:00,152.75,153.0,152.65,153.0,1780
2023-12-18 05:15:00+00:00,153.0,153.0,152.8,153.0,440
2023-12-18 05:20:00+00:00,153.0,153.0,153.0,153.0,1000
2023-12-18 05:25:00+00:00,152.9,152.9,152.9,152.9,10
2023-12-18 05:30:00+00:00,152.9,152.9,152.9,152.9,0
2023-12-18 05:35:00+00:00,152.9,152.9,152.9,152.9,0
2023-12-18 05:40:00+00:00,152.5,152.5,152.5,152.5,120
2023-12-18 05:45:00+00:00,152.5,152.8,152.4,152.4,11940
2023-12-18 05:50:00+00:00,152.55,153.35,152.5,153.0,550
2023-12-18 05:55:00+00:00,153.0,153.0,153.0,153.0,1290
2023-12-18 06:00:00+00:00,153.0,153.0,153.0,153.0,0
2023-12-18 06:05:00+00:00,153.0,153.0,153.0,153.0,2000
2023-12-18 06:10:00+00:00,153.0,153.0,153.0,153.0,0
2023-12-18 06:15:00+00:00,153.0,153.0,152.45,152.45,600
2023-12-18 06:20:00+00:00,152.45,152.8,152.45,152.8,1250
2023-12-18 06:25:00+00:00,152.8,152.9,152.45,152.45,3250
2023-12-18 06:30:00+00:00,152.6,152.6,152.5,152.5,2340
2023-12-18 06:35:00+00:00,152.5,152.5,152.5,152.5,0
2023-12-18 06:40:00+00:00,152.5,153.0,152.5,153.0,6000
2023-12-18 06:45:00+00:00,153.0,153.0,153.0,153.0,0
2023-12-18 06:50:00+00:00,153.0,153.0,152.95,152.95,30
2023-12-18 06:55:00+00:00,152.95,152.95,152.95,152.95,100
2023-12-18 07:00:00+00:00,152.95,152.95,152.95,152.95,0
2023-12-18 07:05:00+00:00,152.95,152.95,152.95,152.95,0
2023-12-18 07:10:00+00:00,152.95,152.95,152.95,152.95,0
2023-12-18 07:15:00+00:00,152.95,152.95,152.95,152.95,0
2023-12-18 07:20:00+00:00,152.95,152.95,152.95,152.95,0
2023-12-18 07:25:00+00:00,152.95,152.95,152.95,152.95,0
2023-12-18 07:30:00+00:00,152.95,152.95,152.95,152.95,0
2023-12-18 07:35:00+00:00,152.95,152.95,152.95,152.95,0
2023-12-18 07:40:00+00:00,152.95,153.0,152.95,153.0,2030
2023-12-18 07:45:00+00:00,153.0,153.0,152.85,152.85,20
2023-12-18 07:50:00+00:00,153.0,153.0,153.0,153.0,60
