,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1197.6,1198.0,1184.15,1186.65,19077
2023-12-18 03:50:00+00:00,1186.65,1187.8,1182.3,1184.8,17461
2023-12-18 03:55:00+00:00,1184.8,1188.0,1183.7,1187.3,13817
2023-12-18 04:00:00+00:00,1187.3,1188.3,1181.3,1181.45,28638
2023-12-18 04:05:00+00:00,1181.6,1186.2,1181.0,1184.1,16229
2023-12-18 04:10:00+00:00,1184.1,1188.6,1184.1,1187.5,18983
2023-12-18 04:15:00+00:00,1187.5,1188.45,1183.95,1185.55,30862
2023-12-18 04:20:00+00:00,1185.6,1189.0,1184.55,1187.3,19445
2023-12-18 04:25:00+00:00,1187.3,1192.35,1186.55,1189.1,23252
2023-12-18 04:30:00+00:00,1189.1,1191.8,1187.25,1191.8,16271
2023-12-18 04:35:00+00:00,1191.15,1193.0,1190.4,1192.45,13221
2023-12-18 04:40:00+00:00,1192.05,1194.0,1192.05,1192.15,16757
2023-12-18 04:45:00+00:00,1192.1,1193.0,1191.6,1191.8,4716
2023-12-18 04:50:00+00:00,1191.8,1193.0,1191.05,1192.25,4673
2023-12-18 04:55:00+00:00,1192.25,1193.1,1190.0,1190.0,7804
2023-12-18 05:00:00+00:00,1190.0,1192.3,1189.1,1191.9,4072
2023-12-18 05:05:00+00:00,1191.85,1193.15,1191.1,1192.3,3513
2023-12-18 05:10:00+00:00,1192.3,1192.6,1191.0,1191.7,1208
2023-12-18 05:15:00+00:00,1191.7,1193.9,1191.7,1193.8,5001
2023-12-18 05:20:00+00:00,1193.8,1195.85,1193.8,1194.85,7289
2023-12-18 05:25:00+00:00,1194.85,1198.0,1194.85,1196.0,11931
2023-12-18 05:30:00+00:00,1196.0,1197.2,1194.0,1194.6,5457
2023-12-18 05:35:00+00:00,1194.6,1197.15,1194.0,1195.25,5697
2023-12-18 05:40:00+00:00,1195.25,1198.75,1195.25,1198.75,5079
2023-12-18 05:45:00+00:00,1198.15,1200.95,1196.05,1196.95,39308
2023-12-18 05:50:00+00:00,1197.3,1198.0,1196.0,1196.75,6699
2023-12-18 05:55:00+00:00,1196.75,1199.0,1196.5,1198.05,5122
2023-12-18 06:00:00+00:00,1198.5,1200.35,1197.6,1200.0,8595
2023-12-18 06:05:00+00:00,1200.0,1200.35,1197.2,1199.9,9545
2023-12-18 06:10:00+00:00,1199.9,1200.2,1198.25,1199.75,8083
2023-12-18 06:15:00+00:00,1199.75,1200.5,1198.55,1200.0,5344
2023-12-18 06:20:00+00:00,1200.0,1201.0,1198.75,1200.1,5694
2023-12-18 06:25:00+00:00,1200.55,1201.65,1199.0,1199.0,7363
2023-12-18 06:30:00+00:00,1199.0,1200.6,1199.0,1200.0,8161
2023-12-18 06:35:00+00:00,1200.0,1201.1,1199.9,1200.4,3488
2023-12-18 06:40:00+00:00,1200.4,1200.85,1200.0,1200.0,3449
2023-12-18 06:45:00+00:00,1200.0,1205.0,1200.0,1204.1,16214
2023-12-18 06:50:00+00:00,1204.1,1204.3,1201.25,1202.0,13509
2023-12-18 06:55:00+00:00,1202.0,1203.0,1200.0,1200.4,5885
2023-12-18 07:00:00+00:00,1200.4,1201.75,1200.0,1200.95,7367
2023-12-18 07:05:00+00:00,1200.95,1202.3,1200.0,1202.2,4423
2023-12-18 07:10:00+00:00,1202.2,1204.25,1201.6,1203.8,7294
2023-12-18 07:15:00+00:00,1203.85,1205.0,1202.05,1202.05,10834
2023-12-18 07:20:00+00:00,1202.05,1202.6,1200.5,1201.8,2533
2023-12-18 07:25:00+00:00,1201.8,1204.4,1201.4,1202.25,4214
2023-12-18 07:30:00+00:00,1202.25,1203.65,1200.75,1202.15,7040
2023-12-18 07:35:00+00:00,1202.15,1207.7,1200.65,1207.25,57236
2023-12-18 07:40:00+00:00,1207.25,1209.55,1205.0,1208.5,30910
2023-12-18 07:45:00+00:00,1208.5,1213.35,1208.05,1210.05,35618
2023-12-18 07:50:00+00:00,1210.05,1211.35,1209.1,1209.15,22889
2023-12-18 07:55:00+00:00,1209.0,1211.05,1209.0,1210.95,10893
2023-12-18 08:00:00+00:00,1210.95,1210.95,1203.5,1205.2,20602
2023-12-18 08:05:00+00:00,1205.2,1206.95,1204.15,1206.05,11387
2023-12-18 08:10:00+00:00,1206.05,1208.55,1205.7,1207.6,8944
2023-12-18 08:15:00+00:00,1207.75,1207.85,1206.05,1206.7,13740
2023-12-18 08:20:00+00:00,1206.7,1209.0,1206.7,1207.3,11710
2023-12-18 08:25:00+00:00,1207.3,1208.5,1206.05,1206.6,8576
2023-12-18 08:30:00+00:00,1206.6,1206.6,1204.5,1205.1,6494
2023-12-18 08:35:00+00:00,1205.1,1205.9,1204.1,1204.4,5746
2023-12-18 08:40:00+00:00,1204.4,1206.8,1204.4,1206.3,4430
2023-12-18 08:45:00+00:00,1206.3,1206.9,1206.0,1206.4,3157
2023-12-18 08:50:00+00:00,1206.75,1208.0,1205.5,1206.7,6227
2023-12-18 08:55:00+00:00,1206.7,1208.1,1206.6,1208.1,4758
2023-12-18 09:00:00+00:00,1208.1,1209.25,1207.55,1208.15,13095
2023-12-18 09:05:00+00:00,1208.15,1208.55,1207.7,1208.05,3764
2023-12-18 09:10:00+00:00,1208.05,1208.05,1205.05,1205.75,8153
2023-12-18 09:15:00+00:00,1205.75,1208.9,1205.75,1208.4,7924
2023-12-18 09:20:00+00:00,1208.6,1208.6,1206.55,1206.55,6469
2023-12-18 09:25:00+00:00,1206.55,1208.0,1206.55,1206.55,7930
2023-12-18 09:30:00+00:00,1206.55,1207.05,1206.0,1206.05,14050
