,open,high,low,close,volume
2023-12-18 03:45:00+00:00,348.5,353.8,345.05,353.2,59057
2023-12-18 03:50:00+00:00,353.2,356.0,352.0,355.45,30993
2023-12-18 03:55:00+00:00,355.45,356.0,351.25,351.95,18926
2023-12-18 04:00:00+00:00,351.9,355.9,351.25,355.0,23741
2023-12-18 04:05:00+00:00,355.85,357.5,355.75,356.7,44296
2023-12-18 04:10:00+00:00,357.0,358.8,356.25,358.8,32783
2023-12-18 04:15:00+00:00,358.75,358.8,355.0,355.05,13605
2023-12-18 04:20:00+00:00,355.05,358.55,355.05,357.05,16574
2023-12-18 04:25:00+00:00,357.05,358.7,356.0,357.0,8522
2023-12-18 04:30:00+00:00,356.6,357.3,355.5,356.15,5827
2023-12-18 04:35:00+00:00,356.15,356.2,355.55,355.6,2296
2023-12-18 04:40:00+00:00,355.6,356.45,355.25,356.45,10401
2023-12-18 04:45:00+00:00,356.45,356.95,355.8,356.45,7813
2023-12-18 04:50:00+00:00,356.45,356.45,355.25,355.25,13564
2023-12-18 04:55:00+00:00,355.25,355.7,351.6,352.5,14254
2023-12-18 05:00:00+00:00,352.5,353.65,352.15,353.15,6448
2023-12-18 05:05:00+00:00,353.15,353.15,352.0,352.55,3294
2023-12-18 05:10:00+00:00,352.4,352.4,351.75,352.3,4415
2023-12-18 05:15:00+00:00,352.3,353.05,351.8,352.65,1358
2023-12-18 05:20:00+00:00,352.65,352.95,351.8,351.9,6301
2023-12-18 05:25:00+00:00,351.9,352.55,351.9,352.05,909
2023-12-18 05:30:00+00:00,352.05,353.15,351.4,352.6,5280
2023-12-18 05:35:00+00:00,352.6,353.5,352.6,353.4,1582
2023-12-18 05:40:00+00:00,353.4,354.0,353.05,354.0,1716
2023-12-18 05:45:00+00:00,354.0,354.55,353.05,353.65,4099
2023-12-18 05:50:00+00:00,353.65,353.95,353.05,353.55,1441
2023-12-18 05:55:00+00:00,353.55,353.55,352.9,352.9,2340
2023-12-18 06:00:00+00:00,352.9,353.15,352.3,353.1,8475
2023-12-18 06:05:00+00:00,353.1,353.45,352.85,353.35,1522
2023-12-18 06:10:00+00:00,353.3,353.95,352.6,352.6,1414
2023-12-18 06:15:00+00:00,352.6,353.35,352.5,353.35,424
2023-12-18 06:20:00+00:00,353.35,354.45,352.65,354.1,5526
2023-12-18 06:25:00+00:00,354.1,354.35,353.55,353.6,885
2023-12-18 06:30:00+00:00,353.6,353.6,353.0,353.05,1114
2023-12-18 06:35:00+00:00,353.05,353.7,353.05,353.7,284
2023-12-18 06:40:00+00:00,353.5,353.7,353.2,353.55,441
2023-12-18 06:45:00+00:00,353.55,353.9,353.0,353.45,505
2023-12-18 06:50:00+00:00,353.45,353.5,353.05,353.35,487
2023-12-18 06:55:00+00:00,353.35,353.9,353.05,353.15,660
2023-12-18 07:00:00+00:00,353.15,353.15,352.75,352.75,1695
2023-12-18 07:05:00+00:00,352.7,353.05,352.25,353.05,6585
2023-12-18 07:10:00+00:00,353.45,353.45,352.7,353.35,284
2023-12-18 07:15:00+00:00,353.35,353.4,352.7,353.4,1005
2023-12-18 07:20:00+00:00,353.1,353.2,352.55,352.55,1629
2023-12-18 07:25:00+00:00,352.55,353.05,352.5,352.85,343
2023-12-18 07:30:00+00:00,352.85,354.2,352.65,354.2,1149
2023-12-18 07:35:00+00:00,354.0,354.5,353.85,354.5,1111
2023-12-18 07:40:00+00:00,354.5,355.0,353.75,354.0,3073
2023-12-18 07:45:00+00:00,354.0,354.2,352.85,353.15,2104
2023-12-18 07:50:00+00:00,353.15,353.95,353.15,353.3,353
2023-12-18 07:55:00+00:00,352.9,353.0,352.5,352.5,8436
2023-12-18 08:00:00+00:00,352.5,352.95,352.5,352.55,1662
2023-12-18 08:05:00+00:00,352.55,353.0,352.5,352.55,3317
2023-12-18 08:10:00+00:00,352.55,352.55,352.15,352.15,239
2023-12-18 08:15:00+00:00,352.15,352.2,352.1,352.15,830
2023-12-18 08:20:00+00:00,352.15,352.45,352.15,352.4,457
2023-12-18 08:25:00+00:00,352.4,352.6,352.15,352.3,1310
2023-12-18 08:30:00+00:00,352.3,353.15,352.3,353.0,3567
2023-12-18 08:35:00+00:00,353.0,353.0,352.05,352.7,4213
2023-12-18 08:40:00+00:00,352.3,352.7,352.15,352.25,231
2023-12-18 08:45:00+00:00,352.25,352.7,351.85,352.25,832
2023-12-18 08:50:00+00:00,352.25,352.25,351.75,352.25,843
2023-12-18 08:55:00+00:00,352.25,353.15,352.25,352.7,1092
2023-12-18 09:00:00+00:00,352.7,353.1,352.5,353.1,577
2023-12-18 09:05:00+00:00,353.1,353.1,352.3,352.75,653
2023-12-18 09:10:00+00:00,352.75,353.2,352.3,352.3,1118
2023-12-18 09:15:00+00:00,352.3,352.3,351.55,351.7,3473
2023-12-18 09:20:00+00:00,351.7,352.0,351.3,351.3,1372
2023-12-18 09:25:00+00:00,351.3,351.5,351.3,351.3,579
2023-12-18 09:30:00+00:00,351.3,354.45,349.75,353.35,30867
2023-12-18 09:35:00+00:00,353.65,355.0,352.15,354.15,5738
2023-12-18 09:40:00+00:00,354.45,354.6,352.1,352.65,8237
2023-12-18 09:45:00+00:00,352.65,353.0,351.5,352.15,2088
2023-12-18 09:50:00+00:00,352.15,352.85,352.05,352.5,4336
2023-12-18 09:55:00+00:00,352.5,353.6,352.0,352.85,19024
