,open,high,low,close,volume
2023-12-18 03:45:00+00:00,857.0,857.05,847.5,848.8,7538
2023-12-18 03:50:00+00:00,847.05,851.6,844.0,851.6,5047
2023-12-18 03:55:00+00:00,851.6,851.6,847.0,847.9,1783
2023-12-18 04:00:00+00:00,848.35,849.55,846.0,846.0,2787
2023-12-18 04:05:00+00:00,846.0,853.15,845.6,850.05,7685
2023-12-18 04:10:00+00:00,850.05,850.75,845.35,845.6,2707
2023-12-18 04:15:00+00:00,845.6,847.0,845.2,846.25,1118
2023-12-18 04:20:00+00:00,846.25,846.6,843.1,844.0,3148
2023-12-18 04:25:00+00:00,844.25,844.25,837.4,837.4,9920
2023-12-18 04:30:00+00:00,842.15,844.95,842.15,844.35,887
2023-12-18 04:35:00+00:00,844.35,844.55,842.25,842.5,1087
2023-12-18 04:40:00+00:00,842.5,843.9,842.0,842.15,803
2023-12-18 04:45:00+00:00,842.15,843.65,841.85,842.1,1859
2023-12-18 04:50:00+00:00,842.1,843.65,842.05,843.0,2137
2023-12-18 04:55:00+00:00,843.0,851.05,843.0,850.4,12192
2023-12-18 05:00:00+00:00,850.4,859.0,850.05,853.95,13003
2023-12-18 05:05:00+00:00,853.95,867.95,853.95,867.6,19086
2023-12-18 05:10:00+00:00,866.7,867.85,862.7,864.0,12539
2023-12-18 05:15:00+00:00,864.0,870.25,862.55,870.25,13636
2023-12-18 05:20:00+00:00,871.4,874.9,866.55,867.55,17882
2023-12-18 05:25:00+00:00,867.55,868.9,865.95,867.2,4385
2023-12-18 05:30:00+00:00,867.2,867.75,864.95,866.25,6233
2023-12-18 05:35:00+00:00,865.55,866.9,864.75,865.8,2871
2023-12-18 05:40:00+00:00,865.8,869.75,865.0,869.75,6256
2023-12-18 05:45:00+00:00,869.75,869.75,867.6,869.0,3707
2023-12-18 05:50:00+00:00,869.0,869.3,867.55,869.3,3027
2023-12-18 05:55:00+00:00,869.3,869.7,868.25,869.5,2094
2023-12-18 06:00:00+00:00,869.9,871.95,869.8,871.65,5407
2023-12-18 06:05:00+00:00,871.65,873.9,870.9,870.9,8180
2023-12-18 06:10:00+00:00,870.9,872.75,869.6,871.6,6470
2023-12-18 06:15:00+00:00,871.6,871.95,870.6,871.9,1828
2023-12-18 06:20:00+00:00,871.9,871.9,869.9,871.5,773
2023-12-18 06:25:00+00:00,871.5,871.8,870.15,870.9,959
2023-12-18 06:30:00+00:00,870.9,871.7,869.25,870.95,4161
2023-12-18 06:35:00+00:00,870.95,871.1,869.55,870.65,837
2023-12-18 06:40:00+00:00,870.65,872.0,869.05,870.55,6315
2023-12-18 06:45:00+00:00,870.85,871.5,868.85,870.0,6253
2023-12-18 06:50:00+00:00,870.0,871.55,868.7,869.0,1907
2023-12-18 06:55:00+00:00,869.0,869.0,867.5,868.25,2652
2023-12-18 07:00:00+00:00,867.6,868.55,867.5,868.5,881
2023-12-18 07:05:00+00:00,868.5,868.8,867.55,868.8,784
2023-12-18 07:10:00+00:00,868.8,869.0,868.3,868.85,2491
2023-12-18 07:15:00+00:00,868.85,869.0,867.6,868.1,2245
2023-12-18 07:20:00+00:00,868.35,868.4,867.05,868.15,2445
2023-12-18 07:25:00+00:00,868.15,868.15,861.35,862.95,3475
2023-12-18 07:30:00+00:00,862.95,867.45,859.1,866.95,6436
2023-12-18 07:35:00+00:00,866.55,867.4,865.65,865.75,3865
2023-12-18 07:40:00+00:00,865.75,867.5,865.15,867.5,923
2023-12-18 07:45:00+00:00,867.5,868.15,866.15,867.4,1080
2023-12-18 07:50:00+00:00,867.4,867.6,865.2,865.95,1341
2023-12-18 07:55:00+00:00,865.95,867.75,865.95,866.25,2833
2023-12-18 08:00:00+00:00,866.25,866.95,864.05,866.15,3119
2023-12-18 08:05:00+00:00,866.15,867.45,864.55,867.25,2899
2023-12-18 08:10:00+00:00,867.25,868.45,866.85,867.7,690
2023-12-18 08:15:00+00:00,867.7,868.65,866.55,868.35,621
2023-12-18 08:20:00+00:00,868.35,868.9,866.7,867.2,1461
2023-12-18 08:25:00+00:00,867.2,868.0,866.05,866.6,386
2023-12-18 08:30:00+00:00,866.6,867.3,865.55,866.75,289
2023-12-18 08:35:00+00:00,866.75,867.0,866.0,866.4,1589
2023-12-18 08:40:00+00:00,866.4,867.05,864.8,866.3,1649
2023-12-18 08:45:00+00:00,866.3,866.3,864.4,864.7,1546
2023-12-18 08:50:00+00:00,864.7,864.8,864.25,864.25,654
2023-12-18 08:55:00+00:00,864.25,864.45,862.7,863.95,1135
2023-12-18 09:00:00+00:00,863.1,864.15,862.3,863.4,902
2023-12-18 09:05:00+00:00,863.4,863.55,859.25,860.7,7018
2023-12-18 09:10:00+00:00,860.7,861.45,858.05,858.8,6956
2023-12-18 09:15:00+00:00,858.8,860.0,858.15,859.5,3646
2023-12-18 09:20:00+00:00,860.0,860.95,859.35,860.0,11368
2023-12-18 09:25:00+00:00,860.0,862.35,859.95,860.05,9882
2023-12-18 09:30:00+00:00,860.05,860.9,859.75,860.0,8495
2023-12-18 09:35:00+00:00,860.0,860.95,851.0,853.7,10394
2023-12-18 09:40:00+00:00,853.7,854.35,851.05,851.5,2552
2023-12-18 09:45:00+00:00,851.95,860.0,851.15,857.5,17073
2023-12-18 09:50:00+00:00,858.3,862.8,856.75,860.9,53894
2023-12-18 09:55:00+00:00,860.9,862.75,860.0,862.0,7151
2023-12-19 03:45:00+00:00,858.0,867.0,851.0,857.35,9509
2023-12-19 03:50:00+00:00,857.35,860.95,856.45,859.6,3995
2023-12-19 03:55:00+00:00,859.15,865.7,859.15,865.0,4633
2023-12-19 04:00:00+00:00,865.0,868.95,864.15,868.8,5747
2023-12-19 04:05:00+00:00,868.85,869.8,859.35,861.9,6631
2023-12-19 04:10:00+00:00,861.05,863.65,860.05,860.05,4206
2023-12-19 04:15:00+00:00,860.05,862.75,859.05,861.2,4431
2023-12-19 04:20:00+00:00,862.9,863.9,861.6,862.25,1774
2023-12-19 04:25:00+00:00,862.25,865.5,862.25,864.55,2756
2023-12-19 04:30:00+00:00,864.55,866.85,864.55,865.4,2055
2023-12-19 04:35:00+00:00,865.4,866.65,861.65,862.0,1567
2023-12-19 04:40:00+00:00,860.8,864.9,860.3,862.7,3307
2023-12-19 04:45:00+00:00,862.55,866.9,862.0,866.55,54993
2023-12-19 04:50:00+00:00,866.55,872.65,864.45,870.25,24046
2023-12-19 04:55:00+00:00,869.75,869.95,865.6,867.0,2820
2023-12-19 05:00:00+00:00,867.0,868.0,863.6,863.95,5324
2023-12-19 05:05:00+00:00,863.95,865.0,862.15,864.3,1676
2023-12-19 05:10:00+00:00,864.45,866.65,863.9,865.9,1840
2023-12-19 05:15:00+00:00,865.9,865.95,862.65,865.75,2241
2023-12-19 05:20:00+00:00,865.75,866.75,863.6,866.5,1320
2023-12-19 05:25:00+00:00,866.5,866.5,865.15,866.0,981
2023-12-19 05:30:00+00:00,866.0,866.55,863.9,864.9,2044
2023-12-19 05:35:00+00:00,865.45,866.0,864.2,865.8,1789
2023-12-19 05:40:00+00:00,865.8,865.95,865.0,865.9,1430
2023-12-19 05:45:00+00:00,865.95,866.0,864.8,864.8,1630
2023-12-19 05:50:00+00:00,864.8,866.0,864.45,865.0,1057
2023-12-19 05:55:00+00:00,865.0,866.15,865.0,866.0,856
2023-12-19 06:00:00+00:00,866.0,868.0,864.8,868.0,3190
2023-12-19 06:05:00+00:00,868.0,868.45,866.15,868.3,3595
2023-12-19 06:10:00+00:00,868.3,869.0,868.1,868.1,2040
2023-12-19 06:15:00+00:00,868.95,869.0,866.0,868.8,2446
2023-12-19 06:20:00+00:00,868.8,869.0,867.7,869.0,1660
2023-12-19 06:25:00+00:00,869.0,869.0,868.3,868.9,1475
2023-12-19 06:30:00+00:00,868.9,869.0,867.9,869.0,2526
2023-12-19 06:35:00+00:00,869.0,869.0,868.5,869.0,1446
2023-12-19 06:40:00+00:00,869.0,869.5,867.05,867.45,7316
2023-12-19 06:45:00+00:00,868.2,869.0,867.4,869.0,2687
2023-12-19 06:50:00+00:00,869.0,869.0,864.15,866.75,13955
2023-12-19 06:55:00+00:00,866.85,868.1,865.4,868.1,1808
2023-12-19 07:00:00+00:00,868.1,868.85,866.0,867.65,1904
2023-12-19 07:05:00+00:00,868.2,869.0,867.3,867.5,2041
2023-12-19 07:10:00+00:00,868.0,868.0,865.65,866.4,1908
2023-12-19 07:15:00+00:00,866.4,868.5,865.35,868.5,2174
2023-12-19 07:20:00+00:00,868.5,868.95,867.7,868.3,1525
2023-12-19 07:25:00+00:00,868.1,868.85,867.3,868.2,1810
2023-12-19 07:30:00+00:00,868.1,868.7,865.35,866.4,2404
2023-12-19 07:35:00+00:00,866.1,866.95,865.25,866.1,3094
2023-12-19 07:40:00+00:00,865.7,866.75,865.4,865.55,3261
2023-12-19 07:45:00+00:00,866.15,866.6,865.2,866.25,3641
2023-12-19 07:50:00+00:00,866.05,866.5,865.7,866.45,2080
2023-12-19 07:55:00+00:00,866.45,867.5,866.2,866.85,2602
2023-12-19 08:00:00+00:00,866.45,866.5,861.0,861.45,11770
2023-12-19 08:05:00+00:00,861.45,862.0,860.8,861.15,1405
2023-12-19 08:10:00+00:00,861.5,864.15,861.1,864.15,1147
2023-12-19 08:15:00+00:00,864.15,865.0,859.0,860.0,5978
2023-12-19 08:20:00+00:00,860.0,864.6,859.5,864.45,1067
2023-12-19 08:25:00+00:00,864.45,864.45,860.0,860.15,5586
2023-12-19 08:30:00+00:00,860.1,860.65,856.4,859.0,9325
2023-12-19 08:35:00+00:00,859.0,859.9,858.6,858.95,2654
2023-12-19 08:40:00+00:00,858.95,859.7,858.2,859.2,1844
2023-12-19 08:45:00+00:00,858.75,860.0,856.65,858.8,30569
2023-12-19 08:50:00+00:00,859.05,859.95,858.65,859.15,1328
2023-12-19 08:55:00+00:00,859.15,860.0,859.15,859.95,1954
2023-12-19 09:00:00+00:00,859.95,863.6,859.7,860.1,37739
2023-12-19 09:05:00+00:00,860.1,861.2,858.1,859.15,10854
2023-12-19 09:10:00+00:00,859.15,860.0,859.15,859.7,836
2023-12-19 09:15:00+00:00,859.7,859.95,858.45,858.45,1160
2023-12-19 09:20:00+00:00,858.45,861.0,858.1,859.5,2326
2023-12-19 09:25:00+00:00,859.5,860.4,859.15,859.15,1124
2023-12-19 09:30:00+00:00,859.9,860.75,859.0,859.8,2585
2023-12-19 09:35:00+00:00,859.8,861.0,859.4,860.15,787826
2023-12-19 09:40:00+00:00,860.7,861.25,860.0,861.25,4152
2023-12-19 09:45:00+00:00,861.25,862.55,861.25,862.0,15046
2023-12-19 09:50:00+00:00,862.0,862.0,860.0,861.45,17111
2023-12-19 09:55:00+00:00,861.75,863.0,860.0,862.0,28214
2023-12-20 03:45:00+00:00,867.0,870.45,863.1,866.8,8017
2023-12-20 03:50:00+00:00,866.8,867.0,863.0,864.0,5063
2023-12-20 03:55:00+00:00,864.0,865.45,863.35,864.0,2358
2023-12-20 04:00:00+00:00,864.0,864.0,861.15,863.75,3830
2023-12-20 04:05:00+00:00,863.75,863.75,862.95,863.0,376
2023-12-20 04:10:00+00:00,863.0,863.65,861.0,861.0,826
2023-12-20 04:15:00+00:00,861.0,862.0,860.25,862.0,588
2023-12-20 04:20:00+00:00,862.0,864.0,861.2,862.9,1132
2023-12-20 04:25:00+00:00,862.9,863.9,862.9,863.4,304
2023-12-20 04:30:00+00:00,863.4,864.75,861.9,862.1,1537
2023-12-20 04:35:00+00:00,862.1,862.3,860.6,862.3,740
2023-12-20 04:40:00+00:00,862.3,864.95,862.3,864.45,624
2023-12-20 04:45:00+00:00,864.6,864.6,862.1,862.8,154
2023-12-20 04:50:00+00:00,862.8,864.4,861.55,864.2,113021
2023-12-20 04:55:00+00:00,864.05,867.0,864.05,865.7,2120
2023-12-20 05:00:00+00:00,865.7,865.9,864.05,864.95,419
2023-12-20 05:05:00+00:00,864.95,865.4,864.05,865.15,286
2023-12-20 05:10:00+00:00,865.15,865.15,863.2,864.15,599
2023-12-20 05:15:00+00:00,864.15,864.6,863.75,864.55,7334
2023-12-20 05:20:00+00:00,864.55,864.55,863.6,864.4,44
2023-12-20 05:25:00+00:00,864.4,865.8,863.6,865.25,962
2023-12-20 05:30:00+00:00,865.25,869.45,864.9,868.65,4509
2023-12-20 05:35:00+00:00,868.65,868.65,867.1,868.4,706
2023-12-20 05:40:00+00:00,868.4,869.05,868.0,868.5,430
2023-12-20 05:45:00+00:00,868.5,869.0,867.05,868.7,4672
2023-12-20 05:50:00+00:00,868.7,868.7,868.0,868.0,473
2023-12-20 05:55:00+00:00,867.95,867.95,867.05,867.7,170
2023-12-20 06:00:00+00:00,867.5,867.5,866.35,867.0,323
2023-12-20 06:05:00+00:00,867.0,867.5,866.0,867.3,1708
2023-12-20 06:10:00+00:00,867.3,867.7,866.05,866.9,893
2023-12-20 06:15:00+00:00,866.9,867.0,866.0,866.0,2073
2023-12-20 06:20:00+00:00,866.0,866.9,866.0,866.1,1280
2023-12-20 06:25:00+00:00,866.1,867.35,866.0,866.9,1419
2023-12-20 06:30:00+00:00,866.9,867.2,866.0,867.1,30192
2023-12-20 06:35:00+00:00,867.1,872.3,867.1,870.2,8876
2023-12-20 06:40:00+00:00,870.2,873.65,870.2,873.35,5226
2023-12-20 06:45:00+00:00,872.75,873.1,870.45,871.65,2525
