,open,high,low,close,volume
2023-12-18 03:45:00+00:00,2327.7,2336.7,2275.1,2289.0,83550
2023-12-18 03:50:00+00:00,2287.5,2309.65,2287.3,2303.85,26351
2023-12-18 03:55:00+00:00,2302.95,2334.7,2302.95,2328.05,30668
2023-12-18 04:00:00+00:00,2329.6,2354.95,2328.05,2337.95,42504
2023-12-18 04:05:00+00:00,2337.95,2377.45,2331.0,2375.85,44131
2023-12-18 04:10:00+00:00,2375.35,2392.35,2367.0,2382.0,82931
2023-12-18 04:15:00+00:00,2382.5,2392.7,2365.05,2365.1,45867
2023-12-18 04:20:00+00:00,2367.7,2379.95,2355.35,2365.0,25670
2023-12-18 04:25:00+00:00,2365.0,2375.0,2365.0,2374.0,12630
2023-12-18 04:30:00+00:00,2374.8,2374.8,2363.9,2363.95,10858
2023-12-18 04:35:00+00:00,2363.0,2369.6,2356.7,2366.35,8420
2023-12-18 04:40:00+00:00,2366.35,2369.15,2363.0,2364.9,4728
2023-12-18 04:45:00+00:00,2364.9,2366.0,2355.5,2359.5,8197
2023-12-18 04:50:00+00:00,2359.25,2361.05,2356.0,2356.0,5491
2023-12-18 04:55:00+00:00,2356.85,2367.0,2356.0,2360.05,10336
2023-12-18 05:00:00+00:00,2360.05,2363.35,2360.0,2360.0,3272
2023-12-18 05:05:00+00:00,2359.65,2360.0,2355.5,2356.0,6406
2023-12-18 05:10:00+00:00,2359.25,2359.45,2356.0,2356.95,3018
2023-12-18 05:15:00+00:00,2356.95,2359.8,2354.35,2359.0,8919
2023-12-18 05:20:00+00:00,2359.0,2360.0,2358.95,2359.55,3184
2023-12-18 05:25:00+00:00,2359.55,2362.0,2358.2,2362.0,18385
2023-12-18 05:30:00+00:00,2362.0,2367.0,2360.95,2364.95,4606
2023-12-18 05:35:00+00:00,2364.95,2365.5,2359.5,2360.2,8633
2023-12-18 05:40:00+00:00,2360.2,2362.95,2360.0,2360.8,3792
2023-12-18 05:45:00+00:00,2360.8,2362.85,2360.8,2362.85,1593
2023-12-18 05:50:00+00:00,2362.85,2366.05,2362.85,2366.05,6769
2023-12-18 05:55:00+00:00,2366.05,2376.95,2365.0,2371.55,16198
2023-12-18 06:00:00+00:00,2371.55,2373.6,2369.6,2370.0,4101
2023-12-18 06:05:00+00:00,2370.0,2371.75,2369.6,2370.0,4027
2023-12-18 06:10:00+00:00,2370.05,2373.0,2369.65,2370.0,15207
2023-12-18 06:15:00+00:00,2370.55,2371.9,2368.15,2368.15,5048
2023-12-18 06:20:00+00:00,2370.15,2371.9,2368.5,2370.25,7272
2023-12-18 06:25:00+00:00,2370.0,2372.0,2368.65,2371.4,6251
2023-12-18 06:30:00+00:00,2371.4,2372.0,2369.1,2370.05,10956
2023-12-18 06:35:00+00:00,2370.5,2371.0,2369.8,2369.8,5824
2023-12-18 06:40:00+00:00,2370.2,2371.1,2368.9,2369.35,4299
2023-12-18 06:45:00+00:00,2369.3,2371.85,2367.4,2370.0,33349
2023-12-18 06:50:00+00:00,2370.0,2371.0,2368.1,2369.55,8723
2023-12-18 06:55:00+00:00,2369.55,2369.55,2361.2,2361.8,3406
2023-12-18 07:00:00+00:00,2361.65,2366.0,2361.5,2363.15,2893
2023-12-18 07:05:00+00:00,2364.95,2366.0,2358.05,2364.0,12771
2023-12-18 07:10:00+00:00,2364.0,2365.95,2362.55,2365.0,2994
2023-12-18 07:15:00+00:00,2365.65,2366.0,2360.75,2365.0,3793
2023-12-18 07:20:00+00:00,2365.15,2365.9,2364.7,2365.0,4190
2023-12-18 07:25:00+00:00,2365.0,2365.8,2364.6,2365.0,5359
2023-12-18 07:30:00+00:00,2365.0,2365.85,2364.6,2365.5,5254
2023-12-18 07:35:00+00:00,2365.5,2377.3,2365.5,2370.7,9859
2023-12-18 07:40:00+00:00,2370.7,2372.0,2366.0,2368.9,13117
2023-12-18 07:45:00+00:00,2370.35,2371.0,2369.5,2370.25,9406
2023-12-18 07:50:00+00:00,2370.25,2370.5,2368.75,2370.0,4411
2023-12-18 07:55:00+00:00,2370.0,2371.5,2369.15,2371.5,4511
2023-12-18 08:00:00+00:00,2371.5,2372.0,2370.0,2370.75,2267
2023-12-18 08:05:00+00:00,2370.75,2371.0,2370.0,2370.95,3283
2023-12-18 08:10:00+00:00,2370.95,2371.0,2369.95,2370.05,3332
2023-12-18 08:15:00+00:00,2370.0,2375.0,2370.0,2372.4,5632
2023-12-18 08:20:00+00:00,2372.4,2374.9,2372.0,2372.1,2686
2023-12-18 08:25:00+00:00,2372.1,2372.4,2370.0,2370.35,2797
2023-12-18 08:30:00+00:00,2370.85,2374.5,2370.3,2373.95,3276
2023-12-18 08:35:00+00:00,2374.05,2378.0,2372.4,2374.3,9404
2023-12-18 08:40:00+00:00,2374.3,2374.3,2370.0,2370.0,4661
2023-12-18 08:45:00+00:00,2370.05,2372.0,2370.0,2370.5,3577
2023-12-18 08:50:00+00:00,2370.5,2371.5,2369.65,2370.0,7856
2023-12-18 08:55:00+00:00,2370.0,2372.0,2370.0,2371.95,3666
2023-12-18 09:00:00+00:00,2371.95,2375.0,2371.9,2374.6,3966
2023-12-18 09:05:00+00:00,2374.75,2374.75,2370.05,2370.05,3402
2023-12-18 09:10:00+00:00,2370.05,2377.8,2370.0,2371.8,9452
2023-12-18 09:15:00+00:00,2375.0,2376.0,2372.6,2375.05,6834
2023-12-18 09:20:00+00:00,2375.05,2375.05,2367.45,2369.25,9482
2023-12-18 09:25:00+00:00,2369.25,2373.0,2365.05,2372.2,12869
2023-12-18 09:30:00+00:00,2372.2,2375.0,2370.6,2375.0,18362
2023-12-18 09:35:00+00:00,2374.05,2379.2,2372.3,2375.95,36355
2023-12-18 09:40:00+00:00,2375.0,2375.9,2374.85,2375.0,15120
2023-12-18 09:45:00+00:00,2375.0,2375.2,2366.0,2371.8,30190
2023-12-18 09:50:00+00:00,2371.85,2371.9,2362.0,2363.0,22291
2023-12-18 09:55:00+00:00,2363.0,2375.25,2362.0,2370.2,23117
2023-12-19 03:45:00+00:00,2380.0,2382.75,2360.15,2375.35,28899
2023-12-19 03:50:00+00:00,2376.7,2376.95,2363.95,2366.05,16369
2023-12-19 03:55:00+00:00,2366.0,2373.0,2363.1,2368.0,13195
2023-12-19 04:00:00+00:00,2368.0,2370.0,2368.0,2368.8,4011
2023-12-19 04:05:00+00:00,2368.65,2368.65,2351.0,2351.95,20375
2023-12-19 04:10:00+00:00,2352.0,2354.85,2342.1,2343.5,11495
2023-12-19 04:15:00+00:00,2343.5,2353.0,2342.0,2352.25,7086
2023-12-19 04:20:00+00:00,2352.25,2353.95,2344.1,2345.9,8918
2023-12-19 04:25:00+00:00,2345.2,2354.95,2343.7,2354.7,5056
2023-12-19 04:30:00+00:00,2354.45,2362.0,2353.25,2356.5,8822
2023-12-19 04:35:00+00:00,2356.5,2356.5,2345.1,2345.25,6023
2023-12-19 04:40:00+00:00,2345.25,2350.0,2345.0,2347.95,3742
2023-12-19 04:45:00+00:00,2347.95,2349.0,2347.0,2348.0,2061
2023-12-19 04:50:00+00:00,2348.0,2351.0,2348.0,2349.75,3087
2023-12-19 04:55:00+00:00,2350.0,2351.0,2348.5,2349.6,2824
2023-12-19 05:00:00+00:00,2350.0,2351.75,2348.2,2350.0,2599
2023-12-19 05:05:00+00:00,2349.75,2350.0,2345.0,2346.25,4108
2023-12-19 05:10:00+00:00,2346.25,2349.9,2345.0,2349.9,3303
2023-12-19 05:15:00+00:00,2349.9,2349.9,2348.0,2348.0,1814
2023-12-19 05:20:00+00:00,2348.0,2350.0,2345.6,2347.5,2004
2023-12-19 05:25:00+00:00,2347.5,2348.05,2346.3,2347.4,2501
2023-12-19 05:30:00+00:00,2347.95,2348.05,2345.0,2346.1,2045
2023-12-19 05:35:00+00:00,2346.1,2347.35,2345.1,2346.0,1388
2023-12-19 05:40:00+00:00,2345.9,2348.5,2345.0,2348.5,2145
2023-12-19 05:45:00+00:00,2348.5,2348.8,2346.0,2347.05,2636
2023-12-19 05:50:00+00:00,2347.05,2347.05,2340.25,2342.0,6135
2023-12-19 05:55:00+00:00,2342.0,2344.0,2337.5,2340.2,6977
2023-12-19 06:00:00+00:00,2340.0,2344.95,2338.05,2341.9,2694
2023-12-19 06:05:00+00:00,2341.9,2344.45,2341.9,2343.0,1403
2023-12-19 06:10:00+00:00,2343.0,2345.25,2342.95,2345.0,2376
2023-12-19 06:15:00+00:00,2345.0,2345.25,2342.15,2342.15,3053
2023-12-19 06:20:00+00:00,2342.15,2344.0,2341.95,2342.8,2233
2023-12-19 06:25:00+00:00,2343.85,2345.0,2341.0,2341.0,3761
2023-12-19 06:30:00+00:00,2341.0,2341.1,2337.5,2340.65,5411
2023-12-19 06:35:00+00:00,2341.1,2341.1,2339.5,2340.25,5194
2023-12-19 06:40:00+00:00,2340.4,2343.1,2339.7,2343.1,5865
2023-12-19 06:45:00+00:00,2343.1,2343.8,2340.5,2341.0,2371
2023-12-19 06:50:00+00:00,2341.0,2342.35,2334.3,2340.6,17589
2023-12-19 06:55:00+00:00,2340.6,2343.6,2340.0,2342.15,88419
2023-12-19 07:00:00+00:00,2343.45,2346.0,2342.25,2345.5,3977
2023-12-19 07:05:00+00:00,2345.5,2346.0,2342.05,2346.0,3297
2023-12-19 07:10:00+00:00,2346.0,2347.0,2344.85,2347.0,1848
2023-12-19 07:15:00+00:00,2347.0,2347.0,2344.15,2346.25,2118
2023-12-19 07:20:00+00:00,2346.25,2348.8,2342.0,2347.9,3787
2023-12-19 07:25:00+00:00,2347.9,2348.8,2346.95,2348.3,1158
2023-12-19 07:30:00+00:00,2348.3,2349.3,2345.0,2347.05,2541
2023-12-19 07:35:00+00:00,2347.2,2347.5,2345.0,2345.7,2314
2023-12-19 07:40:00+00:00,2345.0,2345.85,2337.25,2345.6,7700
2023-12-19 07:45:00+00:00,2345.6,2345.6,2340.05,2344.05,1906
2023-12-19 07:50:00+00:00,2344.05,2346.05,2341.75,2342.95,4360
2023-12-19 07:55:00+00:00,2342.95,2345.0,2341.15,2344.75,2135
2023-12-19 08:00:00+00:00,2343.2,2345.35,2338.45,2340.5,7251
2023-12-19 08:05:00+00:00,2340.5,2344.0,2340.4,2342.4,3647
2023-12-19 08:10:00+00:00,2342.4,2345.35,2340.0,2345.0,3485
2023-12-19 08:15:00+00:00,2345.0,2346.0,2340.15,2340.5,9682
2023-12-19 08:20:00+00:00,2340.5,2346.05,2340.0,2344.0,2563
2023-12-19 08:25:00+00:00,2344.0,2345.7,2343.45,2345.45,1952
2023-12-19 08:30:00+00:00,2345.45,2345.45,2343.45,2343.45,3714
2023-12-19 08:35:00+00:00,2344.6,2345.0,2340.0,2344.0,6865
2023-12-19 08:40:00+00:00,2344.0,2344.0,2342.5,2344.0,1519
2023-12-19 08:45:00+00:00,2344.0,2344.75,2340.05,2341.45,1720
2023-12-19 08:50:00+00:00,2341.45,2342.5,2340.0,2341.7,3876
2023-12-19 08:55:00+00:00,2341.7,2345.5,2338.2,2345.0,7821
2023-12-19 09:00:00+00:00,2345.0,2346.15,2343.65,2346.05,5174
2023-12-19 09:05:00+00:00,2346.0,2351.0,2345.0,2350.4,9146
2023-12-19 09:10:00+00:00,2351.0,2369.0,2350.4,2368.7,20993
2023-12-19 09:15:00+00:00,2368.5,2369.0,2359.15,2366.05,12825
2023-12-19 09:20:00+00:00,2366.05,2366.05,2360.05,2360.05,6527
2023-12-19 09:25:00+00:00,2360.0,2363.0,2359.15,2360.05,11254
2023-12-19 09:30:00+00:00,2359.4,2360.05,2354.75,2358.45,12518
2023-12-19 09:35:00+00:00,2358.45,2369.0,2357.15,2369.0,12789
2023-12-19 09:40:00+00:00,2369.0,2407.8,2368.55,2402.55,122369
2023-12-19 09:45:00+00:00,2402.2,2420.0,2401.45,2413.75,86654
2023-12-19 09:50:00+00:00,2415.1,2417.0,2404.0,2409.0,44691
2023-12-19 09:55:00+00:00,2409.0,2415.0,2406.6,2410.35,36730
2023-12-20 03:45:00+00:00,2411.0,2433.75,2407.3,2432.8,82316
2023-12-20 03:50:00+00:00,2432.7,2460.0,2431.35,2455.35,127459
2023-12-20 03:55:00+00:00,2453.2,2455.0,2446.95,2446.95,53119
2023-12-20 04:00:00+00:00,2445.95,2447.0,2440.0,2443.0,42352
2023-12-20 04:05:00+00:00,2443.0,2449.45,2442.4,2445.9,23766
2023-12-20 04:10:00+00:00,2445.9,2451.65,2443.7,2450.0,39704
2023-12-20 04:15:00+00:00,2450.0,2453.0,2448.85,2450.0,23080
2023-12-20 04:20:00+00:00,2449.8,2452.75,2448.0,2452.35,25566
2023-12-20 04:25:00+00:00,2452.35,2468.0,2452.35,2453.1,51277
2023-12-20 04:30:00+00:00,2453.15,2456.75,2435.1,2441.4,36269
2023-12-20 04:35:00+00:00,2440.85,2448.35,2440.85,2445.0,38107
2023-12-20 04:40:00+00:00,2445.0,2448.25,2438.0,2439.55,14624
2023-12-20 04:45:00+00:00,2439.2,2445.8,2432.0,2444.45,18077
2023-12-20 04:50:00+00:00,2444.45,2447.0,2444.05,2445.25,9221
2023-12-20 04:55:00+00:00,2445.0,2452.0,2445.0,2448.2,17353
2023-12-20 05:00:00+00:00,2449.45,2453.0,2448.0,2450.0,9587
2023-12-20 05:05:00+00:00,2450.0,2450.9,2444.0,2445.1,3422
2023-12-20 05:10:00+00:00,2445.1,2447.7,2440.0,2445.0,7912
2023-12-20 05:15:00+00:00,2445.15,2446.75,2439.15,2445.5,18043
2023-12-20 05:20:00+00:00,2445.45,2446.85,2444.05,2445.0,5130
2023-12-20 05:25:00+00:00,2445.4,2445.8,2442.0,2445.05,12724
2023-12-20 05:30:00+00:00,2445.05,2445.5,2444.5,2445.1,4392
2023-12-20 05:35:00+00:00,2445.3,2445.85,2443.55,2443.65,5722
2023-12-20 05:40:00+00:00,2443.55,2444.4,2442.7,2443.7,8862
2023-12-20 05:45:00+00:00,2444.05,2446.0,2443.6,2443.7,7014
2023-12-20 05:50:00+00:00,2443.75,2444.35,2440.25,2440.45,4929
2023-12-20 05:55:00+00:00,2440.45,2445.0,2439.9,2441.15,7248
2023-12-20 06:00:00+00:00,2440.9,2441.15,2435.05,2435.55,8562
2023-12-20 06:05:00+00:00,2435.95,2437.95,2431.45,2437.95,14922
2023-12-20 06:10:00+00:00,2437.95,2438.5,2426.0,2430.5,7312
2023-12-20 06:15:00+00:00,2429.85,2434.65,2429.85,2432.05,7885
2023-12-20 06:20:00+00:00,2431.65,2431.65,2428.0,2429.5,7519
2023-12-20 06:25:00+00:00,2429.55,2435.05,2429.0,2431.95,6819
2023-12-20 06:30:00+00:00,2432.0,2437.0,2429.35,2433.4,7087
2023-12-20 06:35:00+00:00,2433.4,2433.5,2428.8,2428.9,4192
2023-12-20 06:40:00+00:00,2428.9,2430.0,2425.75,2428.0,7392
2023-12-20 06:45:00+00:00,2428.0,2429.35,2414.3,2419.5,17363
2023-12-20 06:50:00+00:00,2419.95,2420.0,2410.35,2417.75,10506
2023-12-20 06:55:00+00:00,2417.75,2418.0,2412.0,2412.15,10139
