,open,high,low,close,volume
2023-12-18 03:45:00+00:00,2722.05,2722.05,2684.6,2696.0,19445
2023-12-18 03:50:00+00:00,2695.95,2696.95,2685.35,2694.25,9863
2023-12-18 03:55:00+00:00,2693.0,2695.15,2686.85,2690.0,6385
2023-12-18 04:00:00+00:00,2689.85,2692.0,2680.05,2686.25,19489
2023-12-18 04:05:00+00:00,2686.25,2689.2,2680.5,2681.0,11037
2023-12-18 04:10:00+00:00,2681.0,2685.95,2673.7,2683.0,15057
2023-12-18 04:15:00+00:00,2682.15,2710.0,2681.3,2705.9,20037
2023-12-18 04:20:00+00:00,2705.9,2706.95,2687.45,2688.1,18402
2023-12-18 04:25:00+00:00,2688.1,2692.4,2676.65,2683.5,19149
2023-12-18 04:30:00+00:00,2682.8,2688.9,2682.0,2685.6,4663
2023-12-18 04:35:00+00:00,2685.0,2687.0,2678.45,2683.45,9788
2023-12-18 04:40:00+00:00,2683.45,2684.7,2679.0,2680.65,9172
2023-12-18 04:45:00+00:00,2680.25,2684.05,2680.1,2680.9,3873
2023-12-18 04:50:00+00:00,2680.1,2682.75,2680.1,2681.0,3366
2023-12-18 04:55:00+00:00,2681.0,2687.0,2681.0,2686.8,4770
2023-12-18 05:00:00+00:00,2686.0,2690.7,2685.0,2688.8,4619
2023-12-18 05:05:00+00:00,2689.0,2690.0,2685.0,2685.75,3217
2023-12-18 05:10:00+00:00,2685.75,2688.95,2685.0,2686.45,3549
2023-12-18 05:15:00+00:00,2686.2,2688.8,2685.05,2685.05,20603
2023-12-18 05:20:00+00:00,2685.05,2685.25,2680.05,2680.05,3849
2023-12-18 05:25:00+00:00,2680.05,2682.7,2680.0,2681.0,3473
2023-12-18 05:30:00+00:00,2681.05,2681.1,2680.0,2680.05,5378
2023-12-18 05:35:00+00:00,2680.0,2680.2,2679.95,2680.05,12009
2023-12-18 05:40:00+00:00,2680.0,2680.8,2680.0,2680.05,6053
2023-12-18 05:45:00+00:00,2680.0,2683.95,2680.0,2680.05,4413
2023-12-18 05:50:00+00:00,2680.05,2682.65,2680.0,2680.5,3592
2023-12-18 05:55:00+00:00,2680.5,2680.85,2680.5,2680.6,2865
2023-12-18 06:00:00+00:00,2680.5,2680.7,2680.0,2680.05,3038
2023-12-18 06:05:00+00:00,2680.0,2685.55,2680.0,2682.3,5600
2023-12-18 06:10:00+00:00,2682.2,2684.45,2682.0,2683.0,3401
2023-12-18 06:15:00+00:00,2683.0,2683.6,2682.7,2683.0,3025
2023-12-18 06:20:00+00:00,2683.0,2683.85,2682.0,2683.05,3636
