,open,high,low,close,volume
2023-12-18 03:45:00+00:00,766.75,774.35,746.95,749.75,9426
2023-12-18 03:50:00+00:00,749.35,753.0,746.7,751.6,8351
2023-12-18 03:55:00+00:00,751.6,754.9,751.15,753.9,3090
2023-12-18 04:00:00+00:00,754.0,754.75,750.55,751.25,7754
2023-12-18 04:05:00+00:00,751.25,754.2,751.25,753.35,1295
2023-12-18 04:10:00+00:00,753.45,754.05,750.75,752.75,2598
2023-12-18 04:15:00+00:00,752.75,753.6,752.0,752.65,706
2023-12-18 04:20:00+00:00,752.65,753.65,752.05,752.05,535
2023-12-18 04:25:00+00:00,752.05,755.35,752.05,754.2,1910
2023-12-18 04:30:00+00:00,754.85,757.8,754.2,755.75,2894
2023-12-18 04:35:00+00:00,755.75,756.95,754.6,756.9,642
2023-12-18 04:40:00+00:00,756.9,757.8,756.25,756.55,664
2023-12-18 04:45:00+00:00,756.55,757.7,756.2,756.2,441
2023-12-18 04:50:00+00:00,756.2,757.25,756.0,756.7,329
2023-12-18 04:55:00+00:00,756.7,757.2,755.6,757.0,411
2023-12-18 05:00:00+00:00,757.1,757.2,756.3,756.65,372
2023-12-18 05:05:00+00:00,756.65,757.5,756.5,756.5,495
2023-12-18 05:10:00+00:00,756.5,757.75,756.5,757.0,297
2023-12-18 05:15:00+00:00,757.0,763.55,757.0,762.65,4635
2023-12-18 05:20:00+00:00,761.85,765.0,761.6,764.5,1531
2023-12-18 05:25:00+00:00,764.5,765.95,763.3,764.55,1459
2023-12-18 05:30:00+00:00,764.55,764.7,763.25,763.45,552
2023-12-18 05:35:00+00:00,763.35,764.85,762.8,764.2,1463
2023-12-18 05:40:00+00:00,763.55,769.0,763.55,767.8,2957
2023-12-18 05:45:00+00:00,767.8,769.6,767.4,767.8,924
2023-12-18 05:50:00+00:00,767.8,773.55,767.4,773.35,1963
2023-12-18 05:55:00+00:00,773.35,778.0,772.9,776.25,7094
2023-12-18 06:00:00+00:00,776.0,776.55,772.6,775.15,6635
2023-12-18 06:05:00+00:00,774.2,774.2,770.05,771.6,2852
2023-12-18 06:10:00+00:00,771.6,773.0,770.5,772.9,1415
2023-12-18 06:15:00+00:00,772.9,773.0,771.55,772.7,596
2023-12-18 06:20:00+00:00,772.7,772.9,771.55,771.7,374
2023-12-18 06:25:00+00:00,771.7,772.45,767.8,767.8,1003
2023-12-18 06:30:00+00:00,767.4,769.1,766.55,767.9,1081
2023-12-18 06:35:00+00:00,767.8,768.6,767.55,768.6,123
2023-12-18 06:40:00+00:00,767.85,769.45,767.4,768.2,935
2023-12-18 06:45:00+00:00,768.8,769.2,767.8,768.1,356
2023-12-18 06:50:00+00:00,768.1,769.8,767.8,769.8,1167
2023-12-18 06:55:00+00:00,769.7,771.0,767.0,767.0,315
2023-12-18 07:00:00+00:00,767.0,768.95,767.0,768.9,528
2023-12-18 07:05:00+00:00,768.9,773.65,767.95,772.2,2991
2023-12-18 07:10:00+00:00,772.2,773.5,770.95,772.65,779
2023-12-18 07:15:00+00:00,772.65,773.15,771.65,772.55,229
2023-12-18 07:20:00+00:00,772.55,774.8,772.3,772.45,1629
2023-12-18 07:25:00+00:00,772.6,773.75,772.5,773.75,355
2023-12-18 07:30:00+00:00,773.3,774.15,772.4,772.95,585
2023-12-18 07:35:00+00:00,772.95,772.95,771.7,772.05,241
2023-12-18 07:40:00+00:00,772.05,773.0,772.05,772.45,136
2023-12-18 07:45:00+00:00,772.45,773.65,772.05,772.7,528
2023-12-18 07:50:00+00:00,772.7,773.8,772.7,772.95,394
2023-12-18 07:55:00+00:00,772.95,773.65,772.3,772.8,142
2023-12-18 08:00:00+00:00,772.8,773.35,771.2,771.2,1011
2023-12-18 08:05:00+00:00,771.2,772.65,771.15,771.9,141
2023-12-18 08:10:00+00:00,771.9,773.7,770.25,772.95,1398
2023-12-18 08:15:00+00:00,772.4,773.2,770.9,771.65,1219
2023-12-18 08:20:00+00:00,771.65,772.3,771.1,771.1,226
2023-12-18 08:25:00+00:00,771.1,772.25,770.55,771.8,517
2023-12-18 08:30:00+00:00,771.8,772.35,770.55,770.7,291
2023-12-18 08:35:00+00:00,770.7,773.0,770.7,771.65,899
2023-12-18 08:40:00+00:00,771.65,771.9,771.15,771.55,134
2023-12-18 08:45:00+00:00,771.55,773.95,771.1,773.05,872
2023-12-18 08:50:00+00:00,773.05,773.05,771.8,772.0,1445
2023-12-18 08:55:00+00:00,772.0,773.95,770.8,773.1,2051
2023-12-18 09:00:00+00:00,773.05,775.0,772.5,774.2,1728
2023-12-18 09:05:00+00:00,774.2,775.0,772.5,773.4,585
2023-12-18 09:10:00+00:00,772.8,774.0,772.5,773.0,812
2023-12-18 09:15:00+00:00,773.0,774.0,772.05,772.15,1034
2023-12-18 09:20:00+00:00,772.2,772.85,770.05,770.6,1141
2023-12-18 09:25:00+00:00,770.6,774.0,770.5,771.2,1159
2023-12-18 09:30:00+00:00,772.45,772.55,771.3,771.6,248
2023-12-18 09:35:00+00:00,771.6,771.95,770.05,771.1,1568
