,open,high,low,close,volume
2023-12-18 03:45:00+00:00,911.45,916.3,908.1,912.0,5620
2023-12-18 03:50:00+00:00,910.5,911.0,904.0,910.2,3709
2023-12-18 03:55:00+00:00,909.3,910.0,904.4,907.9,1706
2023-12-18 04:00:00+00:00,907.9,908.65,902.9,904.05,1308
2023-12-18 04:05:00+00:00,904.05,905.1,903.05,904.2,514
2023-12-18 04:10:00+00:00,904.2,904.95,903.4,904.55,578
2023-12-18 04:15:00+00:00,904.55,908.0,903.3,907.0,1465
2023-12-18 04:20:00+00:00,907.0,907.0,905.0,906.0,285
2023-12-18 04:25:00+00:00,906.0,906.55,903.6,906.55,1195
2023-12-18 04:30:00+00:00,906.55,906.55,903.65,905.2,1314
2023-12-18 04:35:00+00:00,905.2,905.2,903.05,903.05,120
2023-12-18 04:40:00+00:00,903.05,904.6,902.9,902.95,269
2023-12-18 04:45:00+00:00,902.95,904.6,902.65,904.3,172
2023-12-18 04:50:00+00:00,904.3,904.85,903.15,904.75,552
2023-12-18 04:55:00+00:00,904.75,904.8,903.5,904.3,534
2023-12-18 05:00:00+00:00,904.3,904.65,903.15,904.0,387
2023-12-18 05:05:00+00:00,904.0,904.65,902.15,902.15,637
2023-12-18 05:10:00+00:00,902.15,904.65,901.9,904.65,491
2023-12-18 05:15:00+00:00,904.65,906.0,904.65,905.3,208
2023-12-18 05:20:00+00:00,905.3,907.0,905.3,906.45,818
2023-12-18 05:25:00+00:00,906.45,906.45,904.05,904.05,381
2023-12-18 05:30:00+00:00,904.05,904.8,902.55,902.55,377
2023-12-18 05:35:00+00:00,902.55,903.7,902.55,903.45,12
2023-12-18 05:40:00+00:00,903.45,904.9,902.25,904.9,470
2023-12-18 05:45:00+00:00,903.6,903.6,901.85,902.8,614
2023-12-18 05:50:00+00:00,902.8,902.8,902.35,902.35,219
2023-12-18 05:55:00+00:00,902.35,903.05,901.85,902.9,251
2023-12-18 06:00:00+00:00,902.9,903.7,902.55,902.8,30
2023-12-18 06:05:00+00:00,902.8,902.8,902.8,902.8,35
2023-12-18 06:10:00+00:00,902.8,903.3,901.55,901.55,238
