,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1398.95,1399.0,1378.0,1389.95,653
2023-12-18 03:50:00+00:00,1389.95,1395.0,1384.5,1395.0,113
2023-12-18 03:55:00+00:00,1395.0,1395.0,1390.0,1394.95,48
2023-12-18 04:00:00+00:00,1394.95,1395.0,1394.35,1395.0,33
2023-12-18 04:05:00+00:00,1395.0,1437.0,1395.0,1435.0,1359
2023-12-18 04:10:00+00:00,1435.0,1435.0,1408.55,1408.55,405
2023-12-18 04:15:00+00:00,1408.55,1415.9,1408.55,1415.15,25
2023-12-18 04:20:00+00:00,1415.15,1415.85,1408.85,1413.3,41
2023-12-18 04:25:00+00:00,1413.3,1415.35,1411.75,1414.55,38
2023-12-18 04:30:00+00:00,1414.55,1415.35,1408.8,1408.8,43
2023-12-18 04:35:00+00:00,1408.8,1413.65,1405.65,1406.25,257
2023-12-18 04:40:00+00:00,1406.25,1408.95,1395.0,1399.75,222
2023-12-18 04:45:00+00:00,1399.75,1417.0,1399.75,1408.9,1241
2023-12-18 04:50:00+00:00,1408.9,1412.85,1405.0,1405.0,127
2023-12-18 04:55:00+00:00,1405.0,1408.6,1400.1,1405.8,27
2023-12-18 05:00:00+00:00,1405.8,1410.0,1405.8,1408.6,66
2023-12-18 05:05:00+00:00,1404.6,1410.0,1401.0,1410.0,140
2023-12-18 05:10:00+00:00,1410.0,1410.0,1405.8,1408.6,25
2023-12-18 05:15:00+00:00,1408.6,1408.8,1406.5,1406.5,7
2023-12-18 05:20:00+00:00,1406.5,1407.0,1406.5,1407.0,5
2023-12-18 05:25:00+00:00,1407.0,1410.0,1401.1,1410.0,135
2023-12-18 05:30:00+00:00,1409.8,1409.8,1401.0,1405.6,263
2023-12-18 05:35:00+00:00,1405.6,1405.6,1401.05,1404.35,36
2023-12-18 05:40:00+00:00,1404.35,1404.8,1401.05,1404.8,108
2023-12-18 05:45:00+00:00,1404.8,1404.8,1403.3,1404.55,21
2023-12-18 05:50:00+00:00,1404.55,1406.0,1395.5,1395.5,562
2023-12-18 05:55:00+00:00,1400.0,1404.0,1400.0,1403.0,533
2023-12-18 06:00:00+00:00,1403.0,1403.7,1400.05,1403.35,28
2023-12-18 06:05:00+00:00,1403.35,1403.85,1402.75,1402.75,6
2023-12-18 06:10:00+00:00,1402.75,1402.75,1395.2,1399.15,124
2023-12-18 06:15:00+00:00,1395.85,1404.0,1395.3,1395.55,223
2023-12-18 06:20:00+00:00,1406.9,1406.9,1401.2,1402.05,141
2023-12-18 06:25:00+00:00,1402.05,1408.45,1397.45,1397.45,95
2023-12-18 06:30:00+00:00,1397.45,1397.45,1397.45,1397.45,0
2023-12-18 06:35:00+00:00,1397.45,1398.95,1396.45,1398.95,16
2023-12-18 06:40:00+00:00,1398.95,1399.0,1396.35,1396.35,33
2023-12-18 06:45:00+00:00,1396.35,1398.6,1395.3,1395.65,6
2023-12-18 06:50:00+00:00,1395.65,1398.75,1395.65,1398.75,12
2023-12-18 06:55:00+00:00,1395.65,1398.8,1395.65,1398.8,15
2023-12-18 07:00:00+00:00,1398.8,1398.8,1398.8,1398.8,0
2023-12-18 07:05:00+00:00,1398.8,1398.8,1395.2,1398.5,18
2023-12-18 07:10:00+00:00,1398.5,1401.15,1397.95,1401.15,283
2023-12-18 07:15:00+00:00,1401.15,1402.3,1401.15,1402.3,1
2023-12-18 07:20:00+00:00,1402.3,1407.5,1402.3,1406.0,71
2023-12-18 07:25:00+00:00,1406.0,1406.0,1402.6,1402.6,22
2023-12-18 07:30:00+00:00,1402.6,1408.85,1402.6,1408.85,3
2023-12-18 07:35:00+00:00,1408.85,1408.85,1404.2,1405.8,12
2023-12-18 07:40:00+00:00,1405.8,1407.0,1381.0,1382.95,2188
2023-12-18 07:45:00+00:00,1382.95,1394.75,1381.1,1394.75,374
2023-12-18 07:50:00+00:00,1394.75,1399.2,1392.25,1393.65,92
2023-12-18 07:55:00+00:00,1393.65,1397.55,1393.65,1397.35,288
2023-12-18 08:00:00+00:00,1397.35,1397.5,1393.55,1393.55,271
2023-12-18 08:05:00+00:00,1393.55,1399.3,1393.55,1393.8,129
