,open,high,low,close,volume
2023-12-18 03:45:00+00:00,349.7,356.0,349.0,353.8,249743
2023-12-18 03:50:00+00:00,353.4,353.8,351.0,351.75,80926
2023-12-18 03:55:00+00:00,351.8,353.15,351.75,352.2,26641
2023-12-18 04:00:00+00:00,352.2,352.7,351.65,352.5,43168
2023-12-18 04:05:00+00:00,352.8,353.15,352.15,352.8,23222
2023-12-18 04:10:00+00:00,353.25,353.45,352.15,352.25,26017
2023-12-18 04:15:00+00:00,352.25,352.85,351.4,351.4,30114
2023-12-18 04:20:00+00:00,351.45,352.85,350.45,351.65,99490
2023-12-18 04:25:00+00:00,351.65,352.5,351.5,352.2,30222
2023-12-18 04:30:00+00:00,352.25,353.75,352.2,353.1,39149
2023-12-18 04:35:00+00:00,353.0,353.95,352.65,353.3,50892
2023-12-18 04:40:00+00:00,353.55,354.35,353.15,353.95,49270
2023-12-18 04:45:00+00:00,353.95,354.9,353.8,354.3,61965
2023-12-18 04:50:00+00:00,354.45,354.6,353.85,354.15,30141
2023-12-18 04:55:00+00:00,354.15,355.0,354.1,354.15,26991
2023-12-18 05:00:00+00:00,354.15,354.25,353.25,354.0,23340
2023-12-18 05:05:00+00:00,354.0,354.6,353.2,353.2,18491
2023-12-18 05:10:00+00:00,353.45,354.2,352.55,353.8,20847
2023-12-18 05:15:00+00:00,353.8,354.0,353.35,353.45,6264
2023-12-18 05:20:00+00:00,353.6,353.75,353.4,353.6,5743
2023-12-18 05:25:00+00:00,353.6,353.6,353.05,353.15,11226
2023-12-18 05:30:00+00:00,353.15,353.5,352.0,352.5,17053
2023-12-18 05:35:00+00:00,352.85,352.9,352.2,352.25,11469
2023-12-18 05:40:00+00:00,352.25,352.5,351.6,351.6,24108
2023-12-18 05:45:00+00:00,351.6,351.95,351.45,351.8,8133
2023-12-18 05:50:00+00:00,351.8,352.55,351.8,351.9,10746
2023-12-18 05:55:00+00:00,351.9,352.5,351.65,352.15,25887
2023-12-18 06:00:00+00:00,352.1,352.3,351.85,352.05,4638
2023-12-18 06:05:00+00:00,352.1,353.15,352.1,352.85,14360
2023-12-18 06:10:00+00:00,352.85,354.5,352.85,353.95,40863
2023-12-18 06:15:00+00:00,353.95,354.35,352.6,352.9,60367
2023-12-18 06:20:00+00:00,352.9,353.15,352.5,352.5,7316
2023-12-18 06:25:00+00:00,352.5,352.9,352.0,352.0,18294
2023-12-18 06:30:00+00:00,352.0,352.8,351.9,352.8,18629
2023-12-18 06:35:00+00:00,352.8,353.2,352.5,352.75,15367
2023-12-18 06:40:00+00:00,352.75,353.1,352.75,353.0,8615
2023-12-18 06:45:00+00:00,353.0,353.0,352.15,352.55,18646
2023-12-18 06:50:00+00:00,352.55,353.0,352.55,352.6,4793
2023-12-18 06:55:00+00:00,352.6,352.9,351.6,351.65,11200
2023-12-18 07:00:00+00:00,351.65,352.0,350.7,350.7,27222
2023-12-18 07:05:00+00:00,350.7,351.45,350.7,351.25,8211
2023-12-18 07:10:00+00:00,351.25,351.7,351.25,351.4,19625
2023-12-18 07:15:00+00:00,351.4,351.55,351.05,351.5,9607
2023-12-18 07:20:00+00:00,351.5,351.5,351.0,351.0,4843
2023-12-18 07:25:00+00:00,351.0,351.2,350.8,350.8,5419
2023-12-18 07:30:00+00:00,350.8,350.9,350.65,350.7,11747
2023-12-18 07:35:00+00:00,350.9,351.1,350.65,350.7,15260
2023-12-18 07:40:00+00:00,350.7,351.0,350.35,350.5,12201
2023-12-18 07:45:00+00:00,350.5,350.95,350.45,350.45,6718
2023-12-18 07:50:00+00:00,350.45,350.95,350.45,350.45,4711
2023-12-18 07:55:00+00:00,350.45,350.6,350.25,350.45,4388
2023-12-18 08:00:00+00:00,350.45,350.7,349.3,349.4,35494
2023-12-18 08:05:00+00:00,349.4,350.15,349.35,349.65,10011
2023-12-18 08:10:00+00:00,349.65,350.4,349.65,350.3,4183
2023-12-18 08:15:00+00:00,350.3,350.85,350.05,350.25,10037
2023-12-18 08:20:00+00:00,350.25,350.65,350.25,350.25,2515
2023-12-18 08:25:00+00:00,350.25,350.45,350.2,350.2,4302
2023-12-18 08:30:00+00:00,350.35,350.8,350.2,350.45,12961
2023-12-18 08:35:00+00:00,350.45,350.65,350.4,350.4,3150
2023-12-18 08:40:00+00:00,350.4,351.75,350.4,351.4,23946
2023-12-18 08:45:00+00:00,351.4,352.0,351.1,351.8,35891
2023-12-18 08:50:00+00:00,351.8,352.0,350.75,351.7,21468
2023-12-18 08:55:00+00:00,351.7,352.7,351.45,352.45,24513
2023-12-18 09:00:00+00:00,352.45,354.4,352.4,354.05,76648
2023-12-18 09:05:00+00:00,354.05,354.45,352.95,354.05,39424
2023-12-18 09:10:00+00:00,354.05,355.0,353.2,354.1,96187
2023-12-18 09:15:00+00:00,354.1,354.25,351.8,352.1,67796
2023-12-18 09:20:00+00:00,352.1,352.4,351.35,351.8,35271
2023-12-18 09:25:00+00:00,351.7,353.15,351.5,352.7,56509
2023-12-18 09:30:00+00:00,352.5,353.9,352.45,353.75,75056
2023-12-18 09:35:00+00:00,353.95,355.0,353.6,354.6,99610
2023-12-18 09:40:00+00:00,355.0,355.0,353.25,353.5,66807
2023-12-18 09:45:00+00:00,353.5,353.65,352.8,352.85,40971
2023-12-18 09:50:00+00:00,352.85,353.2,352.65,352.85,23366
