,open,high,low,close,volume
2023-12-18 03:45:00+00:00,475.3,480.0,475.05,478.3,3302
2023-12-18 03:50:00+00:00,478.3,481.75,476.25,480.05,3847
2023-12-18 03:55:00+00:00,480.05,480.4,479.0,479.0,1337
2023-12-18 04:00:00+00:00,479.0,479.9,478.45,478.55,1706
2023-12-18 04:05:00+00:00,478.55,482.1,478.55,479.3,5138
2023-12-18 04:10:00+00:00,479.3,480.35,478.65,479.45,578
2023-12-18 04:15:00+00:00,480.0,480.5,479.5,480.5,1098
2023-12-18 04:20:00+00:00,480.5,480.5,477.25,477.25,4333
2023-12-18 04:25:00+00:00,477.25,477.9,477.05,477.05,495
2023-12-18 04:30:00+00:00,477.05,479.4,477.05,479.05,688
2023-12-18 04:35:00+00:00,479.05,479.9,478.55,478.55,1163
2023-12-18 04:40:00+00:00,478.55,480.15,478.55,479.95,875
2023-12-18 04:45:00+00:00,479.95,480.45,478.8,479.1,674
2023-12-18 04:50:00+00:00,479.1,479.2,478.45,479.2,196
2023-12-18 04:55:00+00:00,479.2,479.2,477.0,478.8,1618
2023-12-18 05:00:00+00:00,478.8,479.6,478.0,478.0,1311
2023-12-18 05:05:00+00:00,478.0,478.55,477.25,478.05,100
2023-12-18 05:10:00+00:00,478.05,479.05,477.85,478.5,781
2023-12-18 05:15:00+00:00,478.5,479.6,478.25,478.8,757
2023-12-18 05:20:00+00:00,478.8,479.3,478.1,478.1,90
2023-12-18 05:25:00+00:00,478.1,478.15,477.3,478.05,728
2023-12-18 05:30:00+00:00,478.05,478.45,477.1,477.1,857
2023-12-18 05:35:00+00:00,477.1,477.5,476.9,477.0,279
2023-12-18 05:40:00+00:00,477.0,478.0,477.0,477.3,94
2023-12-18 05:45:00+00:00,477.75,478.25,477.3,478.25,28
2023-12-18 05:50:00+00:00,478.25,478.3,473.95,475.25,7150
2023-12-18 05:55:00+00:00,475.25,476.4,474.95,475.9,1273
2023-12-18 06:00:00+00:00,476.15,476.25,475.65,476.25,214
2023-12-18 06:05:00+00:00,476.25,478.3,475.7,478.3,2817
2023-12-18 06:10:00+00:00,478.3,478.5,477.4,478.05,191
2023-12-18 06:15:00+00:00,478.05,479.0,477.05,478.0,41759
2023-12-18 06:20:00+00:00,478.0,481.3,477.6,481.0,6552
2023-12-18 06:25:00+00:00,481.0,481.0,479.85,480.0,784
2023-12-18 06:30:00+00:00,480.0,480.7,480.0,480.0,571
2023-12-18 06:35:00+00:00,480.0,480.45,480.0,480.45,434
2023-12-18 06:40:00+00:00,480.45,480.45,479.7,480.35,308
2023-12-18 06:45:00+00:00,480.35,480.4,479.8,480.4,1168
2023-12-18 06:50:00+00:00,480.4,480.5,480.15,480.5,782
2023-12-18 06:55:00+00:00,480.5,480.5,480.0,480.2,774
2023-12-18 07:00:00+00:00,480.2,480.75,480.05,480.75,1113
2023-12-18 07:05:00+00:00,480.15,481.1,480.15,480.85,430
2023-12-18 07:10:00+00:00,480.85,480.85,480.0,480.0,419
2023-12-18 07:15:00+00:00,480.0,480.65,480.0,480.65,188
2023-12-18 07:20:00+00:00,480.65,480.75,480.0,480.65,97
2023-12-18 07:25:00+00:00,480.65,480.65,480.05,480.25,152
2023-12-18 07:30:00+00:00,480.25,480.55,480.0,480.55,212
2023-12-18 07:35:00+00:00,480.55,480.55,479.65,480.25,2708
2023-12-18 07:40:00+00:00,480.25,480.55,480.0,480.0,159
2023-12-18 07:45:00+00:00,480.0,480.25,480.0,480.25,399
2023-12-18 07:50:00+00:00,480.25,480.25,480.0,480.0,220
2023-12-18 07:55:00+00:00,480.0,480.85,480.0,480.3,3712
2023-12-18 08:00:00+00:00,480.3,480.65,480.0,480.5,1021
2023-12-18 08:05:00+00:00,480.5,481.0,480.0,480.6,1884
2023-12-18 08:10:00+00:00,480.6,481.0,480.55,480.55,241
2023-12-18 08:15:00+00:00,480.55,481.1,480.55,480.65,374
2023-12-18 08:20:00+00:00,480.65,481.15,480.35,480.5,261
2023-12-18 08:25:00+00:00,480.5,480.9,480.0,480.0,6156
2023-12-18 08:30:00+00:00,480.0,480.5,480.0,480.15,299
2023-12-18 08:35:00+00:00,480.15,480.95,480.0,480.0,2081
2023-12-18 08:40:00+00:00,480.0,480.55,480.0,480.55,229
2023-12-18 08:45:00+00:00,480.55,480.75,480.0,480.0,1180
2023-12-18 08:50:00+00:00,480.0,480.85,480.0,480.5,709
2023-12-18 08:55:00+00:00,480.5,480.5,480.05,480.15,187
2023-12-18 09:00:00+00:00,480.15,480.45,480.0,480.0,684
2023-12-18 09:05:00+00:00,480.0,480.4,480.0,480.0,1316
2023-12-18 09:10:00+00:00,480.0,480.45,479.6,480.0,10624
2023-12-18 09:15:00+00:00,480.0,480.35,480.0,480.35,1683
2023-12-18 09:20:00+00:00,480.35,480.45,480.0,480.0,2143
2023-12-18 09:25:00+00:00,480.0,480.5,480.0,480.45,2777
2023-12-18 09:30:00+00:00,480.45,480.5,480.0,480.4,6771
2023-12-18 09:35:00+00:00,480.4,480.45,479.45,480.0,15226
2023-12-18 09:40:00+00:00,480.0,480.65,479.3,480.0,9812
2023-12-18 09:45:00+00:00,480.0,480.6,480.0,480.0,2820
2023-12-18 09:50:00+00:00,480.4,480.9,480.0,480.15,2131
2023-12-18 09:55:00+00:00,480.15,481.0,480.0,480.6,3135
2023-12-19 03:45:00+00:00,484.0,484.9,479.85,480.85,4957
2023-12-19 03:50:00+00:00,480.85,482.1,480.55,481.6,1697
2023-12-19 03:55:00+00:00,481.6,482.15,480.55,481.4,672
2023-12-19 04:00:00+00:00,481.9,483.85,480.8,483.2,2139
2023-12-19 04:05:00+00:00,483.2,483.9,482.65,482.75,694
2023-12-19 04:10:00+00:00,482.75,484.2,482.0,483.1,2568
2023-12-19 04:15:00+00:00,483.1,483.5,482.05,482.75,1559
2023-12-19 04:20:00+00:00,482.75,482.85,482.0,482.0,4372
2023-12-19 04:25:00+00:00,482.0,482.8,482.0,482.0,11261
2023-12-19 04:30:00+00:00,482.0,484.5,482.0,484.35,2285
2023-12-19 04:35:00+00:00,484.35,484.7,482.65,483.4,976
2023-12-19 04:40:00+00:00,483.4,484.3,482.85,483.5,385
2023-12-19 04:45:00+00:00,483.5,484.05,482.85,483.1,4152
2023-12-19 04:50:00+00:00,483.7,484.1,482.85,483.0,923
