,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1205.6,1207.75,1192.1,1203.5,179392
2023-12-18 03:50:00+00:00,1202.8,1213.8,1202.8,1210.5,85246
2023-12-18 03:55:00+00:00,1210.0,1211.05,1208.95,1211.0,22891
2023-12-18 04:00:00+00:00,1211.0,1212.75,1209.45,1211.45,40666
2023-12-18 04:05:00+00:00,1211.05,1215.0,1210.9,1214.35,52932
2023-12-18 04:10:00+00:00,1214.35,1216.45,1212.4,1215.7,51149
2023-12-18 04:15:00+00:00,1215.45,1217.0,1215.0,1216.4,23612
2023-12-18 04:20:00+00:00,1216.4,1217.85,1212.75,1213.5,29749
2023-12-18 04:25:00+00:00,1213.15,1213.85,1210.45,1212.55,18356
2023-12-18 04:30:00+00:00,1212.55,1215.85,1212.55,1215.55,11580
2023-12-18 04:35:00+00:00,1215.2,1216.6,1214.3,1216.15,15121
2023-12-18 04:40:00+00:00,1216.15,1217.7,1215.15,1216.55,17321
2023-12-18 04:45:00+00:00,1216.9,1218.95,1216.5,1216.95,28952
2023-12-18 04:50:00+00:00,1216.9,1217.2,1215.0,1215.5,12222
2023-12-18 04:55:00+00:00,1215.5,1216.0,1214.5,1215.0,12859
2023-12-18 05:00:00+00:00,1215.0,1217.15,1214.5,1216.65,8580
2023-12-18 05:05:00+00:00,1216.6,1217.9,1215.9,1217.4,48794
2023-12-18 05:10:00+00:00,1217.4,1218.75,1216.45,1216.45,13821
2023-12-18 05:15:00+00:00,1216.6,1216.6,1214.55,1215.0,60064
2023-12-18 05:20:00+00:00,1215.0,1216.0,1214.6,1215.0,29651
2023-12-18 05:25:00+00:00,1215.1,1216.3,1215.0,1215.8,30883
2023-12-18 05:30:00+00:00,1216.05,1216.75,1215.8,1216.0,20594
2023-12-18 05:35:00+00:00,1216.0,1216.7,1215.0,1215.0,24965
2023-12-18 05:40:00+00:00,1215.0,1218.0,1215.0,1216.05,52644
2023-12-18 05:45:00+00:00,1216.1,1216.9,1215.7,1216.05,28141
2023-12-18 05:50:00+00:00,1216.25,1216.25,1216.0,1216.0,35441
2023-12-18 05:55:00+00:00,1216.0,1216.05,1215.3,1215.5,31731
2023-12-18 06:00:00+00:00,1215.5,1215.95,1213.65,1215.05,29656
2023-12-18 06:05:00+00:00,1215.1,1216.0,1215.0,1215.5,27748
2023-12-18 06:10:00+00:00,1215.5,1215.6,1214.75,1215.0,54102
2023-12-18 06:15:00+00:00,1215.0,1215.05,1213.3,1214.15,34710
2023-12-18 06:20:00+00:00,1214.15,1216.0,1214.1,1214.55,9764
2023-12-18 06:25:00+00:00,1214.45,1215.25,1213.55,1214.0,35852
2023-12-18 06:30:00+00:00,1214.0,1215.7,1213.5,1215.1,15671
2023-12-18 06:35:00+00:00,1215.1,1215.3,1215.0,1215.05,7684
2023-12-18 06:40:00+00:00,1215.05,1217.0,1215.0,1217.0,12359
2023-12-18 06:45:00+00:00,1217.0,1218.75,1216.3,1217.9,22719
2023-12-18 06:50:00+00:00,1217.9,1218.5,1217.0,1217.0,8942
2023-12-18 06:55:00+00:00,1216.95,1217.5,1215.4,1215.6,9327
2023-12-18 07:00:00+00:00,1215.6,1216.4,1215.0,1215.3,11500
2023-12-18 07:05:00+00:00,1215.3,1216.05,1215.0,1215.2,14243
2023-12-18 07:10:00+00:00,1215.2,1216.4,1215.15,1216.2,6103
2023-12-18 07:15:00+00:00,1216.2,1216.3,1215.0,1215.05,7963
2023-12-18 07:20:00+00:00,1215.0,1215.05,1215.0,1215.0,32694
2023-12-18 07:25:00+00:00,1215.0,1215.05,1214.95,1215.0,10569
2023-12-18 07:30:00+00:00,1215.0,1215.05,1213.4,1214.5,33209
2023-12-18 07:35:00+00:00,1214.0,1214.5,1212.6,1213.15,18322
2023-12-18 07:40:00+00:00,1213.2,1213.75,1210.4,1212.15,20424
2023-12-18 07:45:00+00:00,1212.15,1212.4,1211.25,1212.1,12508
2023-12-18 07:50:00+00:00,1211.85,1213.7,1211.8,1212.7,12967
2023-12-18 07:55:00+00:00,1212.65,1213.95,1212.25,1212.65,15331
2023-12-18 08:00:00+00:00,1212.65,1213.35,1211.5,1211.8,13272
2023-12-18 08:05:00+00:00,1211.95,1213.55,1211.8,1212.65,13863
2023-12-18 08:10:00+00:00,1212.65,1213.95,1212.2,1213.15,12146
2023-12-18 08:15:00+00:00,1213.15,1214.3,1213.0,1213.35,11077
2023-12-18 08:20:00+00:00,1213.35,1214.35,1213.25,1213.6,11585
2023-12-18 08:25:00+00:00,1213.85,1214.4,1213.5,1213.6,9730
2023-12-18 08:30:00+00:00,1213.6,1215.55,1213.5,1215.55,117039
2023-12-18 08:35:00+00:00,1215.1,1216.0,1213.95,1214.5,13111
2023-12-18 08:40:00+00:00,1214.5,1215.5,1214.05,1214.3,14638
2023-12-18 08:45:00+00:00,1214.35,1215.35,1213.5,1214.4,23624
2023-12-18 08:50:00+00:00,1213.95,1214.65,1213.5,1213.6,14210
2023-12-18 08:55:00+00:00,1213.5,1215.5,1213.5,1214.9,11386
2023-12-18 09:00:00+00:00,1214.25,1215.5,1214.2,1214.6,12903
2023-12-18 09:05:00+00:00,1214.55,1215.8,1214.55,1215.1,11883
2023-12-18 09:10:00+00:00,1215.1,1215.7,1214.9,1215.1,12047
2023-12-18 09:15:00+00:00,1215.0,1215.65,1215.0,1215.55,11192
2023-12-18 09:20:00+00:00,1215.55,1216.75,1215.0,1216.15,22711
2023-12-18 09:25:00+00:00,1216.15,1217.25,1216.15,1216.5,22493
2023-12-18 09:30:00+00:00,1216.5,1217.25,1216.4,1216.5,19811
2023-12-18 09:35:00+00:00,1217.0,1217.4,1216.3,1217.4,29128
2023-12-18 09:40:00+00:00,1217.1,1217.7,1216.5,1216.65,26638
2023-12-18 09:45:00+00:00,1217.0,1217.25,1216.5,1216.8,27425
2023-12-18 09:50:00+00:00,1216.6,1217.5,1216.6,1217.5,41698
2023-12-18 09:55:00+00:00,1217.35,1217.6,1215.0,1215.0,24666
2023-12-19 03:45:00+00:00,1219.45,1223.85,1216.85,1221.8,41650
2023-12-19 03:50:00+00:00,1221.95,1222.85,1220.25,1221.05,20645
2023-12-19 03:55:00+00:00,1221.15,1224.15,1221.05,1223.45,21486
2023-12-19 04:00:00+00:00,1222.85,1225.2,1217.0,1217.4,45293
2023-12-19 04:05:00+00:00,1217.4,1220.4,1216.1,1219.45,21982
2023-12-19 04:10:00+00:00,1219.45,1219.7,1217.45,1219.05,5932
2023-12-19 04:15:00+00:00,1219.05,1219.75,1217.4,1217.4,4967
2023-12-19 04:20:00+00:00,1217.35,1219.25,1216.25,1218.7,15321
2023-12-19 04:25:00+00:00,1218.3,1219.8,1218.0,1218.65,8240
2023-12-19 04:30:00+00:00,1219.0,1219.0,1216.6,1217.2,10975
2023-12-19 04:35:00+00:00,1217.0,1217.75,1213.0,1213.35,25963
2023-12-19 04:40:00+00:00,1213.35,1215.65,1212.2,1215.45,16170
2023-12-19 04:45:00+00:00,1215.2,1217.7,1213.8,1217.5,36325
2023-12-19 04:50:00+00:00,1217.5,1217.65,1213.55,1215.3,7034
2023-12-19 04:55:00+00:00,1215.3,1215.9,1214.1,1214.1,3301
2023-12-19 05:00:00+00:00,1214.05,1214.95,1213.25,1214.5,4748
2023-12-19 05:05:00+00:00,1214.5,1215.85,1213.45,1215.35,5224
2023-12-19 05:10:00+00:00,1215.35,1217.75,1215.35,1217.2,4311
2023-12-19 05:15:00+00:00,1217.2,1218.5,1215.75,1217.85,9599
2023-12-19 05:20:00+00:00,1217.5,1218.5,1217.0,1218.2,5284
2023-12-19 05:25:00+00:00,1218.15,1218.6,1217.65,1218.05,2688
2023-12-19 05:30:00+00:00,1218.05,1218.5,1217.7,1218.5,1975
2023-12-19 05:35:00+00:00,1218.5,1220.0,1218.25,1220.0,12208
2023-12-19 05:40:00+00:00,1219.65,1220.9,1219.0,1220.0,14102
2023-12-19 05:45:00+00:00,1220.0,1221.0,1219.55,1220.0,15579
2023-12-19 05:50:00+00:00,1220.0,1220.55,1219.95,1220.05,12553
2023-12-19 05:55:00+00:00,1220.05,1220.9,1220.0,1220.7,5387
2023-12-19 06:00:00+00:00,1220.5,1220.7,1220.0,1220.05,3868
2023-12-19 06:05:00+00:00,1220.3,1220.3,1220.0,1220.0,3301
2023-12-19 06:10:00+00:00,1220.05,1220.75,1220.0,1220.55,7312
2023-12-19 06:15:00+00:00,1220.55,1222.4,1220.0,1222.4,140954
2023-12-19 06:20:00+00:00,1222.4,1224.95,1221.95,1223.4,17724
2023-12-19 06:25:00+00:00,1223.4,1224.55,1222.7,1223.1,9792
2023-12-19 06:30:00+00:00,1223.1,1224.5,1222.15,1223.3,9361
2023-12-19 06:35:00+00:00,1223.25,1224.4,1222.8,1223.75,6310
2023-12-19 06:40:00+00:00,1223.75,1225.8,1223.75,1225.4,26844
2023-12-19 06:45:00+00:00,1225.4,1225.9,1224.05,1224.7,27274
2023-12-19 06:50:00+00:00,1224.65,1225.0,1224.0,1224.15,7390
2023-12-19 06:55:00+00:00,1224.1,1225.0,1222.25,1224.45,30021
2023-12-19 07:00:00+00:00,1224.45,1225.6,1223.8,1225.15,44901
2023-12-19 07:05:00+00:00,1225.05,1225.45,1224.05,1224.85,21189
2023-12-19 07:10:00+00:00,1224.85,1224.95,1224.3,1224.5,2840
2023-12-19 07:15:00+00:00,1224.45,1224.6,1224.0,1224.4,9474
2023-12-19 07:20:00+00:00,1224.4,1224.4,1222.75,1222.8,17289
2023-12-19 07:25:00+00:00,1222.8,1224.5,1222.55,1224.4,9087
2023-12-19 07:30:00+00:00,1224.4,1225.0,1224.1,1224.8,6784
2023-12-19 07:35:00+00:00,1224.8,1225.0,1224.15,1224.95,68632
2023-12-19 07:40:00+00:00,1224.9,1225.0,1224.5,1224.6,4652
2023-12-19 07:45:00+00:00,1224.55,1225.45,1224.55,1224.95,56008
2023-12-19 07:50:00+00:00,1224.9,1225.0,1224.5,1225.0,6020
2023-12-19 07:55:00+00:00,1225.0,1225.0,1224.5,1224.9,3382
2023-12-19 08:00:00+00:00,1224.9,1225.25,1224.5,1225.0,12515
2023-12-19 08:05:00+00:00,1224.95,1225.0,1224.65,1225.0,5733
2023-12-19 08:10:00+00:00,1224.95,1225.0,1224.5,1224.7,2935
2023-12-19 08:15:00+00:00,1224.75,1225.0,1224.5,1224.8,3719
2023-12-19 08:20:00+00:00,1224.75,1225.0,1224.75,1224.85,2476
2023-12-19 08:25:00+00:00,1224.85,1224.9,1223.05,1223.25,9744
2023-12-19 08:30:00+00:00,1223.3,1223.5,1222.2,1222.6,6489
2023-12-19 08:35:00+00:00,1222.6,1223.65,1222.5,1223.55,4541
2023-12-19 08:40:00+00:00,1223.5,1224.5,1223.5,1224.1,5851
2023-12-19 08:45:00+00:00,1224.05,1224.7,1223.7,1224.6,9599
2023-12-19 08:50:00+00:00,1224.5,1225.0,1222.5,1224.0,94037
2023-12-19 08:55:00+00:00,1224.0,1225.0,1222.5,1223.95,95950
2023-12-19 09:00:00+00:00,1223.95,1225.85,1223.9,1225.85,16363
2023-12-19 09:05:00+00:00,1225.85,1228.5,1225.5,1228.15,42383
2023-12-19 09:10:00+00:00,1228.15,1229.0,1227.2,1228.95,19451
2023-12-19 09:15:00+00:00,1228.95,1229.55,1227.0,1228.25,33994
2023-12-19 09:20:00+00:00,1228.25,1229.2,1227.05,1229.1,19605
2023-12-19 09:25:00+00:00,1229.1,1238.25,1229.1,1235.4,126581
2023-12-19 09:30:00+00:00,1235.4,1237.65,1234.55,1234.9,51870
2023-12-19 09:35:00+00:00,1234.6,1236.3,1234.6,1235.5,35170
2023-12-19 09:40:00+00:00,1236.0,1236.8,1235.0,1236.7,42997
2023-12-19 09:45:00+00:00,1236.7,1238.0,1235.3,1238.0,55638
