,open,high,low,close,volume
2023-12-18 03:45:00+00:00,393.3,393.9,389.0,391.8,22485
2023-12-18 03:50:00+00:00,391.8,393.95,390.85,393.8,14166
2023-12-18 03:55:00+00:00,393.3,393.65,391.65,392.6,11910
2023-12-18 04:00:00+00:00,393.0,393.0,391.15,392.4,6454
2023-12-18 04:05:00+00:00,392.4,392.45,391.7,391.7,3671
2023-12-18 04:10:00+00:00,392.0,392.85,391.3,392.25,10000
2023-12-18 04:15:00+00:00,392.25,392.6,390.8,390.8,5204
2023-12-18 04:20:00+00:00,390.8,391.6,389.75,391.6,6381
2023-12-18 04:25:00+00:00,391.6,392.85,390.0,390.95,17766
2023-12-18 04:30:00+00:00,390.95,392.4,390.95,391.3,12319
2023-12-18 04:35:00+00:00,391.1,391.5,390.4,390.4,7281
2023-12-18 04:40:00+00:00,390.75,390.85,389.7,390.05,10341
2023-12-18 04:45:00+00:00,390.05,390.6,389.65,389.85,4184
2023-12-18 04:50:00+00:00,389.6,390.75,389.6,390.35,12780
2023-12-18 04:55:00+00:00,390.35,390.35,388.2,389.05,13980
2023-12-18 05:00:00+00:00,388.95,390.9,387.75,387.95,48538
2023-12-18 05:05:00+00:00,387.75,388.35,386.85,387.3,30670
2023-12-18 05:10:00+00:00,387.3,387.95,386.45,387.95,18646
2023-12-18 05:15:00+00:00,387.95,387.95,386.6,386.65,10258
2023-12-18 05:20:00+00:00,386.65,387.0,386.2,386.45,11167
2023-12-18 05:25:00+00:00,386.5,387.45,386.15,386.45,10260
2023-12-18 05:30:00+00:00,386.45,386.5,385.6,385.95,13801
2023-12-18 05:35:00+00:00,386.0,387.5,385.95,386.35,5586
2023-12-18 05:40:00+00:00,386.35,386.85,385.9,386.3,7024
2023-12-18 05:45:00+00:00,386.3,386.45,385.9,386.3,6786
2023-12-18 05:50:00+00:00,386.3,386.65,386.0,386.2,2462
2023-12-18 05:55:00+00:00,386.2,386.5,385.2,385.95,12903
2023-12-18 06:00:00+00:00,385.95,386.5,384.5,384.5,14728
2023-12-18 06:05:00+00:00,385.2,385.6,384.5,384.5,12961
2023-12-18 06:10:00+00:00,384.5,385.5,384.0,384.95,18575
2023-12-18 06:15:00+00:00,385.4,386.75,384.95,386.3,8268
2023-12-18 06:20:00+00:00,386.2,386.9,386.1,386.5,4711
2023-12-18 06:25:00+00:00,386.75,386.85,385.95,386.8,6273
2023-12-18 06:30:00+00:00,386.8,387.2,386.0,387.2,7539
2023-12-18 06:35:00+00:00,387.2,387.45,387.1,387.2,2979
2023-12-18 06:40:00+00:00,387.4,387.4,386.3,386.85,7880
2023-12-18 06:45:00+00:00,387.35,387.5,386.8,387.4,2916
2023-12-18 06:50:00+00:00,387.4,387.5,386.55,386.55,3743
2023-12-18 06:55:00+00:00,386.85,387.25,385.9,386.0,3690
2023-12-18 07:00:00+00:00,386.0,386.3,385.7,385.9,6828
2023-12-18 07:05:00+00:00,385.9,386.7,385.75,386.55,2659
2023-12-18 07:10:00+00:00,386.6,387.3,386.2,386.65,2548
2023-12-18 07:15:00+00:00,386.9,386.95,386.5,386.6,1433
2023-12-18 07:20:00+00:00,386.6,386.95,386.2,386.5,1645
