,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1243.4,1248.25,1238.4,1247.6,8044
2023-12-18 03:50:00+00:00,1247.6,1247.6,1242.5,1244.3,1156
2023-12-18 03:55:00+00:00,1243.5,1247.05,1243.0,1243.7,3486
2023-12-18 04:00:00+00:00,1243.7,1245.45,1242.0,1243.1,2293
2023-12-18 04:05:00+00:00,1243.1,1244.1,1241.7,1242.5,1365
2023-12-18 04:10:00+00:00,1242.5,1244.1,1241.5,1242.8,933
2023-12-18 04:15:00+00:00,1244.45,1244.7,1241.5,1241.5,1363
2023-12-18 04:20:00+00:00,1241.5,1242.0,1238.85,1242.0,1529
2023-12-18 04:25:00+00:00,1242.0,1242.65,1241.0,1241.0,585
2023-12-18 04:30:00+00:00,1241.0,1243.5,1241.0,1242.85,965
2023-12-18 04:35:00+00:00,1242.85,1242.85,1241.75,1241.8,330
2023-12-18 04:40:00+00:00,1241.8,1244.4,1241.65,1244.0,1631
2023-12-18 04:45:00+00:00,1245.0,1247.0,1244.45,1246.2,1580
2023-12-18 04:50:00+00:00,1246.2,1247.55,1245.6,1246.5,2601
2023-12-18 04:55:00+00:00,1246.5,1247.95,1246.5,1246.85,435
2023-12-18 05:00:00+00:00,1246.85,1249.85,1246.7,1249.0,1012
2023-12-18 05:05:00+00:00,1249.0,1249.0,1246.4,1247.05,1386
2023-12-18 05:10:00+00:00,1247.6,1249.25,1247.3,1248.75,503
2023-12-18 05:15:00+00:00,1248.75,1249.0,1247.9,1247.9,611
2023-12-18 05:20:00+00:00,1247.9,1248.45,1247.2,1248.0,466
2023-12-18 05:25:00+00:00,1248.0,1249.25,1246.6,1246.6,881
2023-12-18 05:30:00+00:00,1246.6,1248.0,1246.0,1248.0,495
2023-12-18 05:35:00+00:00,1248.0,1248.7,1246.15,1247.4,691
2023-12-18 05:40:00+00:00,1247.4,1247.4,1245.35,1247.1,592
2023-12-18 05:45:00+00:00,1247.1,1247.1,1246.25,1246.3,205
2023-12-18 05:50:00+00:00,1246.3,1246.9,1246.3,1246.5,578
2023-12-18 05:55:00+00:00,1246.5,1247.35,1245.6,1246.7,667
2023-12-18 06:00:00+00:00,1246.7,1247.85,1246.65,1247.85,1489
2023-12-18 06:05:00+00:00,1247.85,1248.1,1247.85,1248.1,431
2023-12-18 06:10:00+00:00,1248.1,1248.1,1248.0,1248.0,58
2023-12-18 06:15:00+00:00,1248.0,1248.2,1247.5,1247.5,795
2023-12-18 06:20:00+00:00,1247.5,1252.25,1247.5,1251.9,2752
2023-12-18 06:25:00+00:00,1251.9,1251.9,1250.25,1250.5,512
2023-12-18 06:30:00+00:00,1250.5,1250.5,1249.0,1249.0,529
2023-12-18 06:35:00+00:00,1249.0,1250.85,1248.8,1249.85,2337
2023-12-18 06:40:00+00:00,1249.85,1251.0,1249.2,1250.95,623
2023-12-18 06:45:00+00:00,1250.95,1252.0,1250.5,1250.5,480
2023-12-18 06:50:00+00:00,1250.5,1251.65,1248.0,1248.65,3924
2023-12-18 06:55:00+00:00,1248.65,1252.0,1248.4,1252.0,2770
2023-12-18 07:00:00+00:00,1252.0,1252.0,1249.4,1250.4,949
2023-12-18 07:05:00+00:00,1250.4,1251.95,1249.1,1251.55,918
2023-12-18 07:10:00+00:00,1251.55,1254.9,1251.55,1251.6,2733
2023-12-18 07:15:00+00:00,1251.6,1252.9,1250.0,1250.0,873
2023-12-18 07:20:00+00:00,1250.0,1251.55,1249.4,1250.85,1881
2023-12-18 07:25:00+00:00,1250.95,1251.1,1249.4,1249.7,611
2023-12-18 07:30:00+00:00,1249.7,1249.7,1246.95,1246.95,879
2023-12-18 07:35:00+00:00,1246.95,1246.95,1246.0,1246.0,457
2023-12-18 07:40:00+00:00,1246.0,1246.0,1244.0,1244.35,1585
2023-12-18 07:45:00+00:00,1244.35,1244.35,1240.0,1240.85,4947
2023-12-18 07:50:00+00:00,1240.85,1240.95,1239.45,1240.65,1676
2023-12-18 07:55:00+00:00,1240.65,1242.6,1240.5,1241.0,511
2023-12-18 08:00:00+00:00,1241.0,1241.0,1240.15,1240.15,109
2023-12-18 08:05:00+00:00,1240.15,1241.2,1240.15,1240.7,232
2023-12-18 08:10:00+00:00,1240.7,1240.8,1240.25,1240.25,137
2023-12-18 08:15:00+00:00,1240.25,1240.75,1239.05,1239.65,707
2023-12-18 08:20:00+00:00,1239.65,1240.3,1239.0,1240.3,724
2023-12-18 08:25:00+00:00,1240.3,1241.4,1239.4,1239.7,323
2023-12-18 08:30:00+00:00,1239.7,1240.35,1239.7,1240.2,54
2023-12-18 08:35:00+00:00,1240.2,1240.6,1240.2,1240.2,308
2023-12-18 08:40:00+00:00,1240.2,1240.2,1239.0,1239.8,270
2023-12-18 08:45:00+00:00,1239.8,1239.8,1239.35,1239.4,128
2023-12-18 08:50:00+00:00,1240.0,1240.0,1239.2,1239.3,392
2023-12-18 08:55:00+00:00,1239.3,1239.7,1239.3,1239.4,44
2023-12-18 09:00:00+00:00,1239.4,1240.8,1239.2,1240.8,1127
2023-12-18 09:05:00+00:00,1240.8,1241.35,1240.35,1241.25,634
2023-12-18 09:10:00+00:00,1240.6,1241.5,1239.0,1239.2,745
2023-12-18 09:15:00+00:00,1239.2,1240.0,1238.75,1239.9,1398
