,open,high,low,close,volume
2023-12-18 03:45:00+00:00,2365.9,2373.0,2345.95,2354.15,6494
2023-12-18 03:50:00+00:00,2355.1,2361.45,2349.2,2361.45,4286
2023-12-18 03:55:00+00:00,2359.75,2365.0,2359.75,2365.0,3291
2023-12-18 04:00:00+00:00,2365.0,2367.35,2359.7,2359.7,2721
2023-12-18 04:05:00+00:00,2359.75,2370.15,2359.75,2365.35,2642
2023-12-18 04:10:00+00:00,2365.35,2371.15,2364.4,2366.8,2956
2023-12-18 04:15:00+00:00,2367.1,2369.7,2366.05,2366.95,1471
2023-12-18 04:20:00+00:00,2367.0,2369.65,2364.5,2364.55,1430
2023-12-18 04:25:00+00:00,2364.55,2365.4,2364.0,2364.25,535
2023-12-18 04:30:00+00:00,2364.25,2378.1,2364.25,2373.8,3318
2023-12-18 04:35:00+00:00,2373.8,2375.8,2371.5,2371.5,585
2023-12-18 04:40:00+00:00,2371.5,2374.45,2366.65,2367.45,8803
2023-12-18 04:45:00+00:00,2367.45,2373.7,2367.0,2371.75,16097
2023-12-18 04:50:00+00:00,2371.75,2376.2,2371.75,2372.5,905
2023-12-18 04:55:00+00:00,2372.25,2374.05,2368.05,2369.55,1314
2023-12-18 05:00:00+00:00,2369.55,2376.8,2367.25,2375.75,3495
2023-12-18 05:05:00+00:00,2375.15,2380.0,2370.05,2370.1,7105
2023-12-18 05:10:00+00:00,2370.1,2375.9,2370.1,2373.3,708
2023-12-18 05:15:00+00:00,2373.3,2377.15,2371.0,2373.15,1623
2023-12-18 05:20:00+00:00,2373.15,2378.9,2373.15,2374.0,2919
2023-12-18 05:25:00+00:00,2374.0,2374.0,2370.85,2372.95,915
2023-12-18 05:30:00+00:00,2371.75,2375.0,2371.65,2374.0,458
2023-12-18 05:35:00+00:00,2374.7,2374.7,2371.0,2372.15,1268
2023-12-18 05:40:00+00:00,2372.15,2377.2,2371.15,2374.5,1065
2023-12-18 05:45:00+00:00,2374.5,2377.35,2373.65,2374.6,1966
2023-12-18 05:50:00+00:00,2374.6,2376.0,2372.0,2372.0,1784
2023-12-18 05:55:00+00:00,2372.0,2374.55,2371.6,2374.0,1949
2023-12-18 06:00:00+00:00,2374.0,2374.9,2371.45,2372.0,1994
2023-12-18 06:05:00+00:00,2371.45,2372.1,2365.3,2366.3,3264
2023-12-18 06:10:00+00:00,2366.3,2372.55,2365.55,2371.65,1288
2023-12-18 06:15:00+00:00,2371.65,2373.1,2368.4,2368.4,1470
2023-12-18 06:20:00+00:00,2368.4,2369.6,2368.4,2369.45,151
2023-12-18 06:25:00+00:00,2369.45,2369.45,2368.4,2368.4,631
2023-12-18 06:30:00+00:00,2368.4,2369.35,2368.4,2368.4,511
2023-12-18 06:35:00+00:00,2368.4,2369.2,2367.9,2368.4,324
2023-12-18 06:40:00+00:00,2368.4,2369.15,2365.55,2366.2,841
2023-12-18 06:45:00+00:00,2366.2,2367.0,2361.0,2361.0,965
2023-12-18 06:50:00+00:00,2361.0,2363.95,2361.0,2361.6,1103
2023-12-18 06:55:00+00:00,2361.6,2362.65,2360.45,2360.9,514
2023-12-18 07:00:00+00:00,2360.45,2360.95,2356.75,2358.3,1660
2023-12-18 07:05:00+00:00,2358.3,2360.6,2357.3,2360.5,845
2023-12-18 07:10:00+00:00,2360.5,2369.5,2360.5,2369.1,903
2023-12-18 07:15:00+00:00,2369.1,2369.1,2362.15,2364.75,1158
2023-12-18 07:20:00+00:00,2364.75,2364.75,2363.6,2363.6,415
2023-12-18 07:25:00+00:00,2363.6,2365.65,2363.6,2363.9,370
2023-12-18 07:30:00+00:00,2363.9,2364.2,2360.6,2360.8,1814
2023-12-18 07:35:00+00:00,2360.8,2361.95,2358.7,2359.95,557
2023-12-18 07:40:00+00:00,2359.95,2361.35,2359.05,2359.7,400
2023-12-18 07:45:00+00:00,2359.7,2361.0,2358.2,2358.2,947
2023-12-18 07:50:00+00:00,2358.2,2359.15,2358.0,2358.0,740
2023-12-18 07:55:00+00:00,2358.0,2361.15,2358.0,2359.75,569
2023-12-18 08:00:00+00:00,2360.55,2360.55,2356.8,2357.6,956
2023-12-18 08:05:00+00:00,2357.6,2357.6,2356.35,2357.4,582
2023-12-18 08:10:00+00:00,2357.4,2360.85,2355.5,2358.55,842
2023-12-18 08:15:00+00:00,2357.75,2361.05,2357.75,2358.4,349
2023-12-18 08:20:00+00:00,2358.4,2359.95,2356.8,2356.8,530
2023-12-18 08:25:00+00:00,2356.8,2360.0,2356.15,2357.45,839
2023-12-18 08:30:00+00:00,2357.45,2358.45,2356.55,2358.15,410
2023-12-18 08:35:00+00:00,2358.15,2358.15,2355.0,2355.35,18295
2023-12-18 08:40:00+00:00,2355.35,2359.8,2355.35,2358.85,1295
2023-12-18 08:45:00+00:00,2358.85,2359.65,2356.3,2356.7,626
2023-12-18 08:50:00+00:00,2356.7,2357.75,2352.15,2352.15,1828
2023-12-18 08:55:00+00:00,2352.15,2353.55,2351.55,2352.95,931
2023-12-18 09:00:00+00:00,2352.95,2353.95,2351.75,2353.05,1006
2023-12-18 09:05:00+00:00,2353.05,2356.45,2352.15,2352.2,1768
2023-12-18 09:10:00+00:00,2352.4,2353.5,2349.0,2349.05,3392
2023-12-18 09:15:00+00:00,2349.0,2351.0,2346.6,2348.95,1240
2023-12-18 09:20:00+00:00,2348.95,2349.65,2346.65,2347.15,1096
2023-12-18 09:25:00+00:00,2347.15,2348.7,2340.0,2341.25,4986
2023-12-18 09:30:00+00:00,2340.3,2345.15,2340.05,2342.2,4907
2023-12-18 09:35:00+00:00,2342.2,2346.25,2340.1,2340.9,2985
2023-12-18 09:40:00+00:00,2340.9,2342.0,2337.35,2340.95,2555
2023-12-18 09:45:00+00:00,2340.95,2341.95,2338.7,2341.05,4459
2023-12-18 09:50:00+00:00,2341.4,2346.0,2340.95,2343.4,7000
2023-12-18 09:55:00+00:00,2343.4,2344.3,2324.35,2328.1,11779
2023-12-19 03:45:00+00:00,2339.9,2352.7,2339.2,2351.3,3579
2023-12-19 03:50:00+00:00,2352.05,2354.05,2350.85,2353.9,1315
2023-12-19 03:55:00+00:00,2353.9,2359.9,2349.3,2359.35,2257
2023-12-19 04:00:00+00:00,2359.35,2362.0,2356.7,2357.75,3083
2023-12-19 04:05:00+00:00,2357.75,2357.75,2352.0,2353.4,942
2023-12-19 04:10:00+00:00,2353.4,2354.75,2343.45,2344.0,4570
2023-12-19 04:15:00+00:00,2344.0,2344.65,2330.1,2337.25,5880
2023-12-19 04:20:00+00:00,2337.25,2338.65,2331.8,2332.9,2986
2023-12-19 04:25:00+00:00,2332.9,2335.0,2332.2,2334.95,550
2023-12-19 04:30:00+00:00,2334.95,2335.0,2326.2,2327.2,2065
2023-12-19 04:35:00+00:00,2328.6,2333.7,2325.0,2325.3,1170
2023-12-19 04:40:00+00:00,2325.3,2326.55,2320.05,2322.4,3545
2023-12-19 04:45:00+00:00,2321.5,2325.0,2312.4,2324.75,2243
2023-12-19 04:50:00+00:00,2324.75,2326.1,2322.15,2322.15,487
2023-12-19 04:55:00+00:00,2322.15,2323.8,2321.0,2322.45,394
2023-12-19 05:00:00+00:00,2322.45,2323.6,2318.3,2318.85,2156
2023-12-19 05:05:00+00:00,2318.85,2320.0,2315.5,2317.75,950
2023-12-19 05:10:00+00:00,2317.75,2320.55,2317.4,2319.15,305
2023-12-19 05:15:00+00:00,2319.15,2320.0,2315.05,2316.9,519
2023-12-19 05:20:00+00:00,2316.9,2319.9,2316.9,2317.0,436
2023-12-19 05:25:00+00:00,2317.0,2320.05,2316.75,2317.65,662
2023-12-19 05:30:00+00:00,2317.65,2319.6,2315.45,2318.1,2234
2023-12-19 05:35:00+00:00,2318.1,2320.0,2316.5,2318.3,1576
2023-12-19 05:40:00+00:00,2318.3,2320.0,2313.2,2313.85,6471
2023-12-19 05:45:00+00:00,2313.85,2316.45,2313.2,2313.95,1134
2023-12-19 05:50:00+00:00,2313.95,2316.4,2312.15,2316.4,927
2023-12-19 05:55:00+00:00,2316.4,2320.0,2316.4,2319.35,1848
2023-12-19 06:00:00+00:00,2319.35,2320.0,2316.8,2316.8,3205
2023-12-19 06:05:00+00:00,2316.8,2318.0,2315.0,2315.35,3096
2023-12-19 06:10:00+00:00,2315.35,2317.5,2315.35,2317.5,1086
2023-12-19 06:15:00+00:00,2317.5,2318.0,2316.2,2318.0,3299
2023-12-19 06:20:00+00:00,2318.0,2318.0,2315.05,2317.8,1600
2023-12-19 06:25:00+00:00,2317.8,2318.0,2316.5,2318.0,1430
2023-12-19 06:30:00+00:00,2318.0,2318.0,2316.5,2317.5,1244
2023-12-19 06:35:00+00:00,2317.5,2318.0,2316.15,2317.75,1620
2023-12-19 06:40:00+00:00,2317.75,2318.0,2316.95,2316.95,2364
2023-12-19 06:45:00+00:00,2316.95,2317.95,2316.85,2317.95,1256
2023-12-19 06:50:00+00:00,2317.95,2317.95,2316.15,2316.9,1465
2023-12-19 06:55:00+00:00,2316.9,2318.0,2316.9,2318.0,1435
2023-12-19 07:00:00+00:00,2318.0,2318.0,2316.6,2316.65,1098
2023-12-19 07:05:00+00:00,2316.65,2317.9,2316.65,2317.9,1180
