,open,high,low,close,volume
2023-12-18 03:45:00+00:00,365.65,365.65,358.8,361.2,53588
2023-12-18 03:50:00+00:00,360.85,361.0,357.05,359.6,41555
2023-12-18 03:55:00+00:00,359.6,359.6,357.5,358.5,32451
2023-12-18 04:00:00+00:00,358.5,359.0,356.3,357.5,26787
2023-12-18 04:05:00+00:00,357.2,358.95,357.05,358.6,17410
2023-12-18 04:10:00+00:00,358.6,359.2,357.5,358.45,10063
2023-12-18 04:15:00+00:00,358.45,360.9,358.05,360.35,22520
2023-12-18 04:20:00+00:00,359.9,360.05,358.65,359.7,14529
2023-12-18 04:25:00+00:00,359.7,360.0,358.85,359.95,2950
2023-12-18 04:30:00+00:00,359.95,360.75,359.7,360.4,8606
2023-12-18 04:35:00+00:00,360.4,360.85,359.35,359.9,9766
2023-12-18 04:40:00+00:00,359.9,360.15,359.1,359.1,2578
2023-12-18 04:45:00+00:00,359.1,360.15,359.1,359.45,3859
2023-12-18 04:50:00+00:00,359.45,360.0,359.1,359.35,4117
2023-12-18 04:55:00+00:00,359.35,359.8,359.0,359.5,1459
2023-12-18 05:00:00+00:00,359.5,360.25,359.4,360.15,3085
2023-12-18 05:05:00+00:00,360.15,360.25,359.05,359.2,3812
2023-12-18 05:10:00+00:00,359.2,359.95,359.05,359.6,2740
2023-12-18 05:15:00+00:00,359.6,359.95,359.45,359.95,3359
2023-12-18 05:20:00+00:00,359.95,359.95,359.45,359.9,2138
2023-12-18 05:25:00+00:00,359.9,360.45,359.4,360.2,5731
2023-12-18 05:30:00+00:00,360.2,360.5,359.95,360.25,2892
2023-12-18 05:35:00+00:00,360.25,360.3,360.05,360.25,1227
2023-12-18 05:40:00+00:00,360.25,360.25,360.0,360.2,1599
2023-12-18 05:45:00+00:00,360.2,361.45,360.0,360.5,7505
2023-12-18 05:50:00+00:00,360.5,361.55,360.4,360.55,15032
2023-12-18 05:55:00+00:00,360.55,360.95,360.55,360.7,8793
2023-12-18 06:00:00+00:00,361.0,361.05,360.2,360.7,16262
2023-12-18 06:05:00+00:00,360.7,360.95,360.5,360.55,693
2023-12-18 06:10:00+00:00,360.55,361.2,360.55,361.0,2994
2023-12-18 06:15:00+00:00,361.0,361.0,360.75,361.0,3405
2023-12-18 06:20:00+00:00,361.0,362.25,360.9,362.2,14051
2023-12-18 06:25:00+00:00,362.2,362.2,361.55,361.7,3232
2023-12-18 06:30:00+00:00,361.7,362.3,361.1,362.3,11118
2023-12-18 06:35:00+00:00,362.3,362.95,362.25,362.6,4849
2023-12-18 06:40:00+00:00,362.6,362.95,362.5,362.75,3113
2023-12-18 06:45:00+00:00,362.7,362.7,362.2,362.5,1263
2023-12-18 06:50:00+00:00,362.5,362.5,361.9,362.25,839
2023-12-18 06:55:00+00:00,362.25,362.25,361.65,361.65,2281
2023-12-18 07:00:00+00:00,361.65,361.65,361.15,361.65,1510
2023-12-18 07:05:00+00:00,361.65,361.95,361.3,361.6,2028
2023-12-18 07:10:00+00:00,361.6,361.8,361.6,361.6,532
2023-12-18 07:15:00+00:00,361.6,361.8,361.5,361.5,660
2023-12-18 07:20:00+00:00,361.5,361.7,361.05,361.2,1154
2023-12-18 07:25:00+00:00,361.2,361.45,361.0,361.1,1358
2023-12-18 07:30:00+00:00,361.1,361.1,359.25,359.8,17771
2023-12-18 07:35:00+00:00,359.8,359.95,359.35,359.95,944
2023-12-18 07:40:00+00:00,359.95,360.55,359.95,360.25,2144
2023-12-18 07:45:00+00:00,360.25,360.55,360.25,360.3,1072
2023-12-18 07:50:00+00:00,360.3,360.75,360.25,360.55,267
2023-12-18 07:55:00+00:00,360.55,360.55,359.6,360.0,2094
2023-12-18 08:00:00+00:00,360.0,360.35,359.6,359.85,1054
2023-12-18 08:05:00+00:00,359.85,360.5,359.8,360.5,1237
2023-12-18 08:10:00+00:00,360.5,360.5,360.0,360.0,450
2023-12-18 08:15:00+00:00,360.0,360.25,359.8,359.8,438
2023-12-18 08:20:00+00:00,359.8,360.35,359.8,359.9,1086
2023-12-18 08:25:00+00:00,359.9,361.0,359.9,360.45,7034
2023-12-18 08:30:00+00:00,360.3,360.9,360.3,360.9,972
2023-12-18 08:35:00+00:00,360.9,361.0,360.5,360.55,1767
2023-12-18 08:40:00+00:00,360.55,360.55,359.6,360.1,3663
2023-12-18 08:45:00+00:00,360.2,360.8,360.2,360.5,1949
2023-12-18 08:50:00+00:00,360.55,360.6,359.15,359.25,11328
2023-12-18 08:55:00+00:00,359.25,359.9,359.0,359.75,4112
2023-12-18 09:00:00+00:00,359.75,360.95,359.75,360.55,2648
2023-12-18 09:05:00+00:00,360.55,361.55,360.3,360.3,8801
2023-12-18 09:10:00+00:00,360.3,360.8,360.1,360.1,855
2023-12-18 09:15:00+00:00,360.1,361.0,360.1,361.0,2739
2023-12-18 09:20:00+00:00,361.0,361.0,360.25,360.95,6486
2023-12-18 09:25:00+00:00,360.95,360.95,360.05,360.5,7052
2023-12-18 09:30:00+00:00,360.5,360.9,360.5,360.9,7016
2023-12-18 09:35:00+00:00,360.9,361.0,360.5,361.0,6227
2023-12-18 09:40:00+00:00,361.55,361.65,360.65,360.8,5325
2023-12-18 09:45:00+00:00,360.8,360.8,358.35,359.6,31132
2023-12-18 09:50:00+00:00,359.85,359.9,358.75,359.3,14355
2023-12-18 09:55:00+00:00,359.45,361.0,359.3,361.0,14110
2023-12-19 03:45:00+00:00,361.2,361.95,357.5,358.45,25107
2023-12-19 03:50:00+00:00,357.95,360.6,357.95,359.25,13507
2023-12-19 03:55:00+00:00,359.25,361.35,358.2,360.45,13579
2023-12-19 04:00:00+00:00,360.45,360.5,359.25,360.0,4725
2023-12-19 04:05:00+00:00,360.0,360.9,358.9,359.2,13363
2023-12-19 04:10:00+00:00,359.2,359.2,357.5,357.85,18329
2023-12-19 04:15:00+00:00,357.85,360.25,357.5,360.25,4636
2023-12-19 04:20:00+00:00,360.25,360.25,358.85,359.55,5815
2023-12-19 04:25:00+00:00,359.25,359.5,358.05,359.5,9474
2023-12-19 04:30:00+00:00,359.5,359.5,358.05,358.05,4722
2023-12-19 04:35:00+00:00,357.9,358.0,356.2,356.8,7848
2023-12-19 04:40:00+00:00,356.8,358.0,356.4,357.3,11317
2023-12-19 04:45:00+00:00,357.3,359.45,357.3,359.2,5091
2023-12-19 04:50:00+00:00,359.2,359.2,358.0,358.4,2669
2023-12-19 04:55:00+00:00,358.4,359.4,358.15,358.7,2863
2023-12-19 05:00:00+00:00,358.7,359.35,358.2,359.35,1173
2023-12-19 05:05:00+00:00,359.35,359.65,358.95,359.0,4238
2023-12-19 05:10:00+00:00,359.0,359.0,358.6,358.6,879
2023-12-19 05:15:00+00:00,358.6,359.0,358.55,358.95,1634
2023-12-19 05:20:00+00:00,358.95,359.0,358.4,358.75,2449
2023-12-19 05:25:00+00:00,358.75,359.15,358.5,358.5,3163
2023-12-19 05:30:00+00:00,358.5,358.7,358.05,358.6,1627
2023-12-19 05:35:00+00:00,358.6,358.65,358.05,358.05,683
2023-12-19 05:40:00+00:00,358.05,358.95,358.05,358.6,3364
2023-12-19 05:45:00+00:00,358.6,358.6,357.85,358.05,2645
2023-12-19 05:50:00+00:00,358.05,358.9,357.75,358.2,3204
2023-12-19 05:55:00+00:00,358.2,358.35,357.7,358.3,1600
2023-12-19 06:00:00+00:00,358.3,358.65,358.05,358.2,800
2023-12-19 06:05:00+00:00,358.2,358.4,357.15,357.95,6235
2023-12-19 06:10:00+00:00,357.95,357.95,357.45,357.45,490
2023-12-19 06:15:00+00:00,357.45,358.65,357.35,358.65,6256
2023-12-19 06:20:00+00:00,358.65,360.0,358.65,359.9,5726
2023-12-19 06:25:00+00:00,360.1,361.75,360.1,361.5,18571
2023-12-19 06:30:00+00:00,361.5,367.4,361.3,366.65,62489
2023-12-19 06:35:00+00:00,366.65,366.65,363.0,363.9,22186
2023-12-19 06:40:00+00:00,363.5,363.6,362.3,362.45,5839
2023-12-19 06:45:00+00:00,362.45,363.65,362.3,363.45,3306
2023-12-19 06:50:00+00:00,363.45,363.45,363.05,363.45,797
2023-12-19 06:55:00+00:00,363.45,363.45,361.75,361.75,3959
2023-12-19 07:00:00+00:00,361.75,362.4,361.5,361.9,3746
2023-12-19 07:05:00+00:00,361.9,361.95,361.0,361.3,2775
2023-12-19 07:10:00+00:00,361.3,361.95,361.05,361.3,3342
2023-12-19 07:15:00+00:00,361.3,361.95,361.05,361.95,1442
2023-12-19 07:20:00+00:00,361.95,361.95,360.95,360.95,2255
2023-12-19 07:25:00+00:00,360.85,361.55,360.85,361.35,2575
2023-12-19 07:30:00+00:00,361.35,361.6,361.35,361.35,531
2023-12-19 07:35:00+00:00,361.35,361.35,360.8,361.1,1473
2023-12-19 07:40:00+00:00,361.1,361.55,360.9,361.55,1239
2023-12-19 07:45:00+00:00,361.55,361.6,361.05,361.05,752
2023-12-19 07:50:00+00:00,361.05,362.9,361.05,362.75,4940
2023-12-19 07:55:00+00:00,362.4,362.7,361.5,361.95,4336
2023-12-19 08:00:00+00:00,361.95,362.5,361.7,362.3,823
2023-12-19 08:05:00+00:00,362.3,362.3,361.8,361.8,1674
2023-12-19 08:10:00+00:00,361.8,362.4,361.6,362.4,2590
2023-12-19 08:15:00+00:00,362.4,362.4,361.65,362.0,583
2023-12-19 08:20:00+00:00,362.0,362.15,361.5,361.5,1436
2023-12-19 08:25:00+00:00,361.5,362.15,361.5,361.5,3648
2023-12-19 08:30:00+00:00,361.5,361.9,361.5,361.9,195
2023-12-19 08:35:00+00:00,361.9,364.2,361.5,364.2,8674
2023-12-19 08:40:00+00:00,364.2,366.5,363.6,365.1,25051
2023-12-19 08:45:00+00:00,365.1,365.1,364.25,364.9,1520
2023-12-19 08:50:00+00:00,364.9,365.5,364.45,364.9,3073
2023-12-19 08:55:00+00:00,364.9,365.0,364.05,364.45,3857
2023-12-19 09:00:00+00:00,364.05,364.05,363.5,364.0,3616
2023-12-19 09:05:00+00:00,364.0,364.0,363.5,363.85,389
2023-12-19 09:10:00+00:00,363.85,363.95,362.45,362.45,2100
2023-12-19 09:15:00+00:00,362.45,363.9,362.45,362.9,4520
2023-12-19 09:20:00+00:00,362.85,363.25,362.1,362.4,3426
2023-12-19 09:25:00+00:00,362.4,364.05,361.35,361.6,11166
2023-12-19 09:30:00+00:00,361.6,362.35,360.5,360.5,5006
2023-12-19 09:35:00+00:00,360.5,361.45,360.3,360.95,4134
2023-12-19 09:40:00+00:00,361.15,361.2,360.5,360.85,2263
2023-12-19 09:45:00+00:00,360.85,362.0,360.5,361.6,14681
2023-12-19 09:50:00+00:00,361.6,361.9,361.05,361.35,9775
2023-12-19 09:55:00+00:00,361.35,361.9,360.1,361.9,12504
2023-12-20 03:45:00+00:00,363.0,364.55,361.35,362.8,29651
2023-12-20 03:50:00+00:00,362.8,364.15,362.15,363.15,7490
2023-12-20 03:55:00+00:00,363.15,363.5,362.3,363.05,3938
2023-12-20 04:00:00+00:00,363.05,363.4,362.05,362.75,3367
2023-12-20 04:05:00+00:00,362.75,363.25,361.75,362.2,5679
2023-12-20 04:10:00+00:00,362.2,362.4,361.4,362.3,2277
2023-12-20 04:15:00+00:00,362.3,362.45,361.8,362.15,775
2023-12-20 04:20:00+00:00,362.15,362.45,362.0,362.0,2111
2023-12-20 04:25:00+00:00,362.0,362.3,361.45,362.2,3196
2023-12-20 04:30:00+00:00,362.2,362.2,360.75,361.2,6996
2023-12-20 04:35:00+00:00,361.2,361.4,359.0,359.4,16716
2023-12-20 04:40:00+00:00,359.4,361.15,358.8,361.15,5576
2023-12-20 04:45:00+00:00,361.15,361.5,360.5,361.5,4769
2023-12-20 04:50:00+00:00,361.5,361.5,360.9,361.15,895
2023-12-20 04:55:00+00:00,361.15,362.8,361.15,362.0,10294
2023-12-20 05:00:00+00:00,362.0,362.45,362.0,362.1,793
2023-12-20 05:05:00+00:00,362.1,362.2,361.15,361.55,975
2023-12-20 05:10:00+00:00,361.55,362.05,361.2,361.25,2530
2023-12-20 05:15:00+00:00,361.25,362.45,361.25,361.75,1510
2023-12-20 05:20:00+00:00,361.75,361.75,361.05,361.75,1086
2023-12-20 05:25:00+00:00,361.75,361.85,361.4,361.75,430
2023-12-20 05:30:00+00:00,361.1,361.75,361.1,361.3,1791
2023-12-20 05:35:00+00:00,361.3,361.65,361.2,361.2,1563
2023-12-20 05:40:00+00:00,361.2,361.4,360.0,360.6,12010
2023-12-20 05:45:00+00:00,360.6,360.6,360.05,360.3,472
2023-12-20 05:50:00+00:00,360.3,360.3,359.95,360.2,1031
2023-12-20 05:55:00+00:00,360.2,360.3,359.55,360.3,3173
2023-12-20 06:00:00+00:00,360.0,360.3,359.25,359.8,5143
2023-12-20 06:05:00+00:00,359.8,360.4,359.45,359.95,3146
2023-12-20 06:10:00+00:00,359.95,360.25,359.65,359.7,779
2023-12-20 06:15:00+00:00,359.7,359.85,358.0,358.65,8008
2023-12-20 06:20:00+00:00,358.65,358.65,357.0,357.9,17618
2023-12-20 06:25:00+00:00,357.9,358.05,357.0,357.85,13742
2023-12-20 06:30:00+00:00,357.85,359.95,355.95,357.25,31668
2023-12-20 06:35:00+00:00,357.25,357.25,355.6,356.0,5855
2023-12-20 06:40:00+00:00,356.0,357.1,356.0,357.1,11332
2023-12-20 06:45:00+00:00,357.1,357.9,357.05,357.45,4699
2023-12-20 06:50:00+00:00,357.45,357.7,356.6,357.0,8929
2023-12-20 06:55:00+00:00,357.0,357.05,356.0,356.05,4532
2023-12-20 07:00:00+00:00,356.5,356.5,355.0,355.3,8235
2023-12-20 07:05:00+00:00,355.3,356.15,355.3,355.9,2419
2023-12-20 07:10:00+00:00,355.9,356.7,355.85,356.25,2149
2023-12-20 07:15:00+00:00,356.25,356.8,356.25,356.7,600
2023-12-20 07:20:00+00:00,356.7,356.7,355.95,356.4,2990
2023-12-20 07:25:00+00:00,356.4,356.75,356.15,356.15,564
2023-12-20 07:30:00+00:00,356.15,356.45,355.5,355.5,3156
2023-12-20 07:35:00+00:00,355.5,356.05,354.2,354.55,8701
2023-12-20 07:40:00+00:00,354.55,354.8,353.7,354.55,10936
2023-12-20 07:45:00+00:00,354.25,354.55,352.0,352.5,13435
